# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.299
metadata : {}


# id : NWRW1800000046.299.1.1
[데스크에서] 반기문의 두 마리 토끼

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
만날	만나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000046.299.4.2
유엔의 수장이 회원국을 방문해서 그 나라 최고 지도자를 만나지 않은 경우는 드물다.

유엔의	유엔/NNP+의/JKG
수장이	수장/NNG+이/JKS
회원국을	회원국/NNG+을/JKO
방문해서	방문/NNG+하/XSV+아서/EC
그	그/MMD
나라	나라/NNG
최고	최고/NNG
지도자를	지도자/NNG+를/JKO
만나지	만나/VV+지/EC
않은	않/VX+은/ETM
경우는	경우/NNG+는/JX
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000046.299.4.3
경우에 따라서는 북한의 6자회담 복귀 같은 비핵화 논의에 진전을 이룰 수도 있다.

경우에	경우/NNG+에/JKB
따라서는	따르/VV+아서/EC+는/JX
북한의	북한/NNP+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
복귀	복귀/NNG
같은	같/VA+은/ETM
비핵화	비핵/NNG+화/XSN
논의에	논의/NNG+에/JKB
진전을	진전/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.299.5.1
이 경우 반 총장은 같은 민족이지만 국제사회의 '골칫덩어리'인 김정은을 설득해 세계 평화에 이바지했다는, 유엔 사무총장으로서의 업적을 남길 수 있다.

이	이/MMD
경우	경우/NNG
반	반/NNP
총장은	총장/NNG+은/JX
같은	같/VA+은/ETM
민족이지만	민족/NNG+이/VCP+지만/EC
국제사회의	국제/NNG+사회/NNG+의/JKG
'골칫덩어리'인	'/SS+골칫덩어리/NNG+'/SS+이/VCP+ㄴ/ETM
김정은을	김정은/NNP+을/JKO
설득해	설득/NNG+하/XSV+아/EC
세계	세계/NNG
평화에	평화/NNG+에/JKB
이바지했다는,	이바지/NNG+하/XSV+았/EP+다는/ETM+,/SP
유엔	유엔/NNP
사무총장으로서의	사무총장/NNG+으로서/JKB+의/JKG
업적을	업적/NNG+을/JKO
남길	남기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.299.5.2
또한 그에게 대선 출마 의사가 있다면 대통령 후보로서 '스펙'을 쌓기에 더없이 좋은 기회다.

또한	또한/MAG
그에게	그/NP+에게/JKB
대선	대선/NNG
출마	출마/NNG
의사가	의사/NNG+가/JKS
있다면	있/VA+다면/EC
대통령	대통령/NNG
후보로서	후보/NNG+로서/JKB
'스펙'을	'/SS+스펙/NNG+'/SS+을/JKO
쌓기에	쌓/VV+기/ETN+에/JKB
더없이	더없이/MAG
좋은	좋/VA+은/ETM
기회다.	기회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.299.5.3
그의 입장에서는 '업적 창출'과 '대선 가도' 모두에 도움이 되는 일이란 얘기다.

그의	그/NP+의/JKG
입장에서는	입장/NNG+에서/JKB+는/JX
'업적	'/SS+업적/NNG
창출'과	창출/NNG+'/SS+과/JC
'대선	'/SS+대선/NNG
가도'	가도/NNG+'/SS
모두에	모두/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
일이란	일/NNG+이/VCP+란/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.299.6.1
김정은도 '두 마리 토끼'를 좇고 있다.

김정은도	김정은/NNP+도/JX
'두	'/SS+두/MMN
마리	마리/NNB
토끼'를	토끼/NNG+'/SS+를/JKO
좇고	좇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.299.6.2
그의 제1 정책 노선은 핵·경제 병진(竝進)이다.

그의	그/NP+의/JKG
제1	제/XPN+1/SN
정책	정책/NNG
노선은	노선/NNG+은/JX
핵·경제	핵/NNG+·/SP+경제/NNG
병진(竝進)이다.	병진/NNG+(/SS+竝進/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.299.6.3
한마디로 핵무기는 그대로 가진 상태에서 국제사회의 지원을 받아 경제 발전까지 이루겠다는 것이다.

한마디로	한마디/NNG+로/JKB
핵무기는	핵무기/NNG+는/JX
그대로	그대로/MAG
가진	가지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
국제사회의	국제/NNG+사회/NNG+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
경제	경제/NNG
발전까지	발전/NNG+까지/JX
이루겠다는	이루/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.299.6.4
이에 대해 국제사회는 둘 다 가지려는 시도는 절대 성공할 수 없다고 한목소리를 내왔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국제사회는	국제/NNG+사회/NNG+는/JX
둘	둘/NR
다	다/MAG
가지려는	가지/VV+려는/ETM
시도는	시도/NNG+는/JX
절대	절대/MAG
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
한목소리를	한목소리/NNG+를/JKO
내왔다.	내/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.299.6.5
북한이 잘 살고 싶으면 핵을 포기해야 한다는 것이다.

북한이	북한/NNP+이/JKS
잘	잘/MAG
살고	살/VV+고/EC
싶으면	싶/VX+으면/EC
핵을	핵/NNG+을/JKO
포기해야	포기/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.299.6.6
그러나 김정은은 그럴 생각이 전혀 없다.

그러나	그러나/MAJ
김정은은	김정은/NNP+은/JX
그럴	그러/VV+ㄹ/ETM
생각이	생각/NNG+이/JKS
전혀	전혀/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.299.6.7
이미 국제규범을 숱하게 어기고 핵실험과 장거리 미사일 발사를 반복해 제재를 받았다.

이미	이미/MAG
국제규범을	국제/NNG+규범/NNG+을/JKO
숱하게	숱하/VA+게/EC
어기고	어기/VV+고/EC
핵실험과	핵/NNG+실험/NNG+과/JC
장거리	장거리/NNG
미사일	미사일/NNG
발사를	발사/NNG+를/JKO
반복해	반복/NNG+하/XSV+아/EC
제재를	제재/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.299.6.8
거기에 대해 잘못을 인정한 적도 없다.

거기에	거기/NP+에/JKB
대해	대하/VV+아/EC
잘못을	잘못/NNG+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.299.6.9
북한이 비핵화 합의를 수없이 뒤집어대니 미국은 "이제는 북한이 먼저 핵 포기를 행동으로 보여주지 않는 한 대화는 없다"고 한다.

북한이	북한/NNP+이/JKS
비핵화	비핵/NNG+화/XSN
합의를	합의/NNG+를/JKO
수없이	수없이/MAG
뒤집어대니	뒤집/VV+어/EC+대/VX+니/EC
미국은	미국/NNP+은/JX
"이제는	"/SS+이제/NNG+는/JX
먼저	먼저/MAG
핵	핵/NNG
포기를	포기/NNG+를/JKO
행동으로	행동/NNG+으로/JKB
보여주지	보이/VV+어/EC+주/VX+지/EC
않는	않/VX+는/ETM
한	한/NNG
대화는	대화/NNG+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.299.7.1
유엔은 해마다 북한에 인권 상황을 개선하라고 권고하지만 김정은은 콧방귀도 뀌지 않고 있다.

유엔은	유엔/NNP+은/JX
해마다	해마다/MAG
북한에	북한/NNP+에/JKB
인권	인권/NNG
상황을	상황/NNG+을/JKO
개선하라고	개선/NNG+하/XSV+라고/EC
권고하지만	권고/NNG+하/XSV+지만/EC
김정은은	김정은/NNP+은/JX
콧방귀도	콧방귀/NNG+도/JX
뀌지	뀌/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.299.7.2
한마디로 변한 것이 하나도 없다.

한마디로	한마디/NNG+로/JKB
변한	변하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
하나도	하나/NR+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.299.7.3
이런 상황에서 반 총장이 북한에 가서 김정은을 만나 웃으며 악수하는 장면은 자칫 국제사회가 북한 정권에 '면죄부'를 주는 것으로 받아들여질 수 있다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
반	반/NNP
총장이	총장/NNG+이/JKS
북한에	북한/NNP+에/JKB
가서	가/VV+아서/EC
김정은을	김정은/NNP+을/JKO
만나	만나/VV+아/EC
웃으며	웃/VV+으며/EC
악수하는	악수/NNG+하/XSV+는/ETM
장면은	장면/NNG+은/JX
자칫	자칫/MAG
국제사회가	국제/NNG+사회/NNG+가/JKS
북한	북한/NNP
정권에	정권/NNG+에/JKB
'면죄부'를	'/SS+면죄부/NNG+'/SS+를/JKO
주는	주/VV+는/ETM
것으로	것/NNB+으로/JKB
받아들여질	받아들이/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.299.7.4
전문가들의 전망처럼 김정은이 연말·연초에 방중(訪中)해 시진핑 중국 국가주석까지 만날 경우 국제사회가 자신의 핵 보유를 인정했다고 착각할 가능성도 있다.

전문가들의	전문가/NNG+들/XSN+의/JKG
전망처럼	전망/NNG+처럼/JKB
김정은이	김정은/NNP+이/JKS
연말·연초에	연말/NNG+·/SP+연초/NNG+에/JKB
방중(訪中)해	방중/NNG+(/SS+訪中/SH+)/SS+하/VV+아/EC
시진핑	시진핑/NNP
중국	중국/NNP
국가주석까지	국가주석/NNG+까지/JX
만날	만나/VV+ㄹ/ETM
경우	경우/NNG
국제사회가	국제/NNG+사회/NNG+가/JKS
자신의	자신/NNG+의/JKG
핵	핵/NNG
보유를	보유/NNG+를/JKO
인정했다고	인정/NNG+하/XSV+았/EP+다고/EC
착각할	착각/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.299.7.5
이 경우 반 총장의 방북은 그의 업적 창출에 도움이 안 되는 것은 물론 대선 가도에도 부담만 남길 것이다.

이	이/MMD
경우	경우/NNG
반	반/NNP
총장의	총장/NNG+의/JKG
방북은	방북/NNG+은/JX
그의	그/NP+의/JKG
업적	업적/NNG
창출에	창출/NNG+에/JKB
도움이	도움/NNG+이/JKC
안	안/MAG
되는	되/VV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
대선	대선/NNG
가도에도	가도/NNG+에/JKB+도/JX
부담만	부담/NNG+만/JX
남길	남기/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.299.7.6
반 총장도 자신의 방북을 김정은이 체제 선전에 이용할 가능성을 모를 리 없다.

반	반/NNP
총장도	총장/NNG+도/JX
자신의	자신/NNG+의/JKG
방북을	방북/NNG+을/JKO
김정은이	김정은/NNP+이/JKS
체제	체제/NNG
선전에	선전/NNG+에/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
모를	모르/VV+ㄹ/ETM
리	리/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.299.7.7
반 총장이 혹시 북한에 가더라도 김정은에게만 '두 마리 토끼'를 안겨주는 상황은 막아야 한다.

반	반/NNP
총장이	총장/NNG+이/JKS
혹시	혹시/MAG
북한에	북한/NNP+에/JKB
가더라도	가/VV+더라도/EC
김정은에게만	김정은/NNP+에게/JKB+만/JX
'두	'/SS+두/MMN
마리	마리/NNB
토끼'를	토끼/NNG+'/SS+를/JKO
안겨주는	안기/VV+어/EC+주/VX+는/ETM
상황은	상황/NNG+은/JX
막아야	막/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


