# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.231
metadata : {}


# id : NWRW1800000036.231.1.1
아라뱃길, 수억원 호화 개통쇼 눈살…소녀시대 등 초청도

아라뱃길,	아라뱃길/NNP+,/SP
무슨	무슨/MMD
축하쇼냐”고	축하/NNG+쇼/NNG+이/VCP+냐/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.231.5.1
국토해양부와 수자원공사(수공)는 25일 오전 경기도 김포시 경인아라뱃길 김포터미널에서 개통식을 한 뒤 오후 7시30분 같은 곳에서 개통 축하쇼를 2시간여 동안 벌인다.

국토해양부와	국토/NNG+해양부/NNG+와/JC
수자원공사(수공)는	수자원공사/NNP+(/SS+수공/NNP+)/SS+는/JX
25일	25/SN+일/NNB
오전	오전/NNG
경기도	경기도/NNP
김포시	김포시/NNP
경인아라뱃길	경인아라뱃길/NNP
김포터미널에서	김포터미널/NNP+에서/JKB
개통식을	개통식/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
오후	오후/NNG
7시30분	7/SN+시/NNB+30/SN+분/NNB
같은	같/VA+은/ETM
곳에서	곳/NNG+에서/JKB
개통	개통/NNG
축하쇼를	축하/NNG+쇼/NNG+를/JKO
2시간여	2/SN+시간/NNB+여/XSN
동안	동안/NNG
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.231.6.1
또 수자원공사는 개통 이틀 뒤인 27일 경인아라뱃길 인천터미널 앞에서 개통 기념 케이팝 콘서트를 연다.

또	또/MAG
수자원공사는	수자원공사/NNP+는/JX
개통	개통/NNG
이틀	이틀/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
27일	27/SN+일/NNB
경인아라뱃길	경인아라뱃길/NNP
인천터미널	인천터미널/NNP
앞에서	앞/NNG+에서/JKB
기념	기념/NNG
케이팝	케이팝/NNG
콘서트를	콘서트/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.231.6.2
이 콘서트에는 ‘소녀시대’ ‘인피니트’ 등 아이돌 그룹들이 참여할 예정이다.

이	이/MMD
콘서트에는	콘서트/NNG+에/JKB+는/JX
‘소녀시대’	‘/SS+소녀시대/NNP+’/SS
‘인피니트’	‘/SS+인피니트/NNP+’/SS
등	등/NNB
아이돌	아이돌/NNG
그룹들이	그룹/NNG+들/XSN+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.231.7.1
수자원공사는 애초 경인아라뱃길 개통 축하쇼로 아라뱃길 인천터미널 앞에서 <한국방송>(KBS)의 ‘열린음악회’를 유치하기로 했으나 국토해양부와 청와대와의 협의 과정에서 개통식을 김포터미널에서 하기로 결정하면서 축하쇼를 김포·인천터미널에서 각각 열기로 한 것으로 알려졌다.

수자원공사는	수자원공사/NNP+는/JX
애초	애초/NNG
경인아라뱃길	경인아라뱃길/NNP
개통	개통/NNG
축하쇼로	축하/NNG+쇼/NNG+로/JKB
아라뱃길	아라뱃길/NNP
인천터미널	인천터미널/NNP
앞에서	앞/NNG+에서/JKB
<한국방송>(KBS)의	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS+의/JKG
‘열린음악회’를	‘/SS+열리/VV+ㄴ/ETM+음악회/NNG+’/SS+를/JKO
유치하기로	유치/NNG+하/XSV+기/ETN+로/JKB
했으나	하/VV+았/EP+으나/EC
국토해양부와	국토/NNG+해양부/NNG+와/JC
청와대와의	청와대/NNP+와/JKB+의/JKG
협의	협의/NNG
과정에서	과정/NNG+에서/JKB
개통식을	개통식/NNG+을/JKO
김포터미널에서	김포터미널/NNP+에서/JKB
하기로	하/VV+기/ETN+로/JKB
결정하면서	결정/NNG+하/XSV+면서/EC
축하쇼를	축하/NNG+쇼/NNG+를/JKO
김포·인천터미널에서	김포/NNP+·/SP+인천터미널/NNP+에서/JKB
각각	각각/MAG
열기로	열/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.231.7.2
수자원공사 관계자는 “두번의 축하쇼에만도 적어도 수억원은 들어가지 않겠느냐”고 말했다.

수자원공사	수자원공사/NNP
관계자는	관계자/NNG+는/JX
“두번의	“/SS+두/MMN+번/NNB+의/JKG
축하쇼에만도	축하/NNG+쇼/NNG+에/JKB+만/JX+도/JX
적어도	적어도/MAG
수억원은	수억/NR+원/NNB+은/JX
들어가지	들어가/VV+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.231.8.1
정부는 경인아라뱃길 사업과 관련된 국토해양부, 수자원공사 임직원 등 수백명에게 포상을 추진하고 있다.

정부는	정부/NNG+는/JX
경인아라뱃길	경인아라뱃길/NNP
사업과	사업/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
국토해양부,	국토/NNG+해양부/NNG+,/SP
수자원공사	수자원공사/NNP
임직원	임직원/NNG
등	등/NNB
수백명에게	수백/NR+명/NNB+에게/JKB
포상을	포상/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.231.8.2
국토해양부는 국무총리 표창 이상의 정부포상자로 110명을 추천했는데 공무원과 수자원공사 소속이 절반이 넘는 56명을 차지해, 공무원들이 포상 잔치를 벌이고 있다는 비난이 쏟아지고 있다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
국무총리	국무총리/NNG
표창	표창/NNG
이상의	이상/NNG+의/JKG
정부포상자로	정부/NNG+포상자/NNG+로/JKB
110명을	110/SN+명/NNB+을/JKO
추천했는데	추천/NNG+하/XSV+았/EP+는데/EC
공무원과	공무원/NNG+과/JC
수자원공사	수자원공사/NNP
소속이	소속/NNG+이/JKS
절반이	절반/NNG+이/JKS
넘는	넘/VV+는/ETM
56명을	56/SN+명/NNB+을/JKO
차지해,	차지/NNG+하/XSV+아/EC+,/SP
공무원들이	공무원/NNG+들/XSN+이/JKS
포상	포상/NNG
잔치를	잔치/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다는	있/VX+다는/ETM
비난이	비난/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.231.8.3
이와는 별도로 국토해양부는 공무원과 건설업체 현장 직원 등 102명을 국토해양부 장관 표창자로 결정했다.

이와는	이/NP+와/JKB+는/JX
별도로	별도/NNG+로/JKB
국토해양부는	국토/NNG+해양부/NNG+는/JX
공무원과	공무원/NNG+과/JC
건설업체	건설업체/NNG
현장	현장/NNG
직원	직원/NNG
등	등/NNB
102명을	102/SN+명/NNB+을/JKO
국토해양부	국토/NNG+해양부/NNG
장관	장관/NNG
표창자로	표창자/NNG+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.231.9.1
이에 대해 환경단체 등 인천지역 단체는 “경인아라뱃길은 매년 수백억원씩 유지관리비가 들어가고 환경 피해가 우려되는 애물단지로 전락할 것”이라며 “19대 국회에서 청문회를 열어 철저히 원인을 규명해 책임자 처벌을 요구할 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
환경단체	환경/NNG+단체/NNG
등	등/NNB
인천지역	인천지역/NNP
단체는	단체/NNG+는/JX
“경인아라뱃길은	“/SS+경인아라뱃길/NNP+은/JX
매년	매년/MAG
수백억원씩	수백억/NR+원/NNB+씩/XSN
유지관리비가	유지/NNG+관리비/NNG+가/JKS
들어가고	들어가/VV+고/EC
환경	환경/NNG
피해가	피해/NNG+가/JKS
우려되는	우려/NNG+되/XSV+는/ETM
애물단지로	애물단지/NNG+로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“19대	“/SS+19/SN+대/NNB
국회에서	국회/NNG+에서/JKB
청문회를	청문회/NNG+를/JKO
열어	열/VV+어/EC
철저히	철저히/MAG
원인을	원인/NNG+을/JKO
규명해	규명/NNG+하/XSV+아/EC
책임자	책임자/NNG
처벌을	처벌/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.231.9.2
시민단체들은 개통식이 열리는 25일 경인아라뱃길에서 기자회견을 열 예정이다.

시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
개통식이	개통식/NNG+이/JKS
열리는	열리/VV+는/ETM
25일	25/SN+일/NNB
경인아라뱃길에서	경인아라뱃길/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


