# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.271
metadata : {}


# id : NWRW1800000026.271.1.1
NASA "예측불허 태풍, 발생 5일前 예측";우주엔 인공위성, 땅에선 수퍼컴퓨터 동원… 여름보다 뜨거운 선전포고

NASA	NASA/SL
해일,	해일/NNG+,/SP
폭우는	폭우/NNG+는/JX
매년	매년/MAG
엄청난	엄청나/VA+ㄴ/ETM
경제적	경제/NNG+적/XSN
피해를	피해/NNG+를/JKO
입힌다.	입히/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.7.3
허리케인 연구 선진국인 미국만 해도 지난 100년간 피해 규모 상위 10대 허리케인이 안긴 피해액 합계가 약 6200억달러(약 745조원)에 달한다.

허리케인	허리케인/NNG
연구	연구/NNG
선진국인	선진국/NNG+이/VCP+ㄴ/ETM
미국만	미국/NNP+만/JX
해도	하/VV+아도/EC
지난	지나/VV+ㄴ/ETM
100년간	100/SN+년/NNB+간/XSN
피해	피해/NNG
규모	규모/NNG
상위	상위/NNG
10대	10/SN+대/NNG
허리케인이	허리케인/NNG+이/JKS
안긴	안기/VV+ㄴ/ETM
피해액	피해액/NNG
합계가	합계/NNG+가/JKS
약	약/MMA
6200억달러(약	6200/SN+억/NR+달러/NNB+(/SS+약/MMA
745조원)에	745/SN+조/NR+원/NNB+)/SS+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.8.1
과학자들은 허리케인의 피해를 줄이기 위해서 갖가지 노력을 해왔다.

과학자들은	과학자/NNG+들/XSN+은/JX
허리케인의	허리케인/NNG+의/JKG
피해를	피해/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위해서	위하/VV+아서/EC
갖가지	갖가지/NNG
노력을	노력/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.271.8.2
1960년대와 70년대에는 화학물질을 이용해 허리케인을 인위적으로 소멸시키려는 시도가 이뤄졌다.

1960년대와	1960/SN+년대/NNB+와/JC
70년대에는	70/SN+년대/NNB+에/JKB+는/JX
화학물질을	화학/NNG+물질/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
허리케인을	허리케인/NNG+을/JKO
인위적으로	인위/NNG+적/XSN+으로/JKB
소멸시키려는	소멸/NNG+시키/XSV+려는/ETM
시도가	시도/NNG+가/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.271.8.3
요오드화은을 열대 폭풍의 중심에 뿌려 중심의 온도를 인위적으로 낮춤으로써, 에너지 공급을 끊으려 한 것이다.

요오드화은을	요오드/NNG+화/XSN+은/NNG+을/JKO
열대	열대/NNG
폭풍의	폭풍/NNG+의/JKG
중심에	중심/NNG+에/JKB
뿌려	뿌리/VV+어/EC
중심의	중심/NNG+의/JKG
온도를	온도/NNG+를/JKO
인위적으로	인위/NNG+적/XSN+으로/JKB
낮춤으로써,	낮추/VV+ㅁ/ETN+으로써/JKB+,/SP
에너지	에너지/NNG
공급을	공급/NNG+을/JKO
끊으려	끊/VV+으려/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.9.1
그러나 이 시도는 결과적으로 실패하고 말았다.

그러나	그러나/MAJ
이	이/MMD
시도는	시도/NNG+는/JX
결과적으로	결과/NNG+적/XSN+으로/JKB
실패하고	실패/NNG+하/XSV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.271.9.2
이 프로젝트의 실험대상이 된 허리케인 데비는 처음엔 풍속이 약 30% 정도 약해지는가 싶더니 이내 되살아나 예측불허의 허리케인으로 돌변하고 만 것이다.

이	이/MMD
프로젝트의	프로젝트/NNG+의/JKG
실험대상이	실험/NNG+대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
허리케인	허리케인/NNG
데비는	데비/NNG+는/JX
처음엔	처음/NNG+에/JKB+ㄴ/JX
풍속이	풍속/NNG+이/JKS
약	약/MMA
30%	30/SN+%/SW
정도	정도/NNG
약해지는가	약하/VA+아/EC+지/VX+는가/EF
싶더니	싶/VX+더니/EC
이내	이내/MAG
되살아나	되살아나/VV+아/EC
예측불허의	예측/NNG+불허/NNG+의/JKG
허리케인으로	허리케인/NNG+으로/JKB
돌변하고	돌변/NNG+하/XSV+고/EC
만	말/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.10.1
이후 허리케인 연구의 초점은 그 진로와 강도를 예측하는 데 모아졌다.

이후	이후/NNG
허리케인	허리케인/NNG
연구의	연구/NNG+의/JKG
초점은	초점/NNG+은/JX
그	그/MMD
진로와	진로/NNG+와/JC
강도를	강도/NNG+를/JKO
예측하는	예측/NNG+하/XSV+는/ETM
데	데/NNB
모아졌다.	모으/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.271.10.2
그간 축적된 허리케인 연구 데이터는 진로 예측 기술을 한층 발전시켰다.

그간	그/NP+간/XSN
축적된	축적/NNG+되/XSV+ㄴ/ETM
허리케인	허리케인/NNG
연구	연구/NNG
데이터는	데이터/NNG+는/JX
진로	진로/NNG
예측	예측/NNG
기술을	기술/NNG+을/JKO
한층	한층/MAG
발전시켰다.	발전/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.271.10.3
특히 하늘에서 허리케인의 일거수일투족을 관찰하는 위성의 존재는 과학자들에게 엄청난 예측력을 줬다.

특히	특히/MAG
하늘에서	하늘/NNG+에서/JKB
허리케인의	허리케인/NNG+의/JKG
일거수일투족을	일거수일투족/NNG+을/JKO
관찰하는	관찰/NNG+하/XSV+는/ETM
위성의	위성/NNG+의/JKG
존재는	존재/NNG+는/JX
과학자들에게	과학자/NNG+들/XSN+에게/JKB
엄청난	엄청나/VA+ㄴ/ETM
예측력을	예측력/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.271.10.4
덕분에 현재 기상 과학자들은 허리케인의 진로를 거의 오차 없이 예측하고 있다.

덕분에	덕분/NNG+에/JKB
현재	현재/MAG
기상	기상/NNG
과학자들은	과학자/NNG+들/XSN+은/JX
허리케인의	허리케인/NNG+의/JKG
진로를	진로/NNG+를/JKO
거의	거의/MAG
오차	오차/NNG
없이	없이/MAG
예측하고	예측/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.271.11.1
그러나 과학자들은 왜 어떤 열대폭풍은 무서운 허리케인으로 발달하고, 왜 어떤 열대폭풍은 그냥 사멸하고 마는 것인지, 그 해답을 찾지 못하고 있다.

그러나	그러나/MAJ
과학자들은	과학자/NNG+들/XSN+은/JX
왜	왜/MAG
어떤	어떤/MMD
열대폭풍은	열대/NNG+폭풍/NNG+은/JX
무서운	무섭/VA+ㄴ/ETM
허리케인으로	허리케인/NNG+으로/JKB
발달하고,	발달/NNG+하/XSV+고/EC+,/SP
그냥	그냥/MAG
사멸하고	사멸/NNG+하/XSV+고/EC
마는	말/VX+는/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EF+,/SP
그	그/MMD
해답을	해답/NNG+을/JKO
찾지	찾/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.271.11.2
열대폭풍이 허리케인으로 변하는 순간은 여전히 베일에 싸여 있는 것이다.

열대폭풍이	열대/NNG+폭풍/NNG+이/JKS
허리케인으로	허리케인/NNG+으로/JKB
변하는	변하/VV+는/ETM
순간은	순간/NNG+은/JX
여전히	여전히/MAG
베일에	베일/NNG+에/JKB
싸여	싸이/VV+어/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.11.3
과학자들은 이 작업을 '성배 찾기'에 비유할 정도다.

과학자들은	과학자/NNG+들/XSN+은/JX
이	이/MMD
작업을	작업/NNG+을/JKO
'성배	'/SS+성배/NNG
찾기'에	찾/VV+기/ETN+'/SS+에/JKB
비유할	비유/NNG+하/XSV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.12.1
예보의 성패는 진로와 강도가 핵심이지만, 허리케인의 강도를 예측하는 영역에서도 과학은 여전히 답보상태이다.

예보의	예보/NNG+의/JKG
성패는	성패/NNG+는/JX
진로와	진로/NNG+와/JC
강도가	강도/NNG+가/JKS
핵심이지만,	핵심/NNG+이/VCP+지만/EC+,/SP
허리케인의	허리케인/NNG+의/JKG
강도를	강도/NNG+를/JKO
예측하는	예측/NNG+하/XSV+는/ETM
영역에서도	영역/NNG+에서/JKB+도/JX
과학은	과학/NNG+은/JX
여전히	여전히/MAG
답보상태이다.	답보/NNG+상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.12.2
예보의 정확성은 허리케인에 대한 준비태세를 결정한다.

예보의	예보/NNG+의/JKG
정확성은	정확/NNG+성/XSN+은/JX
허리케인에	허리케인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
준비태세를	준비/NNG+태세/NNG+를/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.12.3
실제로 예보기술이 발달하면서 허리케인의 피해는 갈수록 줄어들었다.

실제로	실제로/MAG
예보기술이	예보/NNG+기술/NNG+이/JKS
발달하면서	발달/NNG+하/XSV+면서/EC
허리케인의	허리케인/NNG+의/JKG
피해는	피해/NNG+는/JX
갈수록	갈수록/MAG
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.271.13.1
예컨대 1926년 미국을 강타한 허리케인 마이애미로 인한 피해 액수는 1570억달러였지만, 2005년 미국 뉴올리언스를 강타한 허리케인 카트리나의 피해액은 810억달러였다.

예컨대	예컨대/MAG
1926년	1926/SN+년/NNB
미국을	미국/NNP+을/JKO
강타한	강타/NNG+하/XSV+ㄴ/ETM
허리케인	허리케인/NNG
마이애미로	마이애미/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
피해	피해/NNG
액수는	액수/NNG+는/JX
1570억달러였지만,	1570/SN+억/NR+달러/NNB+이/VCP+었/EP+지만/EC+,/SP
2005년	2005/SN+년/NNB
미국	미국/NNP
뉴올리언스를	뉴올리언스/NNP+를/JKO
카트리나의	카트리나/NNP+의/JKG
피해액은	피해액/NNG+은/JX
810억달러였다.	810/SN+억/NR+달러/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.271.13.2
피해 규모 기준으로 미국의 10대 허리케인 중 1990년대 이후 발생한 허리케인은 카트리나와 앤드루(1992년) 단 두 건뿐이다.

피해	피해/NNG
규모	규모/NNG
기준으로	기준/NNG+으로/JKB
미국의	미국/NNP+의/JKG
10대	10/SN+대/NNG
허리케인	허리케인/NNG
중	중/NNB
1990년대	1990/SN+년대/NNB
이후	이후/NNG
발생한	발생/NNG+하/XSV+ㄴ/ETM
허리케인은	허리케인/NNG+은/JX
카트리나와	카트리나/NNP+와/JC
앤드루(1992년)	앤드루/NNG+(/SS+1992/SN+년/NNB+)/SS
단	단/MMA
두	두/MMN
건뿐이다.	건/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.14.1
정확한 예보의 중요성을 알려주는 극명한 두 사례가 미국의 카트리나와 미얀마의 나르기스이다.

정확한	정확/NNG+하/XSA+ㄴ/ETM
예보의	예보/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
극명한	극명/NNG+하/XSA+ㄴ/ETM
두	두/MMN
사례가	사례/NNG+가/JKS
미국의	미국/NNP+의/JKG
카트리나와	카트리나/NNP+와/JC
미얀마의	미얀마/NNP+의/JKG
나르기스이다.	나르기스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.14.2
미국에서는 5등급을 가장 강력한 허리케인으로 분류하고 있는데 허리케인 카트리나가 바로 5등급이었다.

미국에서는	미국/NNP+에서/JKB+는/JX
5등급을	5/SN+등급/NNG+을/JKO
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
허리케인으로	허리케인/NNG+으로/JKB
분류하고	분류/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
허리케인	허리케인/NNG
카트리나가	카트리나/NNP+가/JKS
바로	바로/MAG
5등급이었다.	5/SN+등급/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.271.14.3
카트리나로 인한 사망자는 1200여명이었다.

카트리나로	카트리나/NNP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사망자는	사망자/NNG+는/JX
1200여명이었다.	1200/SN+여/XSN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.271.14.4
그런데 2008년 미얀마 남부의 대도시 양곤을 강타해 10만명 이상을 숨지게 한 사이클론 나르기스는 4등급이었다.

그런데	그런데/MAJ
2008년	2008/SN+년/NNB
미얀마	미얀마/NNP
남부의	남부/NNG+의/JKG
대도시	대/XPN+도시/NNG
양곤을	양곤/NNP+을/JKO
강타해	강타/NNG+하/XSV+아/EC
10만명	10/SN+만/NR+명/NNB
이상을	이상/NNG+을/JKO
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
사이클론	사이클론/NNG
나르기스는	나르기스/NNG+는/JX
4등급이었다.	4/SN+등급/NNG+이/VCP+었/EP+다/EF+./SF


