# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.109
metadata : {}


# id : NWRW1800000028.109.1.1
3면/영상 은폐 누가

3면/영상	3/SN+면/NNG+//SP+영상/NNG
동영상	동영상/NNG
편집이나	편집/NNG+이나/JC
자료	자료/NNG
공개를	공개/NNG+를/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
과정에서	과정/NNG+에서/JKB
군	군/NNG
외부의	외부/NNG+의/JKG
개입은	개입/NNG+은/JX
없었다는	없/VA+었/EP+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.109.4.1
하지만 군의 설명을 사실로 받아들이더라도 초기 동영상을 빠뜨린 것은 “(천안함 사고 원인에 대해) 가감없이 진상을 공개하라”는 이명박 대통령의 지시와도 어긋난다.

하지만	하지만/MAJ
군의	군/NNG+의/JKG
설명을	설명/NNG+을/JKO
사실로	사실/NNG+로/JKB
받아들이더라도	받아들이/VV+더라도/EC
초기	초기/NNG
동영상을	동영상/NNG+을/JKO
빠뜨린	빠뜨리/VV+ㄴ/ETM
것은	것/NNB+은/JX
“(천안함	“/SS+(/SS+천안함/NNP
사고	사고/NNG
원인에	원인/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
가감없이	가감/NNG+없이/MAG
진상을	진상/NNG+을/JKO
공개하라”는	공개/NNG+하/XSV+라/EF+”/SS+는/ETM
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
지시와도	지시/NNG+와/JKB+도/JX
어긋난다.	어긋나/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.109.4.2
초기 동영상의 뒤늦은 공개는 군이 정확한 정보를 청와대에 보고하고 있는지에 대해서조차 근본적인 물음을 던지고 있다.

초기	초기/NNG
동영상의	동영상/NNG+의/JKG
뒤늦은	뒤늦/VA+은/ETM
공개는	공개/NNG+는/JX
군이	군/NNG+이/JKS
정확한	정확/NNG+하/XSA+ㄴ/ETM
정보를	정보/NNG+를/JKO
청와대에	청와대/NNP+에/JKB
보고하고	보고/NNG+하/XSV+고/EC
있는지에	있/VX+는지/EF+에/JKB
대해서조차	대하/VV+아서/EC+조차/JX
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
물음을	물음/NNG+을/JKO
던지고	던지/VV+고/EC
있다.	있/VX+다/EF+./SF


