# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.267
metadata : {}


# id : NWRW1800000049.267.1.1
[박제균의 휴먼정치]새누리당 문제의 뿌리는 不姙이다

[박제균의	[/SS+박제균/NNP+의/JKG
하긴	하/VV+기/ETN+ㄴ/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.267.6.4
보수정당이 하나니까 꿈도 다른 언어로 꿀 것 같은, 도저히 섞일 수 없는 사람들이 한 그릇에 들어가 지지고 볶으며 ‘잡탕 정당’ 소리를 듣는다.

보수정당이	보수/NNG+정당/NNG+이/JKS
하나니까	하나/NR+이/VCP+니까/EC
꿈도	꿈/NNG+도/JX
다른	다르/VA+ㄴ/ETM
언어로	언어/NNG+로/JKB
꿀	꾸/VV+ㄹ/ETM
것	것/NNB
같은,	같/VA+은/ETM+,/SP
도저히	도저히/MAG
섞일	섞이/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
한	한/MMN
그릇에	그릇/NNG+에/JKB
들어가	들어가/VV+아/EC
지지고	지지/VV+고/EC
볶으며	볶/VV+으며/EC
‘잡탕	‘/SS+잡탕/NNG
정당’	정당/NNG+’/SS
소리를	소리/NNG+를/JKO
듣는다.	듣/VV+는다/EF+./SF


# id : NWRW1800000049.267.7.1
한 가지 반찬만 골라야 하는 보수성향 유권자도 지쳤다.

한	한/MMN
가지	가지/NNB
반찬만	반찬/NNG+만/JX
골라야	고르/VV+아야/EC
하는	하/VX+는/ETM
보수성향	보수/NNG+성향/NNG
유권자도	유권자/NNG+도/JX
지쳤다.	지치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.267.7.2
지난 총선에서 국민의당이 수도권 지역구에서 15%의 득표율을 올리고 비례대표 13석을 차지한 것도 보수 유권자가 고를 수 있는 ‘유사 보수’ 반찬이었기 때문이다.

지난	지나/VV+ㄴ/ETM
총선에서	총선/NNG+에서/JKB
국민의당이	국민의당/NNP+이/JKS
수도권	수도/NNG+권/XSN
지역구에서	지역구/NNG+에서/JKB
15%의	15/SN+%/SW+의/JKG
득표율을	득표/NNG+율/XSN+을/JKO
올리고	올리/VV+고/EC
비례대표	비례/NNG+대표/NNG
13석을	13/SN+석/NNB+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
보수	보수/NNG
유권자가	유권자/NNG+가/JKS
고를	고르/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘유사	‘/SS+유사/NNG
보수’	보수/NNG+’/SS
반찬이었기	반찬/NNG+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.267.7.3
야권은 분당(分黨)하면서 오히려 정치가 정상화되는 형국이다.

야권은	야권/NNG+은/JX
분당(分黨)하면서	분당/NNG+(/SS+分黨/SH+)/SS+하/XSV+면서/EC
오히려	오히려/MAG
정치가	정치/NNG+가/JKS
정상화되는	정상/NNG+화/XSN+되/XSV+는/ETM
형국이다.	형국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.267.7.4
제3당인 국민의당이 캐스팅보트를 쥐게 된 것은 대화와 타협을 증진한다는 면에서 바람직하다.

제3당인	제/XPN+3/SN+당/NNG+이/VCP+ㄴ/ETM
국민의당이	국민의당/NNP+이/JKS
캐스팅보트를	캐스팅/NNG+보트/NNG+를/JKO
쥐게	쥐/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
대화와	대화/NNG+와/JC
타협을	타협/NNG+을/JKO
증진한다는	증진/NNG+하/XSV+ㄴ다는/ETM
면에서	면/NNG+에서/JKB
바람직하다.	바람직하/VA+다/EF+./SF


# id : NWRW1800000049.267.7.5
탈당 사태 이후 남은 친노·운동권 세력은 위기감 때문에 김종인 대표를 영입해 적어도 겉으로는 변화의 몸짓을 보인다.

탈당	탈당/NNG
사태	사태/NNG
이후	이후/NNG
남은	남/VV+은/ETM
친노·운동권	친/XPN+노/NNP+·/SP+운동/NNG+권/XSN
세력은	세력/NNG+은/JX
위기감	위기감/NNG
때문에	때문/NNB+에/JKB
김종인	김종인/NNP
대표를	대표/NNG+를/JKO
영입해	영입/NNG+하/XSV+아/EC
적어도	적어도/MAG
겉으로는	겉/NNG+으로/JKB+는/JX
변화의	변화/NNG+의/JKG
몸짓을	몸짓/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.267.8.1
보수정당은 50년 같아야 하나

보수정당은	보수/NNG+정당/NNG+은/JX
50년	50/SN+년/NNB
같아야	같/VA+아야/EC
하나	하/VX+나/EF


# id : NWRW1800000049.267.9.1
보수라고 못할 일인가.

보수라고	보수/NNG+이/VCP+라고/EC
못할	못/MAG+하/VV+ㄹ/ETM
일인가.	일/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000049.267.9.2
같은 하늘을 이고 살 수 없는 사람들이라면 갈라서서 서로 다른 정체성으로 경쟁하면 된다.

같은	같/VA+은/ETM
하늘을	하늘/NNG+을/JKO
이고	이/VV+고/EC
살	살/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사람들이라면	사람/NNG+들/XSN+이/VCP+라면/EC
갈라서서	갈라서/VV+어서/EC
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
정체성으로	정체/NNG+성/XSN+으로/JKB
경쟁하면	경쟁/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.267.9.3
내년 대선을 앞두고 반기문 유엔 사무총장을 영입하든, 자체 후보를 세우든 각각의 대선후보를 만들어보라.

내년	내년/NNG
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
반기문	반기문/NNP
유엔	유엔/NNP
사무총장을	사무총장/NNG+을/JKO
영입하든,	영입/NNG+하/XSV+든/EC+,/SP
자체	자체/NNG
후보를	후보/NNG+를/JKO
세우든	세우/VV+든/EC
각각의	각각/NNG+의/JKG
대선후보를	대선/NNG+후보/NNG+를/JKO
만들어보라.	만들/VV+어/EC+보/VX+라/EF+./SF


# id : NWRW1800000049.267.9.4
필요하다면 대선을 앞두고 보수후보 단일화를 할 수도 있다.

필요하다면	필요/NNG+하/XSA+다면/EC
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
보수후보	보수/NNG+후보/NNG
단일화를	단일/NNG+화/XSN+를/JKO
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.267.9.5
우파 또는 좌파 정당들이 힘을 합쳐 집권한 후 연정을 하는 것은 유럽에서도 흔히 있는 일이다.

우파	우파/NNG
또는	또는/MAG
좌파	좌파/NNG
정당들이	정당/NNG+들/XSN+이/JKS
힘을	힘/NNG+을/JKO
합쳐	합치/VV+어/EC
집권한	집권/NNG+하/XSV+ㄴ/ETM
후	후/NNG
연정을	연정/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
유럽에서도	유럽/NNP+에서/JKB+도/JX
흔히	흔히/MAG
있는	있/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.267.9.6
30년 된 ‘87년 체제’는 수명을 다했다.

30년	30/SN+년/NNB
된	되/VV+ㄴ/ETM
‘87년	‘/SS+87/SN+년/NNB
체제’는	체제/NNG+’/SS+는/JX
수명을	수명/NNG+을/JKO
다했다.	다/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.267.9.7
개헌이 어렵다면 정계개편을 통해서라도 정치의 판을 확 바꿀 필요가 있다.

개헌이	개헌/NNG+이/JKS
어렵다면	어렵/VA+다면/EC
정계개편을	정계/NNG+개편/NNG+을/JKO
통해서라도	통하/VV+아서/EC+라도/JX
정치의	정치/NNG+의/JKG
판을	판/NNG+을/JKO
확	확/MAG
바꿀	바꾸/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.267.9.8
그만큼 한국정치는 골병들었다.

그만큼	그만큼/NNG
한국정치는	한국/NNP+정치/NNG+는/JX
골병들었다.	골병들/VV+었/EP+다/EF+./SF


