# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.190
metadata : {}


# id : NWRW1800000041.190.1.1
“대주주 유진기업이 약속 깨고 독식” 나눔로또 컨소시엄 소송-탄원 사태

“대주주	“/SS+대/XPN+주주/NNG
통합	통합/NNG
운영하는	운영/NNG+하/XSV+는/ETM
‘나눔로또	‘/SS+나눔로또/NNP
사업	사업/NNG
컨소시엄’에	컨소시엄/NNG+’/SS+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
주주회사들이	주주/NNG+회사/NNG+들/XSN+이/JKS
나눔로또의	나눔로또/NNP+의/JKG
약속	약속/NNG
파기로	파기/NNG+로/JKB
피해를	피해/NNG+를/JKO
봤다며	보/VV+았/EP+다며/EC
법원에	법원/NNG+에/JKB
소송을	소송/NNG+을/JKO
제기하거나	제기/NNG+하/XSV+거나/EC
정부에	정부/NNG+에/JKB
탄원서를	탄원서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.190.3.2
이와 관련해 나눔로또의 최대 주주인 유진기업이 사업권을 따낸 뒤 중소 주주회사들의 이익을 외면하고 있다는 지적이 나온다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
나눔로또의	나눔로또/NNP+의/JKG
최대	최대/NNG
주주인	주주/NNG+이/VCP+ㄴ/ETM
유진기업이	유진기업/NNP+이/JKS
사업권을	사업/NNG+권/XSN+을/JKO
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
중소	중소/NNG
주주회사들의	주주/NNG+회사/NNG+들/XSN+의/JKG
이익을	이익/NNG+을/JKO
외면하고	외면/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.190.4.1
11일 기획재정부 복권위원회에 따르면 나눔로또 컨소시엄에 참여한 SG&G는 지난해 12월 ‘나눔로또가 전자복권사업 운영과 마케팅업무를 SG&G 측에 맡기겠다는 취지로 작성한 약정서를 이행하지 않아 손해가 발생했다’며 나눔로또를 상대로 38억 원 규모의 손해배상 청구소송을 서울중앙지법에 냈다.

11일	11/SN+일/NNB
기획재정부	기획/NNG+재정부/NNG
복권위원회에	복권/NNG+위원회/NNG+에/JKB
따르면	따르/VV+면/EC
나눔로또	나눔로또/NNP
컨소시엄에	컨소시엄/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
SG&G는	SG/SL+&/SW+G/SL+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
‘나눔로또가	‘/SS+나눔로또/NNP+가/JKS
전자복권사업	전자/NNG+복권/NNG+사업/NNG
운영과	운영/NNG+과/JC
마케팅업무를	마케팅/NNG+업무/NNG+를/JKO
SG&G	SG/SL+&/SW+G/SL
측에	측/NNB+에/JKB
맡기겠다는	맡기/VV+겠/EP+다는/ETM
취지로	취지/NNG+로/JKB
작성한	작성/NNG+하/XSV+ㄴ/ETM
약정서를	약정서/NNG+를/JKO
이행하지	이행/NNG+하/XSV+지/EC
않아	않/VX+아/EC
손해가	손해/NNG+가/JKS
발생했다’며	발생/NNG+하/XSV+았/EP+다/EF+’/SS+며/EC
나눔로또를	나눔로또/NNP+를/JKO
상대로	상대/NNG+로/JKB
38억	38/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
손해배상	손해/NNG+배상/NNG
청구소송을	청구/NNG+소송/NNG+을/JKO
서울중앙지법에	서울중앙지법/NNP+에/JKB
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.190.5.1
나눔로또 컨소시엄에는 유진기업(49.3%) 대우정보시스템(10%) 농협(10%) 윈디플랜(10%) SG&G(3.3%) 삼성출판사(3.3%) 빅솔론(3%) 등이 참여했다.

나눔로또	나눔로또/NNP
컨소시엄에는	컨소시엄/NNG+에/JKB+는/JX
유진기업(49.3%)	유진기업/NNP+(/SS+49/SN+./SP+3/SN+%/SW+)/SS
대우정보시스템(10%)	대우정보시스템/NNP+(/SS+10/SN+%/SW+)/SS
농협(10%)	농협/NNP+(/SS+10/SN+%/SW+)/SS
윈디플랜(10%)	윈디플랜/NNP+(/SS+10/SN+%/SW+)/SS
SG&G(3.3%)	SG/SL+&/SW+G/SL+(/SS+3/SN+./SP+3/SN+%/SW+)/SS
삼성출판사(3.3%)	삼성출판사/NNP+(/SS+3/SN+./SP+3/SN+%/SW+)/SS
빅솔론(3%)	빅솔론/NNP+(/SS+3/SN+%/SW+)/SS
등이	등/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.190.5.2
이 컨소시엄은 지난해 9월 1000점 만점을 기준으로 진행된 통합복권 수탁사업자 선정 입찰 당시 불과 4.806점 차로 경쟁사인 연합복권 컨소시엄을 이겼다.

이	이/MMD
컨소시엄은	컨소시엄/NNG+은/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
1000점	1000/SN+점/NNB
만점을	만점/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
통합복권	통합/NNG+복권/NNG
수탁사업자	수탁/NNG+사업자/NNG
선정	선정/NNG
입찰	입찰/NNG
당시	당시/NNG
불과	불과/MAG
4.806점	4/SN+./SP+806/SN+점/NNB
차로	차/NNG+로/JKB
경쟁사인	경쟁사/NNG+이/VCP+ㄴ/ETM
연합복권	연합복권/NNP
컨소시엄을	컨소시엄/NNG+을/JKO
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.190.6.1
나눔로또 주주회사들은 사업자 선정에 앞서 나눔로또 측과 복권 관련 업무를 나눠 담당하고, 주주사들이 인력을 사업에 투입하기로 하는 등의 약속을 확약서 또는 약정서의 형태로 체결했지만 나눔로또가 사업권을 따낸 뒤 약속을 이행하지 않고 있다고 비판하고 있다.

나눔로또	나눔로또/NNP
주주회사들은	주주/NNG+회사/NNG+들/XSN+은/JX
사업자	사업자/NNG
선정에	선정/NNG+에/JKB
앞서	앞서/VV+어/EC
측과	측/NNB+과/JKB
복권	복권/NNG
관련	관련/NNG
업무를	업무/NNG+를/JKO
나눠	나누/VV+어/EC
담당하고,	담당/NNG+하/XSV+고/EC+,/SP
주주사들이	주주사/NNG+들/XSN+이/JKS
인력을	인력/NNG+을/JKO
사업에	사업/NNG+에/JKB
투입하기로	투입/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
등의	등/NNB+의/JKG
약속을	약속/NNG+을/JKO
확약서	확약서/NNG
또는	또는/MAG
약정서의	약정서/NNG+의/JKG
형태로	형태/NNG+로/JKB
체결했지만	체결/NNG+하/XSV+았/EP+지만/EC
나눔로또가	나눔로또/NNP+가/JKS
사업권을	사업/NNG+권/XSN+을/JKO
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
이행하지	이행/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
비판하고	비판/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.190.6.2
컨소시엄을 구성한 주주사들 덕분에 근소한 차로 사업권을 따냈으면서도 업무를 나누려 하지 않는다는 것이다.

컨소시엄을	컨소시엄/NNG+을/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
주주사들	주주사/NNG+들/XSN
덕분에	덕분/NNG+에/JKB
근소한	근소하/VA+ㄴ/ETM
차로	차/NNG+로/JKB
사업권을	사업/NNG+권/XSN+을/JKO
따냈으면서도	따/VV+아/EC+내/VX+었/EP+으면서/EC+도/JX
업무를	업무/NNG+를/JKO
나누려	나누/VV+려/EC
하지	하/VX+지/EC
않는다는	않/VX+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.190.7.1
SG&G가 나눔로또와 체결한 약정서에서는 ‘나눔로또가 사업자로 선정되면 SG&G가 전자복권사업 운영과 마케팅 업무를 담당하고 SG&G 측이 보유하고 있던 기존 회원을 나눔로또가 인수한다’는 내용이 담겨 있다.

SG&G가	SG/SL+&/SW+G/SL+가/JKS
나눔로또와	나눔로또/NNP+와/JKB
체결한	체결/NNG+하/XSV+ㄴ/ETM
약정서에서는	약정서/NNG+에서/JKB+는/JX
‘나눔로또가	‘/SS+나눔로또/NNP+가/JKS
사업자로	사업자/NNG+로/JKB
선정되면	선정/NNG+되/XSV+면/EC
전자복권사업	전자/NNG+복권/NNG+사업/NNG
운영과	운영/NNG+과/JC
마케팅	마케팅/NNG
업무를	업무/NNG+를/JKO
담당하고	담당/NNG+하/XSV+고/EC
SG&G	SG/SL+&/SW+G/SL
측이	측/NNB+이/JKS
보유하고	보유/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
기존	기존/NNG
회원을	회원/NNG+을/JKO
나눔로또가	나눔로또/NNP+가/JKS
인수한다’는	인수/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.190.7.2
나눔로또는 사업자 선정 후 전자복권 운영업무를 SG&G에 내줄 수 없다고 통보하는 한편 SG&G가 보유한 마케팅용 회원 리스트 인수가격을 시장가격보다 턱없이 낮게 제시했다고 SG&G는 지적했다.

나눔로또는	나눔로또/NNP+는/JX
사업자	사업자/NNG
선정	선정/NNG
후	후/NNG
전자복권	전자/NNG+복권/NNG
운영업무를	운영/NNG+업무/NNG+를/JKO
SG&G에	SG/SL+&/SW+G/SL+에/JKB
내줄	내주/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
통보하는	통보/NNG+하/XSV+는/ETM
한편	한편/NNG
SG&G가	SG/SL+&/SW+G/SL+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
마케팅용	마케팅/NNG+용/XSN
회원	회원/NNG
리스트	리스트/NNG
인수가격을	인수/NNG+가격/NNG+을/JKO
시장가격보다	시장/NNG+가격/NNG+보다/JKB
턱없이	턱없이/MAG
낮게	낮/VA+게/EC
제시했다고	제시/NNG+하/XSV+았/EP+다고/EC
SG&G는	SG/SL+&/SW+G/SL+는/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.190.7.3
이에 대해 나눔로또 최대주주인 유진기업 관계자는 “나눔로또가 통합복권사업을 직영하도록 돼 있어 SG&G 측에 일을 떼어줄 수가 없었다”고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
나눔로또	나눔로또/NNP
최대주주인	최대/NNG+주주/NNG+이/VCP+ㄴ/ETM
유진기업	유진기업/NNP
관계자는	관계자/NNG+는/JX
“나눔로또가	“/SS+나눔로또/NNP+가/JKS
통합복권사업을	통합/NNG+복권/NNG+사업/NNG+을/JKO
직영하도록	직영/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있어	있/VX+어/EC
SG&G	SG/SL+&/SW+G/SL
측에	측/NNB+에/JKB
일을	일/NNG+을/JKO
떼어줄	떼/VV+어/EC+주/VX+ㄹ/ETM
수가	수/NNB+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.190.8.1
다른 주주사인 윈디플랜은 지난해 8월 복권사업 솔루션 유지보수 업무를 맡을 뿐 아니라 단말기 납품을 총괄하기로 하는 확약서를 나눔로또와 체결했다.

다른	다른/MMD
주주사인	주주사/NNG+이/VCP+ㄴ/ETM
윈디플랜은	윈디플랜/NNP+은/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
복권사업	복권/NNG+사업/NNG
솔루션	솔루션/NNG
유지보수	유지/NNG+보수/NNG
업무를	업무/NNG+를/JKO
맡을	맡/VV+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
단말기	단말기/NNG
납품을	납품/NNG+을/JKO
총괄하기로	총괄/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
확약서를	확약서/NNG+를/JKO
나눔로또와	나눔로또/NNP+와/JKB
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.190.8.2
윈디플랜이 전산인력 8명을 투입하고 행정인력 4명을 추천해 채용토록 하는 내용도 확약서에 포함돼 있다.

윈디플랜이	윈디플랜/NNP+이/JKS
전산인력	전산/NNG+인력/NNG
8명을	8/SN+명/NNB+을/JKO
투입하고	투입/NNG+하/XSV+고/EC
행정인력	행정/NNG+인력/NNG
4명을	4/SN+명/NNB+을/JKO
추천해	추천/NNG+하/XSV+아/EC
채용토록	채용/NNG+하/XSV+도록/EC
하는	하/VV+는/ETM
내용도	내용/NNG+도/JX
확약서에	확약서/NNG+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.190.8.3
이후 확약서가 전혀 이행되지 않자 윈디플랜 측은 현오석 부총리 겸 기획재정부 장관에게 ‘나눔로또 측이 주주사들과 (확약서 내용을 반영한) 운영계약 체결을 지연해 통합복권사업의 안정성이 우려되고 윈디플랜은 심각한 경영 위기를 겪고 있다’는 내용의 탄원서를 냈다.

이후	이후/NNG
확약서가	확약서/NNG+가/JKS
전혀	전혀/MAG
이행되지	이행/NNG+되/XSV+지/EC
않자	않/VX+자/EC
윈디플랜	윈디플랜/NNP
측은	측/NNB+은/JX
현오석	현오석/NNP
부총리	부총리/NNG
겸	겸/NNB
기획재정부	기획/NNG+재정부/NNG
장관에게	장관/NNG+에게/JKB
‘나눔로또	‘/SS+나눔로또/NNP
측이	측/NNB+이/JKS
주주사들과	주주사/NNG+들/XSN+과/JC
(확약서	(/SS+확약서/NNG
내용을	내용/NNG+을/JKO
반영한)	반영/NNG+하/XSV+ㄴ/ETM+)/SS
운영계약	운영/NNG+계약/NNG
체결을	체결/NNG+을/JKO
지연해	지연/NNG+하/XSV+아/EC
통합복권사업의	통합/NNG+복권/NNG+사업/NNG+의/JKG
안정성이	안정/NNG+성/XSN+이/JKS
우려되고	우려/NNG+되/XSV+고/EC
윈디플랜은	윈디플랜/NNP+은/JX
심각한	심각하/VA+ㄴ/ETM
경영	경영/NNG
위기를	위기/NNG+를/JKO
겪고	겪/VV+고/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
내용의	내용/NNG+의/JKG
탄원서를	탄원서/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.190.9.1
5년 기한의 사업자 선정 후 6개월이 지난 지금까지 나눔로또 내부에서 극심한 혼선이 빚어지고 있지만 기재부 복권위는 별다른 조치를 취하지 않고 있다.

5년	5/SN+년/NNB
기한의	기한/NNG+의/JKG
사업자	사업자/NNG
선정	선정/NNG
후	후/NNG
6개월이	6/SN+개월/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
지금까지	지금/NNG+까지/JX
나눔로또	나눔로또/NNP
내부에서	내부/NNG+에서/JKB
극심한	극심하/VA+ㄴ/ETM
혼선이	혼선/NNG+이/JKS
빚어지고	빚어지/VV+고/EC
있지만	있/VX+지만/EC
기재부	기재부/NNG
복권위는	복권위/NNG+는/JX
별다른	별다르/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
취하지	취하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.190.9.2
복권위 측은 “SG&G 측이 낸 소송의 결과를 보고 컨소시엄의 주주 구성을 바꾸는 문제 등을 종합적으로 검토하겠다”고만 밝히고 있다.

복권위	복권위/NNG
측은	측/NNB+은/JX
“SG&G	“/SS+SG/SL+&/SW+G/SL
측이	측/NNB+이/JKS
낸	내/VV+ㄴ/ETM
소송의	소송/NNG+의/JKG
결과를	결과/NNG+를/JKO
보고	보/VV+고/EC
컨소시엄의	컨소시엄/NNG+의/JKG
주주	주주/NNG
구성을	구성/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
문제	문제/NNG
등을	등/NNB+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
검토하겠다”고만	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ+만/JX
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.190.10.1
이에 대해 유진기업 외의 주주사들은 “복권위가 SG&G, 윈디플랜 등이 나눔로또와 체결한 확약서나 약정서의 법적 효력에 대해 유권해석을 내리지 않는 등 제대로 된 조정역할을 하지 않아 사업이 표류하고 있다”고 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
유진기업	유진기업/NNP
외의	외/NNB+의/JKG
주주사들은	주주사/NNG+들/XSN+은/JX
“복권위가	“/SS+복권위/NNG+가/JKS
SG&G,	SG/SL+&/SW+G/SL+,/SP
윈디플랜	윈디플랜/NNP
등이	등/NNB+이/JKS
나눔로또와	나눔로또/NNP+와/JKB
체결한	체결/NNG+하/XSV+ㄴ/ETM
확약서나	확약서/NNG+나/JC
약정서의	약정서/NNG+의/JKG
법적	법/NNG+적/XSN
효력에	효력/NNG+에/JKB
유권해석을	유권/NNG+해석/NNG+을/JKO
내리지	내리/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
조정역할을	조정/NNG+역할/NNG+을/JKO
하지	하/VV+지/EC
않아	않/VX+아/EC
사업이	사업/NNG+이/JKS
표류하고	표류/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


