# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.328
metadata : {}


# id : NWRW1800000028.328.1.1
북지원 쌀 내달 25일 출항

북지원	북/NNP+지원/NNG
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.328.4.2
정부는 애초 긴급구호품 단가의 15% 정도인 운송비를 포함해 120억~130억원 정도를 남북협력기금에서 지원할 예정이었으나, 쌀값의 일부인 50여억원은 농림수산식품부의 양곡특별회계에서 충당하기로 했다.

정부는	정부/NNG+는/JX
애초	애초/NNG
긴급구호품	긴급/NNG+구호품/NNG
단가의	단가/NNG+의/JKG
15%	15/SN+%/SW
정도인	정도/NNG+이/VCP+ㄴ/ETM
운송비를	운송비/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
120억~130억원	120/SN+억/NR+~/SO+130/SN+억/NR+원/NNB
정도를	정도/NNG+를/JKO
남북협력기금에서	남북협력기금/NNP+에서/JKB
지원할	지원/NNG+하/XSV+ㄹ/ETM
예정이었으나,	예정/NNG+이/VCP+었/EP+으나/EC+,/SP
쌀값의	쌀값/NNG+의/JKG
일부인	일부/NNG+이/VCP+ㄴ/ETM
50여억원은	50/SN+여/XSN+억/NR+원/NNB+은/JX
농림수산식품부의	농림/NNG+수산/NNG+식품부/NNG+의/JKG
양곡특별회계에서	양곡/NNG+특별/NNG+회계/NNG+에서/JKB
충당하기로	충당/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.328.4.3
통일부 당국자는 “북쪽에 전달하는 2007년도 국내산 쌀의 정부관리 양곡 판매 고시가격이 1t당 154만원이지만, 협력기금에선 그보다 낮은 국제 쌀가격을 기준으로 지원하고 그 차액을 양곡특별회계에서 충당한다”고 말했다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
“북쪽에	“/SS+북쪽/NNG+에/JKB
전달하는	전달/NNG+하/XSV+는/ETM
2007년도	2007/SN+년도/NNB
국내산	국내/NNG+산/XSN
쌀의	쌀/NNG+의/JKG
정부관리	정부/NNG+관리/NNG
양곡	양곡/NNG
판매	판매/NNG
고시가격이	고시/NNG+가격/NNG+이/JKS
1t당	1/SN+t/SW+당/XSN
154만원이지만,	154/SN+만/NR+원/NNB+이/VCP+지만/EC+,/SP
협력기금에선	협력/NNG+기금/NNG+에서/JKB+ㄴ/JX
그보다	그/NP+보다/JKB
낮은	낮/VA+은/ETM
국제	국제/NNG
쌀가격을	쌀/NNG+가격/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
지원하고	지원/NNG+하/XSV+고/EC
그	그/MMD
차액을	차액/NNG+을/JKO
양곡특별회계에서	양곡/NNG+특별/NNG+회계/NNG+에서/JKB
충당한다”고	충당/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


