# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.194
metadata : {}


# id : NWRW1800000056.194.1.1
검찰, 박근혜 조사준비 박차…질문 수백개 이를듯

검찰,	검찰/NNG+,/SP
내용을	내용/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
질문지	질문지/NNG
초안을	초안/NNG+을/JKO
만들어	만들/VV+어/EC
검토	검토/NNG
작업에	작업/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.194.6.2
박 전 대통령에게 적용된 범죄 혐의만 13개에 달해 질문이 수백 개에 이를 것으로 보인다.

박	박/NNP
전	전/MMD
대통령에게	대통령/NNG+에게/JKB
적용된	적용/NNG+되/XSV+ㄴ/ETM
범죄	범죄/NNG
혐의만	혐의/NNG+만/JX
13개에	13/SN+개/NNB+에/JKB
달해	달하/VV+아/EC
질문이	질문/NNG+이/JKS
수백	수백/NR
개에	개/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.194.6.3
2009년 노무현 전 대통령 조사 때 검찰은 300개의 질문을 준비했다.

2009년	2009/SN+년/NNB
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
조사	조사/NNG
때	때/NNG
검찰은	검찰/NNG+은/JX
300개의	300/SN+개/NNB+의/JKG
질문을	질문/NNG+을/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.194.7.1
검찰은 박 전 대통령의 답변 태도를 예상해, 여러 조사 시나리오를 준비하는 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
답변	답변/NNG
태도를	태도/NNG+를/JKO
예상해,	예상/NNG+하/XSV+아/EC+,/SP
여러	여러/MMN
조사	조사/NNG
시나리오를	시나리오/NNG+를/JKO
준비하는	준비/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.194.7.2
박 전 대통령이 혐의를 전면 부인할 경우 이재용 삼성 부회장이나 최순실씨 등과의 대질 조사 가능성도 거론된다.

박	박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
혐의를	혐의/NNG+를/JKO
전면	전면/NNG
부인할	부인/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
이재용	이재용/NNP
삼성	삼성/NNP
부회장이나	부회장/NNG+이나/JC
최순실씨	최순실/NNP+씨/NNB
등과의	등/NNB+과/JKB+의/JKG
대질	대질/NNG
조사	조사/NNG
가능성도	가능/NNG+성/XSN+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.194.7.3
그러나 대질 조사는 양쪽 모두 동의를 해야 해 성사 가능성이 높지 않다.

그러나	그러나/MAJ
대질	대질/NNG
조사는	조사/NNG+는/JX
양쪽	양쪽/NNG
모두	모두/MAG
동의를	동의/NNG+를/JKO
해야	하/VV+아야/EC
해	하/VX+아/EC
성사	성사/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높지	높/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000056.194.7.4
검찰 관계자는 “대질 조사와 관련해 아직 정해진 게 없다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“대질	“/SS+대질/NNG
조사와	조사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
아직	아직/MAG
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
게	거/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.194.8.1
실제 조사를 맡을 검사는 아직 공개되지 않았다.

실제	실제/NNG
조사를	조사/NNG+를/JKO
맡을	맡/VV+을/ETM
검사는	검사/NNG+는/JX
아직	아직/MAG
공개되지	공개/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.194.8.2
지난해 특수본 수사 때 박 전 대통령 관련 수사를 한 한웅재 형사8부장과 삼성 등 기업 수사를 한 이원석 특수1부장이 거론된다.

지난해	지난해/NNG
특수본	특수본/NNG
수사	수사/NNG
때	때/NNG
박	박/NNP
전	전/MMD
대통령	대통령/NNG
관련	관련/NNG
수사를	수사/NNG+를/JKO
한	하/VV+ㄴ/ETM
한웅재	한웅재/NNP
형사8부장과	형사/NNG+8/SN+부장/NNG+과/JC
삼성	삼성/NNP
등	등/NNB
기업	기업/NNG
이원석	이원석/NNP
특수1부장이	특수/NNG+1/SN+부장/NNG+이/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.194.8.3
영상녹화조사실에서 조사가 이뤄질 경우 폐회로텔레비전(CCTV)을 통해 노승권 1차장과 이영렬 서울중앙지검장 등이 조사 상황을 실시간으로 지켜볼 것으로 알려졌다.

영상녹화조사실에서	영상/NNG+녹화/NNG+조사실/NNG+에서/JKB
조사가	조사/NNG+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
경우	경우/NNG
폐회로텔레비전(CCTV)을	폐회로/NNG+텔레비전/NNG+(/SS+CCTV/SL+)/SS+을/JKO
통해	통하/VV+아/EC
노승권	노승권/NNP
1차장과	1/SN+차장/NNG+과/JC
이영렬	이영렬/NNP
서울중앙지검장	서울중앙지검장/NNG
등이	등/NNB+이/JKS
조사	조사/NNG
상황을	상황/NNG+을/JKO
실시간으로	실시간/NNG+으로/JKB
지켜볼	지켜보/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.194.8.4
노 전 대통령 조사 때는 우병우 당시 중수1과장과 배석검사, 수사관 등 3명이 조사실에 들어갔고, 이인규 전 중수부장과 홍만표 전 수사기획관이 바깥에서 실시간으로 모니터링 했다.

노	노/NNP
전	전/MMD
대통령	대통령/NNG
조사	조사/NNG
때는	때/NNG+는/JX
우병우	우병우/NNP
당시	당시/NNG
중수1과장과	중수/NNG+1/SN+과장/NNG+과/JC
배석검사,	배석/NNG+검사/NNG+,/SP
수사관	수사관/NNG
등	등/NNB
3명이	3/SN+명/NNB+이/JKS
조사실에	조사실/NNG+에/JKB
들어갔고,	들어가/VV+았/EP+고/EC+,/SP
이인규	이인규/NNP
중수부장과	중수부장/NNG+과/JC
홍만표	홍만표/NNP
수사기획관이	수사/NNG+기획관/NNG+이/JKS
바깥에서	바깥/NNG+에서/JKB
실시간으로	실시간/NNG+으로/JKB
모니터링	모니터링/NNG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.194.9.1
조사 장소는 특수부가 있는 서울중앙지검 10층 영상녹화조사실이 유력한 것으로 알려졌다.

조사	조사/NNG
장소는	장소/NNG+는/JX
특수부가	특수부/NNG+가/JKS
있는	있/VA+는/ETM
서울중앙지검	서울중앙지검/NNP
10층	10/SN+층/NNG
영상녹화조사실이	영상/NNG+녹화/NNG+조사실/NNG+이/JKS
유력한	유력/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.194.9.2
복도에 추가 출입문 등이 있어 애초 거론된 7층 형사부 영상녹화조사실보다 경호상 더 안전하다는 점이 고려된 것으로 보인다.

복도에	복도/NNG+에/JKB
추가	추가/NNG
출입문	출입문/NNG
등이	등/NNB+이/JKS
있어	있/VA+어/EC
애초	애초/NNG
거론된	거론/NNG+되/XSV+ㄴ/ETM
7층	7/SN+층/NNG
형사부	형사부/NNG
영상녹화조사실보다	영상/NNG+녹화/NNG+조사실/NNG+보다/JKB
경호상	경호/NNG+상/XSN
더	더/MAG
안전하다는	안전/NNG+하/XSA+다는/ETM
점이	점/NNG+이/JKS
고려된	고려/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.194.9.3
박 전 대통령은 검찰 청사에 도착해 곧바로 조사실로 가지 않고 13층에 있는 노 차장 방이나 이 지검장 방에 들러 차를 한 잔 마신 뒤 이동할 예정이다.

박	박/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
검찰	검찰/NNG
청사에	청사/NNG+에/JKB
도착해	도착/NNG+하/XSV+아/EC
곧바로	곧바로/MAG
조사실로	조사실/NNG+로/JKB
가지	가/VV+지/EC
않고	않/VX+고/EC
13층에	13/SN+층/NNG+에/JKB
있는	있/VA+는/ETM
노	노/NNP
차장	차장/NNG
방이나	방/NNG+이나/JC
이	이/MMD
지검장	지검장/NNG
방에	방/NNG+에/JKB
들러	들르/VV+어/EC
차를	차/NNG+를/JKO
한	한/MMN
잔	잔/NNG
마신	마시/VV+ㄴ/ETM
뒤	뒤/NNG
이동할	이동/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.194.10.1
검찰은 공안부를 중심으로 전날부터 청와대 경호팀, 경찰 등과 경호 문제를 논의하고 있다.

검찰은	검찰/NNG+은/JX
공안부를	공안부/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
전날부터	전날/NNG+부터/JX
청와대	청와대/NNP
경호팀,	경호/NNG+팀/NNG+,/SP
경찰	경찰/NNG
등과	등/NNB+과/JKB
경호	경호/NNG
문제를	문제/NNG+를/JKO
논의하고	논의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.194.10.2
박 전 대통령은 검찰 조사를 받는 네 번째 전직 대통령이지만, 서울중앙지검에서 조사가 이뤄지는 것은 처음이다.

박	박/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받는	받/VV+는/ETM
네	네/MMN
번째	번/NNB+째/XSN
전직	전직/NNG
대통령이지만,	대통령/NNG+이/VCP+지만/EC+,/SP
서울중앙지검에서	서울중앙지검/NNP+에서/JKB
조사가	조사/NNG+가/JKS
이뤄지는	이뤄지/VV+는/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.194.10.3
박 전 대통령 지지 단체나 반대 단체 등이 청사 안팎에서 시위를 할 가능성도 있어 움직임을 예의 주시할 예정이다.

박	박/NNP
전	전/MMD
대통령	대통령/NNG
지지	지지/NNG
단체나	단체/NNG+나/JC
반대	반대/NNG
단체	단체/NNG
등이	등/NNB+이/JKS
청사	청사/NNG
안팎에서	안팎/NNG+에서/JKB
시위를	시위/NNG+를/JKO
할	하/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있어	있/VA+어/EC
움직임을	움직임/NNG+을/JKO
예의	예의/NNG
주시할	주시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.194.10.4
취재진도 각 언론사별로 출입 신청서를 받는 방식으로 통제한다.

취재진도	취재진/NNG+도/JX
각	각/MMD
언론사별로	언론사/NNG+별/XSN+로/JKB
출입	출입/NNG
신청서를	신청서/NNG+를/JKO
받는	받/VV+는/ETM
방식으로	방식/NNG+으로/JKB
통제한다.	통제/NNG+하/XSV+ㄴ다/EF+./SF


