# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.358
metadata : {}


# id : NWRW1800000026.358.1.1
'한국 인재' 채용하러 온 세계은행;인사담당 툴루이 부총재 방한

'한국	'/SS+한국/NNP
좋았다고	좋/VA+았/EP+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.358.5.1
현재 세계은행에서 일하는 한국인은 90여명이다.

현재	현재/MAG
세계은행에서	세계은행/NNP+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
한국인은	한국인/NNG+은/JX
90여명이다.	90/SN+여/XSN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.358.5.2
교육·민간개발·보건·금융 등 다양한 분야에서 활동하고 있다.

교육·민간개발·보건·금융	교육/NNG+·/SP+민간/NNG+개발/NNG+·/SP+보건/NNG+·/SP+금융/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.358.5.3
이번 공개 채용에서 세계은행은 한국인을 3명가량 채용할 계획이다.

이번	이번/NNG
공개	공개/NNG
채용에서	채용/NNG+에서/JKB
세계은행은	세계은행/NNP+은/JX
한국인을	한국인/NNG+을/JKO
3명가량	3/SN+명/NNB+가량/XSN
채용할	채용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.358.5.4
툴루이 부총재는 이번 방한 기간에 420명의 지원자 중 서류전형을 통과한 43명에 대한 면접을 실시할 계획이다.

툴루이	툴루이/NNP
부총재는	부총재/NNG+는/JX
이번	이번/NNG
방한	방한/NNG
기간에	기간/NNG+에/JKB
420명의	420/SN+명/NNB+의/JKG
지원자	지원자/NNG
중	중/NNB
서류전형을	서류/NNG+전형/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
43명에	43/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
면접을	면접/NNG+을/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.358.5.5
채용 여부는 빠르면 올해 안에 확정해 본인에게 통보할 예정이다.

채용	채용/NNG
여부는	여부/NNG+는/JX
빠르면	빠르/VA+면/EC
올해	올해/NNG
안에	안/NNG+에/JKB
확정해	확정/NNG+하/XSV+아/EC
본인에게	본인/NNG+에게/JKB
통보할	통보/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.358.6.1
툴루이 부총재는 "신규 채용자들은 워싱턴DC 본부나 각국에 있는 120여개 사무소에서 근무하게 된다"면서 "직원 급여 등 각종 업무 환경에 관한 한 전 세계에서 가장 경쟁력 있는 보상체계를 갖고 있다"고 소개했다.

툴루이	툴루이/NNP
부총재는	부총재/NNG+는/JX
"신규	"/SS+신규/NNG
채용자들은	채용자/NNG+들/XSN+은/JX
워싱턴DC	워싱턴/NNP+DC/SL
본부나	본부/NNG+나/JC
각국에	각국/NNG+에/JKB
있는	있/VA+는/ETM
120여개	120/SN+여/XSN+개/NNB
사무소에서	사무소/NNG+에서/JKB
근무하게	근무/NNG+하/XSV+게/EC
된다"면서	되/VV+ㄴ다/EF+"/SS+면서/EC
"직원	"/SS+직원/NNG
급여	급여/NNG
등	등/NNB
각종	각종/NNG
업무	업무/NNG
환경에	환경/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
한	한/NNG
전	전/MMN
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
경쟁력	경쟁력/NNG
보상체계를	보상/NNG+체계/NNG+를/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.358.7.1
세계은행은 '영프로페셔널프로그램(YPP)'과 '주니어프로페셔널어소시에이트(JPA)'도 운영하고 있다.

세계은행은	세계은행/NNP+은/JX
'영프로페셔널프로그램(YPP)'과	'/SS+영프로페셔널프로그램/NNG+(/SS+YPP/SL+)/SS+'/SS+과/JC
'주니어프로페셔널어소시에이트(JPA)'도	'/SS+주니어프로페셔널어소시에이트/NNG+(/SS+JPA/SL+)/SS+'/SS+도/JX
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.358.7.2
지원자격은 각각 최소 3년 이상 경력의 박사급과 28세 미만 학사 학위 소지자다.

지원자격은	지원/NNG+자격/NNG+은/JX
각각	각각/MAG
최소	최소/NNG
3년	3/SN+년/NNB
이상	이상/NNG
경력의	경력/NNG+의/JKG
박사급과	박사급/NNG+과/JC
28세	28/SN+세/NNB
미만	미만/NNG
학사	학사/NNG
학위	학위/NNG
소지자다.	소지자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.358.7.3
세부 채용정보는 세계은행 채용사이트(www.worldbank.org/jobs)를 참고하면 된다.

세부	세부/NNG
채용정보는	채용/NNG+정보/NNG+는/JX
세계은행	세계은행/NNP
채용사이트(www.worldbank.org/jobs)를	채용/NNG+사이트/NNG+(/SS+www/SL+./SP+worldbank/SL+./SP+org/SL+//SP+jobs/SL+)/SS+를/JKO
참고하면	참고/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.358.8.1
기획재정부 관계자는 "환경경제나 환경정책, 기후변화, 수자원관리 등을 전공했으면 유리하다"면서 "특히 금융회사에서 프로젝트 파이낸싱(project financing) 업무를 경험한 지원자를 선호하는 것으로 알고 있다"고 귀띔했다.

기획재정부	기획/NNG+재정부/NNG
관계자는	관계자/NNG+는/JX
"환경경제나	"/SS+환경/NNG+경제/NNG+나/JC
환경정책,	환경/NNG+정책/NNG+,/SP
기후변화,	기후/NNG+변화/NNG+,/SP
수자원관리	수자원/NNG+관리/NNG
등을	등/NNB+을/JKO
전공했으면	전공/NNG+하/XSV+았/EP+으면/EC
유리하다"면서	유리/NNG+하/XSA+다/EF+"/SS+면서/EC
"특히	"/SS+특히/MAG
금융회사에서	금융/NNG+회사/NNG+에서/JKB
프로젝트	프로젝트/NNG
파이낸싱(project	파이낸싱/NNG+(/SS+project/SL
financing)	financing/SL+)/SS
업무를	업무/NNG+를/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
지원자를	지원자/NNG+를/JKO
선호하는	선호/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


