# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.104
metadata : {}


# id : NWRW1800000022.104.1.1
노원구 17개 고교에 전담 과외교사 2~3명 배치

노원구	노원구/NNP
테마형	테마/NNG+형/XSN
교육센터다.	교육/NNG+센터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.104.3.4
저소득층 고등학생 187명은 대학생 멘토링 사업을 통해 방과 후 학습 지도를 받을 수 있게 된다.

저소득층	저/XPN+소득/NNG+층/XSN
고등학생	고등학생/NNG
187명은	187/SN+명/NNB+은/JX
대학생	대학/NNG+생/XSN
멘토링	멘토링/NNG
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
방과	방과/NNG
후	후/NNG
학습	학습/NNG
지도를	지도/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.104.4.1
올 초부터 구에서 실시하고 있는 원어민 영어 화상학습의 경우 1일 3000명이 이용하고 있으며, 28개 중·고교에 1학교 1독서실을 운영해 한해 40억원을 절감하고 있다고 구는 밝혔다.

올	올/NNG
초부터	초/NNB+부터/JX
구에서	구/NNG+에서/JKB
실시하고	실시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
원어민	원어민/NNG
영어	영어/NNP
화상학습의	화상/NNG+학습/NNG+의/JKG
경우	경우/NNG
1일	1/SN+일/NNB
3000명이	3000/SN+명/NNB+이/JKS
이용하고	이용/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
28개	28/SN+개/NNB
중·고교에	중·고교/NNG+에/JKB
1학교	1/SN+학교/NNG
1독서실을	1/SN+독서실/NNG+을/JKO
운영해	운영/NNG+하/XSV+아/EC
한해	한/MMN+해/NNB
40억원을	40/SN+억/NR+원/NNB+을/JKO
절감하고	절감/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
구는	구/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


