# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.296
metadata : {}


# id : NWRW1800000045.296.1.1
[박경모 전문기자의 폰카시대]더 가깝게, 더 넓게

[박경모	[/SS+박경모/NNP
당길	당기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
거리의	거리/NNG+의/JKG
절반	절반/NNG
이하로	이하/NNG+로/JKB
당겨야	당기/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.296.6.3
최대 6∼8배 당길 수 있다면 3∼4배만 당겨야 좋다.

최대	최대/NNG
6∼8배	6/SN+∼/SO+8/SN+배/NNG
당길	당기/VV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
3∼4배만	3/SN+∼/SO+4/SN+배/NNG+만/JX
당겨야	당기/VV+어야/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000045.296.6.4
이때 가능하면 빛이 많은 곳에서 카메라를 견고하게 잡고 흔들리지 않게 해야 화질이 떨어지는 것을 방지할 수 있다.

이때	이때/NNG
가능하면	가능/NNG+하/XSA+면/EC
빛이	빛/NNG+이/JKS
많은	많/VA+은/ETM
곳에서	곳/NNG+에서/JKB
카메라를	카메라/NNG+를/JKO
견고하게	견고하/VA+게/EC
잡고	잡/VV+고/EC
흔들리지	흔들리/VV+지/EC
않게	않/VX+게/EC
해야	하/VX+아야/EC
화질이	화질/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
것을	것/NNB+을/JKO
방지할	방지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.296.7.1
광학 줌을 쓰는 디카는 여러 조합의 렌즈 동작으로 초점 거리를 늘리거나 줄여 영상을 확대 또는 축소하기 때문에 화질이 거의 떨어지지 않는다.

광학	광학/NNG
줌을	줌/NNG+을/JKO
쓰는	쓰/VV+는/ETM
디카는	디카/NNG+는/JX
여러	여러/MMN
조합의	조합/NNG+의/JKG
렌즈	렌즈/NNG
동작으로	동작/NNG+으로/JKB
초점	초점/NNG
거리를	거리/NNG+를/JKO
늘리거나	늘리/VV+거나/EC
줄여	줄이/VV+어/EC
영상을	영상/NNG+을/JKO
확대	확대/NNG
또는	또는/MAG
축소하기	축소/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
화질이	화질/NNG+이/JKS
거의	거의/MAG
떨어지지	떨어지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.296.7.2
망원경과 같은 원리로 물체를 당겨 보는 방식이어서 선명한 이미지를 얻을 수 있다.

망원경과	망원경/NNG+과/JKB
같은	같/VA+은/ETM
원리로	원리/NNG+로/JKB
물체를	물체/NNG+를/JKO
당겨	당기/VV+어/EC
보는	보/VX+는/ETM
방식이어서	방식/NNG+이/VCP+어서/EC
선명한	선명/NNG+하/XSA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.296.7.3
그러기 위해서는 렌즈 크기가 커야 하지만 슬림한 폰카에서는 채택하기 어렵다.

그러기	그러/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
렌즈	렌즈/NNG
크기가	크기/NNG+가/JKS
커야	크/VA+어야/EC
하지만	하/VX+지만/EC
슬림한	슬림하/VA+ㄴ/ETM
폰카에서는	폰카/NNG+에서/JKB+는/JX
채택하기	채택/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000045.296.8.1
폰카든 디카든 망원 기능으로 당기면 화각이 좁아져 주변의 불필요한 것을 프레임에서 제거하거나 아웃 포커싱으로 흐리게 처리할 수 있다.

폰카든	폰카/NNG+이/VCP+든/EC
디카든	디카/NNG+이/VCP+든/EC
망원	망원/NNG
기능으로	기능/NNG+으로/JKB
당기면	당기/VV+면/EC
화각이	화각/NNG+이/JKS
좁아져	좁아지/VV+어/EC
주변의	주변/NNG+의/JKG
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
것을	것/NNB+을/JKO
프레임에서	프레임/NNG+에서/JKB
제거하거나	제거/NNG+하/XSV+거나/EC
아웃	아웃/NNG
포커싱으로	포커싱/NNG+으로/JKB
흐리게	흐리/VA+게/EC
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.296.8.2
또 거리감을 왜곡해 피사체가 실제 있는 것보다 가까운 것처럼 보이게 할 수 있다.

또	또/MAG
거리감을	거리감/NNG+을/JKO
왜곡해	왜곡/NNG+하/XSV+아/EC
피사체가	피사체/NNG+가/JKS
실제	실제/MAG
있는	있/VA+는/ETM
것보다	것/NNB+보다/JKB
가까운	가깝/VA+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보이게	보이/VV+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.296.9.1
이런 특징을 활용해 인물이나 꽃을 촬영하면 배경이 흐려져 주제를 강조하기 쉽다.

이런	이런/MMD
특징을	특징/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
인물이나	인물/NNG+이나/JC
꽃을	꽃/NNG+을/JKO
촬영하면	촬영/NNG+하/XSV+면/EC
배경이	배경/NNG+이/JKS
흐려져	흐려지/VV+어/EC
주제를	주제/NNG+를/JKO
강조하기	강조/NNG+하/XSV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000045.296.9.2
특히 사람을 망원으로 찍으면 광각렌즈의 왜곡을 피할 수 있고 얼굴에 초점을 맞추면 자연스러운 표정을 포착할 수 있다.

특히	특히/MAG
사람을	사람/NNG+을/JKO
망원으로	망원/NNG+으로/JKB
찍으면	찍/VV+으면/EC
광각렌즈의	광각/NNG+렌즈/NNG+의/JKG
왜곡을	왜곡/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
얼굴에	얼굴/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞추면	맞추/VV+면/EC
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
포착할	포착/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.296.10.1
줌렌즈를 피사체에 가까이 가기 귀찮을 때 주∼욱 당겨 찍는 용도로만 사용했다면 이제부터는 가깝게 다가가서 써 보자.

줌렌즈를	줌/NNG+렌즈/NNG+를/JKO
피사체에	피사체/NNG+에/JKB
가까이	가까이/MAG
가기	가/VV+기/ETN
귀찮을	귀찮/VA+을/ETM
때	때/NNG
주∼욱	주∼욱/NA
당겨	당기/VV+어/EC
찍는	찍/VV+는/ETM
용도로만	용도/NNG+로/JKB+만/JX
사용했다면	사용/NNG+하/XSV+았/EP+다면/EC
이제부터는	이제/NNG+부터/JX+는/JX
가깝게	가깝/VA+게/EC
다가가서	다가가/VV+아서/EC
써	쓰/VV+어/EC
보자.	보/VX+자/EF+./SF


# id : NWRW1800000045.296.10.2
많이 움직여 보면 폰카의 위치에 따라 사진의 질이 크게 차이가 난다는 것을 알 수 있다.

많이	많이/MAG
움직여	움직이/VV+어/EC
보면	보/VX+면/EC
폰카의	폰카/NNG+의/JKG
위치에	위치/NNG+에/JKB
따라	따르/VV+아/EC
사진의	사진/NNG+의/JKG
질이	질/NNG+이/JKS
크게	크/VA+게/EC
차이가	차이/NNG+가/JKS
난다는	나/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


