# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.386
metadata : {}


# id : NWRW1800000029.386.1.1
[한미동맹 업그레이드]“美, 아태지역 영향력 회복 계기될것”… 中, 한미 FTA 경계

[한미동맹	[/SS+한미/NNP+동맹/NNG
성과를	성과/NNG+를/JKO
자세히	자세히/MAG
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.386.6.2
한미 FTA 비준 과정과 양국의 이해득실은 물론이고 한국 언론을 인용해 두 나라 정상이 식사를 하면서 ‘정(情)’을 나눴다는 표현까지 여과 없이 전달했다.

한미	한미/NNP
FTA	FTA/SL
비준	비준/NNG
과정과	과정/NNG+과/JC
양국의	양국/NNG+의/JKG
이해득실은	이해득실/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
한국	한국/NNP
언론을	언론/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
두	두/MMN
나라	나라/NNG
정상이	정상/NNG+이/JKS
식사를	식사/NNG+를/JKO
하면서	하/VV+면서/EC
‘정(情)’을	‘/SS+정/NNG+(/SS+情/SH+)/SS+’/SS+을/JKO
나눴다는	나누/VV+었/EP+다는/ETM
표현까지	표현/NNG+까지/JX
여과	여과/NNG
없이	없이/MAG
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.386.7.1
이 신문은 “이번 국빈방문은 최근 몇 년간 유례없이 좋은 사이를 유지하고 있는 한국과 미국의 관계를 보여준다”고 평가했다.

이	이/MMD
신문은	신문/NNG+은/JX
“이번	“/SS+이번/NNG
국빈방문은	국빈/NNG+방문/NNG+은/JX
최근	최근/MAG
몇	몇/NR
년간	년/NNB+간/XSN
유례없이	유례없이/MAG
좋은	좋/VA+은/ETM
사이를	사이/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
한국과	한국/NNP+과/JC
미국의	미국/NNP+의/JKG
관계를	관계/NNG+를/JKO
보여준다”고	보이/VV+어/EC+주/VX+ㄴ다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.386.7.2
중국 외교가에서는 한국 정부가 현 정부 들어 미국 일변도의 외교를 하고 있는 게 아니냐는 시각도 있는 만큼 이번 중국 언론들의 보도 또한 이 같은 우려를 내포하고 있다는 분석이 나온다.

중국	중국/NNP
외교가에서는	외교가/NNG+에서/JKB+는/JX
한국	한국/NNP
정부가	정부/NNG+가/JKS
현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
미국	미국/NNP
일변도의	일변도/NNG+의/JKG
외교를	외교/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
시각도	시각/NNG+도/JX
만큼	만큼/NNB
이번	이번/NNG
언론들의	언론/NNG+들/XSN+의/JKG
보도	보도/NNG
또한	또한/MAG
이	이/NP
같은	같/VA+은/ETM
우려를	우려/NNG+를/JKO
내포하고	내포/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


