# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.232
metadata : {}


# id : NWRW1800000045.232.1.1
사령탑 데뷔 임도헌 “이겼지만 맘에 안 들어”

사령탑	사령탑/NNG
경기를	경기/NNG+를/JKO
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.232.5.3
수비에 방점을 찍는 것 역시 닮은꼴이었다.

수비에	수비/NNG+에/JKB
방점을	방점/NNG+을/JKO
찍는	찍/VV+는/ETM
것	것/NNB
역시	역시/MAG
닮은꼴이었다.	닮/VV+은/ETM+꼴/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.232.5.4
임 감독은 “수비, 리시브, 디그 전체적으로 부족했다. 선수들 기량의 50%도 나오지 않았다”며 “고현우(23·레프트)가 오늘 가장 잘한 건 사실이지만 자세가 뒤쪽에 있어 아직은 서브 리시브가 부족한 면이 있다”고 평했다.

임	임/NNP
감독은	감독/NNG+은/JX
“수비,	“/SS+수비/NNG+,/SP
리시브,	리시브/NNG+,/SP
디그	디그/NNG
전체적으로	전체/NNG+적/XSN+으로/JKB
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF
선수들	선수/NNG+들/XSN
기량의	기량/NNG+의/JKG
50%도	50/SN+%/SW+도/JX
나오지	나오/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“고현우(23·레프트)가	“/SS+고현우/NNP+(/SS+23/SN+·/SP+레프트/NNG+)/SS+가/JKS
오늘	오늘/MAG
가장	가장/MAG
잘한	잘/MAG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
사실이지만	사실/NNG+이/VCP+지만/EC
자세가	자세/NNG+가/JKS
뒤쪽에	뒤쪽/NNG+에/JKB
있어	있/VV+어/EC
아직은	아직/MAG+은/JX
서브	서브/NNG
리시브가	리시브/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
면이	면/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.232.6.1
임 감독은 현역 시절을 삼성화재에서 보내진 않았지만 코치 시절 당시 감독이었던 신치용 단장이 곧잘 “내 후임은 임도헌”이라고 말할 만큼 능력을 인정받은 애제자였다.

임	임/NNP
감독은	감독/NNG+은/JX
현역	현역/NNG
시절을	시절/NNG+을/JKO
삼성화재에서	삼성화재/NNP+에서/JKB
보내진	보내/VV+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
코치	코치/NNG
시절	시절/NNG
당시	당시/NNG
감독이었던	감독/NNG+이/VCP+었/EP+던/ETM
신치용	신치용/NNP
단장이	단장/NNG+이/JKS
곧잘	곧잘/MAG
“내	“/SS+나/NP+의/JKG
후임은	후임/NNG+은/JX
임도헌”이라고	임도헌/NNP+”/SS+이라고/JKQ
말할	말/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
능력을	능력/NNG+을/JKO
인정받은	인정/NNG+받/XSV+은/ETM
애제자였다.	애제자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.232.6.2
신 단장은 이날 경기장을 찾아 제자의 감독 데뷔 첫 승을 지켜봤다.

신	신/NNP
단장은	단장/NNG+은/JX
이날	이날/NNG
경기장을	경기장/NNG+을/JKO
찾아	찾/VV+아/EC
제자의	제자/NNG+의/JKG
감독	감독/NNG
데뷔	데뷔/NNG
첫	첫/MMN
승을	승/NNG+을/JKO
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.232.6.3
임 감독은 “부임 후 단장님이 (연습) 체육관에 한두 번 들렀다. 조언이 많이 필요하다고 생각하는데 아직 ‘신의 한 수’를 알려주시진 않았다”며 웃었다.

임	임/NNP
감독은	감독/NNG+은/JX
“부임	“/SS+부임/NNG
후	후/NNG
단장님이	단장/NNG+님/XSN+이/JKS
(연습)	(/SS+연습/NNG+)/SS
체육관에	체육관/NNG+에/JKB
한두	한두/MMN
번	번/NNB
들렀다.	들르/VV+었/EP+다/EF+./SF
조언이	조언/NNG+이/JKS
많이	많이/MAG
필요하다고	필요/NNG+하/XSA+다고/EC
생각하는데	생각/NNG+하/XSV+는데/EC
아직	아직/MAG
‘신의	‘/SS+신/NNG+의/JKG
한	한/MMN
수’를	수/NNG+’/SS+를/JKO
알려주시진	알리/VV+어/EC+주/VX+시/EP+지/EC+ㄴ/JX
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.232.7.1
또 다른 ‘신(치용)의 남자’끼리 맞붙은 이날 마지막 경기에서는 신영철의 한국전력이 최태웅의 현대캐피탈에 3-1(25-22, 23-25, 25-15, 25-23) 승리를 거뒀다.

또	또/MAG
다른	다른/MMD
‘신(치용)의	‘/SS+신/NNP+(/SS+치용/NNP+)/SS+의/JKG
남자’끼리	남자/NNG+’/SS+끼리/XSN
맞붙은	맞붙/VV+은/ETM
이날	이날/NNG
마지막	마지막/NNG
경기에서는	경기/NNG+에서/JKB+는/JX
신영철의	신영철/NNP+의/JKG
한국전력이	한국전력/NNP+이/JKS
최태웅의	최태웅/NNP+의/JKG
현대캐피탈에	현대캐피탈/NNP+에/JKB
3-1(25-22,	3/SN+-/SO+1/SN+(/SS+25/SN+-/SO+22/SN+,/SP
23-25,	23/SN+-/SO+25/SN+,/SP
25-15,	25/SN+-/SO+15/SN+,/SP
25-23)	25/SN+-/SO+23/SN+)/SS
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.232.7.2
임 감독처럼 이날 감독 데뷔전을 치른 현대캐피탈 최태웅 감독(39)은 경기 도중 틈틈이 태블릿PC로 자료를 살펴보며 ‘정보기술(IT) 감독’ 면모를 과시했다.

임	임/NNP
감독처럼	감독/NNG+처럼/JKB
이날	이날/NNG
감독	감독/NNG
데뷔전을	데뷔전/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
현대캐피탈	현대캐피탈/NNP
최태웅	최태웅/NNP
감독(39)은	감독/NNG+(/SS+39/SN+)/SS+은/JX
경기	경기/NNG
도중	도중/NNG
틈틈이	틈틈이/MAG
태블릿PC로	태블릿/NNG+PC/SL+로/JKB
자료를	자료/NNG+를/JKO
살펴보며	살펴보/VV+며/EC
‘정보기술(IT)	‘/SS+정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
감독’	감독/NNG+’/SS
면모를	면모/NNG+를/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.232.7.3
하지만 데뷔 첫 승은 다음으로 미뤄야 했다.

하지만	하지만/MAJ
데뷔	데뷔/NNG
첫	첫/MMN
승은	승/NNG+은/JX
다음으로	다음/NNG+으로/JKB
미뤄야	미루/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.232.7.4
최 감독은 경기 후 “내가 경험이 부족해서 진 경기”라며 “부족한 부분을 단 몇 %라도 채우는 컵대회가 됐으면 좋겠다”고 말했다.

최	최/NNP
감독은	감독/NNG+은/JX
경기	경기/NNG
후	후/NNG
“내가	“/SS+내/NP+가/JKS
경험이	경험/NNG+이/JKS
부족해서	부족/NNG+하/XSA+아서/EC
진	지/VV+ㄴ/ETM
경기”라며	경기/NNG+”/SS+이/VCP+라며/EC
“부족한	“/SS+부족/NNG+하/XSA+ㄴ/ETM
부분을	부분/NNG+을/JKO
단	단/MMA
몇	몇/NR
%라도	%/SW+이/VCP+라도/EC
채우는	채우/VV+는/ETM
컵대회가	컵/NNG+대회/NNG+가/JKC
됐으면	되/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.232.8.1
여자부 경기에서는 흥국생명이 GS칼텍스를 3-0(25-21, 25-19, 26-24)으로 물리쳤다.

여자부	여자부/NNG
경기에서는	경기/NNG+에서/JKB+는/JX
흥국생명이	흥국생명/NNP+이/JKS
GS칼텍스를	GS칼텍스/NNP+를/JKO
3-0(25-21,	3/SN+-/SO+0/SN+(/SS+25/SN+-/SO+21/SN+,/SP
25-19,	25/SN+-/SO+19/SN+,/SP
26-24)으로	26/SN+-/SO+24/SN+)/SS+으로/JKB
물리쳤다.	물리치/VV+었/EP+다/EF+./SF


