# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.69
metadata : {}


# id : NWRW1800000038.69.1.1
어제는 오케스트라, 오늘은 솔리스트

어제는	어제/NNG+는/JX
연주력을	연주력/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회로	기회/NNG+로/JKB
보고	보/VV+고/EC
장려해야	장려/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


