# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.297
metadata : {}


# id : NWRW1800000022.297.1.1
韓電 "봉이 김선달式 민자발전소 폐지를";천연가스 값 뛰자 발전 중지 한전서 받은 전력을 재판매"앉아서 수십억원 차익 챙겨"

韓電	韓電/SH
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.297.7.2
한전 고위 관계자는 "정부의 정책 실패, 민간 발전소의 사업실패를 국민이 낸 전기세로 보전해 주는 격"이라며 "일본처럼 구역사업자가 100% 책임지고 전력을 공급하든지 구역전기사업자에 대한 허가를 중단하고 구역전기사업제도를 폐지해야 한다"고 주장했다.

한전	한전/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"정부의	"/SS+정부/NNG+의/JKG
정책	정책/NNG
실패,	실패/NNG+,/SP
민간	민간/NNG
발전소의	발전소/NNG+의/JKG
사업실패를	사업/NNG+실패/NNG+를/JKO
국민이	국민/NNG+이/JKS
낸	내/VV+ㄴ/ETM
전기세로	전기세/NNG+로/JKB
보전해	보전/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
격"이라며	격/NNB+"/SS+이/VCP+라며/EC
"일본처럼	"/SS+일본/NNP+처럼/JKB
구역사업자가	구역/NNG+사업자/NNG+가/JKS
100%	100/SN+%/SW
책임지고	책임지/VV+고/EC
전력을	전력/NNG+을/JKO
공급하든지	공급/NNG+하/XSV+든지/EC
구역전기사업자에	구역/NNG+전기/NNG+사업자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
허가를	허가/NNG+를/JKO
중단하고	중단/NNG+하/XSV+고/EC
구역전기사업제도를	구역/NNG+전기/NNG+사업/NNG+제도/NNG+를/JKO
폐지해야	폐지/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


