# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.182
metadata : {}


# id : NWRW1800000026.182.1.1
[초등 서술형 평가 대담] "선생님, 어떻게 대비하죠?";다독보다는 '정독'암기보다는 '이해'정답보다는 '표현'

[초등	[/SS+초등/NNG
정답만	정답/NNG+만/JX
적으면	적/VA+으면/EC
되는	되/VV+는/ETM
과목이었기	과목/NNG+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.5.3
하지만 이제는 과정에 대한 설명이 필요하다.

하지만	하지만/MAJ
이제는	이제/NNG+는/JX
과정에	과정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명이	설명/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.182.5.4
정답을 썼어도 과정이 틀리거나, 과정을 설명하는 능력이 부족하거나, 정확한 언어적 표현이 미숙하면 만점을 다 받을 수 없다.

정답을	정답/NNG+을/JKO
썼어도	쓰/VV+었/EP+어도/EC
과정이	과정/NNG+이/JKS
틀리거나,	틀리/VV+거나/EC+,/SP
과정을	과정/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
능력이	능력/NNG+이/JKS
부족하거나,	부족/NNG+하/XSA+거나/EC+,/SP
정확한	정확/NNG+하/XSA+ㄴ/ETM
언어적	언어/NNG+적/XSN
표현이	표현/NNG+이/JKS
미숙하면	미숙/NNG+하/XSA+면/EC
만점을	만점/NNG+을/JKO
다	다/MAG
받을	받/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.182.6.1
최광기 : 이번 단원평가 후, 국어 공부를 더 해야 할지 수학을 해야 할지, 서술형에 대한 이해는 어떻게 시켜야 할지 혼란스러워졌다.

최광기	최광기/NNP
:	:/SP
이번	이번/NNG
단원평가	단원/NNG+평가/NNG
후,	후/NNG+,/SP
국어	국어/NNG
공부를	공부/NNG+를/JKO
더	더/MAG
해야	하/VV+아야/EC
할지	하/VX+ㄹ지/EC
수학을	수학/NNG+을/JKO
할지,	하/VX+ㄹ지/EC+,/SP
서술형에	서술/NNG+형/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
이해는	이해/NNG+는/JX
어떻게	어떻/VA+게/EC
시켜야	시키/VV+어야/EC
혼란스러워졌다.	혼란/NNG+스럽/XSA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.182.7.1
송재환 교사 : 삼일운동 전개과정과 의의를 써보라는 문제가 있다면 어떤 아이들은 전개만 쓴다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
삼일운동	삼일/NNG+운동/NNG
전개과정과	전개/NNG+과정/NNG+과/JC
의의를	의의/NNG+를/JKO
써보라는	쓰/VV+어/EC+보/VX+라는/ETM
문제가	문제/NNG+가/JKS
있다면	있/VA+다면/EC
어떤	어떤/MMD
아이들은	아이/NNG+들/XSN+은/JX
전개만	전개/NNG+만/JX
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.7.2
문제를 제대로 이해하지 못했기 때문이다.

문제를	문제/NNG+를/JKO
제대로	제대로/MAG
이해하지	이해/NNG+하/XSV+지/EC
못했기	못하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.7.3
이 문제가 뭘 요구하는지 문제에 대한 정확한 이해가 우선시되어야 한다.

이	이/MMD
문제가	문제/NNG+가/JKS
뭘	뭐/NP+ㄹ/JKO
요구하는지	요구/NNG+하/XSV+는지/EC
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정확한	정확/NNG+하/XSA+ㄴ/ETM
이해가	이해/NNG+가/JKS
우선시되어야	우선/NNG+시/XSN+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.182.7.4
아무리 잘 써도 출제자의 의도를 명확히 이해하지 못했다면 점수로 이어질 수 없다.

아무리	아무리/MAG
잘	잘/MAG
써도	쓰/VV+어도/EC
출제자의	출제자/NNG+의/JKG
의도를	의도/NNG+를/JKO
명확히	명확히/MAG
이해하지	이해/NNG+하/XSV+지/EC
못했다면	못하/VX+았/EP+다면/EC
점수로	점수/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.182.7.5
대부분 학교 시험은 수업시간에 선생님이 강조한 부분이 시험에 나온다.

대부분	대/XPN+부분/NNG
학교	학교/NNG
시험은	시험/NNG+은/JX
수업시간에	수업/NNG+시간/NNG+에/JKB
선생님이	선생/NNG+님/XSN+이/JKS
강조한	강조/NNG+하/XSV+ㄴ/ETM
부분이	부분/NNG+이/JKS
시험에	시험/NNG+에/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.7.6
수업에 더 충실해야 한다.

수업에	수업/NNG+에/JKB
더	더/MAG
충실해야	충실/NNG+하/XSA+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.182.7.7
그렇지 않으면 서술형 문제에 대응할 수 없다.

그렇지	그렇/VA+지/EC
않으면	않/VX+으면/EC
서술형	서술/NNG+형/XSN
문제에	문제/NNG+에/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.182.8.1
안영미 : 서술형이 되면서 채점기준에 대한 의문도 생겼다.

안영미	안영미/NNP
:	:/SP
서술형이	서술/NNG+형/XSN+이/JKC
되면서	되/VV+면서/EC
채점기준에	채점/NNG+기준/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의문도	의문/NNG+도/JX
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.182.8.2
선생님마다 주관이 다르고 채점기준이 달라 A반에서는 정답이 된 부분이 B반에서는 오답이 되는 경우도 있을 것 같다.

선생님마다	선생/NNG+님/XSN+마다/JX
주관이	주관/NNG+이/JKS
다르고	다르/VA+고/EC
채점기준이	채점/NNG+기준/NNG+이/JKS
달라	다르/VA+아/EC
A반에서는	A/SL+반/NNG+에서/JKB+는/JX
정답이	정답/NNG+이/JKC
된	되/VV+ㄴ/ETM
부분이	부분/NNG+이/JKS
B반에서는	B/SL+반/NNG+에서/JKB+는/JX
오답이	오답/NNG+이/JKC
되는	되/VV+는/ETM
경우도	경우/NNG+도/JX
있을	있/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000026.182.8.3
채점 기준이 있나.

채점	채점/NNG
기준이	기준/NNG+이/JKS
있나.	있/VA+나/EF+./SF


# id : NWRW1800000026.182.9.1
송재환 교사 : 당연히 채점 기준은 있다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
당연히	당연히/MAG
채점	채점/NNG
기준은	기준/NNG+은/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.182.9.2
하지만 한계도 있다.

하지만	하지만/MAJ
한계도	한계/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.182.9.3
그게 바로 서술형 평가의 장점이자 단점이다.

그게	그거/NP+이/JKS
바로	바로/MAG
서술형	서술/NNG+형/XSN
평가의	평가/NNG+의/JKG
장점이자	장점/NNG+이/VCP+자/EC
단점이다.	단점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.9.4
서술형 평가가 기존 평가와 다른 점은 다양성·창의성의 존중이다.

서술형	서술/NNG+형/XSN
평가가	평가/NNG+가/JKS
기존	기존/NNG
평가와	평가/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
점은	점/NNG+은/JX
다양성·창의성의	다양/NNG+성/XSN+·/SP+창의/NNG+성/XSN+의/JKG
존중이다.	존중/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.9.5
때문에 다양한 답변이 나올 수 있고 평가자마다 서로 다른 답을 인정할 수 있다.

때문에	때문/NNB+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
답변이	답변/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
평가자마다	평가자/NNG+마다/JX
서로	서로/MAG
다른	다른/MMD
답을	답/NNG+을/JKO
인정할	인정/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.182.9.6
문제는 이런 평가를 학부모나 학생들이 수용하느냐이다.

문제는	문제/NNG+는/JX
이런	이런/MMD
평가를	평가/NNG+를/JKO
학부모나	학부모/NNG+나/JC
학생들이	학생/NNG+들/XSN+이/JKS
수용하느냐이다.	수용/NNG+하/XSV+느냐/EF+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.9.7
이런 논란은 교사의 전문성과도 밀접한 관련이 있다.

이런	이런/MMD
논란은	논란/NNG+은/JX
교사의	교사/NNG+의/JKG
전문성과도	전문/NNG+성/XSN+과/JKB+도/JX
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관련이	관련/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.182.9.8
교사의 전문성을 인정하면 크게 문제되지 않겠지만, 인정하지 않으면 첫 단추부터 삐걱거릴 수밖에 없다.

교사의	교사/NNG+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
인정하면	인정/NNG+하/XSV+면/EC
크게	크/VA+게/EC
문제되지	문제/NNG+되/XSV+지/EC
않겠지만,	않/VX+겠/EP+지만/EC+,/SP
인정하지	인정/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
첫	첫/MMN
단추부터	단추/NNG+부터/JX
삐걱거릴	삐걱거리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.182.10.1
최광기 : 교사는 교사대로 전문성에 대한 시비 때마다 교사로서의 자괴감을 느끼고 학부모는 학부모대로 명확한 기준이 없을 때 오는 불안감이 있을 것이다.

최광기	최광기/NNP
:	:/SP
교사는	교사/NNG+는/JX
교사대로	교사/NNG+대로/JX
전문성에	전문/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
시비	시비/NNG
때마다	때/NNG+마다/JX
교사로서의	교사/NNG+로서/JKB+의/JKG
자괴감을	자괴감/NNG+을/JKO
느끼고	느끼/VV+고/EC
학부모는	학부모/NNG+는/JX
학부모대로	학부모/NNG+대로/JX
명확한	명확하/VA+ㄴ/ETM
기준이	기준/NNG+이/JKS
없을	없/VA+을/ETM
때	때/NNG
오는	오/VV+는/ETM
불안감이	불안감/NNG+이/JKS
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.10.2
교사와 학부모, 학생이 모두 신뢰할만한 해결책이 없을까.

교사와	교사/NNG+와/JC
학부모,	학부모/NNG+,/SP
학생이	학생/NNG+이/JKS
모두	모두/MAG
신뢰할만한	신뢰/NNG+하/XSV+ㄹ/ETM+만/NNB+하/XSA+ㄴ/ETM
해결책이	해결책/NNG+이/JKS
없을까.	없/VA+을까/EF+./SF


# id : NWRW1800000026.182.11.1
송재환 교사 : 외국대학은 교수가 수업을 진행하면 조교가 앉아서 학생의 발문, 참여도 횟수 등을 세세히 기록한다고 한다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
외국대학은	외국/NNG+대학/NNG+은/JX
교수가	교수/NNG+가/JKS
수업을	수업/NNG+을/JKO
진행하면	진행/NNG+하/XSV+면/EC
조교가	조교/NNG+가/JKS
앉아서	앉/VV+아서/EC
학생의	학생/NNG+의/JKG
발문,	발문/NNG+,/SP
참여도	참여도/NNG
횟수	횟수/NNG
등을	등/NNB+을/JKO
세세히	세세히/MAG
기록한다고	기록/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.11.2
객관적인 자료가 있어야 모두가 평가를 인정하지 않겠는가.

객관적인	객관/NNG+적/XSN+이/VCP+ㄴ/ETM
자료가	자료/NNG+가/JKS
있어야	있/VA+어야/EC
모두가	모두/NNG+가/JKS
평가를	평가/NNG+를/JKO
인정하지	인정/NNG+하/XSV+지/EC
않겠는가.	않/VX+겠/EP+는가/EF+./SF


# id : NWRW1800000026.182.11.3
하지만 그 어떤 제도도 상호신뢰가 없으면 성공할 수 없다.

하지만	하지만/MAJ
그	그/MMD
어떤	어떤/MMD
제도도	제도/NNG+도/JX
상호신뢰가	상호/NNG+신뢰/NNG+가/JKS
없으면	없/VA+으면/EC
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.182.12.1
안영미 : 평가 기준이 달라졌다.

안영미	안영미/NNP
:	:/SP
평가	평가/NNG
기준이	기준/NNG+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.182.12.2
학교 수업은 어떻게 진행될지 궁금하다.

학교	학교/NNG
수업은	수업/NNG+은/JX
어떻게	어떻/VA+게/EC
진행될지	진행/NNG+되/XSV+ㄹ지/EC
궁금하다.	궁금하/VA+다/EF+./SF


# id : NWRW1800000026.182.13.1
송재환 교사 : 교사 평가가 바뀐다는 말은 수업방식의 변화를 의미한다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
평가가	평가/NNG+가/JKS
바뀐다는	바뀌/VV+ㄴ다는/ETM
말은	말/NNG+은/JX
수업방식의	수업/NNG+방식/NNG+의/JKG
변화를	변화/NNG+를/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.13.2
평가가 다양성, 종합적 비판, 분석력을 요구한다면 수업은 교사주도형에서 토의·토론으로 바뀌어야 한다.

평가가	평가/NNG+가/JKS
다양성,	다양/NNG+성/XSN+,/SP
종합적	종합/NNG+적/XSN
비판,	비판/NNG+,/SP
분석력을	분석력/NNG+을/JKO
요구한다면	요구/NNG+하/XSV+ㄴ다면/EC
수업은	수업/NNG+은/JX
교사주도형에서	교사/NNG+주도/NNG+형/XSN+에서/JKB
토의·토론으로	토의/NNG+·/SP+토론/NNG+으로/JKB
바뀌어야	바뀌/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.182.13.3
하지만 교사가 바꾸고 싶다고 해서 바뀌는 것이 아니다.

하지만	하지만/MAJ
교사가	교사/NNG+가/JKS
바꾸고	바꾸/VV+고/EC
싶다고	싶/VX+다고/EC
해서	하/VV+아서/EC
바뀌는	바뀌/VV+는/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.182.13.4
예를 들어 ‘내일은 3·1운동에 대한 토론을 할 것이다’라고 했을 때 아이들이 배경지식 없이 와서 앉아만 있다면 과연 토론이 될까?

예를	예/NNG+를/JKO
들어	들/VV+어/EC
‘내일은	‘/SS+내일/NNG+은/JX
3·1운동에	3/SN+·/SP+1/SN+운동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
토론을	토론/NNG+을/JKO
할	하/VV+ㄹ/ETM
것이다’라고	것/NNB+이/VCP+다/EF+’/SS+라고/JKQ
했을	하/VV+았/EP+을/ETM
때	때/NNG
아이들이	아이/NNG+들/XSN+이/JKS
배경지식	배경지식/NNG
없이	없이/MAG
와서	오/VV+아서/EC
앉아만	앉/VV+아/EC+만/JX
있다면	있/VX+다면/EC
과연	과연/MAG
토론이	토론/NNG+이/JKC
될까?	되/VV+ㄹ까/EF+?/SF


# id : NWRW1800000026.182.13.5
3·1운동에 관련된 다양한 책을 읽고 정보를 찾아보고 와야 반론과 주장이 나오는 것이다.

3·1운동에	3/SN+·/SP+1/SN+운동/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
책을	책/NNG+을/JKO
읽고	읽/VV+고/EC
정보를	정보/NNG+를/JKO
찾아보고	찾아보/VV+고/EC
와야	오/VV+아야/EC
반론과	반론/NNG+과/JC
주장이	주장/NNG+이/JKS
나오는	나오/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.13.6
가장 중요한 것은 풍부한 독서다.

가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
풍부한	풍부하/VA+ㄴ/ETM
독서다.	독서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.13.7
바탕지식이 없다면 문제 이해는 물론, 자신의 생각을 표현할 수도 없기 때문이다.

바탕지식이	바탕/NNG+지식/NNG+이/JKS
없다면	없/VA+다면/EC
문제	문제/NNG
이해는	이해/NNG+는/JX
물론,	물론/MAG+,/SP
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
표현할	표현/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.14.1
현진민 : 아이와 이야기하다 보면 문제도 이해하고 풀 수도 있는데 정리를 못해서 틀린 것들이 많았다.

현진민	현진민/NNP
:	:/SP
아이와	아이/NNG+와/JKB
이야기하다	이야기/NNG+하/XSV+다/EC
보면	보/VX+면/EC
문제도	문제/NNG+도/JX
이해하고	이해/NNG+하/XSV+고/EC
풀	풀/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는데	있/VA+는데/EC
정리를	정리/NNG+를/JKO
못해서	못하/VX+아서/EC
틀린	틀리/VV+ㄴ/ETM
것들이	것/NNB+들/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.182.15.1
송재환 교사 : 그게 표현력이다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
그게	그거/NP+이/JKS
표현력이다.	표현력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.15.2
서술형의 가장 중요한 기준은 문장의 완성도다.

서술형의	서술/NNG+형/XSN+의/JKG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
기준은	기준/NNG+은/JX
문장의	문장/NNG+의/JKG
완성도다.	완성도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.15.3
그런데 요즘 아이들은 인터넷과 TV 등의 영향으로 감탄사 중심의 표현만 한다.

그런데	그런데/MAJ
요즘	요즘/NNG
아이들은	아이/NNG+들/XSN+은/JX
인터넷과	인터넷/NNG+과/JC
TV	TV/SL
등의	등/NNB+의/JKG
영향으로	영향/NNG+으로/JKB
감탄사	감탄사/NNG
중심의	중심/NNG+의/JKG
표현만	표현/NNG+만/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.182.15.4
“뜨아, 웁스” 이런 표현만 쓰던 아이들이 실제로 주어, 서술어, 목적어가 분명히 드러나고 주장과 이유, 근거가 체계적으로 잡힌 글을 쓰려니 안 되는 것이다.

“뜨아,	“/SS+뜨아/IC+,/SP
웁스”	웁스/IC+”/SS
이런	이런/MMD
표현만	표현/NNG+만/JX
쓰던	쓰/VV+던/ETM
아이들이	아이/NNG+들/XSN+이/JKS
실제로	실제로/MAG
주어,	주어/NNG+,/SP
서술어,	서술어/NNG+,/SP
목적어가	목적어/NNG+가/JKS
분명히	분명히/MAG
드러나고	드러나/VV+고/EC
주장과	주장/NNG+과/JC
이유,	이유/NNG+,/SP
근거가	근거/NNG+가/JKS
체계적으로	체계/NNG+적/XSN+으로/JKB
잡힌	잡히/VV+ㄴ/ETM
글을	글/NNG+을/JKO
쓰려니	쓰/VV+려니/EC
안	안/MAG
되는	되/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.15.5
일기 검사를 할 때도 마찬가지다.

일기	일기/NNG
검사를	검사/NNG+를/JKO
할	하/VV+ㄹ/ETM
때도	때/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.15.6
단문 위주의 글, 자신의 생각과 느낌이 빠진 글, 사건 나열이 전부인 글들이 너무 많다.

단문	단문/NNG
위주의	위주/NNG+의/JKG
글,	글/NNG+,/SP
자신의	자신/NNG+의/JKG
생각과	생각/NNG+과/JC
느낌이	느낌/NNG+이/JKS
빠진	빠지/VV+ㄴ/ETM
사건	사건/NNG
나열이	나열/NNG+이/JKS
전부인	전부/NNG+이/VCP+ㄴ/ETM
글들이	글/NNG+들/XSN+이/JKS
너무	너무/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.182.15.7
생활 속 바른 국어의 사용·습관화가 필요하다.

생활	생활/NNG
속	속/NNG
바른	바르/VA+ㄴ/ETM
국어의	국어/NNG+의/JKG
사용·습관화가	사용/NNG+·/SP+습관/NNG+화/XSN+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.182.16.1
최광기 : 독서가 중요한 것은 알겠지만 어떻게 시작해야 할지 모르겠다.

최광기	최광기/NNP
:	:/SP
독서가	독서/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
알겠지만	알/VV+겠/EP+지만/EC
어떻게	어떻/VA+게/EC
시작해야	시작/NNG+하/XSV+아야/EC
할지	하/VX+ㄹ지/EC
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000026.182.17.1
송재환 교사 : 아이들의 즉흥적이고 얕은 사고의 가장 큰 원인은 영상매체에 의한 영향과 만화책이다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
아이들의	아이/NNG+들/XSN+의/JKG
즉흥적이고	즉흥/NNG+적/XSN+이/VCP+고/EC
얕은	얕/VA+은/ETM
사고의	사고/NNG+의/JKG
가장	가장/MAG
