# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.165
metadata : {}


# id : NWRW1800000033.165.1.1
직원은 실수연발… 발전기는 고장… 간부는 은폐… 원전사고는 人災 종합판

직원은	직원/NNG+은/JX
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.165.5.1
지식경제부는 이날 ‘에너지 위기대응 태스크포스(TF) 회의’를 열고 이달 말까지 원전을 포함한 모든 국가 에너지시설의 안전점검을 위한 ‘민관합동위원회’를 출범시키기로 했다.

지식경제부는	지식/NNG+경제부/NNG+는/JX
이날	이날/NNG
‘에너지	‘/SS+에너지/NNG
위기대응	위기/NNG+대응/NNG
태스크포스(TF)	태스크포스/NNG+(/SS+TF/SL+)/SS
회의’를	회의/NNG+’/SS+를/JKO
열고	열/VV+고/EC
이달	이달/NNG
말까지	말/NNB+까지/JX
원전을	원전/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
국가	국가/NNG
에너지시설의	에너지/NNG+시설/NNG+의/JKG
안전점검을	안전/NNG+점검/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘민관합동위원회’를	‘/SS+민관/NNG+합동/NNG+위원회/NNG+’/SS+를/JKO
출범시키기로	출범/NNG+시키/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.6.1
○ 원전 관리 총체적 난맥상

○	○/SW
원전	원전/NNG
관리	관리/NNG
총체적	총체/NNG+적/XSN
난맥상	난맥상/NNG


# id : NWRW1800000033.165.7.1
안전위 강창순 위원장은 이날 조사현황 브리핑에서 “한수원 고리원자력본부의 전 고리1발전소장과 현장 간부들이 고의적으로 사고 사실을 본사와 안전관리 기관에 보고하지 않았다”고 밝혔다.

안전위	안전위/NNG
강창순	강창순/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
조사현황	조사/NNG+현황/NNG
브리핑에서	브리핑/NNG+에서/JKB
“한수원	“/SS+한수원/NNP
고리원자력본부의	고리원자력/NNP+본부/NNG+의/JKG
전	전/MMD
고리1발전소장과	고리/NNP+1/SN+발전소장/NNG+과/JC
현장	현장/NNG
간부들이	간부/NNG+들/XSN+이/JKS
고의적으로	고의/NNG+적/XSN+으로/JKB
사고	사고/NNG
사실을	사실/NNG+을/JKO
본사와	본사/NNG+와/JC
안전관리	안전/NNG+관리/NNG
기관에	기관/NNG+에/JKB
보고하지	보고/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.165.8.1
안전위에 따르면 2월 9일 오후 8시 34분 작업자 실수로 외부 전원이 차단된 뒤 10초 이내에 자동으로 작동해야 하는 비상디젤발전기가 가동되지 않았다.

안전위에	안전위/NNG+에/JKB
따르면	따르/VV+면/EC
2월	2/SN+월/NNB
9일	9/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
34분	34/SN+분/NNB
작업자	작업자/NNG
실수로	실수/NNG+로/JKB
외부	외부/NNG
전원이	전원/NNG+이/JKS
차단된	차단/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
10초	10/SN+초/NNB
이내에	이내/NNG+에/JKB
자동으로	자동/NNG+으로/JKB
작동해야	작동/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
비상디젤발전기가	비상/NNG+디젤/NNG+발전기/NNG+가/JKS
가동되지	가동/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.165.8.2
2대 중 1대는 정비 중이었고 나머지 1대는 공기공급밸브 결함으로 고장이 나 있었기 때문이다.

2대	2/SN+대/NNB
중	중/NNB
1대는	1/SN+대/NNB+는/JX
정비	정비/NNG
중이었고	중/NNB+이/VCP+었/EP+고/EC
나머지	나머지/NNG
공기공급밸브	공기/NNG+공급/NNG+밸브/NNG
결함으로	결함/NNG+으로/JKB
고장이	고장/NNG+이/JKS
나	나/VV+아/EC
있었기	있/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.165.9.1
문병위 당시 발전소장은 사고 당시 외부전력이 연결되기 이전인 오후 8시 42분 주제어실에 도착했고 주요 간부들과 논의해 한수원 상부 및 안전위에 보고하지 않도록 지시한 것으로 조사됐다.

문병위	문병위/NNP
당시	당시/NNG
발전소장은	발전소장/NNG+은/JX
사고	사고/NNG
외부전력이	외부/NNG+전력/NNG+이/JKS
연결되기	연결/NNG+되/XSV+기/ETN
이전인	이전/NNG+이/VCP+ㄴ/ETM
오후	오후/NNG
8시	8/SN+시/NNB
42분	42/SN+분/NNB
주제어실에	주제어실/NNG+에/JKB
도착했고	도착/NNG+하/XSV+았/EP+고/EC
주요	주요/NNG
간부들과	간부/NNG+들/XSN+과/JKB
논의해	논의/NNG+하/XSV+아/EC
한수원	한수원/NNP
상부	상부/NNG
및	및/MAG
안전위에	안전위/NNG+에/JKB
보고하지	보고/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.165.9.2
이에 따라 발전팀의 모든 운전원 일지는 물론이고 비상디젤발전기 가동 실패에 관한 내용도 관리대장 기록에서 삭제했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
발전팀의	발전/NNG+팀/NNG+의/JKG
모든	모든/MMN
운전원	운전원/NNG
일지는	일지/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
비상디젤발전기	비상/NNG+디젤/NNG+발전기/NNG
가동	가동/NNG
실패에	실패/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
내용도	내용/NNG+도/JX
관리대장	관리/NNG+대장/NNG
기록에서	기록/NNG+에서/JKB
삭제했다.	삭제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.10.1
이후 2월 10일과 11일 비상디젤발전기 2대가 모두 운전 불가능한 상태에서 핵연료 인출 등 정비를 계속했다.

이후	이후/NNG
2월	2/SN+월/NNB
10일과	10/SN+일/NNB+과/JC
11일	11/SN+일/NNB
비상디젤발전기	비상/NNG+디젤/NNG+발전기/NNG
2대가	2/SN+대/NNB+가/JKS
모두	모두/MAG
운전	운전/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
핵연료	핵연료/NNG
인출	인출/NNG
등	등/NNB
정비를	정비/NNG+를/JKO
계속했다.	계속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.10.2
고리 1호기 운영기술지침서에 따르면 최소 1개의 외부전원과 1대의 비상디젤발전기가 운전 가능한 상태에서 핵연료를 인출해야 하는데 이마저 어긴 것이다.

고리	고리/NNP
1호기	1호기/NNG
운영기술지침서에	운영/NNG+기술/NNG+지침서/NNG+에/JKB
따르면	따르/VV+면/EC
최소	최소/NNG
1개의	1/SN+개/NNB+의/JKG
외부전원과	외부/NNG+전원/NNG+과/JC
1대의	1/SN+대/NNB+의/JKG
비상디젤발전기가	비상/NNG+디젤/NNG+발전기/NNG+가/JKS
운전	운전/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
핵연료를	핵연료/NNG+를/JKO
인출해야	인출/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
이마저	이/NP+마저/JX
어긴	어기/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.165.11.1
원자로는 꺼진 상태였지만 전기가 끊긴 12분 동안 원자핵 붕괴 잔열제거 장치가 가동되지 않아 원자로 냉각수는 36.9도에서 58.3도로, 사용후핵연료는 21도에서 21.5도로 상승했다.

원자로는	원자로/NNG+는/JX
꺼진	꺼지/VV+ㄴ/ETM
상태였지만	상태/NNG+이/VCP+었/EP+지만/EC
전기가	전기/NNG+가/JKS
끊긴	끊기/VV+ㄴ/ETM
12분	12/SN+분/NNB
동안	동안/NNG
원자핵	원자핵/NNG
붕괴	붕괴/NNG
잔열제거	잔열/NNG+제거/NNG
장치가	장치/NNG+가/JKS
가동되지	가동/NNG+되/XSV+지/EC
않아	않/VX+아/EC
원자로	원자로/NNG
냉각수는	냉각수/NNG+는/JX
36.9도에서	36/SN+./SP+9/SN+도/NNB+에서/JKB
58.3도로,	58/SN+./SP+3/SN+도/NNB+로/JKB+,/SP
사용후핵연료는	사용/NNG+후/NNG+핵연료/NNG+는/JX
21도에서	21/SN+도/NNB+에서/JKB
21.5도로	21/SN+./SP+5/SN+도/NNB+로/JKB
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.11.2
하지만 핵연료의 안전성에는 영향이 없었으며 우려한 방사성물질 누출은 없었다고 안전위 측은 설명했다.

하지만	하지만/MAJ
핵연료의	핵연료/NNG+의/JKG
안전성에는	안전/NNG+성/XSN+에/JKB+는/JX
영향이	영향/NNG+이/JKS
없었으며	없/VA+었/EP+으며/EC
우려한	우려/NNG+하/XSV+ㄴ/ETM
방사성물질	방사/NNG+성/XSN+물질/NNG
누출은	누출/NNG+은/JX
없었다고	없/VA+었/EP+다고/EC
안전위	안전위/NNG
측은	측/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.12.1
안전위는 또 “김종신 한수원 사장이 원전 블랙아웃 사실을 안 것은 이달 11일이 아니라 하루 빠른 10일”이라고 밝혔다.

안전위는	안전위/NNG+는/JX
또	또/MAG
“김종신	“/SS+김종신/NNP
한수원	한수원/NNP
사장이	사장/NNG+이/JKS
원전	원전/NNG
블랙아웃	블랙아웃/NNG
사실을	사실/NNG+을/JKO
안	알/VV+ㄴ/ETM
것은	것/NNB+은/JX
이달	이달/NNG
11일이	11/SN+일/NNB+이/JKC
아니라	아니/VCN+라/EC
하루	하루/NNG
빠른	빠르/VA+ㄴ/ETM
10일”이라고	10/SN+일/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.165.13.1
○ 재발 방지 위해 현장 규제 강화

○	○/SW
재발	재발/NNG
방지	방지/NNG
위해	위하/VV+아/EC
현장	현장/NNG
규제	규제/NNG
강화	강화/NNG


# id : NWRW1800000033.165.14.1
안전위는 사고가 났던 비상디젤발전기를 내년 3월까지 신품으로 교체할 예정이다.

안전위는	안전위/NNG+는/JX
사고가	사고/NNG+가/JKS
났던	나/VV+았/EP+던/ETM
비상디젤발전기를	비상/NNG+디젤/NNG+발전기/NNG+를/JKO
내년	내년/NNG
3월까지	3/SN+월/NNB+까지/JX
신품으로	신품/NNG+으로/JKB
교체할	교체/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.165.14.2
강 위원장은 “사고 원인으로 지목된 공기공급밸브를 교체한 뒤 재가동하겠다”며 “고리 1호기를 폐쇄하고 싶은 마음은 전혀 없다”고 말했다.

강	강/NNP
위원장은	위원장/NNG+은/JX
“사고	“/SS+사고/NNG
원인으로	원인/NNG+으로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
공기공급밸브를	공기/NNG+공급/NNG+밸브/NNG+를/JKO
교체한	교체/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
재가동하겠다”며	재/XPN+가동/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“고리	“/SS+고리/NNP
1호기를	1호기/NNG+를/JKO
폐쇄하고	폐쇄/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
마음은	마음/NNG+은/JX
전혀	전혀/MAG
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.15.1
안전위는 한수원의 안전문화수준을 진단하기 위해 국제원자력기구(IAEA)에 안전문화평가(SCART) 검토를 요청할 예정이다.

안전위는	안전위/NNG+는/JX
한수원의	한수원/NNP+의/JKG
안전문화수준을	안전/NNG+문화/NNG+수준/NNG+을/JKO
진단하기	진단/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
국제원자력기구(IAEA)에	국제원자력기구/NNP+(/SS+IAEA/SL+)/SS+에/JKB
안전문화평가(SCART)	안전/NNG+문화/NNG+평가/NNG+(/SS+SCART/SL+)/SS
검토를	검토/NNG+를/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.165.15.2
또 원전 정기검사 항목도 57개에서 100개로 늘리고 전력계통 시험에 대한 원자력안전기술원의 현장 입회율을 50%에서 80%로 확대하기로 했다.

또	또/MAG
원전	원전/NNG
정기검사	정기/NNG+검사/NNG
항목도	항목/NNG+도/JX
57개에서	57/SN+개/NNB+에서/JKB
100개로	100/SN+개/NNB+로/JKB
늘리고	늘리/VV+고/EC
전력계통	전력/NNG+계통/NNG
시험에	시험/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
원자력안전기술원의	원자력안전기술원/NNP+의/JKG
현장	현장/NNG
입회율을	입회/NNG+율/XSN+을/JKO
50%에서	50/SN+%/SW+에서/JKB
80%로	80/SN+%/SW+로/JKB
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.16.1
한편 지경부도 대대적인 에너지시설 안전점검에 들어간다.

한편	한편/MAG
지경부도	지경부/NNG+도/JX
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
에너지시설	에너지/NNG+시설/NNG
안전점검에	안전/NNG+점검/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.165.16.2
에너지를 담당하는 지경부 조석 2차관은 21일 관련 회의에서 “내 직을 걸고 근본적인 안전대책을 내놓겠다”고 발언한 것으로 알려졌다.

에너지를	에너지/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
지경부	지경부/NNG
조석	조석/NNP
2차관은	2/SN+차관/NNG+은/JX
21일	21/SN+일/NNB
관련	관련/NNG
회의에서	회의/NNG+에서/JKB
“내	“/SS+나/NP+의/JKG
직을	직/NNG+을/JKO
걸고	걸/VV+고/EC
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
안전대책을	안전/NNG+대책/NNG+을/JKO
내놓겠다”고	내놓/VV+겠/EP+다/EF+”/SS+고/JKQ
발언한	발언/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.165.16.3
지경부는 이달 말까지 에너지시설 안전점검을 위한 민관합동위원회를 출범시킨다.

지경부는	지경부/NNG+는/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
에너지시설	에너지/NNG+시설/NNG
안전점검을	안전/NNG+점검/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
민관합동위원회를	민관/NNG+합동/NNG+위원회/NNG+를/JKO
출범시킨다.	출범/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.165.16.4
정부는 신뢰성을 높이기 위해 중앙대 윤기봉 교수를 위원장으로 임명하는 등 민간 전문가들의 참여 폭을 높일 계획이다.

정부는	정부/NNG+는/JX
신뢰성을	신뢰/NNG+성/XSN+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
중앙대	중앙대/NNP
윤기봉	윤기봉/NNP
교수를	교수/NNG+를/JKO
위원장으로	위원장/NNG+으로/JKB
임명하는	임명/NNG+하/XSV+는/ETM
등	등/NNB
민간	민간/NNG
전문가들의	전문가/NNG+들/XSN+의/JKG
참여	참여/NNG
폭을	폭/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.165.16.5
새로 출범할 위원회는 발전소와 광산, 석유 비축, 액화천연가스(LNG) 생산, 민간 가스시설 등의 안전성을 일제히 점검하는 한편 관련 제도 개선작업에도 나설 예정이다.

새로	새로/MAG
출범할	출범/NNG+하/XSV+ㄹ/ETM
위원회는	위원회/NNG+는/JX
발전소와	발전소/NNG+와/JC
광산,	광산/NNG+,/SP
석유	석유/NNG
비축,	비축/NNG+,/SP
액화천연가스(LNG)	액화/NNG+천연가스/NNG+(/SS+LNG/SL+)/SS
생산,	생산/NNG+,/SP
민간	민간/NNG
가스시설	가스/NNG+시설/NNG
등의	등/NNB+의/JKG
안전성을	안전/NNG+성/XSN+을/JKO
일제히	일제히/MAG
점검하는	점검/NNG+하/XSV+는/ETM
한편	한편/NNG
관련	관련/NNG
제도	제도/NNG
개선작업에도	개선/NNG+작업/NNG+에/JKB+도/JX
나설	나서/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


