# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.437
metadata : {}


# id : NWRW1800000054.437.1.1
MB·朴정부때 사건만 19건… 정치보복 논란… 국정원이 의뢰, 검찰 총동원… 전례없는 일

MB·朴정부때	MB/SL+·/SP+朴/SH+정부/NNG+때/NNG
정권이 관심을 갖고 국정 과제로 내세우는 수사여서 그런다고 볼 수밖에 없다.

정권이	정권/NNG+이/JKS
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
국정	국정/NNG
과제로	과제/NNG+로/JKB
내세우는	내세우/VV+는/ETM
수사여서	수사/NNG+이/VCP+어서/EC
그런다고	그러/VV+ㄴ다고/EC
볼	보/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.437.4.5
이 때문에 검찰이 사실상 정권 요구에 맞춰 하명(下命) 수사를 한다는 지적이 계속 나왔다.

이	이/NP
때문에	때문/NNB+에/JKB
검찰이	검찰/NNG+이/JKS
사실상	사실/NNG+상/XSN
정권	정권/NNG
요구에	요구/NNG+에/JKB
맞춰	맞추/VV+어/EC
하명(下命)	하명/NNG+(/SS+下命/SH+)/SS
수사를	수사/NNG+를/JKO
한다는	하/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
계속	계속/MAG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.437.4.6
한 전직 검찰총장은 "국정원에서 검찰에 수사 의뢰를 하고 검찰이 곧바로 수사에 착수하는 방식은 전례가 없던 일"이라며 "하명 수사란 지적을 피하기 어렵다"고 했다.

한	한/MMN
전직	전직/NNG
검찰총장은	검찰/NNG+총장/NNG+은/JX
"국정원에서	"/SS+국정원/NNG+에서/JKB
검찰에	검찰/NNG+에/JKB
수사	수사/NNG
의뢰를	의뢰/NNG+를/JKO
하고	하/VV+고/EC
검찰이	검찰/NNG+이/JKS
곧바로	곧바로/MAG
수사에	수사/NNG+에/JKB
착수하는	착수/NNG+하/XSV+는/ETM
방식은	방식/NNG+은/JX
전례가	전례/NNG+가/JKS
없던	없/VA+던/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"하명	"/SS+하명/NNG
수사란	수사/NNG+이/VCP+란/ETM
지적을	지적/NNG+을/JKO
피하기	피하/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.437.5.1
윤석열 서울중앙지검장의 '셀프 수사'라는 지적도 나왔다.

윤석열	윤석열/NNP
서울중앙지검장의	서울중앙지검장/NNG+의/JKG
'셀프	'/SS+셀프/NNG
수사'라는	수사/NNG+'/SS+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.437.5.2
검찰은 2013년 국정원 댓글 수사팀의 수사를 국정원이 방해한 혐의를 수사하고 있다.

검찰은	검찰/NNG+은/JX
2013년	2013/SN+년/NNB
국정원	국정원/NNG
댓글	댓글/NNG
수사팀의	수사/NNG+팀/NNG+의/JKG
수사를	수사/NNG+를/JKO
국정원이	국정원/NNG+이/JKS
방해한	방해/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
수사하고	수사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.437.5.3
그런데 당시 국정원의 수사 방해를 받았다는 수사팀 팀장이 윤 지검장이다.

그런데	그런데/MAJ
당시	당시/NNG
국정원의	국정원/NNG+의/JKG
수사	수사/NNG
방해를	방해/NNG+를/JKO
받았다는	받/VV+았/EP+다는/ETM
수사팀	수사/NNG+팀/NNG
팀장이	팀장/NNG+이/JKS
윤	윤/NNP
지검장이다.	지검장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.437.5.4
국정원 댓글 수사 방해 사건을 수사하는 서울중앙지검의 진재선 공안2부장, 김성훈 공공형사수사부장도 당시 수사팀이었다.

국정원	국정원/NNG
댓글	댓글/NNG
수사	수사/NNG
방해	방해/NNG
사건을	사건/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
서울중앙지검의	서울중앙지검/NNP+의/JKG
진재선	진재선/NNP
공안2부장,	공안/NNG+2/SN+부장/NNG+,/SP
김성훈	김성훈/NNP
공공형사수사부장도	공공/NNG+형사/NNG+수사부장/NNG+도/JX
당시	당시/NNG
수사팀이었다.	수사/NNG+팀/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.437.5.5
사건 당사자인 이들이 이제 와 과거 사건 수사를 주도하는 것이 맞느냐는 것이다.

사건	사건/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
이제	이제/MAG
와	오/VV+아/EC
과거	과거/NNG
수사를	수사/NNG+를/JKO
주도하는	주도/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
맞느냐는	맞/VV+느냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.437.5.6
이들은 2013년 사건 수사 이후 좌천되는 일까지 겪었다.

이들은	이/NP+들/XSN+은/JX
2013년	2013/SN+년/NNB
사건	사건/NNG
수사	수사/NNG
이후	이후/NNG
좌천되는	좌천/NNG+되/XSV+는/ETM
일까지	일/NNG+까지/JX
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.437.5.7
상당수 일선 검사들은 "이들이 과연 사감(私感) 없이 수사를 할 수 있겠느냐"며 "이런 식의 수사는 부적절하다"고 하고 있다.

상당수	상당수/NNG
일선	일선/NNG
검사들은	검사/NNG+들/XSN+은/JX
"이들이	"/SS+이/NP+들/XSN+이/JKS
과연	과연/MAG
사감(私感)	사감/NNG+(/SS+私感/SH+)/SS
없이	없이/MAG
수사를	수사/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있겠느냐"며	있/VA+겠/EP+느냐/EF+"/SS+며/EC
"이런	"/SS+이런/MMD
식의	식/NNB+의/JKG
수사는	수사/NNG+는/JX
부적절하다"고	부적절하/VA+다/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.437.6.1
검찰이 노무현 전 대통령의 '신원(伸寃) 수사'를 한다는 말도 나온다.

검찰이	검찰/NNG+이/JKS
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
'신원(伸寃)	'/SS+신원/NNG+(/SS+伸寃/SH+)/SS
수사'를	수사/NNG+'/SS+를/JKO
한다는	하/VV+ㄴ다는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.437.6.2
2008년 태광실업 세무조사와 관련해 한상률 전 국세청장이 직권남용 혐의로 고발된 사건이다.

2008년	2008/SN+년/NNB
태광실업	태광실업/NNP
세무조사와	세무/NNG+조사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
한상률	한상률/NNP
전	전/MMD
국세청장이	국세청장/NNG+이/JKS
직권남용	직권/NNG+남용/NNG
혐의로	혐의/NNG+로/JKB
고발된	고발/NNG+되/XSV+ㄴ/ETM
사건이다.	사건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.437.6.3
한 전 청장이 직권을 남용해 이 세무조사를 기획했다는 것이다.

한	한/NNP
전	전/MMD
청장이	청장/NNG+이/JKS
직권을	직권/NNG+을/JKO
남용해	남용/NNG+하/XSV+아/EC
이	이/MMD
세무조사를	세무/NNG+조사/NNG+를/JKO
기획했다는	기획/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.437.6.4
이명박 정부 출범 직후인 2008년 7월 이뤄진 태광실업 세무조사는 이후 국세청 고발과 검찰 수사, 노 전 대통령의 자살로 이어졌다.

이명박	이명박/NNP
정부	정부/NNG
출범	출범/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
2008년	2008/SN+년/NNB
7월	7/SN+월/NNB
이뤄진	이뤄지/VV+ㄴ/ETM
태광실업	태광실업/NNP
세무조사는	세무/NNG+조사/NNG+는/JX
이후	이후/NNG
국세청	국세청/NNG
고발과	고발/NNG+과/JKB
검찰	검찰/NNG
수사,	수사/NNG+,/SP
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
자살로	자살/NNG+로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.437.6.5
검찰은 최근 이 사건 수사에 착수했는데, 이를 두고 검찰이 애초 세무조사부터 정치적으로 이뤄졌다는 점을 부각해 이후 과정 전체가 문제가 있었다는 식으로 마무리 지으려는 것 아니냐는 해석이 나온다.

검찰은	검찰/NNG+은/JX
최근	최근/NNG
이	이/MMD
사건	사건/NNG
수사에	수사/NNG+에/JKB
착수했는데,	착수/NNG+하/XSV+았/EP+는데/EC+,/SP
이를	이/NP+를/JKO
두고	두/VV+고/EC
검찰이	검찰/NNG+이/JKS
애초	애초/NNG
세무조사부터	세무/NNG+조사/NNG+부터/JX
정치적으로	정치/NNG+적/XSN+으로/JKB
이뤄졌다는	이뤄지/VV+었/EP+다는/ETM
점을	점/NNG+을/JKO
부각해	부각/NNG+하/XSV+아/EC
이후	이후/NNG
과정	과정/NNG
전체가	전체/NNG+가/JKS
문제가	문제/NNG+가/JKS
있었다는	있/VA+었/EP+다는/ETM
식으로	식/NNB+으로/JKB
마무리	마무리/NNG
지으려는	짓/VV+으려는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
해석이	해석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.437.7.1
이런 검찰 수사에 대해 전직 검찰총장과 법무장관들은 거의 한목소리로 비판했다.

이런	이런/MMD
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
대해	대하/VV+아/EC
전직	전직/NNG
검찰총장과	검찰/NNG+총장/NNG+과/JC
법무장관들은	법무/NNG+장관/NNG+들/XSN+은/JX
거의	거의/MAG
한목소리로	한목소리/NNG+로/JKB
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.437.7.2
한 전직 검찰총장은 "검찰이 몰아치듯 수사하는 걸 보면 정치 보복 수사라는 느낌이 든다"며 "이는 결국 검찰 신뢰를 떨어뜨릴 것"이라고 했다.

한	한/MMN
전직	전직/NNG
검찰총장은	검찰/NNG+총장/NNG+은/JX
"검찰이	"/SS+검찰/NNG+이/JKS
몰아치듯	몰아치/VV+듯/EC
수사하는	수사/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
보면	보/VV+면/EC
정치	정치/NNG
보복	보복/NNG
수사라는	수사/NNG+이/VCP+라는/ETM
느낌이	느낌/NNG+이/JKS
든다"며	들/VV+ㄴ다/EF+"/SS+며/EC
"이는	"/SS+이/NP+는/JX
결국	결국/MAG
검찰	검찰/NNG
신뢰를	신뢰/NNG+를/JKO
떨어뜨릴	떨어뜨리/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.437.7.3
한 전직 법무부 장관은 "이런 식의 수사는 비난을 받을 수밖에 없다"며 "이젠 검찰총장이 엄격한 기준을 세워 수사할 사건을 선별해야 한다"고 했다.

한	한/MMN
전직	전직/NNG
법무부	법무부/NNG
장관은	장관/NNG+은/JX
"이런	"/SS+이런/MMD
식의	식/NNB+의/JKG
수사는	수사/NNG+는/JX
비난을	비난/NNG+을/JKO
받을	받/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"이젠	"/SS+이제/NNG+ㄴ/JX
검찰총장이	검찰/NNG+총장/NNG+이/JKS
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
기준을	기준/NNG+을/JKO
세워	세우/VV+어/EC
수사할	수사/NNG+하/XSV+ㄹ/ETM
사건을	사건/NNG+을/JKO
선별해야	선별/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


