# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.257
metadata : {}


# id : NWRW1800000037.257.1.1
슈퍼매치 수원성, 지친 서울 가두다

슈퍼매치	슈퍼/NNG+매치/NNG
4월	4/SN+월/NNB
14일	14/SN+일/NNB
수원월드컵경기장에서	수원월드컵경기장/NNP+에서/JKB
경기에는	경기/NNG+에/JKB+는/JX
3만789명이	3/SN+만/NR+789/SN+명/NNB+이/JKS
입장했다.	입장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.257.4.5
지난해에도 수원-서울 경기의 평균관중은 4만4960명에 이르렀다.

지난해에도	지난해/NNG+에/JKB+도/JX
수원-서울	수원/NNP+-/SO+서울/NNP
경기의	경기/NNG+의/JKG
평균관중은	평균/NNG+관중/NNG+은/JX
4만4960명에	4/SN+만/NR+4960/SN+명/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.5.1
이날 경기는 최근 ‘안방 불패’를 자랑하는 수원의 2-0 승리로 마무리됐다.

이날	이날/NNG
경기는	경기/NNG+는/JX
최근	최근/NNG
‘안방	‘/SS+안방/NNG
불패’를	불패/NNG+’/SS+를/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
수원의	수원/NNP+의/JKG
2-0	2/SN+-/SO+0/SN
승리로	승리/NNG+로/JKB
마무리됐다.	마무리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.5.2
이날 승리로 수원은 안방경기 10연속 무패(5승 5무)를 기록했다.

이날	이날/NNG
승리로	승리/NNG+로/JKB
수원은	수원/NNP+은/JX
안방경기	안방/NNG+경기/NNG
10연속	10/SN+연속/NNG
무패(5승	무패/NNG+(/SS+5/SN+승/NNB
5무)를	5/SN+무/NNB+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.257.5.3
서울과의 안방 맞대결에서도 8연속 무패(7승 1무)를 기록했다.

서울과의	서울/NNP+과/JKB+의/JKG
안방	안방/NNG
맞대결에서도	맞대결/NNG+에서/JKB+도/JX
8연속	8/SN+연속/NNG
무패(7승	무패/NNG+(/SS+7/SN+승/NNB
1무)를	1/SN+무/NNB+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.257.5.4
또 올 시즌 서울과의 맞대결에서도 1승 1무 1패로 균형을 맞췄다.

또	또/MAG
올	올/NNG
시즌	시즌/NNG
서울과의	서울/NNP+과/JKB+의/JKG
맞대결에서도	맞대결/NNG+에서/JKB+도/JX
1승	1/SN+승/NNB
1무	1/SN+무/NNB
1패로	1/SN+패/NNB+로/JKB
균형을	균형/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.6.1
수원은 최근 아시아축구연맹(AFC) 챔피언스리그와 K리그를 병행하면서 선수들의 체력이 많이 떨어진 서울을 전반부터 압도했다.

수원은	수원/NNP+은/JX
최근	최근/NNG
아시아축구연맹(AFC)	아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
챔피언스리그와	챔피언스리그/NNG+와/JC
K리그를	K/SL+리그/NNG+를/JKO
병행하면서	병행/NNG+하/XSV+면서/EC
선수들의	선수/NNG+들/XSN+의/JKG
체력이	체력/NNG+이/JKS
많이	많이/MAG
떨어진	떨어지/VV+ㄴ/ETM
서울을	서울/NNP+을/JKO
전반부터	전반/NNG+부터/JX
압도했다.	압도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.257.6.2
반면 서울은 2014년 브라질 월드컵 유럽 최종예선에 몬테네그로 대표로 출전 중인 공격수 데얀의 공백을 메우지 못했다.

반면	반면/NNG
서울은	서울/NNP+은/JX
2014년	2014/SN+년/NNB
브라질	브라질/NNP
월드컵	월드컵/NNG
유럽	유럽/NNP
최종예선에	최종/NNG+예선/NNG+에/JKB
몬테네그로	몬테네그로/NNP
대표로	대표/NNG+로/JKB
출전	출전/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
공격수	공격수/NNG
데얀의	데얀/NNP+의/JKG
공백을	공백/NNG+을/JKO
메우지	메우/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.257.6.3
슈팅수에서 수원은 서울에 22-15로 크게 앞섰다.

슈팅수에서	슈팅/NNG+수/NNG+에서/JKB
수원은	수원/NNP+은/JX
서울에	서울/NNP+에/JKB
22-15로	22/SN+-/SO+15/SN+로/JKB
크게	크/VA+게/EC
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.7.1
전반에 착실히 기회를 쌓아가던 수원은 후반 13분 기다리던 선제골을 넣었다.

전반에	전반/NNG+에/JKB
착실히	착실히/MAG
기회를	기회/NNG+를/JKO
쌓아가던	쌓/VV+아/EC+가/VX+던/ETM
수원은	수원/NNP+은/JX
후반	후반/NNG
13분	13/SN+분/NNB
기다리던	기다리/VV+던/ETM
선제골을	선제골/NNG+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.7.2
최근 경찰축구단에서 복귀한 염기훈의 코너킥이 팀 동료 조동건의 머리에 맞고 굴절되자 반대편에 있던 산토스가 그대로 발리슛으로 골망을 흔들었다.

최근	최근/NNG
경찰축구단에서	경찰축구단/NNP+에서/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
염기훈의	염기훈/NNP+의/JKG
코너킥이	코너킥/NNG+이/JKS
팀	팀/NNG
동료	동료/NNG
조동건의	조동건/NNP+의/JKG
머리에	머리/NNG+에/JKB
맞고	맞/VV+고/EC
굴절되자	굴절/NNG+되/XSV+자/EC
반대편에	반대편/NNG+에/JKB
있던	있/VA+던/ETM
산토스가	산토스/NNP+가/JKS
그대로	그대로/MAG
발리슛으로	발리슛/NNG+으로/JKB
골망을	골/NNG+망/NNG+을/JKO
흔들었다.	흔들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.7.3
후반 16분 교체 투입된 정대세는 후반 37분 골문 왼쪽 앞에서 오른발 터닝슛으로 추가골을 터뜨렸다.

후반	후반/NNG
16분	16/SN+분/NNB
교체	교체/NNG
투입된	투입/NNG+되/XSV+ㄴ/ETM
정대세는	정대세/NNP+는/JX
37분	37/SN+분/NNB
골문	골문/NNG
왼쪽	왼쪽/NNG
앞에서	앞/NNG+에서/JKB
오른발	오른발/NNG
터닝슛으로	터닝슛/NNG+으로/JKB
추가골을	추가/NNG+골/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.7.4
정대세는 4월 14일 서울과의 맞대결(1-1·무)에서 불필요한 파울로 퇴장당해 실망을 안겼던 것에 대한 속죄의 의미로 수원 팬에게 큰절을 하는 세리머니를 선보였다.

정대세는	정대세/NNP+는/JX
4월	4/SN+월/NNB
14일	14/SN+일/NNB
서울과의	서울/NNP+과/JKB+의/JKG
맞대결(1-1·무)에서	맞대결/NNG+(/SS+1/SN+-/SO+1/SN+·/SP+무/NNG+)/SS+에서/JKB
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
파울로	파울/NNG+로/JKB
퇴장당해	퇴장/NNG+당하/XSV+아/EC
실망을	실망/NNG+을/JKO
안겼던	안기/VV+었/EP+던/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
속죄의	속죄/NNG+의/JKG
의미로	의미/NNG+로/JKB
수원	수원/NNP
팬에게	팬/NNG+에게/JKB
큰절을	큰절/NNG+을/JKO
하는	하/VV+는/ETM
세리머니를	세리머니/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.257.7.5
수원 서정원 감독은 “한 골을 넣은 뒤 더 공격적으로 가기 위해 정대세를 교체 투입한 것이 주효했다”고 말했다.

수원	수원/NNP
서정원	서정원/NNP
감독은	감독/NNG+은/JX
“한	“/SS+한/MMN
골을	골/NNG+을/JKO
넣은	넣/VV+은/ETM
뒤	뒤/NNG
더	더/MAG
공격적으로	공격/NNG+적/XSN+으로/JKB
가기	가/VV+기/ETN
위해	위하/VV+아/EC
정대세를	정대세/NNP+를/JKO
교체	교체/NNG
투입한	투입/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
주효했다”고	주효/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.257.8.1
강원은 제주월드컵경기장에서 열린 제주와의 B그룹 방문경기에서 상대 자책골로 앞서 나갔지만 후반 추가시간 동점골을 허용하면서 1-1로 비겼다.

강원은	강원/NNP+은/JX
제주월드컵경기장에서	제주월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제주와의	제주/NNP+와/JKB+의/JKG
B그룹	B/SL+그룹/NNG
방문경기에서	방문/NNG+경기/NNG+에서/JKB
상대	상대/NNG
자책골로	자책골/NNG+로/JKB
앞서	앞서/VV+어/EC
나갔지만	나가/VX+았/EP+지만/EC
후반	후반/NNG
추가시간	추가/NNG+시간/NNG
동점골을	동점/NNG+골/NNG+을/JKO
허용하면서	허용/NNG+하/XSV+면서/EC
1-1로	1/SN+-/SO+1/SN+로/JKB
비겼다.	비기/VV+었/EP+다/EF+./SF


