# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.245
metadata : {}


# id : NWRW1800000049.245.1.1
예년과 다르네… FA시장 나흘째 계약 0

예년과	예년/NNG+과/JKB
시장에 나오기 무섭게 계약이 이뤄지곤 하던 예년과는 확연히 달라졌다.

시장에	시장/NNG+에/JKB
나오기	나오/VV+기/ETN
무섭게	무섭/VA+게/EC
계약이	계약/NNG+이/JKS
이뤄지곤	이뤄지/VV+곤/EC
하던	하/VX+던/ETM
예년과는	예년/NNG+과/JKB+는/JX
확연히	확연히/MAG
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.245.4.1
가장 큰 이유는 김광현(SK) 양현종(KIA) 차우찬(삼성·이상 투수) 최형우(삼성·외야수), 황재균(롯데·내야수) 등 ‘빅5’가 모두 국내 잔류보다 해외 진출을 노리고 있기 때문이다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유는	이유/NNG+는/JX
김광현(SK)	김광현/NNP+(/SS+SK/SL+)/SS
양현종(KIA)	양현종/NNP+(/SS+KIA/SL+)/SS
차우찬(삼성·이상	차우찬/NNP+(/SS+삼성/NNP+·/SP+이상/NNG
투수)	투수/NNG+)/SS
최형우(삼성·외야수),	최형우/NNP+(/SS+삼성/NNP+·/SP+외야수/NNG+)/SS+,/SP
황재균(롯데·내야수)	황재균/NNP+(/SS+롯데/NNP+·/SP+내야수/NNG+)/SS
등	등/NNB
‘빅5’가	‘/SS+빅/NNG+5/SN+’/SS+가/JKS
모두	모두/MAG
국내	국내/NNG
잔류보다	잔류/NNG+보다/JKB
해외	해외/NNG
진출을	진출/NNG+을/JKO
노리고	노리/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.245.5.1
사실 이들로서는 밑질 게 없는 장사다.

사실	사실/MAG
이들로서는	이/NP+들/XSN+로서/JKB+는/JX
밑질	밑지/VV+ㄹ/ETM
게	거/NNB+이/JKS
없는	없/VA+는/ETM
장사다.	장사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.245.5.2
메이저리그 진출이라는 명분이 있고, 좋은 계약이 이뤄지면 큰돈을 벌 수도 있다.

메이저리그	메이저리그/NNG
진출이라는	진출/NNG+이/VCP+라는/ETM
명분이	명분/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
좋은	좋/VA+은/ETM
계약이	계약/NNG+이/JKS
이뤄지면	이뤄지/VV+면/EC
큰돈을	큰돈/NNG+을/JKO
벌	벌/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.245.5.3
만약 도전에 실패하더라도 국내로 다시 돌아오면 된다.

만약	만약/MAG
도전에	도전/NNG+에/JKB
실패하더라도	실패/NNG+하/XSV+더라도/EC
국내로	국내/NNG+로/JKB
다시	다시/MAG
돌아오면	돌아오/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.245.5.4
KIA 투수 윤석민이 좋은 예다.

KIA	KIA/SL
투수	투수/NNG
윤석민이	윤석민/NNP+이/JKS
좋은	좋/VA+은/ETM
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.245.5.5
2014년 메이저리그 볼티모어와 계약했던 윤석민은 1년 내내 마이너리그에만 머무른 뒤 이듬해 4년간 90억 원을 받기로 하고 KIA에 복귀했다.

2014년	2014/SN+년/NNB
메이저리그	메이저리그/NNG
볼티모어와	볼티모어/NNP+와/JKB
계약했던	계약/NNG+하/XSV+았/EP+던/ETM
윤석민은	윤석민/NNP+은/JX
1년	1/SN+년/NNB
내내	내내/MAG
마이너리그에만	마이너리그/NNG+에/JKB+만/JX
머무른	머무르/VV+ㄴ/ETM
뒤	뒤/NNG
이듬해	이듬해/NNG
4년간	4/SN+년/NNB+간/XSN
90억	90/SN+억/NR
원을	원/NNB+을/JKO
받기로	받/VV+기/ETN+로/JKB
하고	하/VV+고/EC
KIA에	KIA/SL+에/JKB
복귀했다.	복귀/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.245.6.1
메이저리그 구단들의 눈으로 볼 때 이들은 확실한 주전급들이 아니다.

메이저리그	메이저리그/NNG
구단들의	구단/NNG+들/XSN+의/JKG
눈으로	눈/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
이들은	이/NP+들/XSN+은/JX
확실한	확실하/VA+ㄴ/ETM
주전급들이	주전급/NNG+들/XSN+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.245.6.2
따라서 이들의 거취는 다음 달 열리는 메이저리그 윈터미팅(12월 6∼9일) 뒤에야 결정될 것으로 보인다.

따라서	따라서/MAJ
이들의	이/NP+들/XSN+의/JKG
거취는	거취/NNG+는/JX
다음	다음/NNG
달	달/NNG
열리는	열리/VV+는/ETM
메이저리그	메이저리그/NNG
윈터미팅(12월	윈터미팅/NNG+(/SS+12/SN+월/NNB
6∼9일)	6/SN+∼/SO+9/SN+일/NNB+)/SS
뒤에야	뒤/NNG+에/JKB+야/JX
결정될	결정/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.245.6.3
이들의 목적지가 정해져야 나머지 준척급 선수들의 이동도 연쇄적으로 이뤄질 가능성이 크다.

이들의	이/NP+들/XSN+의/JKG
목적지가	목적지/NNG+가/JKS
정해져야	정하/VV+아/EC+지/VX+어야/EC
나머지	나머지/NNG
준척급	준척급/NNG
선수들의	선수/NNG+들/XSN+의/JKG
이동도	이동/NNG+도/JX
연쇄적으로	연쇄/NNG+적/XSN+으로/JKB
이뤄질	이뤄지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000049.245.7.1
빅5 선수들을 바라보는 국내 구단 관계자들의 마음은 복잡하다.

빅5	빅/NNG+5/SN
선수들을	선수/NNG+들/XSN+을/JKO
바라보는	바라보/VV+는/ETM
국내	국내/NNG
구단	구단/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
마음은	마음/NNG+은/JX
복잡하다.	복잡하/VA+다/EF+./SF


# id : NWRW1800000049.245.7.2
팀 전력상 반드시 필요한 것은 맞지만 그렇다고 선수들의 마음을 사로잡기 위해 천문학적인 돈을 안겨 주는 것도 쉽지 않기 때문이다.

팀	팀/NNG
전력상	전력/NNG+상/XSN
반드시	반드시/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
맞지만	맞/VV+지만/EC
그렇다고	그렇/VA+다고/EC
선수들의	선수/NNG+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
사로잡기	사로잡/VV+기/ETN
위해	위하/VV+아/EC
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
돈을	돈/NNG+을/JKO
안겨	안기/VV+어/EC
주는	주/VX+는/ETM
것도	것/NNB+도/JX
쉽지	쉽/VA+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.245.8.1
공식 발표상 역대 최고 FA 금액은 지난해 박석민(내야수)이 삼성에서 NC로 이적하면서 받은 4년간 96억 원이다.

공식	공식/NNG
발표상	발표/NNG+상/XSN
역대	역대/NNG
최고	최고/NNG
FA	FA/SL
금액은	금액/NNG+은/JX
지난해	지난해/NNG
박석민(내야수)이	박석민/NNP+(/SS+내야수/NNG+)/SS+이/JKS
삼성에서	삼성/NNP+에서/JKB
NC로	NC/SL+로/JKB
이적하면서	이적/NNG+하/XSV+면서/EC
받은	받/VV+은/ETM
4년간	4/SN+년/NNB+간/XSN
96억	96/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.245.8.2
빅5 선수를 잡으려면 100억 원 이상을 줘야 한다는 게 야구계의 정설이다.

빅5	빅/NNG+5/SN
선수를	선수/NNG+를/JKO
잡으려면	잡/VV+으려면/EC
100억	100/SN+억/NR
원	원/NNB
이상을	이상/NNG+을/JKO
줘야	주/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
야구계의	야구/NNG+계/XSN+의/JKG
정설이다.	정설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.245.8.3
이 때문에 “차라리 국내에 남지 않고 해외로 나갔으면 좋겠다”는 말까지 나온다.

이	이/MMD
때문에	때문/NNB+에/JKB
“차라리	“/SS+차라리/MAG
국내에	국내/NNG+에/JKB
남지	남/VV+지/EC
않고	않/VX+고/EC
해외로	해외/NNG+로/JKB
나갔으면	나가/VV+았/EP+으면/EC
좋겠다”는	좋/VA+겠/EP+다/EF+”/SS+는/ETM
말까지	말/NNG+까지/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.245.9.1
한 구단 관계자는 “선수들 몸값이 천정부지로 뛰면서 오히려 일본보다 더 비싼 것 같다.

한	한/MMN
구단	구단/NNG
관계자는	관계자/NNG+는/JX
“선수들	“/SS+선수/NNG+들/XSN
몸값이	몸값/NNG+이/JKS
천정부지로	천정부지/NNG+로/JKB
뛰면서	뛰/VV+면서/EC
오히려	오히려/MAG
일본보다	일본/NNP+보다/JKB
더	더/MAG
비싼	비싸/VA+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.245.9.2
지금처럼 100억 원을 쉽게 부르는 시대라면 몇 년 뒤 과연 몇 개 구단이나 버틸 수 있을지 모르겠다”고 푸념했다.

지금처럼	지금/NNG+처럼/JKB
100억	100/SN+억/NR
원을	원/NNB+을/JKO
쉽게	쉽/VA+게/EC
부르는	부르/VV+는/ETM
시대라면	시대/NNG+이/VCP+라면/EC
몇	몇/NR
년	년/NNB
뒤	뒤/NNG
과연	과연/MAG
개	개/NNB
구단이나	구단/NNG+이나/JX
버틸	버티/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
푸념했다.	푸념/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.245.10.1
구단들의 진정한 고민은 이들이 국내 잔류를 선언한 다음부터 시작될지도 모르겠다.

구단들의	구단/NNG+들/XSN+의/JKG
진정한	진정하/VA+ㄴ/ETM
고민은	고민/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
국내	국내/NNG
잔류를	잔류/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
다음부터	다음/NNG+부터/JX
시작될지도	시작/NNG+되/XSV+ㄹ지/EC+도/JX
모르겠다.	모르/VV+겠/EP+다/EF+./SF


