# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.132
metadata : {}


# id : NWRW1800000048.132.1.1
중, 미국 이어 스페인에서 도피사범 송환

중,	중/NNP+,/SP
# id : NWRW1800000048.132.7.2
중국 외교부는 “중-미 사이의 법집행 협력 분야의 중요한 진전”이라고 평가했다.

중국	중국/NNP
외교부는	외교부/NNG+는/JX
“중-미	“/SS+중/NNP+-/SO+미/NNP
사이의	사이/NNG+의/JKG
법집행	법/NNG+집행/NNG
협력	협력/NNG
분야의	분야/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
진전”이라고	진전/NNG+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.132.7.3
미국은 중국의 여우 사냥이 자칫 인권, 정치범 탄압을 초래할 수 있다며 부정적인 태도를 보여왔다.

미국은	미국/NNP+은/JX
중국의	중국/NNP+의/JKG
여우	여우/NNG
사냥이	사냥/NNG+이/JKS
자칫	자칫/MAG
인권,	인권/NNG+,/SP
정치범	정치범/NNG
탄압을	탄압/NNG+을/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다며	있/VA+다며/EC
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.132.7.4
중국은 특히 지난해 말 낙마한 링지화 전 통일전선공작부장의 동생인 링완청의 신병 인도를 미국에 요구하고 있으나 미국은 미온적이다.

중국은	중국/NNP+은/JX
특히	특히/MAG
지난해	지난해/NNG
말	말/NNB
낙마한	낙마/NNG+하/XSV+ㄴ/ETM
링지화	링지화/NNP
전	전/MMD
통일전선공작부장의	통일/NNG+전선/NNG+공작/NNG+부장/NNG+의/JKG
동생인	동생/NNG+이/VCP+ㄴ/ETM
링완청의	링완청/NNP+의/JKG
신병	신병/NNG
인도를	인도/NNG+를/JKO
미국에	미국/NNP+에/JKB
요구하고	요구/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
미국은	미국/NNP+은/JX
미온적이다.	미온/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.132.8.1
중국은 2014년부터 반부패 정책의 일환으로 ‘여우 사냥’ 작전을 벌여 현재까지 930명 이상의 국외 도피사범을 송환했다.

중국은	중국/NNP+은/JX
2014년부터	2014/SN+년/NNB+부터/JX
반부패	반/XPN+부패/NNG
정책의	정책/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
‘여우	‘/SS+여우/NNG
사냥’	사냥/NNG+’/SS
작전을	작전/NNG+을/JKO
벌여	벌이/VV+어/EC
현재까지	현재/NNG+까지/JX
930명	930/SN+명/NNB
이상의	이상/NNG+의/JKG
국외	국외/NNG
도피사범을	도피/NNG+사범/NNG+을/JKO
송환했다.	송환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.132.8.2
15일에는 중국 외교부에서 한반도 담당 업무를 맡았던 류젠차오 부장조리(차관보급)를 반부패 업무를 관장하는 국가예방부패국 부국장(차관급)으로 승진시켜 전보 발령을 냈다.

15일에는	15/SN+일/NNB+에/JKB+는/JX
중국	중국/NNP
외교부에서	외교부/NNG+에서/JKB
한반도	한반도/NNP
담당	담당/NNG
업무를	업무/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
류젠차오	류젠차오/NNP
부장조리(차관보급)를	부장조리/NNG+(/SS+차관보급/NNG+)/SS+를/JKO
반부패	반/XPN+부패/NNG
관장하는	관장/NNG+하/XSV+는/ETM
국가예방부패국	국가/NNG+예방/NNG+부패국/NNG
부국장(차관급)으로	부국장/NNG+(/SS+차관급/NNG+)/SS+으로/JKB
승진시켜	승진/NNG+시키/XSV+어/EC
전보	전보/NNG
발령을	발령/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.132.8.3
전문가들은 “외교 경험이 풍부한 그를 이례적으로 전보 발령한 것은 경험을 활용해 여우 사냥과 관련한 외국과의 협력, 소통을 강화하려는 목적”이라고 풀이했다.

전문가들은	전문가/NNG+들/XSN+은/JX
“외교	“/SS+외교/NNG
경험이	경험/NNG+이/JKS
풍부한	풍부하/VA+ㄴ/ETM
그를	그/NP+를/JKO
이례적으로	이례/NNG+적/XSN+으로/JKB
전보	전보/NNG
발령한	발령/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
경험을	경험/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
여우	여우/NNG
사냥과	사냥/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
외국과의	외국/NNG+과/JKB+의/JKG
협력,	협력/NNG+,/SP
소통을	소통/NNG+을/JKO
강화하려는	강화/NNG+하/XSV+려는/ETM
목적”이라고	목적/NNG+”/SS+이라고/JKQ
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


