# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.358
metadata : {}


# id : NWRW1800000049.358.1.1
[단독]위험한 ‘아마추어 내진설계’

[단독]위험한	[/SS+단독/NNG+]/SS+위험/NNG+하/XSA+ㄴ/ETM
적잖은	적잖/VA+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.358.3.2
이에 따라 구조전문가가 내진설계를 맡도록 의무화하고, 부실시공을 막기 위한 감독을 강화하는 등 내진설계의 신뢰성을 높일 수 있는 종합 대책 마련이 시급하다는 지적이 나온다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
구조전문가가	구조/NNG+전문가/NNG+가/JKS
내진설계를	내진/NNG+설계/NNG+를/JKO
맡도록	맡/VV+도록/EC
의무화하고,	의무/NNG+화/XSN+하/XSV+고/EC+,/SP
부실시공을	부실시공/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
감독을	감독/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
등	등/NNB
내진설계의	내진/NNG+설계/NNG+의/JKG
신뢰성을	신뢰/NNG+성/XSN+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
종합	종합/NNG
대책	대책/NNG
마련이	마련/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.358.4.1
3일 국토교통부와 관련 업계에 따르면 5층 이하 중소형 건축물 설계 시 구조설계 비전문가인 건축사들이 컴퓨터 프로그램을 통해 산출된 정보를 활용해 설계를 진행하는 것으로 확인됐다.

3일	3/SN+일/NNB
국토교통부와	국토/NNG+교통부/NNG+와/JKB
관련	관련/NNG
업계에	업계/NNG+에/JKB
따르면	따르/VV+면/EC
5층	5/SN+층/NNG
이하	이하/NNG
중소형	중소형/NNG
건축물	건축물/NNG
설계	설계/NNG
시	시/NNG
구조설계	구조/NNG+설계/NNG
비전문가인	비/XPN+전문가/NNG+이/VCP+ㄴ/ETM
건축사들이	건축사/NNG+들/XSN+이/JKS
컴퓨터	컴퓨터/NNG
프로그램을	프로그램/NNG+을/JKO
통해	통하/VV+아/EC
산출된	산출/NNG+되/XSV+ㄴ/ETM
정보를	정보/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
설계를	설계/NNG+를/JKO
진행하는	진행/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.358.4.2
이들이 사용하는 컴퓨터 프로그램은 건축 정보와 건축 도면을 입력하면 지진 하중 등을 자동으로 계산해주고, 내진설계확인서와 구조계산서까지 만들어준다.

이들이	이/NP+들/XSN+이/JKS
사용하는	사용/NNG+하/XSV+는/ETM
컴퓨터	컴퓨터/NNG
프로그램은	프로그램/NNG+은/JX
건축	건축/NNG
정보와	정보/NNG+와/JC
도면을	도면/NNG+을/JKO
입력하면	입력/NNG+하/XSV+면/EC
지진	지진/NNG
하중	하중/NNG
등을	등/NNB+을/JKO
자동으로	자동/NNG+으로/JKB
계산해주고,	계산/NNG+하/XSV+아/EC+주/VX+고/EC+,/SP
내진설계확인서와	내진/NNG+설계/NNG+확인서/NNG+와/JC
구조계산서까지	구조/NNG+계산서/NNG+까지/JX
만들어준다.	만들/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.358.4.3
문제는 컴퓨터 프로그램의 정보가 정상치를 벗어나거나 오류가 발생할 수 있는데도 건축사들이 이를 제대로 검증하지 않고 사용한다는 것이다.

문제는	문제/NNG+는/JX
컴퓨터	컴퓨터/NNG
프로그램의	프로그램/NNG+의/JKG
정보가	정보/NNG+가/JKS
정상치를	정상치/NNG+를/JKO
벗어나거나	벗어나/VV+거나/EC
오류가	오류/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데도	있/VA+는데/EC+도/JX
건축사들이	건축사/NNG+들/XSN+이/JKS
이를	이/NP+를/JKO
제대로	제대로/MAG
검증하지	검증/NNG+하/XSV+지/EC
않고	않/VX+고/EC
사용한다는	사용/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.358.5.1
이와 관련해 이원호 광운대 건축학부 교수는 “해당 프로그램 자체는 신뢰성이 있는 것으로 확인됐지만 실수든 고의든 수치 입력이 잘못됐을 때 비전문가가 오류를 잡아낼 방법이 없다”며 “3층 이하 건물의 경우 외형상 위험해 보이는데도 서류상으론 괜찮다고 나오는 경우가 종종 있다”고 말했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
이원호	이원호/NNP
광운대	광운대/NNP
건축학부	건축학부/NNG
교수는	교수/NNG+는/JX
“해당	“/SS+해당/NNG
프로그램	프로그램/NNG
자체는	자체/NNG+는/JX
신뢰성이	신뢰/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
확인됐지만	확인/NNG+되/XSV+었/EP+지만/EC
실수든	실수/NNG+든/JX
고의든	고의/NNG+든/JX
수치	수치/NNG
입력이	입력/NNG+이/JKS
잘못됐을	잘못/MAG+되/XSV+었/EP+을/ETM
때	때/NNG
비전문가가	비/XPN+전문가/NNG+가/JKS
오류를	오류/NNG+를/JKO
잡아낼	잡아내/VV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“3층	“/SS+3/SN+층/NNG
이하	이하/NNG
건물의	건물/NNG+의/JKG
경우	경우/NNG
외형상	외형/NNG+상/XSN
위험해	위험/NNG+하/XSA+아/EC
보이는데도	보이/VV+는데/EC+도/JX
서류상으론	서류/NNG+상/XSN+으로/JKB+ㄴ/JX
괜찮다고	괜찮/VA+다고/EC
나오는	나오/VV+는/ETM
경우가	경우/NNG+가/JKS
종종	종종/MAG
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.358.6.1
이에 따라 내진설계확인서를 갖춘 건물이라도 안전 여부를 신뢰하기 어렵다는 지적이 나온다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
내진설계확인서를	내진/NNG+설계/NNG+확인서/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
건물이라도	건물/NNG+이라도/JX
안전	안전/NNG
여부를	여부/NNG+를/JKO
신뢰하기	신뢰/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.358.6.2
실제로 2011년에는 건축사 100여 명이 내진설계확인서를 허위로 작성한 사실이 무더기로 적발되기도 했다.

실제로	실제로/MAG
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
건축사	건축사/NNG
100여	100/SN+여/XSN
명이	명/NNB+이/JKS
내진설계확인서를	내진/NNG+설계/NNG+확인서/NNG+를/JKO
허위로	허위/NNG+로/JKB
작성한	작성/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
무더기로	무더기/NNG+로/JKB
적발되기도	적발/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.358.6.3
내진설계가 제대로 이뤄졌다고 해도 시공 과정 역시 구멍이 많은 것으로 확인됐다.

내진설계가	내진/NNG+설계/NNG+가/JKS
제대로	제대로/MAG
이뤄졌다고	이뤄지/VV+었/EP+다고/EC
해도	하/VX+아도/EC
시공	시공/NNG
과정	과정/NNG
역시	역시/MAG
구멍이	구멍/NNG+이/JKS
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.358.6.4
건설업계는 적격 업체가 시공한 공사는 대부분 문제가 없다고 주장한다.

건설업계는	건설업/NNG+계/XSN+는/JX
적격	적격/NNG
업체가	업체/NNG+가/JKS
시공한	시공/NNG+하/XSV+ㄴ/ETM
공사는	공사/NNG+는/JX
대부분	대/XPN+부분/NNG
문제가	문제/NNG+가/JKS
없다고	없/VA+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.358.6.5
하지만 여전히 건설 현장에서는 다단계 하도급, 건설업 자격증 불법 대여 등으로 부실, 무자격 업체가 시공에 참여할 여지가 많다는 것이다.

하지만	하지만/MAJ
여전히	여전히/MAG
건설	건설/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
다단계	다단계/NNG
하도급,	하도급/NNG+,/SP
건설업	건설업/NNG
자격증	자격증/NNG
불법	불법/NNG
대여	대여/NNG
등으로	등/NNB+으로/JKB
부실,	부실/NNG+,/SP
무자격	무/XPN+자격/NNG
업체가	업체/NNG+가/JKS
시공에	시공/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
많다는	많/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.358.7.1
안광섭 대한건설협회 산업본부장은 “건전한 업체들까지 의심을 받지 않도록 직접시공의무를 확대하고, 자격증 대여에 대한 단속을 강화하는 등 대책을 마련해야 한다”고 말했다.

안광섭	안광섭/NNP
대한건설협회	대한건설협회/NNP
산업본부장은	산업/NNG+본부장/NNG+은/JX
“건전한	“/SS+건전/NNG+하/XSA+ㄴ/ETM
업체들까지	업체/NNG+들/XSN+까지/JX
의심을	의심/NNG+을/JKO
받지	받/VV+지/EC
않도록	않/VX+도록/EC
직접시공의무를	직접/NNG+시공/NNG+의무/NNG+를/JKO
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
자격증	자격증/NNG
대여에	대여/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단속을	단속/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
등	등/NNB
대책을	대책/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.358.8.1
「위험한 ‘아마추어 내진설계’」 보도 관련 알려왔습니다.

「위험한	「/SS+위험/NNG+하/XSA+ㄴ/ETM
‘아마추어	‘/SS+아마추어/NNG
내진설계’」	내진/NNG+설계/NNG+’/SS+」/SS
보도	보도/NNG
관련	관련/NNG
알려왔습니다.	알리/VV+어/EC+오/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000049.358.9.1
본보는 10월 4일자 A1면에 「위험한 ‘아마추어 내진설계’」라는 제목으로 건축사가 내진설계 비전문가임에도 불구하고 내진설계를 하고 있으며 컴퓨터 프로그램에 의존해 설계할 때 오류가 발생해도 검증해 낼 역량이 부족하다고 보도한 바 있습니다.

본보는	본보/NNG+는/JX
10월	10/SN+월/NNB
4일자	4/SN+일/NNB+자/NNG
A1면에	A/SL+1/SN+면/NNG+에/JKB
「위험한	「/SS+위험/NNG+하/XSA+ㄴ/ETM
‘아마추어	‘/SS+아마추어/NNG
내진설계’」라는	내진/NNG+설계/NNG+’/SS+」/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
건축사가	건축사/NNG+가/JKS
내진설계	내진/NNG+설계/NNG
비전문가임에도	비/XPN+전문가/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
내진설계를	내진/NNG+설계/NNG+를/JKO
하고	하/VV+고/EC
있으며	있/VX+으며/EC
컴퓨터	컴퓨터/NNG
프로그램에	프로그램/NNG+에/JKB
의존해	의존/NNG+하/XSV+아/EC
설계할	설계/NNG+하/XSV+ㄹ/ETM
때	때/NNG
오류가	오류/NNG+가/JKS
발생해도	발생/NNG+하/XSV+아도/EC
검증해	검증/NNG+하/XSV+아/EC
낼	내/VX+ㄹ/ETM
역량이	역량/NNG+이/JKS
부족하다고	부족/NNG+하/XSA+다고/EC
보도한	보도/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000049.358.10.1
이에 대해 대한건축사협회 측에서는 건축사는 건축사법에 따른 검증자격을 거친 건축설계·감리 전문가이고, 국토교통부에 따르면 현재 내진설계는 적법한 절차에 따라 진행되고 있으며, 건축사도 구조에 관한 일정 이상의 지식을 가진 전문가로 볼 수 있다고 알려왔습니다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
대한건축사협회	대한건축사협회/NNP
측에서는	측/NNB+에서/JKB+는/JX
건축사는	건축사/NNG+는/JX
건축사법에	건축사법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
검증자격을	검증/NNG+자격/NNG+을/JKO
거친	거칠/VA+ㄴ/ETM
건축설계·감리	건축/NNG+설계/NNG+·/SP+감리/NNG
전문가이고,	전문가/NNG+이/VCP+고/EC+,/SP
국토교통부에	국토/NNG+교통부/NNG+에/JKB
따르면	따르/VV+면/EC
현재	현재/MAG
내진설계는	내진/NNG+설계/NNG+는/JX
적법한	적법/NNG+하/XSA+ㄴ/ETM
절차에	절차/NNG+에/JKB
따라	따르/VV+아/EC
진행되고	진행/NNG+되/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
건축사도	건축사/NNG+도/JX
구조에	구조/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
일정	일정/NNG
이상의	이상/NNG+의/JKG
지식을	지식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
전문가로	전문가/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
알려왔습니다.	알리/VV+어/EC+오/VX+았/EP+습니다/EF+./SF


