# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.171
metadata : {}


# id : NWRW1800000038.171.1.1
바다 메운 새만금 간척지, 오늘 짜릿한 질주 스타트

바다	바다/NNG
벙커들을	벙커/NNG+들/XSN+을/JKO
돌파하는	돌파/NNG+하/XSV+는/ETM
경기다.	경기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.171.6.3
엔듀로 경주는 새만금 늪과 옆 산까지 20㎞ 험로에서 펼쳐진다.

엔듀로	엔듀로/NNG
경주는	경주/NNG+는/JX
새만금	새만금/NNP
늪과	늪/NNG+과/JC
옆	옆/NNG
산까지	산/NNG+까지/JX
20㎞	20/SN+㎞/SW
험로에서	험로/NNG+에서/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.7.1
2010년 4월 외곽 방조제(33㎞)가 완공된 새만금에선 산업단지(18.7㎢)에 이어 내부 호수와 뭍을 가르는 방수제(防水堤)가 조성되고 있다.

2010년	2010/SN+년/NNB
4월	4/SN+월/NNB
외곽	외곽/NNG
방조제(33㎞)가	방조제/NNG+(/SS+33/SN+㎞/SW+)/SS+가/JKS
완공된	완공/NNG+되/XSV+ㄴ/ETM
새만금에선	새만금/NNP+에서/JKB+ㄴ/JX
산업단지(18.7㎢)에	산업/NNG+단지/NNG+(/SS+18/SN+./SP+7/SN+㎢/SW+)/SS+에/JKB
이어	잇/VV+어/EC
내부	내부/NNG
호수와	호수/NNG+와/JC
뭍을	뭍/NNG+을/JKO
가르는	가르/VV+는/ETM
방수제(防水堤)가	방수제/NNG+(/SS+防水堤/SH+)/SS+가/JKS
조성되고	조성/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.171.7.2
산업단지 첫 입주 업체로 OCI가 지난 3월 57만㎡를 분양받았다.

산업단지	산업/NNG+단지/NNG
첫	첫/MMN
입주	입주/NNG
업체로	업체/NNG+로/JKB
OCI가	OCI/SL+가/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
57만㎡를	57/SN+만/NR+㎡/SW+를/JKO
분양받았다.	분양/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.171.7.3
농어촌공사는 대단위 첨단 농업을 일으킬 첫 농업단지(15.13㎢)를 7월 김제시 광활면 앞에 착공한다.

농어촌공사는	농어촌공사/NNP+는/JX
대단위	대/XPN+단위/NNG
첨단	첨단/NNG
농업을	농업/NNG+을/JKO
일으킬	일으키/VV+ㄹ/ETM
첫	첫/MMN
농업단지(15.13㎢)를	농업/NNG+단지/NNG+(/SS+15/SN+./SP+13/SN+㎢/SW+)/SS+를/JKO
7월	7/SN+월/NNB
김제시	김제시/NNP
광활면	광활면/NNP
앞에	앞/NNG+에/JKB
착공한다.	착공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.8.1
두 대회는 부안마실축제와 연계된다.

두	두/MMN
대회는	대회/NNG+는/JX
부안마실축제와	부안/NNP+마실/NNG+축제/NNG+와/JKB
연계된다.	연계/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.8.2
전북 부안군은 변산~고사포 7㎞에서 4일 걷기 행사를 열면서 3~5일 공연·전시 등 60여 가지 이벤트를 펼친다.

전북	전북/NNP
부안군은	부안군/NNP+은/JX
변산~고사포	변산/NNP+~/SO+고사포/NNP
7㎞에서	7/SN+㎞/SW+에서/JKB
4일	4/SN+일/NNB
걷기	걷기/NNG
행사를	행사/NNG+를/JKO
열면서	열/VV+면서/EC
3~5일	3/SN+~/SO+5/SN+일/NNB
공연·전시	공연/NNG+·/SP+전시/NNG
등	등/NNB
60여	60/SN+여/XSN
가지	가지/NNB
이벤트를	이벤트/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


