# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.349
metadata : {}


# id : NWRW1800000030.349.1.1
[포스트 김정일 시대] "20대 청년과 한반도 미래 논의하기는…"

[포스트	[/SS+포스트/NNG
# id : NWRW1800000030.349.5.1
김정은의 실제 나이는 정확하지 않다.

김정은의	김정은/NNP+의/JKG
실제	실제/NNG
나이는	나이/NNG+는/JX
정확하지	정확/NNG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.349.5.2
북한은 1982년생 29세라고 주장하지만 1983년 또는 1984년생이라는 주장이 만만치 않다.

북한은	북한/NNP+은/JX
1982년생	1982/SN+년/NNB+생/XSN
29세라고	29/SN+세/NNB+이/VCP+라고/EC
주장하지만	주장/NNG+하/XSV+지만/EC
1983년	1983/SN+년/NNB
또는	또는/MAG
1984년생이라는	1984/SN+년/NNB+생/XSN+이/VCP+라는/ETM
주장이	주장/NNG+이/JKS
만만치	만만하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.349.5.3
김정일도 자신의 아버지 김일성(1912년생)과 끝자리를 맞추기 위해 1942년으로 생년월일을 조작한 것처럼 김정은도 그랬을 가능성이 있다는 것이다.

김정일도	김정일/NNP+도/JX
자신의	자신/NNG+의/JKG
아버지	아버지/NNG
김일성(1912년생)과	김일성/NNP+(/SS+1912/SN+년/NNB+생/XSN+)/SS+과/JKB
끝자리를	끝자리/NNG+를/JKO
맞추기	맞추/VV+기/ETN
위해	위하/VV+아/EC
1942년으로	1942/SN+년/NNB+으로/JKB
생년월일을	생년월일/NNG+을/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
김정은도	김정은/NNP+도/JX
그랬을	그러/VV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.349.6.1
김정은이 1982년생이라 해도 이명박 대통령과는 40살 차이가 난다.

김정은이	김정은/NNP+이/JKS
1982년생이라	1982/SN+년/NNB+생/XSN+이/VCP+라/EC
해도	하/VV+아도/EC
이명박	이명박/NNP
대통령과는	대통령/NNG+과/JKB+는/JX
40살	40/SN+살/NNB
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.349.6.2
정부의 한 고위 관계자는 22일 '김정은과의 정상회담 가능성'을 묻자 "아무리 최고 지도자라고는 하지만 정권을 막 잡은 29세 청년과 대한민국 대통령이 한반도 미래를 논의하는 것은 참…"이라고 했다.

정부의	정부/NNG+의/JKG
한	한/MMN
고위	고위/NNG
관계자는	관계자/NNG+는/JX
22일	22/SN+일/NNB
'김정은과의	'/SS+김정은/NNP+과/JKB+의/JKG
정상회담	정상/NNG+회담/NNG
가능성'을	가능/NNG+성/XSN+'/SS+을/JKO
묻자	묻/VV+자/EC
"아무리	"/SS+아무리/MAG
최고	최고/NNG
지도자라고는	지도자/NNG+이/VCP+라고/EC+는/JX
하지만	하/VV+지만/EC
정권을	정권/NNG+을/JKO
막	막/MAG
잡은	잡/VV+은/ETM
29세	29/SN+세/NNB
청년과	청년/NNG+과/JC
대한민국	대한민국/NNP
대통령이	대통령/NNG+이/JKS
한반도	한반도/NNP
미래를	미래/NNG+를/JKO
논의하는	논의/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
참…"이라고	참/IC+…/SE+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.349.6.3
다른 고위 관계자도 "(정상회담이라는 것이) 단순히 의전(儀典)적인 문제만으로 따질 일은 아니긴 하지만 (김정은이 맡은) 당 중앙군사위 부위원장이라는 자리가 우리로 치면 차관급인데, 대통령과 만나서 정상회담을 한다는 것도 어색하지 않겠느냐"고 했다.

다른	다른/MMD
고위	고위/NNG
관계자도	관계자/NNG+도/JX
"(정상회담이라는	"/SS+(/SS+정상/NNG+회담/NNG+이/VCP+라는/ETM
것이)	것/NNB+이/JKS+)/SS
단순히	단순히/MAG
의전(儀典)적인	의전/NNG+(/SS+儀典/SH+)/SS+적/XSN+이/VCP+ㄴ/ETM
문제만으로	문제/NNG+만/JX+으로/JKB
따질	따지/VV+ㄹ/ETM
일은	일/NNG+은/JX
아니긴	아니/VCN+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
(김정은이	(/SS+김정은/NNP+이/JKS
맡은)	맡/VV+은/ETM+)/SS
당	당/NNG
중앙군사위	중앙군사위/NNP
부위원장이라는	부위원장/NNG+이/VCP+라는/ETM
자리가	자리/NNG+가/JKS
우리로	우리/NP+로/JKB
치면	치/VV+면/EC
차관급인데,	차관급/NNG+이/VCP+ㄴ데/EC+,/SP
대통령과	대통령/NNG+과/JKB
만나서	만나/VV+아서/EC
정상회담을	정상/NNG+회담/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
것도	것/NNB+도/JX
어색하지	어색하/VA+지/EC
않겠느냐"고	않/VX+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.349.7.1
이 대통령도 작년 9월 러시아 국영 뉴스 채널과의 인터뷰에서 김정은에 대해 "차세대 지명자가 되었다고 해서 카운터파트(counterpart·상대방)가 되는 것은 아니고…"라고 말한 적이 있다.

이	이/NNP
대통령도	대통령/NNG+도/JX
작년	작년/NNG
9월	9/SN+월/NNB
러시아	러시아/NNP
국영	국영/NNG
뉴스	뉴스/NNG
채널과의	채널/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
김정은에	김정은/NNP+에/JKB
대해	대하/VV+아/EC
"차세대	"/SS+차세대/NNG
지명자가	지명자/NNG+가/JKC
되었다고	되/VV+었/EP+다고/EC
해서	하/VV+아서/EC
카운터파트(counterpart·상대방)가	카운터파트/NNG+(/SS+counterpart/SL+·/SP+상대방/NNG+)/SS+가/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
아니고…"라고	아니/VCN+고/EC+…/SE+"/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.349.8.1
정부의 이런 분위기에는 북한 체제가 남북 정상회담을 추진할 정도로 안정되려면 시간이 걸릴 것이란 판단도 작용하고 있다.

정부의	정부/NNG+의/JKG
이런	이런/MMD
분위기에는	분위기/NNG+에/JKB+는/JX
북한	북한/NNP
체제가	체제/NNG+가/JKS
남북	남북/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
안정되려면	안정/NNG+되/XSV+려면/EC
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
판단도	판단/NNG+도/JX
작용하고	작용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.349.8.2
김정일도 김일성 사후(死後) 3년간 대외 활동을 극도로 피했었다.

김정일도	김정일/NNP+도/JX
김일성	김일성/NNP
사후(死後)	사후/NNG+(/SS+死後/SH+)/SS
3년간	3/SN+년/NNB+간/XSN
대외	대외/NNG
활동을	활동/NNG+을/JKO
극도로	극도/NNG+로/JKB
피했었다.	피하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000030.349.8.3
더욱이 이 대통령 임기는 1년 정도밖에 남지 않았다.

더욱이	더욱이/MAG
이	이/NNP
대통령	대통령/NNG
임기는	임기/NNG+는/JX
1년	1/SN+년/NNB
정도밖에	정도/NNG+밖에/JX
남지	남/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.349.8.4
이 대통령은 지난 2007년 노무현 당시 대통령이 남북 정상회담을 발표하자 "대선을 앞두고 남북 정상회담을 추진하려는 것은 뻔한 의도가 있는 것 아니겠느냐"며 "국익이 아닌 대선용이라면 국민의 매서운 비판을 받을 것"이라고 한 적이 있다.

이	이/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
노무현	노무현/NNP
당시	당시/NNG
대통령이	대통령/NNG+이/JKS
남북	남북/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
발표하자	발표/NNG+하/XSV+자/EC
"대선을	"/SS+대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
추진하려는	추진/NNG+하/XSV+려는/ETM
것은	것/NNB+은/JX
뻔한	뻔하/VA+ㄴ/ETM
의도가	의도/NNG+가/JKS
있는	있/VA+는/ETM
것	것/NNB
아니겠느냐"며	아니/VCN+겠/EP+느냐/EF+"/SS+며/EC
"국익이	"/SS+국익/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
대선용이라면	대선/NNG+용/XSN+이/VCP+라면/EC
국민의	국민/NNG+의/JKG
매서운	매섭/VA+ㄴ/ETM
비판을	비판/NNG+을/JKO
받을	받/VV+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.349.8.5
또 "임기 말 정부가 반드시 회담을 해야 하는지에 대해 의문을 제기하는 분들이 있는 만큼 다음 정부로 넘기는 것이 바람직하다"고도 했다.

또	또/MAG
"임기	"/SS+임기/NNG
말	말/NNB
정부가	정부/NNG+가/JKS
반드시	반드시/MAG
회담을	회담/NNG+을/JKO
해야	하/VV+아야/EC
하는지에	하/VX+는지/EF+에/JKB
대해	대하/VV+아/EC
의문을	의문/NNG+을/JKO
제기하는	제기/NNG+하/XSV+는/ETM
분들이	분/NNB+들/XSN+이/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
다음	다음/NNG
정부로	정부/NNG+로/JKB
넘기는	넘기/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다"고도	바람직하/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.349.9.1
◇시진핑 中 부주석과도 30년 차이

◇시진핑	◇/SW+시진핑/NNP
中	中/SH
부주석과도	부주석/NNG+과/JKB+도/JX
30년	30/SN+년/NNB
차이	차이/NNG


# id : NWRW1800000030.349.10.1
김정은의 나이는 후임 정부 대통령들에게도 적잖은 영향을 끼칠 것이란 지적이다.

김정은의	김정은/NNP+의/JKG
나이는	나이/NNG+는/JX
후임	후임/NNG
정부	정부/NNG
대통령들에게도	대통령/NNG+들/XSN+에게/JKB+도/JX
적잖은	적잖/VA+은/ETM
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.349.10.2
한 전문가는 "연륜과 경험을 중시하는 우리 문화적 특성을 감안할 때 후임 대통령들의 남북 정상회담에 대한 열의(熱意)가 떨어질 수 있다"고 했다.

한	한/MMN
전문가는	전문가/NNG+는/JX
"연륜과	"/SS+연륜/NNG+과/JC
경험을	경험/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
우리	우리/NP
문화적	문화/NNG+적/XSN
특성을	특성/NNG+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
후임	후임/NNG
대통령들의	대통령/NNG+들/XSN+의/JKG
남북	남북/NNP
정상회담에	정상/NNG+회담/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열의(熱意)가	열의/NNG+(/SS+熱意/SH+)/SS+가/JKS
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.349.11.1
중국은 김정일 사망 직후 외교부 대변인이 "우리는 조선의 영도자가 편리한 시기에 방문하는 것을 환영한다"며 방중(訪中) 초청을 했다.

중국은	중국/NNP+은/JX
김정일	김정일/NNP
사망	사망/NNG
직후	직후/NNG
외교부	외교부/NNG
대변인이	대변인/NNG+이/JKS
"우리는	"/SS+우리/NP+는/JX
조선의	조선/NNP+의/JKG
영도자가	영도자/NNG+가/JKS
편리한	편리/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
방문하는	방문/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
환영한다"며	환영/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
방중(訪中)	방중/NNG+(/SS+訪中/SH+)/SS
초청을	초청/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.349.11.2
중국의 후진타오 주석은 1942년생으로 김정은과는 40세 이상 차이가 난다.

중국의	중국/NNP+의/JKG
후진타오	후진타오/NNP
주석은	주석/NNG+은/JX
1942년생으로	1942/SN+년/NNB+생/XSN+으로/JKB
김정은과는	김정은/NNP+과/JKB+는/JX
40세	40/SN+세/NNB
이상	이상/NNG
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.349.11.3
1953년생인 시진핑 국가부주석이 상대를 한다 해도 30년 차이다.

1953년생인	1953/SN+년/NNB+생/XSN+이/VCP+ㄴ/ETM
시진핑	시진핑/NNP
국가부주석이	국가/NNG+부주석/NNG+이/JKS
상대를	상대/NNG+를/JKO
한다	하/VV+ㄴ다/EF
해도	하/VV+아도/EC
30년	30/SN+년/NNB
차이다.	차이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.349.11.4
외교관들은 "국가원수 대접을 하기는 하겠지만 아무래도 깊은 얘기를 나누는 데는 한계가 있을 수밖에 없지 않겠느냐"고 했다.

외교관들은	외교관/NNG+들/XSN+은/JX
"국가원수	"/SS+국가/NNG+원수/NNG
대접을	대접/NNG+을/JKO
하기는	하/VV+기/ETN+는/JX
하겠지만	하/VX+겠/EP+지만/EC
아무래도	아무래도/MAG
깊은	깊/VA+은/ETM
얘기를	얘기/NNG+를/JKO
나누는	나누/VV+는/ETM
데는	데/NNB+는/JX
한계가	한계/NNG+가/JKS
있을	있/VA+을/ETM
수밖에	수/NNB+밖에/JX
없지	없/VA+지/EC
않겠느냐"고	않/VX+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


