# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.347
metadata : {}


# id : NWRW1800000054.347.1.1
리정철, 위장 취업

리정철,	리정철/NNP+,/SP
있지만,	있/VX+지만/EC+,/SP
말레이시아	말레이시아/NNP
체류를	체류/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
취업	취업/NNG
비자가	비자/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
해서	하/VV+아서/EC
호의로	호의/NNG+로/JKB
비자	비자/NNG
발급을	발급/NNG+을/JKO
도와줬을	도와주/VV+었/EP+을/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.347.3.3
리정철과 직접 만난 것은 2013년 이후 다섯 번뿐이고, 리정철이 영어를 전혀 못해 그의 딸이 항상 통역으로 나왔다고 한다.

리정철과	리정철/NNP+과/JKB
직접	직접/MAG
만난	만나/VV+ㄴ/ETM
것은	것/NNB+은/JX
2013년	2013/SN+년/NNB
이후	이후/NNG
다섯	다섯/NR
번뿐이고,	번/NNB+뿐/JX+이/VCP+고/EC+,/SP
리정철이	리정철/NNP+이/JKS
영어를	영어/NNP+를/JKO
전혀	전혀/MAG
못해	못/MAG+하/XSV+아/EC
그의	그/NP+의/JKG
딸이	딸/NNG+이/JKS
항상	항상/MAG
통역으로	통역/NNG+으로/JKB
나왔다고	나오/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.347.3.4
그는 리정철에 대해 "겸손하고 차분한 보통 북한인"이라고 했다.

그는	그/NP+는/JX
리정철에	리정철/NNP+에/JKB
대해	대하/VV+아/EC
"겸손하고	"/SS+겸손/NNG+하/XSA+고/EC
차분한	차분하/VA+ㄴ/ETM
보통	보통/NNG
북한인"이라고	북한인/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.347.4.1
총 사장은 "리정철과는 무역 거래를 논의하던 사이"라고 했다.

총	총/NNP
사장은	사장/NNG+은/JX
"리정철과는	"/SS+리정철/NNP+과/JKB+는/JX
무역	무역/NNG
거래를	거래/NNG+를/JKO
논의하던	논의/NNG+하/XSV+던/ETM
사이"라고	사이/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.347.4.2
그는 "북한산 건강식품을 수입하고 말레이시아산 팜유를 수출하는 거래를 협의했지만, 가격 차가 커서 거래가 성사된 적은 없다"고 말했다.

그는	그/NP+는/JX
"북한산	"/SS+북한산/NNP
건강식품을	건강식품/NNG+을/JKO
수입하고	수입/NNG+하/XSV+고/EC
말레이시아산	말레이시아/NNP+산/XSN
팜유를	팜유/NNG+를/JKO
수출하는	수출/NNG+하/XSV+는/ETM
거래를	거래/NNG+를/JKO
협의했지만,	협의/NNG+하/XSV+았/EP+지만/EC+,/SP
가격	가격/NNG
차가	차/NNG+가/JKS
커서	크/VA+어서/EC
거래가	거래/NNG+가/JKS
성사된	성사/NNG+되/XSV+ㄴ/ETM
적은	적/NNB+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.347.4.3
그는 "팜유를 수입하려고 하는데 견적서를 보내달라"는 지난 10일자 리정철의 문자 메시지도 보여줬다.

그는	그/NP+는/JX
"팜유를	"/SS+팜유/NNG+를/JKO
수입하려고	수입/NNG+하/XSV+려고/EC
하는데	하/VX+는데/EC
견적서를	견적서/NNG+를/JKO
보내달라"는	보내/VV+어/EC+달/VX+라/EF+"/SS+는/ETM
지난	지나/VV+ㄴ/ETM
10일자	10/SN+일/NNB+자/NNG
리정철의	리정철/NNP+의/JKG
문자	문자/NNG
메시지도	메시지/NNG+도/JX
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.347.4.4
총 사장은 "북한 지인을 통해 2013년 리정철을 IT 전문가라고 소개받았으나, IT 쪽의 전문적 능력은 없었다"며 "그가 화학 전문가라는 이야기는 이번 사건이 일어나고 나서 처음 들었다"고 했다.

총	총/NNP
사장은	사장/NNG+은/JX
"북한	"/SS+북한/NNP
지인을	지인/NNG+을/JKO
통해	통하/VV+아/EC
2013년	2013/SN+년/NNB
리정철을	리정철/NNP+을/JKO
IT	IT/SL
전문가라고	전문가/NNG+이/VCP+라고/EC
소개받았으나,	소개/NNG+받/XSV+았/EP+으나/EC+,/SP
쪽의	쪽/NNB+의/JKG
전문적	전문/NNG+적/XSN
능력은	능력/NNG+은/JX
없었다"며	없/VA+었/EP+다/EF+"/SS+며/EC
"그가	"/SS+그/NP+가/JKS
화학	화학/NNG
전문가라는	전문가/NNG+이/VCP+라는/ETM
이야기는	이야기/NNG+는/JX
이번	이번/NNG
사건이	사건/NNG+이/JKS
일어나고	일어나/VV+고/EC
나서	나/VX+아서/EC
처음	처음/NNG
들었다"고	듣/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.347.5.1
리정철 집에서 7㎞쯤 떨어진 이 회사는 홍콩의 건강 보조 식품을 가져다 말레이시아에 판매하는 회사로, 직원은 10여명에 불과하다.

리정철	리정철/NNP
집에서	집/NNG+에서/JKB
7㎞쯤	7/SN+㎞/SW+쯤/XSN
떨어진	떨어지/VV+ㄴ/ETM
이	이/MMD
회사는	회사/NNG+는/JX
홍콩의	홍콩/NNP+의/JKG
건강	건강/NNG
보조	보조/NNG
식품을	식품/NNG+을/JKO
가져다	가지/VV+어다/EC
말레이시아에	말레이시아/NNP+에/JKB
판매하는	판매/NNG+하/XSV+는/ETM
회사로,	회사/NNG+로/JKB+,/SP
직원은	직원/NNG+은/JX
10여명에	10/SN+여/XSN+명/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000054.347.5.2
총 사장은 리정철 외에도 비슷한 방법으로 10여명의 북한인이 말레이시아 비자를 받도록 도왔다고 했다.

총	총/NNP
사장은	사장/NNG+은/JX
리정철	리정철/NNP
외에도	외/NNB+에/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
10여명의	10/SN+여/XSN+명/NNB+의/JKG
북한인이	북한인/NNG+이/JKS
말레이시아	말레이시아/NNP
비자를	비자/NNG+를/JKO
받도록	받/VV+도록/EC
도왔다고	돕/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.347.5.3
그는 "불법 아니냐"는 질문에 "개인적 친분과 호의로 그랬는데, 지금 경찰 조사를 받는 등 곤경에 처했다"고 말했다.

그는	그/NP+는/JX
"불법	"/SS+불법/NNG
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
질문에	질문/NNG+에/JKB
"개인적	"/SS+개인/NNG+적/XSN
친분과	친분/NNG+과/JC
호의로	호의/NNG+로/JKB
그랬는데,	그러/VV+었/EP+는데/EC+,/SP
지금	지금/MAG
경찰	경찰/NNG
조사를	조사/NNG+를/JKO
받는	받/VV+는/ETM
등	등/NNB
곤경에	곤경/NNG+에/JKB
처했다"고	처하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


