# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.256
metadata : {}


# id : NWRW1800000033.256.1.1
“한국의 메시 키우자” 17년 찰떡콤비

“한국의	“/SS+한국/NNP+의/JKG
회장은	회장/NNG+은/JX
“저변	“/SS+저변/NNG
확대와	확대/NNG+와/JC
지도자	지도자/NNG
질	질/NNG
향상에	향상/NNG+에/JKB
더	더/MAG
집중하며	집중/NNG+하/XSV+며/EC
유망주를	유망주/NNG+를/JKO
조기	조기/NNG
발굴해	발굴/NNG+하/XSV+아/EC
기술축구를	기술/NNG+축구/NNG+를/JKO
전수하는	전수/NNG+하/XSV+는/ETM
데	데/NNB
힘을	힘/NNG+을/JKO
쏟겠다.	쏟/VV+겠/EP+다/EF+./SF


# id : NWRW1800000033.256.7.2
‘한국판 메시’를 만들기 위해선 조기교육이 가장 중요하다”고 말했다.

‘한국판	‘/SS+한국판/NNG
메시’를	메시/NNP+’/SS+를/JKO
만들기	만들/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
조기교육이	조기/NNG+교육/NNG+이/JKS
가장	가장/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


