# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.394
metadata : {}


# id : NWRW1800000032.394.1.1
뜨거운탐색전

뜨거운탐색전	뜨겁/VA+ㄴ/ETM+탐색전/NNG
소속	소속/NNG
의원으로	의원/NNG+으로/JKB
미국을	미국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
한-미	한-미/NNP
의원	의원/NNG
세미나에	세미나/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
추궁이었다.	추궁/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.394.5.4
박 후보는 “참여정부 시절 정도의 협정이라면 이익 균형이 맞다”며 “지금의 에프티에이는 (현 정부의) 재협상으로 이익균형이 깨졌다”고 답했다.

박	박/NNP
후보는	후보/NNG+는/JX
“참여정부	“/SS+참여/NNG+정부/NNG
시절	시절/NNG
정도의	정도/NNG+의/JKG
협정이라면	협정/NNG+이/VCP+라면/EC
이익	이익/NNG
균형이	균형/NNG+이/JKS
맞다”며	맞/VV+다/EF+”/SS+며/EC
“지금의	“/SS+지금/NNG+의/JKG
에프티에이는	에프티에이/NNG+는/JX
(현	(/SS+현/MMD
정부의)	정부/NNG+의/JKG+)/SS
재협상으로	재/XPN+협상/NNG+으로/JKB
이익균형이	이익/NNG+균형/NNG+이/JKS
깨졌다”고	깨지/VV+었/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.394.6.1
추미애 후보는 노무현 전 대통령의 탄핵(2004년)과 노조법 강행처리(2009년)를 거치며 야권에서 ‘배신’ 이미지를 얻었다는 지적을 받았다.

추미애	추미애/NNP
후보는	후보/NNG+는/JX
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
탄핵(2004년)과	탄핵/NNG+(/SS+2004/SN+년/NNB+)/SS+과/JC
노조법	노조법/NNG
강행처리(2009년)를	강행/NNG+처리/NNG+(/SS+2009/SN+년/NNB+)/SS+를/JKO
거치며	거치/VV+며/EC
야권에서	야권/NNG+에서/JKB
‘배신’	‘/SS+배신/NNG+’/SS
이미지를	이미지/NNG+를/JKO
얻었다는	얻/VV+었/EP+다는/ETM
지적을	지적/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.394.6.2
그러자, “당으로부터 일부 오해도 받았지만 지금은 결과가 좋아져서 오해를 풀고 있다”며 “영남의 딸로 민주당을 선택해 고향에선 배신녀라고 했지만, (지금은) 화합 전도사로 평가되고 있는 것과 마찬가지”라고 응수했다.

그러자,	그러/VV+자/EC+,/SP
“당으로부터	“/SS+당/NNG+으로부터/JKB
일부	일부/NNG
오해도	오해/NNG+도/JX
받았지만	받/VV+았/EP+지만/EC
지금은	지금/NNG+은/JX
결과가	결과/NNG+가/JKS
좋아져서	좋/VA+아/EC+지/VX+어서/EC
오해를	오해/NNG+를/JKO
풀고	풀/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“영남의	“/SS+영남/NNP+의/JKG
딸로	딸/NNG+로/JKB
민주당을	민주당/NNP+을/JKO
선택해	선택/NNG+하/XSV+아/EC
고향에선	고향/NNG+에서/JKB+ㄴ/JX
배신녀라고	배신녀/NNG+이/VCP+라고/EC
했지만,	하/VV+았/EP+지만/EC+,/SP
(지금은)	(/SS+지금/NNG+은/JX+)/SS
화합	화합/NNG
전도사로	전도사/NNG+로/JKB
평가되고	평가/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
마찬가지”라고	마찬가지/NNG+”/SS+라고/JKQ
응수했다.	응수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.394.7.1
천정배 후보는 서울시립대 등록금을 무료로 하겠다고 한 공약이 “지나친 것 아닌가”라는 질문(박영선)이 나오자, “반값등록금도 불만스럽다.

천정배	천정배/NNP
후보는	후보/NNG+는/JX
서울시립대	서울시립대/NNP
등록금을	등록금/NNG+을/JKO
무료로	무료/NNG+로/JKB
하겠다고	하/VV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
공약이	공약/NNG+이/JKS
“지나친	“/SS+지나치/VA+ㄴ/ETM
것	것/NNB
아닌가”라는	아니/VCN+ㄴ가/EF+”/SS+이/VCP+라는/ETM
질문(박영선)이	질문/NNG+(/SS+박영선/NNP+)/SS+이/JKS
나오자,	나오/VV+자/EC+,/SP
“반값등록금도	“/SS+반값/NNG+등록금/NNG+도/JX
불만스럽다.	불만/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000032.394.7.2
교육은 무상이어야 한다”고 물러서지 않았다.

교육은	교육/NNG+은/JX
무상이어야	무상/NNG+이/VCP+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
물러서지	물러서/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.394.8.1
신계륜 후보는 여론조사 지지율이 낮게 나타나는 것과 관련해, 내년 총선에 대비해 지명도를 높이려고 출마한 것 아니냐는 지적을 받았다.

신계륜	신계륜/NNP
후보는	후보/NNG+는/JX
여론조사	여론/NNG+조사/NNG
지지율이	지지/NNG+율/XSN+이/JKS
낮게	낮/VA+게/EC
나타나는	나타나/VV+는/ETM
것과	것/NNB+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
내년	내년/NNG
총선에	총선/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
지명도를	지명도/NNG+를/JKO
높이려고	높이/VV+려고/EC
출마한	출마/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적을	지적/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.394.8.2
신 후보는 “전혀 그렇지 않다”며 “2008년부터 선거를 준비했는데 지난 선거에서 한명숙 전 총리에게 양보했던 것”이라고 답했다.

신	신/NNP
후보는	후보/NNG+는/JX
“전혀	“/SS+전혀/MAG
그렇지	그렇/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“2008년부터	“/SS+2008/SN+년/NNB+부터/JX
선거를	선거/NNG+를/JKO
준비했는데	준비/NNG+하/XSV+았/EP+는데/EC
지난	지나/VV+ㄴ/ETM
선거에서	선거/NNG+에서/JKB
한명숙	한명숙/NNP
전	전/MMD
총리에게	총리/NNG+에게/JKB
양보했던	양보/NNG+하/XSV+았/EP+던/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.394.9.1
민주당은 21일부터 사흘 동안 네 차례의 방송 토론회를 연 뒤, 이번 주말 여론조사 결과와 25일 당원 현장투표 결과를 각각 50%씩 반영해 후보를 결정하게 된다.

민주당은	민주당/NNP+은/JX
21일부터	21/SN+일/NNB+부터/JX
사흘	사흘/NNG
동안	동안/NNG
네	네/MMN
차례의	차례/NNG+의/JKG
방송	방송/NNG
토론회를	토론회/NNG+를/JKO
연	열/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
이번	이번/NNG
주말	주말/NNG
여론조사	여론/NNG+조사/NNG
결과와	결과/NNG+와/JC
25일	25/SN+일/NNB
당원	당원/NNG
현장투표	현장/NNG+투표/NNG
결과를	결과/NNG+를/JKO
각각	각각/MAG
50%씩	50/SN+%/SW+씩/XSN
반영해	반영/NNG+하/XSV+아/EC
후보를	후보/NNG+를/JKO
결정하게	결정/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.394.9.2
경선에서 뽑힌 민주당 후보는 다음달 6일 본선 후보 등록 이전에 박원순 변호사, 민주노동당 최규엽 후보 등과 범야권 통합후보 단일화 경선을 다시 치른다.

경선에서	경선/NNG+에서/JKB
뽑힌	뽑히/VV+ㄴ/ETM
민주당	민주당/NNP
후보는	후보/NNG+는/JX
다음달	다음/NNG+달/NNG
6일	6/SN+일/NNB
본선	본선/NNG
후보	후보/NNG
등록	등록/NNG
이전에	이전/NNG+에/JKB
박원순	박원순/NNP
변호사,	변호사/NNG+,/SP
민주노동당	민주노동당/NNP
최규엽	최규엽/NNP
등과	등/NNB+과/JKB
범야권	범/XPN+야권/NNG
통합후보	통합/NNG+후보/NNG
단일화	단일/NNG+화/XSN
경선을	경선/NNG+을/JKO
다시	다시/MAG
치른다.	치르/VV+ㄴ다/EF+./SF


