# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.25
metadata : {}


# id : NWRW1800000045.25.1.1
[사회공헌 Together]재난 사고 예방법, 재미있는 인형극으로 배우자

[사회공헌	[/SS+사회/NNG+공헌/NNG
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.25.3.2
어린이들이 재난재해 예방에 흥미를 가질 수 있도록 교육을 인형극과 노래로 구성했고, 교육 후엔 어린이 재해안전 매뉴얼도 제공하고 있다.

어린이들이	어린이/NNG+들/XSN+이/JKS
재난재해	재난/NNG+재해/NNG
예방에	예방/NNG+에/JKB
흥미를	흥미/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
교육을	교육/NNG+을/JKO
인형극과	인형극/NNG+과/JC
노래로	노래/NNG+로/JKB
구성했고,	구성/NNG+하/XSV+았/EP+고/EC+,/SP
교육	교육/NNG
후엔	후/NNG+에/JKB+ㄴ/JX
어린이	어린이/NNG
재해안전	재해/NNG+안전/NNG
매뉴얼도	매뉴얼/NNG+도/JX
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.25.4.1
현대글로비스는 5월 안전의 중요성을 강조하고 교통안전에 대한 결의를 다지기 위해 ‘제1회 안전 공감 나눔 마라톤 대회’도 열었다.

현대글로비스는	현대글로비스/NNP+는/JX
5월	5/SN+월/NNB
안전의	안전/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
교통안전에	교통안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
결의를	결의/NNG+를/JKO
다지기	다지/VV+기/ETN
위해	위하/VV+아/EC
‘제1회	‘/SS+제/XPN+1/SN+회/NNB
안전	안전/NNG
공감	공감/NNG
나눔	나눔/NNG
마라톤	마라톤/NNG
대회’도	대회/NNG+’/SS+도/JX
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.25.4.2
5000여 명이 참가한 가운데, 대회 참가비의 50%를 교통사고 피해자 지원금으로 기부했다.

5000여	5000/SN+여/XSN
명이	명/NNB+이/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
대회	대회/NNG
참가비의	참가비/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
교통사고	교통사고/NNG
피해자	피해자/NNG
지원금으로	지원금/NNG+으로/JKB
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.25.4.3
지난달 14, 15일엔 서울 만남의 광장 휴게소에서 졸음방지용 껌과 패치, 지압기 등 졸음운전 방지용품을 무료로 나눠주기도 했다.

지난달	지난달/NNG
14,	14/SN+,/SP
15일엔	15/SN+일/NNB+에/JKB+ㄴ/JX
서울	서울/NNP
만남의	만남/NNG+의/JKG
광장	광장/NNG
휴게소에서	휴게소/NNG+에서/JKB
졸음방지용	졸음/NNG+방지/NNG+용/XSN
껌과	껌/NNG+과/JC
패치,	패치/NNG+,/SP
지압기	지압기/NNG
등	등/NNB
졸음운전	졸음운전/NNG
방지용품을	방지용품/NNG+을/JKO
무료로	무료/NNG+로/JKB
나눠주기도	나누/VV+어/EC+주/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.25.5.1
이뿐 아니라 재난재해 발생을 대비해 이재민에게 지원할 물품을 사전에 제작하고, 사고가 발생하면 선진화된 물류 시스템을 활용해 신속히 운송할 계획이다.

이뿐	이/NP+뿐/JX
아니라	아니/VCN+라/EC
재난재해	재난/NNG+재해/NNG
발생을	발생/NNG+을/JKO
대비해	대비/NNG+하/XSV+아/EC
이재민에게	이재민/NNG+에게/JKB
지원할	지원/NNG+하/XSV+ㄹ/ETM
물품을	물품/NNG+을/JKO
사전에	사전/NNG+에/JKB
제작하고,	제작/NNG+하/XSV+고/EC+,/SP
사고가	사고/NNG+가/JKS
발생하면	발생/NNG+하/XSV+면/EC
선진화된	선진/NNG+화/XSN+되/XSV+ㄴ/ETM
물류	물류/NNG
시스템을	시스템/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
신속히	신속히/MAG
운송할	운송/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.25.5.2
현대글로비스는 6월 가뭄피해가 심각한 강원 및 경북 지역에 생수 3450여 상자 운송 작업을 무상으로 지원했고, 지난달엔 임직원과 대학생 자원봉사자 30여 명이 긴급 구호물품 1500개를 제작했다.

현대글로비스는	현대글로비스/NNP+는/JX
6월	6/SN+월/NNB
가뭄피해가	가뭄/NNG+피해/NNG+가/JKS
심각한	심각하/VA+ㄴ/ETM
강원	강원/NNP
및	및/MAG
경북	경북/NNP
지역에	지역/NNG+에/JKB
생수	생수/NNG
3450여	3450/SN+여/XSN
상자	상자/NNG
운송	운송/NNG
작업을	작업/NNG+을/JKO
무상으로	무상/NNG+으로/JKB
지원했고,	지원/NNG+하/XSV+았/EP+고/EC+,/SP
지난달엔	지난달/NNG+에/JKB+ㄴ/JX
임직원과	임직원/NNG+과/JC
대학생	대학/NNG+생/XSN
자원봉사자	자원봉사자/NNG
30여	30/SN+여/XSN
명이	명/NNB+이/JKS
긴급	긴급/NNG
구호물품	구호/NNG+물품/NNG
1500개를	1500/SN+개/NNB+를/JKO
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.25.6.1
현대글로비스는 1일부터 안전공감 공모전을 열고 온라인 접수(http://csr.glovis.net)를 하고 있다.

현대글로비스는	현대글로비스/NNP+는/JX
1일부터	1/SN+일/NNB+부터/JX
안전공감	안전/NNG+공감/NNG
공모전을	공모전/NNG+을/JKO
열고	열/VV+고/EC
온라인	온라인/NNG
접수(http://csr.glovis.net)를	접수/NNG+(/SS+http/SL+:/SP+//SP+//SP+csr/SL+./SP+glovis/SL+./SP+net/SL+)/SS+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.25.6.2
공모전 주제는 ‘생활 속 안전사고 경험 및 나만의 안전사고 방지 노하우’이며, 총상금 규모는 1200만 원이다.

공모전	공모전/NNG
주제는	주제/NNG+는/JX
‘생활	‘/SS+생활/NNG
속	속/NNG
안전사고	안전사고/NNG
경험	경험/NNG
및	및/MAG
나만의	나/NP+만/JX+의/JKG
방지	방지/NNG
노하우’이며,	노하우/NNG+’/SS+이/VCP+며/EC+,/SP
총상금	총상금/NNG
규모는	규모/NNG+는/JX
1200만	1200/SN+만/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.25.6.3
당선작은 다음 달 15일 웹사이트를 통해 공지된다.

당선작은	당선작/NNG+은/JX
다음	다음/NNG
달	달/NNG
15일	15/SN+일/NNB
웹사이트를	웹/NNG+사이트/NNG+를/JKO
통해	통하/VV+아/EC
공지된다.	공지/NNG+되/XSV+ㄴ다/EF+./SF


