# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.233
metadata : {}


# id : NWRW1800000053.233.1.1
이동국 통산 199골… 전북, 우승도 예약

이동국	이동국/NNP
외국인	외국인/NNG
공격수들을	공격수/NNG+들/XSN+을/JKO
선발로	선발/NNG+로/JKB
내세운	내세우/VV+ㄴ/ETM
전북은	전북/NNP+은/JX
경기	경기/NNG
초반부터	초반/NNG+부터/JX
강원을	강원/NNP+을/JKO
몰아붙였다.	몰아붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.4.3
전북은 전반 6분 로페즈가 이재성의 프리킥을 머리로 방향만 바꿔 선제골을 터뜨렸다.

전북은	전북/NNP+은/JX
전반	전반/NNG
6분	6/SN+분/NNB
로페즈가	로페즈/NNP+가/JKS
이재성의	이재성/NNP+의/JKG
프리킥을	프리킥/NNG+을/JKO
머리로	머리/NNG+로/JKB
방향만	방향/NNG+만/JX
바꿔	바꾸/VV+어/EC
선제골을	선제골/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.4.4
기세가 오른 전북은 후반 들어 이승기(후반 11분), 에두(후반 25분), 이동국(후반 49분·사진)이 연달아 골을 터뜨렸다.

기세가	기세/NNG+가/JKS
오른	오르/VV+ㄴ/ETM
전북은	전북/NNP+은/JX
후반	후반/NNG
들어	들/VV+어/EC
이승기(후반	이승기/NNP+(/SS+후반/NNG
11분),	11/SN+분/NNB+)/SS+,/SP
에두(후반	에두/NNP+(/SS+후반/NNG
25분),	25/SN+분/NNB+)/SS+,/SP
이동국(후반	이동국/NNP+(/SS+후반/NNG
49분·사진)이	49/SN+분/NNB+·/SP+사진/NNG+)/SS+이/JKS
연달아	연달/VV+아/EC
골을	골/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.4.5
이날 통산 199골을 기록한 이동국은 K리그 최초의 개인 통산 200골 달성에 1골만을 남겨두게 됐다.

이날	이날/NNG
통산	통산/NNG
199골을	199/SN+골/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
이동국은	이동국/NNP+은/JX
K리그	K/SL+리그/NNG
최초의	최초/NNG+의/JKG
개인	개인/NNG
200골	200/SN+골/NNG
달성에	달성/NNG+에/JKB
1골만을	1/SN+골/NNG+만/JX+을/JKO
남겨두게	남기/VV+어/EC+두/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.4.6
이재성은 도움만 3개를 기록해 ‘도움 해트트릭’을 작성했다.

이재성은	이재성/NNP+은/JX
도움만	도움/NNG+만/JX
3개를	3/SN+개/NNB+를/JKO
기록해	기록/NNG+하/XSV+아/EC
‘도움	‘/SS+도움/NNG
해트트릭’을	해트트릭/NNG+’/SS+을/JKO
작성했다.	작성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.233.5.1
이날 승리로 전북은 승점 69(20승 9무 6패)가 됐다.

이날	이날/NNG
승리로	승리/NNG+로/JKB
전북은	전북/NNP+은/JX
승점	승점/NNG
69(20승	69/SN+(/SS+20/SN+승/NNB
9무	9/SN+무/NNB
6패)가	6/SN+패/NNB+)/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.5.2
2위 제주(승점 65·19승 8무 8패)도 울산을 1-0으로 꺾었기 때문에 1, 2위 팀 간 승점 차 4는 유지됐다.

2위	2/SN+위/NNB
제주(승점	제주/NNP+(/SS+승점/NNG
65·19승	65/SN+·/SP+19/SN+승/NNB
8무	8/SN+무/NNB
8패)도	8/SN+패/NNB+)/SS+도/JX
울산을	울산/NNP+을/JKO
1-0으로	1/SN+-/SO+0/SN+으로/JKB
꺾었기	꺾/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
1,	1/SN+,/SP
팀	팀/NNG
간	간/NNB
승점	승점/NNG
차	차/NNG
4는	4/SN+는/JX
유지됐다.	유지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.5.3
전북은 29일 전주월드컵경기장에서 열리는 제주와의 36라운드 경기에서 승리하면 남은 2경기 결과에 상관없이 통산 5번째 리그 우승을 확정한다.

전북은	전북/NNP+은/JX
29일	29/SN+일/NNB
전주월드컵경기장에서	전주월드컵경기장/NNP+에서/JKB
열리는	열리/VV+는/ETM
제주와의	제주/NNP+와/JKB+의/JKG
36라운드	36/SN+라운드/NNG
경기에서	경기/NNG+에서/JKB
승리하면	승리/NNG+하/XSV+면/EC
남은	남/VV+은/ETM
2경기	2/SN+경기/NNG
결과에	결과/NNG+에/JKB
상관없이	상관없이/MAG
통산	통산/NNG
5번째	5/SN+번/NNB+째/XSN
리그	리그/NNG
우승을	우승/NNG+을/JKO
확정한다.	확정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.233.5.4
최강희 전북 감독은 “제주와의 경기는 결승전이라는 생각으로 준비하겠다.

최강희	최강희/NNP
전북	전북/NNP
감독은	감독/NNG+은/JX
“제주와의	“/SS+제주/NNP+와/JKB+의/JKG
경기는	경기/NNG+는/JX
결승전이라는	결승전/NNG+이/VCP+라는/ETM
생각으로	생각/NNG+으로/JKB
준비하겠다.	준비/NNG+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000053.233.5.5
안방경기인 만큼 적극적으로 이기는 경기를 할 것이다”라고 말했다.

안방경기인	안방/NNG+경기/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
적극적으로	적극/NNG+적/XSN+으로/JKB
이기는	이기/VV+는/ETM
경기를	경기/NNG+를/JKO
할	하/VV+ㄹ/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.233.6.1
울산을 꺾고 리그 우승에 대한 희망을 이어간 제주 조성환 감독도 전북과의 경기에서 총력전을 펼치겠다는 각오를 밝혔다.

울산을	울산/NNP+을/JKO
꺾고	꺾/VV+고/EC
리그	리그/NNG
우승에	우승/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
희망을	희망/NNG+을/JKO
이어간	잇/VV+어/EC+가/VX+ㄴ/ETM
제주	제주/NNP
조성환	조성환/NNP
감독도	감독/NNG+도/JX
전북과의	전북/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
총력전을	총력전/NNG+을/JKO
펼치겠다는	펼치/VV+겠/EP+다는/ETM
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.6.2
조 감독은 “충분히 (우승을) 할 수 있는 상황이라고 생각한다.

조	조/NNP
감독은	감독/NNG+은/JX
“충분히	“/SS+충분히/MAG
(우승을)	(/SS+우승/NNG+을/JKO+)/SS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이라고	상황/NNG+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.233.6.3
전북을 상대로 좋은 결과를 얻을 수 있도록 모든 힘을 쏟겠다”고 말했다.

전북을	전북/NNP+을/JKO
상대로	상대/NNG+로/JKB
좋은	좋/VA+은/ETM
결과를	결과/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
모든	모든/MMN
힘을	힘/NNG+을/JKO
쏟겠다”고	쏟/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.233.7.1
한편 21일 서울월드컵경기장에서 열린 FC서울과 수원의 라이벌 매치인 ‘슈퍼매치’는 2-2 무승부로 끝났다.

한편	한편/MAG
21일	21/SN+일/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
FC서울과	FC서울/NNP+과/JKB
수원의	수원/NNP+의/JKG
라이벌	라이벌/NNG
매치인	매치/NNG+이/VCP+ㄴ/ETM
‘슈퍼매치’는	‘/SS+슈퍼/NNG+매치/NNG+’/SS+는/JX
2-2	2/SN+-/SO+2/SN
무승부로	무/XPN+승부/NNG+로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.233.7.2
후반 11분 페널티킥으로 골을 터뜨린 서울 외국인 공격수 데얀은 슈퍼매치 통산 최다골(7골)의 주인공이 됐다.

후반	후반/NNG
11분	11/SN+분/NNB
페널티킥으로	페널티/NNG+킥/NNG+으로/JKB
골을	골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
서울	서울/NNP
외국인	외국인/NNG
공격수	공격수/NNG
데얀은	데얀/NNP+은/JX
슈퍼매치	슈퍼/NNG+매치/NNG
통산	통산/NNG
최다골(7골)의	최다/NNG+골/NNG+(/SS+7/SN+골/NNG+)/SS+의/JKG
주인공이	주인공/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


