# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.196
metadata : {}


# id : NWRW1800000026.196.1.1
[SOUTH AFRICA 2010][가라앉은 대한민국] 허정무 "나도 예상하지 못한 점수";"실점수로 평가는 부적절" 이청용 "16강 지장 없어"

[SOUTH	[/SS+SOUTH/SL
경기였다"고	경기/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.6.4
리오넬 메시를 상대한 느낌에 대해선 "지금까지 만나본 선수들과는 차원이 달랐다"고 말했다.

리오넬	리오넬/NNP
메시를	메시/NNP+를/JKO
상대한	상대/NNG+하/XSV+ㄴ/ETM
느낌에	느낌/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"지금까지	"/SS+지금/NNG+까지/JX
만나본	만나/VV+아/EC+보/VX+ㄴ/ETM
선수들과는	선수/NNG+들/XSN+과/JKB+는/JX
차원이	차원/NNG+이/JKS
달랐다"고	다르/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.7.1
선수들은 전반 17분의 첫 실점을 가장 아쉬워했다.

선수들은	선수/NNG+들/XSN+은/JX
전반	전반/NNG
17분의	17/SN+분/NNB+의/JKG
첫	첫/MMN
실점을	실점/NNG+을/JKO
가장	가장/MAG
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.7.2
박지성은 "경기 초반 선수들이 다소 긴장했는데 세트피스에서 골을 내주면서 압박감이 더 커졌다"고 말했다.

박지성은	박지성/NNP+은/JX
"경기	"/SS+경기/NNG
초반	초반/NNG
선수들이	선수/NNG+들/XSN+이/JKS
다소	다소/MAG
긴장했는데	긴장/NNG+하/XSV+았/EP+는데/EC
세트피스에서	세트/NNG+피스/NNG+에서/JKB
골을	골/NNG+을/JKO
내주면서	내주/VV+면서/EC
압박감이	압박감/NNG+이/JKS
더	더/MAG
커졌다"고	커지/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.7.3
수비형 미드필더 김정우는 "초반 실점을 만회하려고 하다 보니 오히려 압박의 간격이 벌어지면서 위기를 맞았다"고 말했다.

수비형	수비/NNG+형/XSN
미드필더	미드필더/NNG
김정우는	김정우/NNP+는/JX
"초반	"/SS+초반/NNG
실점을	실점/NNG+을/JKO
만회하려고	만회/NNG+하/XSV+려고/EC
하다	하/VX+다/EC
보니	보/VX+니/EC
오히려	오히려/MAG
압박의	압박/NNG+의/JKG
간격이	간격/NNG+이/JKS
벌어지면서	벌어지/VV+면서/EC
위기를	위기/NNG+를/JKO
맞았다"고	맞/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.8.1
그러나 한국 선수들은 16강 진출에는 여전히 자신감을 보였다.

그러나	그러나/MAJ
한국	한국/NNP
선수들은	선수/NNG+들/XSN+은/JX
16강	16/SN+강/NNB
진출에는	진출/NNG+에/JKB+는/JX
여전히	여전히/MAG
자신감을	자신감/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.196.8.2
이영표는 "어차피 그리스와 나이지리아에 승부를 걸고 있었다. 오늘 결과에 개의치 않는다"고 했다.

이영표는	이영표/NNP+는/JX
"어차피	"/SS+어차피/MAG
그리스와	그리스/NNP+와/JC
나이지리아에	나이지리아/NNP+에/JKB
승부를	승부/NNG+를/JKO
걸고	걸/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF
오늘	오늘/NNG
결과에	결과/NNG+에/JKB
개의치	개의/NNG+하/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.8.3
이청용은 "16강 진출엔 아무 지장이 없다. 책임지고 나이지리아전을 승리로 이끌겠다"고 각오를 밝혔다.

이청용은	이청용/NNP+은/JX
"16강	"/SS+16/SN+강/NNB
진출엔	진출/NNG+에/JKB+ㄴ/JX
아무	아무/MMD
지장이	지장/NNG+이/JKS
없다.	없/VA+다/EF+./SF
책임지고	책임지/VV+고/EC
나이지리아전을	나이지리아전/NNG+을/JKO
승리로	승리/NNG+로/JKB
이끌겠다"고	이끌/VV+겠/EP+다/EF+"/SS+고/JKQ
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


