# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.29
metadata : {}


# id : NWRW1800000025.29.1.1
금호산업-타이어에 3800억 지원

금호산업-타이어에	금호산업/NNP+-/SO+타이어/NNG+에/JKB
금호타이어에	금호타이어/NNP+에/JKB
1000억	1000/SN+억/NR
원을	원/NNB+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.29.3.1
은행들은 금호산업과 금호타이어 협력업체들 중 자금 압박을 겪는 곳에는 중소기업 긴급지원 프로그램(패스트트랙) 지원을 강화하고 대출 수수료 인상 등의 불이익을 주지 않기로 했다.

은행들은	은행/NNG+들/XSN+은/JX
금호산업과	금호산업/NNP+과/JC
금호타이어	금호타이어/NNP
협력업체들	협력/NNG+업체/NNG+들/XSN
중	중/NNB
자금	자금/NNG
압박을	압박/NNG+을/JKO
겪는	겪/VV+는/ETM
곳에는	곳/NNG+에/JKB+는/JX
중소기업	중소기업/NNG
긴급지원	긴급/NNG+지원/NNG
프로그램(패스트트랙)	프로그램/NNG+(/SS+패스트트랙/NNG+)/SS
지원을	지원/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
대출	대출/NNG
수수료	수수료/NNG
인상	인상/NNG
등의	등/NNB+의/JKG
불이익을	불/XPN+이익/NNG+을/JKO
주지	주/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.29.4.1
채권단 관계자는 “협력업체를 위해 신규 자금을 지원하기로 했지만 지원 전 노동조합의 동의와 경영권 포기각서나 주식처분 위임장 제출 같은 대주주 경영책임 이행이 우선 돼야 한다”고 말했다.

채권단	채권단/NNG
관계자는	관계자/NNG+는/JX
“협력업체를	“/SS+협력/NNG+업체/NNG+를/JKO
위해	위하/VV+아/EC
신규	신규/NNG
자금을	자금/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
지원	지원/NNG
전	전/MMD
노동조합의	노동조합/NNG+의/JKG
동의와	동의/NNG+와/JC
경영권	경영/NNG+권/XSN
포기각서나	포기/NNG+각서/NNG+나/JC
주식처분	주식/NNG+처분/NNG
위임장	위임장/NNG
제출	제출/NNG
같은	같/VA+은/ETM
대주주	대/XPN+주주/NNG
경영책임	경영/NNG+책임/NNG
이행이	이행/NNG+이/JKS
우선	우선/MAG
돼야	되/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.29.4.2
이와 관련해 진동수 금융위원장은 이날 “금호 협력업체들이 자금 결제를 못 받고 있어 설 연휴 전까지 해결하도록 독려하고 있다”며 “특히 금호 오너는 신규 지원의 전제조건으로 상당 부분 (재산을) 내놔야 하고 노동조합과 합의도 필요하다”고 말했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
진동수	진동수/NNP
금융위원장은	금융/NNG+위원장/NNG+은/JX
이날	이날/NNG
“금호	“/SS+금호/NNP
협력업체들이	협력/NNG+업체/NNG+들/XSN+이/JKS
자금	자금/NNG
결제를	결제/NNG+를/JKO
못	못/MAG
받고	받/VV+고/EC
있어	있/VX+어/EC
설	설/NNG
연휴	연휴/NNG
전까지	전/NNG+까지/JX
해결하도록	해결/NNG+하/XSV+도록/EC
독려하고	독려/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
금호	금호/NNP
오너는	오너/NNG+는/JX
신규	신규/NNG
지원의	지원/NNG+의/JKG
전제조건으로	전제/NNG+조건/NNG+으로/JKB
상당	상당/NNG
부분	부분/NNG
(재산을)	(/SS+재산/NNG+을/JKO+)/SS
내놔야	내놓/VV+아야/EC
하고	하/VX+고/EC
노동조합과	노동조합/NNG+과/JKB
합의도	합의/NNG+도/JX
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


