# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.293
metadata : {}


# id : NWRW1800000044.293.1.1
[아침 햇발] 벼랑에 선 MBC, 위기의 한국 언론 / 김이택

[아침	[/SS+아침/NNG
위반하고	위반/NNG+하/XSV+고/EC
인사권을	인사/NNG+권/XSN+을/JKO
남용”했다는	남용/NNG+”/SS+하/VV+았/EP+다는/ETM
게	거/NNB+이/JKS
판결	판결/NNG
요지다.	요지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.2.5
따라서 엠비시 노조의 6개월에 걸친 방송 사상 최장기 파업은 ‘공정방송’ 쟁취를 위한 “정당한 행위”였고, 노조가 파업의 이유로 내세웠던 경영진의 공정방송 방해 사례는 모두 “방송법과 단체협약의 공정방송 의무를 위반한 것”이라고 판결문은 못박고 있다.

따라서	따라서/MAJ
엠비시	엠비시/NNP
노조의	노조/NNG+의/JKG
6개월에	6/SN+개월/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
방송	방송/NNG
사상	사상/NNG
최장기	최/XPN+장기/NNG
파업은	파업/NNG+은/JX
‘공정방송’	‘/SS+공정/NNG+방송/NNG+’/SS
쟁취를	쟁취/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
“정당한	“/SS+정당하/VA+ㄴ/ETM
행위”였고,	행위/NNG+”/SS+이/VCP+었/EP+고/EC+,/SP
노조가	노조/NNG+가/JKS
파업의	파업/NNG+의/JKG
이유로	이유/NNG+로/JKB
내세웠던	내세우/VV+었/EP+던/ETM
경영진의	경영진/NNG+의/JKG
공정방송	공정/NNG+방송/NNG
방해	방해/NNG
사례는	사례/NNG+는/JX
모두	모두/MAG
“방송법과	“/SS+방송법/NNG+과/JC
단체협약의	단체/NNG+협약/NNG+의/JKG
의무를	의무/NNG+를/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
판결문은	판결문/NNG+은/JX
못박고	못/NNG+박/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.293.3.1
회사의 행태는 판결이 무색할 정도다.

회사의	회사/NNG+의/JKG
행태는	행태/NNG+는/JX
판결이	판결/NNG+이/JKS
무색할	무색하/VA+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.3.2
정영하 전 노조위원장을 비롯한 노조 간부 7명의 집은 지금 가압류 상태다.

정영하	정영하/NNP
전	전/MMD
노조위원장을	노조/NNG+위원장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
노조	노조/NNG
간부	간부/NNG
7명의	7/SN+명/NNB+의/JKG
집은	집/NNG+은/JX
지금	지금/MAG
가압류	가/XPN+압류/NNG
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.3.3
회사는 노조를 상대로 195억원의 손해배상을 청구하면서 노조 통장에 들어 있던 조합비 23억원과 함께, 간부들 개인 재산에까지 가압류를 걸었다.

회사는	회사/NNG+는/JX
노조를	노조/NNG+를/JKO
상대로	상대/NNG+로/JKB
195억원의	195/SN+억/NR+원/NNB+의/JKG
손해배상을	손해/NNG+배상/NNG+을/JKO
청구하면서	청구/NNG+하/XSV+면서/EC
노조	노조/NNG
통장에	통장/NNG+에/JKB
들어	들/VV+어/EC
있던	있/VX+던/ETM
조합비	조합비/NNG
23억원과	23/SN+억/NR+원/NNB+과/JKB
함께,	함께/MAG+,/SP
간부들	간부/NNG+들/XSN
개인	개인/NNG
재산에까지	재산/NNG+에/JKB+까지/JX
가압류를	가/XPN+압류/NNG+를/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.293.3.4
파업 기간 봉급을 못 받은 탓에 파업 참가자 700여명 중 상당수는 아직도 대출금 상환에 애를 먹고 있다고 한다.

파업	파업/NNG
기간	기간/NNG
봉급을	봉급/NNG+을/JKO
못	못/MAG
받은	받/VV+은/ETM
탓에	탓/NNG+에/JKB
참가자	참가자/NNG
700여명	700/SN+여/XSN+명/NNB
중	중/NNB
상당수는	상당수/NNG+는/JX
아직도	아직/MAG+도/JX
대출금	대출금/NNG
상환에	상환/NNG+에/JKB
애를	애/NNG+를/JKO
먹고	먹/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.293.3.5
공정방송을 탄압한 경영진 대부분은 여전히 잘나가고 있는 반면, 파업에 주도적으로 참가했던 기자와 피디들은 마이크를 빼앗기고 화면에서도 사라졌다.

공정방송을	공정/NNG+방송/NNG+을/JKO
탄압한	탄압/NNG+하/XSV+ㄴ/ETM
경영진	경영진/NNG
대부분은	대/XPN+부분/NNG+은/JX
여전히	여전히/MAG
잘나가고	잘나가/VV+고/EC
있는	있/VX+는/ETM
반면,	반면/NNG+,/SP
파업에	파업/NNG+에/JKB
주도적으로	주도/NNG+적/XSN+으로/JKB
참가했던	참가/NNG+하/XSV+았/EP+던/ETM
기자와	기자/NNG+와/JC
피디들은	피디/NNG+들/XSN+은/JX
마이크를	마이크/NNG+를/JKO
빼앗기고	빼앗기/VV+고/EC
화면에서도	화면/NNG+에서/JKB+도/JX
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.293.3.6
대신 파업 중에 뽑은 시용기자나 경력기자, 지방에서 올라온 기자들이 정치부나 법조팀 등 민감한 사안을 다루는 부서를 접수했다.

대신	대신/NNG
파업	파업/NNG
중에	중/NNB+에/JKB
뽑은	뽑/VV+은/ETM
시용기자나	시용/NNG+기자/NNG+나/JC
경력기자,	경력/NNG+기자/NNG+,/SP
지방에서	지방/NNG+에서/JKB
올라온	올라오/VV+ㄴ/ETM
기자들이	기자/NNG+들/XSN+이/JKS
정치부나	정치부/NNG+나/JC
법조팀	법조/NNG+팀/NNG
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
사안을	사안/NNG+을/JKO
다루는	다루/VV+는/ETM
부서를	부서/NNG+를/JKO
접수했다.	접수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.293.3.7
해고 무효 판결을 받은 기자와 피디들이 돌아가더라도 화면에서 다시 보는 건 불가능해 보인다.

해고	해고/NNG
무효	무효/NNG
판결을	판결/NNG+을/JKO
받은	받/VV+은/ETM
기자와	기자/NNG+와/JC
피디들이	피디/NNG+들/XSN+이/JKS
돌아가더라도	돌아가/VV+더라도/EC
화면에서	화면/NNG+에서/JKB
다시	다시/MAG
보는	보/VV+는/ETM
건	거/NNB+ㄴ/JX
불가능해	불/XPN+가능/NNG+하/XSA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.293.4.1
이런 상황에서 ‘공정보도’가 이뤄질 리 만무하다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
‘공정보도’가	‘/SS+공정/NNG+보도/NNG+’/SS+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
리	리/NNB
만무하다.	만무/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.293.4.2
판결문에 나오듯이 이명박 정부 시절엔 그나마 “<뉴스데스크>는 민간인 불법사찰 의혹에 대해 10여일 늦게 보도하고, … <피디수첩>의 ‘4대강 수심 6미터의 비밀’은 보류됐다 뒤늦게 방송됐으나” 지금은 아예 그런 프로 자체가 만들어질 수 없는 구조다.

판결문에	판결문/NNG+에/JKB
나오듯이	나오/VV+듯이/EC
이명박	이명박/NNP
정부	정부/NNG
시절엔	시절/NNG+에/JKB+ㄴ/JX
그나마	그나마/MAG
“<뉴스데스크>는	“/SS+</SS+뉴스/NNG+데스크/NNG+>/SS+는/JX
민간인	민간인/NNG
불법사찰	불법/NNG+사찰/NNG
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
10여일	10/SN+여/XSN+일/NNB
늦게	늦/VA+게/EC
보도하고,	보도/NNG+하/XSV+고/EC+,/SP
…	…/SE
<피디수첩>의	</SS+피디/NNG+수첩/NNG+>/SS+의/JKG
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
수심	수심/NNG
6미터의	6/SN+미터/NNB+의/JKG
비밀’은	비밀/NNG+’/SS+은/JX
보류됐다	보류/NNG+되/XSV+었/EP+다/EC
뒤늦게	뒤늦/VA+게/EC
방송됐으나”	방송/NNG+되/XSV+었/EP+으나/EC+”/SS
지금은	지금/NNG+은/JX
아예	아예/MAG
그런	그런/MMD
프로	프로/NNG
자체가	자체/NNG+가/JKS
만들어질	만들/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.4.3
공정방송 하겠다는 기자와 피디, 아나운서들은 심의실이나 편성, 아니면 사업 부서로 내몰렸다.

공정방송	공정/NNG+방송/NNG
하겠다는	하/VV+겠/EP+다는/ETM
기자와	기자/NNG+와/JC
피디,	피디/NNG+,/SP
아나운서들은	아나운서/NNG+들/XSN+은/JX
심의실이나	심의실/NNG+이나/JC
편성,	편성/NNG+,/SP
아니면	아니/VCN+면/EC
사업	사업/NNG
부서로	부서/NNG+로/JKB
내몰렸다.	내몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.293.4.4
국정원 대선개입 사건처럼 정권에 불리한 뉴스는 뒤로 한참 밀리고, ‘종북 뉴스’나 대통령 동정 보도가 앞자리를 차지하고 있다.

국정원	국정원/NNG
대선개입	대선/NNG+개입/NNG
사건처럼	사건/NNG+처럼/JKB
정권에	정권/NNG+에/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
뉴스는	뉴스/NNG+는/JX
뒤로	뒤/NNG+로/JKB
한참	한참/MAG
밀리고,	밀리/VV+고/EC+,/SP
‘종북	‘/SS+종북/NNG
뉴스’나	뉴스/NNG+’/SS+나/JC
대통령	대통령/NNG
동정	동정/NNG
보도가	보도/NNG+가/JKS
앞자리를	앞자리/NNG+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.293.4.5
시청률이 추락하는 건 당연한 결과다.

시청률이	시청/NNG+률/XSN+이/JKS
추락하는	추락/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
당연한	당연/NNG+하/XSA+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.5.1
비단 엠비시만의 문제가 아니다.

비단	비단/MAG
엠비시만의	엠비시/NNP+만/JX+의/JKG
문제가	문제/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000044.293.5.2
케이비에스 역시 ‘땡박 뉴스’가 된 지 오래다.

케이비에스	케이비에스/NNP
역시	역시/MAG
‘땡박	‘/SS+땡박/NNG
뉴스’가	뉴스/NNG+’/SS+가/JKC
된	되/VV+ㄴ/ETM
지	지/NNB
오래다.	오래/VA+다/EF+./SF


# id : NWRW1800000044.293.6.1
문제는 이런 구도가 달라질 조짐이 좀체 보이지 않는다는 거다.

문제는	문제/NNG+는/JX
이런	이런/MMD
구도가	구도/NNG+가/JKS
달라질	달라지/VV+ㄹ/ETM
조짐이	조짐/NNG+이/JKS
좀체	좀체/MAG
보이지	보이/VV+지/EC
않는다는	않/VX+는다는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.6.2
엠비시의 공정성이 이대로 무너지면 종편까지 가세한 수구보수 편향의 방송구도, 언론지형이 그대로 굳어질 수 있다.

엠비시의	엠비시/NNP+의/JKG
공정성이	공정/NNG+성/XSN+이/JKS
이대로	이대로/MAG
무너지면	무너지/VV+면/EC
종편까지	종편/NNG+까지/JX
가세한	가세/NNG+하/XSV+ㄴ/ETM
수구보수	수구/NNG+보수/NNG
편향의	편향/NNG+의/JKG
방송구도,	방송/NNG+구도/NNG+,/SP
언론지형이	언론/NNG+지형/NNG+이/JKS
그대로	그대로/MAG
굳어질	굳어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.293.6.3
선거조차 공정한 언론환경에서 치러지지 못하니, 자칫 일본처럼 보수 장기집권의 정치구도가 고착되지 말란 법도 없다.

선거조차	선거/NNG+조차/JX
공정한	공정/NNG+하/XSA+ㄴ/ETM
언론환경에서	언론/NNG+환경/NNG+에서/JKB
치러지지	치르/VV+어/EC+지/VX+지/EC
못하니,	못하/VX+니/EC+,/SP
자칫	자칫/MAG
일본처럼	일본/NNP+처럼/JKB
보수	보수/NNG
장기집권의	장기/NNG+집권/NNG+의/JKG
정치구도가	정치/NNG+구도/NNG+가/JKS
고착되지	고착/NNG+되/XSV+지/EC
말란	말/VX+란/ETM
법도	법/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.293.6.4
그럼에도 누구 못잖은 이해당사자인 민주당은 무기력증에서 헤어날 조짐이 안 보인다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
누구	누구/NP
못잖은	못잖/VA+은/ETM
이해당사자인	이해/NNG+당사자/NNG+이/VCP+ㄴ/ETM
민주당은	민주당/NNP+은/JX
무기력증에서	무기력증/NNG+에서/JKB
헤어날	헤어나/VV+ㄹ/ETM
조짐이	조짐/NNG+이/JKS
안	안/MAG
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.293.6.5
엠비시와 케이비에스 노조 동시 장기파업의 성과물이라고 할 국회 방송공정성특위조차 지난해 말 결의문 하나 달랑 내고 해산해 버렸다.

엠비시와	엠비시/NNP+와/JC
케이비에스	케이비에스/NNP
노조	노조/NNG
동시	동시/NNG
장기파업의	장기/NNG+파업/NNG+의/JKG
성과물이라고	성과물/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
국회	국회/NNG
방송공정성특위조차	방송/NNG+공정/NNG+성/XSN+특위/NNG+조차/JX
지난해	지난해/NNG
말	말/NNB
결의문	결의문/NNG
하나	하나/NR
달랑	달랑/MAG
내고	내/VV+고/EC
해산해	해산/NNG+하/XSV+아/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.293.6.6
야당마저 다가오는 위기를 모르고 있으니 더 위험한 거다.

야당마저	야당/NNG+마저/JX
다가오는	다가오/VV+는/ETM
위기를	위기/NNG+를/JKO
모르고	모르/VV+고/EC
있으니	있/VX+으니/EC
더	더/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.7.1
모든 걸 던져가며 ‘공정방송’을 되찾겠다고 싸우는 방송노조에 정치권은 물론 각계의 격려와 성원이 절실하다.

모든	모든/MMN
걸	거/NNB+ㄹ/JKO
던져가며	던지/VV+어/EC+가/VX+며/EC
‘공정방송’을	‘/SS+공정/NNG+방송/NNG+’/SS+을/JKO
되찾겠다고	되찾/VV+겠/EP+다고/EC
싸우는	싸우/VV+는/ETM
방송노조에	방송/NNG+노조/NNG+에/JKB
정치권은	정치/NNG+권/XSN+은/JX
물론	물론/MAG
각계의	각계/NNG+의/JKG
격려와	격려/NNG+와/JC
성원이	성원/NNG+이/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000044.293.7.2
방송특위 자문교수단이 합의했다는 공영방송 사장 선임의 특별다수제(3분의 2 이상 찬성) 등 지배구조 개선안은 물론 최소한 보도국장 직선 또는 임명동의제는 관철할 수 있을 정도의 관심과 지원이 필요하다.

방송특위	방송/NNG+특위/NNG
자문교수단이	자문/NNG+교수단/NNG+이/JKS
합의했다는	합의/NNG+하/XSV+았/EP+다는/ETM
공영방송	공영/NNG+방송/NNG
사장	사장/NNG
선임의	선임/NNG+의/JKG
특별다수제(3분의	특별/NNG+다수/NNG+제/XSN+(/SS+3/SN+분/XSN+의/JKG
2	2/SN
이상	이상/NNG
찬성)	찬성/NNG+)/SS
등	등/NNB
지배구조	지배/NNG+구조/NNG
개선안은	개선안/NNG+은/JX
물론	물론/MAG
최소한	최소한/MAG
보도국장	보도국장/NNG
직선	직선/NNG
또는	또는/MAG
임명동의제는	임명/NNG+동의/NNG+제/XSN+는/JX
관철할	관철/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도의	정도/NNG+의/JKG
관심과	관심/NNG+과/JC
지원이	지원/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.293.8.1
덧붙인다면, 현재 고립 분산적으로 진행되는 지상파 이외의 ‘공정방송’들을 묶어내서 좀더 영향력 있는 매체로 키워 나가는 일도 함께 추진됐으면 한다.

덧붙인다면,	덧붙이/VV+ㄴ다면/EC+,/SP
현재	현재/MAG
고립	고립/NNG
분산적으로	분산/NNG+적/XSN+으로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
지상파	지상파/NNG
이외의	이외/NNG+의/JKG
‘공정방송’들을	‘/SS+공정/NNG+방송/NNG+’/SS+들/XSN+을/JKO
묶어내서	묶/VV+어/EC+내/VX+어서/EC
좀더	좀/MAG+더/MAG
영향력	영향력/NNG
있는	있/VA+는/ETM
매체로	매체/NNG+로/JKB
키워	키우/VV+어/EC
나가는	나가/VX+는/ETM
일도	일/NNG+도/JX
함께	함께/MAG
추진됐으면	추진/NNG+되/XSV+었/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.293.8.2
손석희만 쳐다볼 순 없지 않은가.

손석희만	손석희/NNP+만/JX
쳐다볼	쳐다보/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없지	없/VA+지/EC
않은가.	않/VX+은가/EF+./SF


