# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.129
metadata : {}


# id : NWRW1800000026.129.1.1
[천안함 피폭 침몰] "가영아, 아빠는… 못올 것 같아";'돌아오지 못한 8인' 가족들 "수색 중단" 또 눈물의 결단

[천안함	[/SS+천안함/NNP
군은 이를 받아들여 이날 오후부터 함미 수색 작업을 중단했다.

군은	군/NNG+은/JX
이를	이/NP+를/JKO
받아들여	받아들이/VV+어/EC
이날	이날/NNG
오후부터	오후/NNG+부터/JX
함미	함미/NNG
수색	수색/NNG
작업을	작업/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.3.1
실종자 가족들은 지난달 30일 수색작업을 벌이던 고(故) 한주호 준위가 순직한 뒤 천안함 수색작업을 중단하고 천안함을 인양해 달라는 결정을 했었다.

실종자	실종자/NNG
가족들은	가족/NNG+들/XSN+은/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
수색작업을	수색/NNG+작업/NNG+을/JKO
벌이던	벌이/VV+던/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
한주호	한주호/NNP
준위가	준위/NNG+가/JKS
순직한	순직/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
천안함	천안함/NNP
중단하고	중단/NNG+하/XSV+고/EC
천안함을	천안함/NNP+을/JKO
인양해	인양/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
결정을	결정/NNG+을/JKO
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000026.129.3.2
마지막 생존의 기대를 저버려야 할 상황을 감수한 것이었다.

마지막	마지막/NNG
생존의	생존/NNG+의/JKG
기대를	기대/NNG+를/JKO
저버려야	저버리/VV+어야/EC
할	하/VX+ㄹ/ETM
상황을	상황/NNG+을/JKO
감수한	감수/NNG+하/XSV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.129.3.3
가족들은 지난 12일에는 시신이 유실될 수 있음에도 불구하고 함미를 깊이가 낮은 바다로 이동하는 데 동의했다.

가족들은	가족/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
12일에는	12/SN+일/NNB+에/JKB+는/JX
시신이	시신/NNG+이/JKS
유실될	유실/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있음에도	있/VA+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
함미를	함미/NNG+를/JKO
깊이가	깊이/NNG+가/JKS
낮은	낮/VA+은/ETM
바다로	바다/NNG+로/JKB
이동하는	이동/NNG+하/XSV+는/ETM
데	데/NNB
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.4.1
군은 천안함을 인양한 15일부터 이날 오전까지 계속된 군의 함미 내부 수색작업에도 불구하고 이창기 원사, 최한권 상사, 박경수 중사, 박성균 하사, 박보람 하사, 장진선 하사, 강태민 일병, 정태준 이병 등 8명의 실종자를 찾지 못했다.

군은	군/NNG+은/JX
천안함을	천안함/NNP+을/JKO
인양한	인양/NNG+하/XSV+ㄴ/ETM
15일부터	15/SN+일/NNB+부터/JX
이날	이날/NNG
오전까지	오전/NNG+까지/JX
계속된	계속/NNG+되/XSV+ㄴ/ETM
군의	군/NNG+의/JKG
함미	함미/NNG
내부	내부/NNG
수색작업에도	수색/NNG+작업/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
이창기	이창기/NNP
원사,	원사/NNG+,/SP
최한권	최한권/NNP
상사,	상사/NNG+,/SP
박경수	박경수/NNP
중사,	중사/NNG+,/SP
박성균	박성균/NNP
하사,	하사/NNG+,/SP
박보람	박보람/NNP
장진선	장진선/NNP
강태민	강태민/NNP
일병,	일병/NNG+,/SP
정태준	정태준/NNP
이병	이병/NNG
등	등/NNB
8명의	8/SN+명/NNB+의/JKG
실종자를	실종자/NNG+를/JKO
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.129.4.2
46명의 실종자 중 남기훈 상사와 김태석 상사 시신은 지난 3일과 7일에 각각 발견됐고, 36구는 15일 발견됐다.

46명의	46/SN+명/NNB+의/JKG
실종자	실종자/NNG
중	중/NNB
남기훈	남기훈/NNP
상사와	상사/NNG+와/JC
김태석	김태석/NNP
상사	상사/NNG
시신은	시신/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3일과	3/SN+일/NNB+과/JC
7일에	7/SN+일/NNB+에/JKB
각각	각각/MAG
발견됐고,	발견/NNG+되/XSV+었/EP+고/EC+,/SP
36구는	36/SN+구/NNB+는/JX
15일	15/SN+일/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.129.4.3
끝내 시신조차 찾지 못한 강태민 일병의 아버지 강영식(50)씨는 "어차피 여러 번 찾아도 안 나온다면 (군의) 고생을 줄이는 게 낫다고 생각했다"고 말했다.

끝내	끝내/MAG
시신조차	시신/NNG+조차/JX
찾지	찾/VV+지/EC
못한	못하/VX+ㄴ/ETM
강태민	강태민/NNP
일병의	일병/NNG+의/JKG
아버지	아버지/NNG
강영식(50)씨는	강영식/NNP+(/SS+50/SN+)/SS+씨/NNB+는/JX
"어차피	"/SS+어차피/MAG
여러	여러/MMN
번	번/NNB
찾아도	찾/VV+아도/EC
안	안/MAG
나온다면	나오/VV+ㄴ다면/EC
(군의)	(/SS+군/NNG+의/JKG+)/SS
고생을	고생/NNG+을/JKO
줄이는	줄이/VV+는/ETM
게	거/NNB+이/JKS
낫다고	낫/VA+다고/EC
생각했다"고	생각/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.5.1
함미 수색 중단이 결정된 후에도 실종자 가족 일부는 아쉬움을 버리지 못했다.

함미	함미/NNG
수색	수색/NNG
중단이	중단/NNG+이/JKS
결정된	결정/NNG+되/XSV+ㄴ/ETM
후에도	후/NNG+에/JKB+도/JX
실종자	실종자/NNG
가족	가족/NNG
일부는	일부/NNG+는/JX
아쉬움을	아쉬움/NNG+을/JKO
버리지	버리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.129.5.2
한 실종자 어머니는 수색을 끝낸다는 소식에 눈물을 터뜨렸다.

한	한/MMN
실종자	실종자/NNG
어머니는	어머니/NNG+는/JX
수색을	수색/NNG+을/JKO
끝낸다는	끝내/VV+ㄴ다는/ETM
소식에	소식/NNG+에/JKB
눈물을	눈물/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.129.5.3
수색이 이미 마무리된 이날 오후 두시반쯤 박성균(21) 하사의 아버지 박희진(48)씨는 "뉴스만 들여다보고 있는데 성균이는 나오지도 않고 답답하다"며 "나는 아직도 성균이를 기다리고 있다"고 했다.

수색이	수색/NNG+이/JKS
이미	이미/MAG
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
이날	이날/NNG
오후	오후/NNG
두시반쯤	두/MMN+시/NNB+반/NNG+쯤/XSN
박성균(21)	박성균/NNP+(/SS+21/SN+)/SS
하사의	하사/NNG+의/JKG
아버지	아버지/NNG
박희진(48)씨는	박희진/NNP+(/SS+48/SN+)/SS+씨/NNB+는/JX
"뉴스만	"/SS+뉴스/NNG+만/JX
들여다보고	들여다보/VV+고/EC
있는데	있/VX+는데/EC
성균이는	성균이/NNP+는/JX
나오지도	나오/VV+지/EC+도/JX
않고	않/VX+고/EC
답답하다"며	답답하/VA+다/EF+"/SS+며/EC
"나는	"/SS+나/NP+는/JX
아직도	아직/MAG+도/JX
성균이를	성균이/NNP+를/JKO
기다리고	기다리/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.6.1
유가족들은 실종자 가족들의 방을 찾아 조심스럽게 위로하는 모습도 보였다.

유가족들은	유가족/NNG+들/XSN+은/JX
실종자	실종자/NNG
가족들의	가족/NNG+들/XSN+의/JKG
방을	방/NNG+을/JKO
찾아	찾/VV+아/EC
조심스럽게	조심/NNG+스럽/XSA+게/EC
위로하는	위로/NNG+하/XSV+는/ETM
모습도	모습/NNG+도/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.129.6.2
박경수 중사의 아내 박미선(29)씨의 방을 찾은 유가족들은 "아직 함수 부분이 남아 있으니 너무 걱정하지 말라"며 "꼭 돌아올 것"이라고 위로했다.

박경수	박경수/NNP
중사의	중사/NNG+의/JKG
아내	아내/NNG
박미선(29)씨의	박미선/NNP+(/SS+29/SN+)/SS+씨/NNB+의/JKG
방을	방/NNG+을/JKO
찾은	찾/VV+은/ETM
유가족들은	유가족/NNG+들/XSN+은/JX
"아직	"/SS+아직/MAG
함수	함수/NNG
부분이	부분/NNG+이/JKS
남아	남/VV+아/EC
있으니	있/VX+으니/EC
너무	너무/MAG
걱정하지	걱정/NNG+하/XSV+지/EC
말라"며	말/VX+라/EF+"/SS+며/EC
"꼭	"/SS+꼭/MAG
돌아올	돌아오/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
위로했다.	위로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.6.3
함미를 실은 바지선은 16일 밤 예인선에 끌려 평택 2함대로 출발했다.

함미를	함미/NNG+를/JKO
실은	싣/VV+은/ETM
바지선은	바지선/NNG+은/JX
16일	16/SN+일/NNB
밤	밤/NNG
예인선에	예인선/NNG+에/JKB
끌려	끌리/VV+어/EC
평택	평택/NNP
2함대로	2/SN+함대/NNG+로/JKB
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.6.4
바지선이 평택2함대까지 가는 데 약 26시간이 걸려 17일 오후 늦게 도착할 예정이다.

바지선이	바지선/NNG+이/JKS
평택2함대까지	평택/NNP+2/SN+함대/NNG+까지/JX
가는	가/VV+는/ETM
데	데/NNB
약	약/MMA
26시간이	26/SN+시간/NNB+이/JKS
걸려	걸리/VV+어/EC
17일	17/SN+일/NNB
오후	오후/NNG
늦게	늦/VA+게/EC
도착할	도착/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


