# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.24
metadata : {}


# id : NWRW1800000052.24.1.1
거꾸로 움직이는 수도권-지방 아파트값

거꾸로	거꾸로/MAG
조처가	조처/NNG+가/JKS
5월부터	5/SN+월/NNB+부터/JX
지방으로	지방/NNG+으로/JKB
확대	확대/NNG
시행된	시행/NNG+되/XSV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
지방	지방/NNG
아파트	아파트/NNG
입주	입주/NNG
물량도	물량/NNG+도/JX
3년째	3/SN+년/NNB+째/XSN
16만가구를	16/SN+만/NR+가구/NNG+를/JKO
넘어서며	넘어서/VV+며/EC
포화	포화/NNG
상태에	상태/NNG+에/JKB
이르렀기	이르/VV+었/EP+기/ETN
때문으로	때문/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.24.8.3
부동산 업계에선 수도권 아파트값도 내년 이후 조정될 가능성을 조심스럽게 점치고 있다.

부동산	부동산/NNG
업계에선	업계/NNG+에서/JKB+ㄴ/JX
수도권	수도/NNG+권/XSN
아파트값도	아파트값/NNG+도/JX
내년	내년/NNG
이후	이후/NNG
조정될	조정/NNG+되/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
조심스럽게	조심/NNG+스럽/XSA+게/EC
점치고	점치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.24.8.4
박원갑 케이비(KB)국민은행 부동산수석전문위원은 “입주 물량이 많지 않고 재개발·재건축이 이어지는 서울은 경기침체 영향을 덜 받겠지만 경기지역은 내년부터 새도시 등지의 입주 물량이 늘면서 아파트값이 약세로 돌아설 가능성이 크다”고 말했다.

박원갑	박원갑/NNP
케이비(KB)국민은행	케이비/NNP+(/SS+KB/SL+)/SS+국민은행/NNP
부동산수석전문위원은	부동산/NNG+수석/NNG+전문/NNG+위원/NNG+은/JX
“입주	“/SS+입주/NNG
물량이	물량/NNG+이/JKS
많지	많/VA+지/EC
않고	않/VX+고/EC
재개발·재건축이	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG+이/JKS
이어지는	이어지/VV+는/ETM
서울은	서울/NNP+은/JX
경기침체	경기/NNG+침체/NNG
영향을	영향/NNG+을/JKO
덜	덜/MAG
받겠지만	받/VV+겠/EP+지만/EC
경기지역은	경기지역/NNP+은/JX
내년부터	내년/NNG+부터/JX
새도시	새/MMA+도시/NNG
등지의	등지/NNB+의/JKG
입주	입주/NNG
늘면서	늘/VV+면서/EC
아파트값이	아파트값/NNG+이/JKS
약세로	약세/NNG+로/JKB
돌아설	돌아서/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


