# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.38
metadata : {}


# id : NWRW1800000032.38.1.1
한국 ‘삶의 질’ 39개국 중 27위

한국	한국/NNP
그동안	그동안/NNG
세계경제포럼(WEF)과	세계경제포럼/NNP+(/SS+WEF/SL+)/SS+과/JC
국제경영개발원(IMD)	국제경영개발원/NNP+(/SS+IMD/SL+)/SS
등의	등/NNB+의/JKG
국제기구에서	국제기구/NNG+에서/JKB
국가경쟁력	국가/NNG+경쟁력/NNG
보고서를	보고서/NNG+를/JKO
내	내/VV+어/EC
왔으나,	오/VX+았/EP+으나/EC+,/SP
우리나라가	우리나라/NNG+가/JKS
자체적으로	자체/NNG+적/XSN+으로/JKB
국가경쟁력을	국가/NNG+경쟁력/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.38.4.3
지표 분석은 국제연합(유엔)과 세계은행 등의 2008년과 2000년 자료를 활용했다.

지표	지표/NNG
분석은	분석/NNG+은/JX
국제연합(유엔)과	국제연합/NNP+(/SS+유엔/NNP+)/SS+과/JC
세계은행	세계은행/NNP
등의	등/NNB+의/JKG
2008년과	2008/SN+년/NNB+과/JC
2000년	2000/SN+년/NNB
자료를	자료/NNG+를/JKO
활용했다.	활용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.38.5.1
삶의 질 지표를 구성하는 세부 항목 가운데 국내총생산(GDP) 대비 사회지출 비중은 2000년과 2008년 모두 31위를 기록해 최하위권에 속했다.

삶의	삶/NNG+의/JKG
질	질/NNG
지표를	지표/NNG+를/JKO
구성하는	구성/NNG+하/XSV+는/ETM
세부	세부/NNG
항목	항목/NNG
가운데	가운데/NNG
국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
대비	대비/NNG
사회지출	사회/NNG+지출/NNG
비중은	비중/NNG+은/JX
2000년과	2000/SN+년/NNB+과/JC
2008년	2008/SN+년/NNB
모두	모두/MAG
31위를	31/SN+위/NNB+를/JKO
기록해	기록/NNG+하/XSV+아/EC
최하위권에	최/XPN+하위/NNG+권/XSN+에/JKB
속했다.	속하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.38.5.2
의료접근성(인구 1000명당 의사 수)과 유아사망률, 지디피 대비 의료지출 등으로 평가하는 보건은 2000년과 2008년 모두 28위를 기록했다.

의료접근성(인구	의료/NNG+접근/NNG+성/XSN+(/SS+인구/NNG
1000명당	1000/SN+명/NNB+당/XSN
의사	의사/NNG
수)과	수/NNG+)/SS+과/JC
유아사망률,	유아/NNG+사망/NNG+률/XSN+,/SP
지디피	지디피/NNG
대비	대비/NNG
의료지출	의료/NNG+지출/NNG
등으로	등/NNB+으로/JKB
평가하는	평가/NNG+하/XSV+는/ETM
보건은	보건/NNG+은/JX
2000년과	2000/SN+년/NNB+과/JC
2008년	2008/SN+년/NNB
모두	모두/MAG
28위를	28/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.38.6.1
분배상황은 2000년 12위로 양호했으나 2008년 23위로 크게 후퇴했으며, 상대빈곤율도 19위에서 24위로 떨어졌다.

분배상황은	분배/NNG+상황/NNG+은/JX
2000년	2000/SN+년/NNB
12위로	12/SN+위/NNB+로/JKB
양호했으나	양호/NNG+하/XSA+았/EP+으나/EC
2008년	2008/SN+년/NNB
23위로	23/SN+위/NNB+로/JKB
크게	크/VA+게/EC
후퇴했으며,	후퇴/NNG+하/XSV+았/EP+으며/EC+,/SP
상대빈곤율도	상대/NNG+빈곤/NNG+율/XSN+도/JX
19위에서	19/SN+위/NNB+에서/JKB
24위로	24/SN+위/NNB+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.38.6.2
경제적 안전(29→29위), 사회적 안전(24→26위) 등도 대부분 하위권에 속했다.

경제적	경제/NNG+적/XSN
안전(29→29위),	안전/NNG+(/SS+29/SN+→/SW+29/SN+위/NNB+)/SS+,/SP
사회적	사회/NNG+적/XSN
안전(24→26위)	안전/NNG+(/SS+24/SN+→/SW+26/SN+위/NNB+)/SS
등도	등/NNB+도/JX
대부분	대/XPN+부분/NNG
하위권에	하위/NNG+권/XSN+에/JKB
속했다.	속하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.38.6.3
기대수명만 25위에서 20위로 높아졌다.

기대수명만	기대/NNG+수명/NNG+만/JX
25위에서	25/SN+위/NNB+에서/JKB
20위로	20/SN+위/NNB+로/JKB
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.38.7.1
보고서는 “지난 20년 동안 한국의 1인당 국민소득은 급격히 늘었지만 삶의 질에 대한 만족도는 정체돼 있는 ‘이스털린의 역설’이 적용되고 있다”며 “성장과 사회통합, 환경의 조화를 이루는 발전전략이 필요하다”고 밝혔다.

보고서는	보고서/NNG+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
20년	20/SN+년/NNB
동안	동안/NNG
한국의	한국/NNP+의/JKG
1인당	1/SN+인/NNG+당/XSN
국민소득은	국민/NNG+소득/NNG+은/JX
급격히	급격히/MAG
늘었지만	늘/VV+었/EP+지만/EC
삶의	삶/NNG+의/JKG
질에	질/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
만족도는	만족도/NNG+는/JX
정체돼	정체/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
‘이스털린의	‘/SS+이스털린/NNP+의/JKG
역설’이	역설/NNG+’/SS+이/JKS
적용되고	적용/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“성장과	“/SS+성장/NNG+과/JC
사회통합,	사회/NNG+통합/NNG+,/SP
환경의	환경/NNG+의/JKG
조화를	조화/NNG+를/JKO
이루는	이루/VV+는/ETM
발전전략이	발전/NNG+전략/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


