# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.415
metadata : {}


# id : NWRW1800000028.415.1.1
“이란·시리아, 비밀 핵계획 계속 추진”

“이란·시리아,	“/SS+이란/NNP+·/SP+시리아/NNP+,/SP
# id : NWRW1800000028.415.3.1
통신이 입수한 보고서에는 “이란이 이달 초 불분명한 기술적 이유로 인해 우라늄 농축을 일시적으로 중단했다”며 “그러나 이란의 우라늄 농축량은 계속 늘고 있고, 미사일 장착용 핵탄두 개발이 우려된다”고 쓰여 있다.

통신이	통신/NNG+이/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
보고서에는	보고서/NNG+에/JKB+는/JX
“이란이	“/SS+이란/NNP+이/JKS
이달	이달/NNG
초	초/NNB
불분명한	불분명하/VA+ㄴ/ETM
기술적	기술/NNG+적/XSN
이유로	이유/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
우라늄	우라늄/NNG
농축을	농축/NNG+을/JKO
일시적으로	일시/NNG+적/XSN+으로/JKB
중단했다”며	중단/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
이란의	이란/NNP+의/JKG
농축량은	농축/NNG+량/NNG+은/JX
계속	계속/MAG
늘고	늘/VV+고/EC
있고,	있/VX+고/EC+,/SP
미사일	미사일/NNG
장착용	장착/NNG+용/XSN
핵탄두	핵탄두/NNG
개발이	개발/NNG+이/JKS
우려된다”고	우려/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
쓰여	쓰이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.415.4.1
워싱턴의 과학국제안보연구소(ISIS)는 이란의 일시적 농축 중단이 폐쇄망으로 운용되는 주요 기반시설 제어시스템에 침투하는 바이러스 ‘스턱스넷’ 탓일 수도 있지만, 다음달 초로 예정된 서구 국가들과의 이른바 ‘P5+1’ 핵협상을 앞둔 시간벌기 술책일 수 있다고 분석했다.

워싱턴의	워싱턴/NNP+의/JKG
과학국제안보연구소(ISIS)는	과학국제안보연구소/NNP+(/SS+ISIS/SL+)/SS+는/JX
이란의	이란/NNP+의/JKG
일시적	일시/NNG+적/XSN
농축	농축/NNG
중단이	중단/NNG+이/JKS
폐쇄망으로	폐쇄/NNG+망/NNG+으로/JKB
운용되는	운용/NNG+되/XSV+는/ETM
주요	주요/NNG
기반시설	기반/NNG+시설/NNG
제어시스템에	제어/NNG+시스템/NNG+에/JKB
침투하는	침투/NNG+하/XSV+는/ETM
바이러스	바이러스/NNG
‘스턱스넷’	‘/SS+스턱스넷/NNG+’/SS
탓일	탓/NNG+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
다음달	다음/NNG+달/NNG
초로	초/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
서구	서구/NNG
국가들과의	국가/NNG+들/XSN+과/JKB+의/JKG
이른바	이른바/MAG
‘P5+1’	‘/SS+P/SL+5/SN++/SW+1/SN+’/SS
핵협상을	핵/NNG+협상/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
시간벌기	시간/NNG+벌/VV+기/ETN
술책일	술책/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.415.4.2
빈 주재 이란 대표부는 “한두개의 기계가 고장을 일으키는 것은 정상적인 일”이라고 스턱스넷 감염 가능성을 일축한 바 있다.

빈	빈/NNP
주재	주재/NNG
이란	이란/NNP
대표부는	대표부/NNG+는/JX
“한두개의	“/SS+한두/MMN+개/NNB+의/JKG
기계가	기계/NNG+가/JKS
고장을	고장/NNG+을/JKO
일으키는	일으키/VV+는/ETM
것은	것/NNB+은/JX
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
스턱스넷	스턱스넷/NNG
감염	감염/NNG
가능성을	가능/NNG+성/XSN+을/JKO
일축한	일축/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.415.5.1
국제원자력기구는 2007년 이후 이란이 3.18t의 저농축 우라늄을 농축한 데 이어 최근 농축활동을 강화하고 있다고 평가하고 있다.

국제원자력기구는	국제원자력기구/NNP+는/JX
2007년	2007/SN+년/NNB
이후	이후/NNG
이란이	이란/NNP+이/JKS
3.18t의	3/SN+./SP+18/SN+t/SW+의/JKG
저농축	저/XPN+농축/NNG
우라늄을	우라늄/NNG+을/JKO
농축한	농축/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
최근	최근/MAG
농축활동을	농축/NNG+활동/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
평가하고	평가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.415.5.2
이런 분량은 고농축화 과정을 거칠 경우 핵탄두 2개를 제조할 수 있는 양이다.

이런	이런/MMD
분량은	분량/NNG+은/JX
고농축화	고/XPN+농축/NNG+화/XSN
과정을	과정/NNG+을/JKO
거칠	거치/VV+ㄹ/ETM
경우	경우/NNG
핵탄두	핵탄두/NNG
2개를	2/SN+개/NNB+를/JKO
제조할	제조/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
양이다.	양/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.415.6.1
의심시설에 대한 국제원자력기구의 사찰 요구를 받고 있는 시리아는 사찰단의 접근을 계속 막고 있다.

의심시설에	의심/NNG+시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국제원자력기구의	국제원자력기구/NNP+의/JKG
사찰	사찰/NNG
요구를	요구/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
시리아는	시리아/NNP+는/JX
사찰단의	사찰단/NNG+의/JKG
접근을	접근/NNG+을/JKO
계속	계속/MAG
막고	막/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.415.6.2
원자력기구는 특히 2007년 이스라엘 공군의 공습으로 파괴된 알키바르 지역 외에 군사시설로 구분된 3개 지역에 대한 사찰을 요구해 오고 있다.

원자력기구는	원자력기구/NNP+는/JX
특히	특히/MAG
2007년	2007/SN+년/NNB
이스라엘	이스라엘/NNP
공군의	공군/NNG+의/JKG
공습으로	공습/NNG+으로/JKB
파괴된	파괴/NNG+되/XSV+ㄴ/ETM
알키바르	알키바르/NNP
지역	지역/NNG
외에	외/NNB+에/JKB
군사시설로	군사/NNG+시설/NNG+로/JKB
구분된	구분/NNG+되/XSV+ㄴ/ETM
3개	3/SN+개/NNB
지역에	지역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사찰을	사찰/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
오고	오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.415.6.3
미국은 시리아에 대해 1993년 북한에 했던 것처럼 특별사찰권을 발동할 것을 촉구하고 있다.

미국은	미국/NNP+은/JX
시리아에	시리아/NNP+에/JKB
대해	대하/VV+아/EC
1993년	1993/SN+년/NNB
북한에	북한/NNP+에/JKB
했던	하/VV+았/EP+던/ETM
것처럼	것/NNB+처럼/JKB
특별사찰권을	특별/NNG+사찰/NNG+권/XSN+을/JKO
발동할	발동/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


