# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.426
metadata : {}


# id : NWRW1800000032.426.1.1
“세대변수가 지역변수 압도할 것”

“세대변수가	“/SS+세대/NNG+변수/NNG+가/JKS
김민전 경희대 교수는 “지난해 6·2지방선거에서 부산·경남 지역의 투표 행태를 보면 지역 변수가 약화하고 있는 흐름이 뚜렷하다”고 말했다.

김민전	김민전/NNP
경희대	경희대/NNP
교수는	교수/NNG+는/JX
“지난해	“/SS+지난해/NNG
6·2지방선거에서	6/SN+·/SP+2/SN+지방/NNG+선거/NNG+에서/JKB
부산·경남	부산/NNP+·/SP+경남/NNP
지역의	지역/NNG+의/JKG
투표	투표/NNG
행태를	행태/NNG+를/JKO
보면	보/VV+면/EC
지역	지역/NNG
변수가	변수/NNG+가/JKS
약화하고	약화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
흐름이	흐름/NNG+이/JKS
뚜렷하다”고	뚜렷하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.6.1
전문가들은 젊은층이 내년에도 야권을 지지할 것으로 내다봤다.

전문가들은	전문가/NNG+들/XSN+은/JX
젊은층이	젊/VA+은/ETM+층/NNG+이/JKS
내년에도	내년/NNG+에/JKB+도/JX
야권을	야권/NNG+을/JKO
지지할	지지/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.6.2
유창선 정치평론가는 “서울시장 선거에서 나타난 2040세대의 반란은 총선에서도 반복될 것”이라고 짚었다.

유창선	유창선/NNP
정치평론가는	정치/NNG+평론가/NNG+는/JX
“서울시장	“/SS+서울시장/NNG
선거에서	선거/NNG+에서/JKB
나타난	나타나/VV+ㄴ/ETM
2040세대의	2040/SN+세대/NNG+의/JKG
반란은	반란/NNG+은/JX
총선에서도	총선/NNG+에서/JKB+도/JX
반복될	반복/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.426.6.3
젊은층이 야권 지지 성향을 보이는 이면엔 ‘계층 간 갈등’이 내재한다는 분석도 있었다.

젊은층이	젊/VA+은/ETM+층/NNG+이/JKS
야권	야권/NNG
지지	지지/NNG
성향을	성향/NNG+을/JKO
보이는	보이/VV+는/ETM
이면엔	이면/NNG+에/JKB+ㄴ/JX
‘계층	‘/SS+계층/NNG
간	간/NNB
갈등’이	갈등/NNG+’/SS+이/JKS
내재한다는	내재/NNG+하/XSV+ㄴ다는/ETM
분석도	분석/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.426.6.4
한귀영 한겨레사회정책연구소 연구위원은 “세대 문제로만 풀려고 트위터 같은 문화적인 생활양식에만 접근하게 되지만, 그건 갈등의 표피만 건드릴 가능성이 높다”며 “내년엔 계층 관련 욕구들이 터져나올 것”이라고 전망했다.

한귀영	한귀영/NNP
한겨레사회정책연구소	한겨레사회정책연구소/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“세대	“/SS+세대/NNG
문제로만	문제/NNG+로/JKB+만/JX
풀려고	풀/VV+려고/EC
트위터	트위터/NNP
같은	같/VA+은/ETM
문화적인	문화/NNG+적/XSN+이/VCP+ㄴ/ETM
생활양식에만	생활/NNG+양식/NNG+에/JKB+만/JX
접근하게	접근/NNG+하/XSV+게/EC
되지만,	되/VV+지만/EC+,/SP
그건	그거/NP+ㄴ/JX
갈등의	갈등/NNG+의/JKG
표피만	표피/NNG+만/JX
건드릴	건드리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
“내년엔	“/SS+내년/NNG+에/JKB+ㄴ/JX
계층	계층/NNG
관련	관련/NNG
욕구들이	욕구/NNG+들/XSN+이/JKS
터져나올	터지/VV+어/EC+나오/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.6.5
고성국 정치평론가는 현재 나타나는 세대변수의 성격을 “세대라기보다는 새로움과 낡음의 구도”라고 규정했다.

고성국	고성국/NNP
정치평론가는	정치/NNG+평론가/NNG+는/JX
현재	현재/MAG
나타나는	나타나/VV+는/ETM
세대변수의	세대/NNG+변수/NNG+의/JKG
성격을	성격/NNG+을/JKO
“세대라기보다는	“/SS+세대/NNG+이/VCP+라기/ETN+보다/JKB+는/JX
새로움과	새로움/NNG+과/JC
낡음의	낡/VV+음/ETN+의/JKG
구도”라고	구도/NNG+”/SS+라고/JKQ
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.7.1
젊은층이 야권을 지지하는 ‘여노야소’ 현상이 뚜렷해지면서 세대변수는 더이상 변수가 아니라는 분석도 나왔다.

젊은층이	젊/VA+은/ETM+층/NNG+이/JKS
야권을	야권/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
‘여노야소’	‘/SS+여노야소/NNG+’/SS
현상이	현상/NNG+이/JKS
뚜렷해지면서	뚜렷하/VA+아/EC+지/VX+면서/EC
세대변수는	세대/NNG+변수/NNG+는/JX
더이상	더/MAG+이상/NNG
변수가	변수/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
분석도	분석/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.7.2
김종배 정치평론가는 “이제 세대는 더이상 변수가 아니라 상수이며, 문제는 지역”이라며 “야권의 영남 공략 정도와 충청의 선택이 총선 판도를 결정할 것”이라고 말했다.

김종배	김종배/NNP
정치평론가는	정치/NNG+평론가/NNG+는/JX
“이제	“/SS+이제/MAG
세대는	세대/NNG+는/JX
더이상	더/MAG+이상/NNG
변수가	변수/NNG+가/JKC
아니라	아니/VCN+라/EC
상수이며,	상수/NNG+이/VCP+며/EC+,/SP
문제는	문제/NNG+는/JX
지역”이라며	지역/NNG+”/SS+이/VCP+라며/EC
“야권의	“/SS+야권/NNG+의/JKG
영남	영남/NNP
공략	공략/NNG
정도와	정도/NNG+와/JC
충청의	충청/NNP+의/JKG
선택이	선택/NNG+이/JKS
총선	총선/NNG
판도를	판도/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.8.1
세대 변수가 10·26 서울시장 보궐선거만큼 극단적으로 나타나기는 어려울 것이란 전망도 있다.

세대	세대/NNG
변수가	변수/NNG+가/JKS
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거만큼	보궐/NNG+선거/NNG+만큼/JKB
극단적으로	극단/NNG+적/XSN+으로/JKB
나타나기는	나타나/VV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.426.8.2
김만흠 한국정치아카데미원장은 “내년 총선·대선은 전국적 선거여서 구조화된 지역 요소가 일정한 영향을 미칠 것”이라며 “서울이 아닌 지방의 경우 젊은 세대의 비중이 상대적으로 작아 세대 균열이 덜 드러날 것”이라고 내다봤다.

김만흠	김만흠/NNP
한국정치아카데미원장은	한국정치아카데미/NNP+원장/NNG+은/JX
“내년	“/SS+내년/NNG
총선·대선은	총선/NNG+·/SP+대선/NNG+은/JX
전국적	전국/NNG+적/XSN
선거여서	선거/NNG+이/VCP+어서/EC
구조화된	구조/NNG+화/XSN+되/XSV+ㄴ/ETM
지역	지역/NNG
요소가	요소/NNG+가/JKS
일정한	일정/NNG+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“서울이	“/SS+서울/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
지방의	지방/NNG+의/JKG
경우	경우/NNG
젊은	젊/VA+은/ETM
세대의	세대/NNG+의/JKG
비중이	비중/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
작아	작/VA+아/EC
세대	세대/NNG
균열이	균열/NNG+이/JKS
덜	덜/MAG
드러날	드러나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.8.3
이준한 인천대 교수는 비슷한 맥락에서 “대선에선 세대변수가 더 클 가능성이 있지만, 총선에선 수도권을 제외하고 지역적 분배 현상이 재연될 가능성이 더 크다”고 말했다.

이준한	이준한/NNP
인천대	인천대/NNP
교수는	교수/NNG+는/JX
비슷한	비슷하/VA+ㄴ/ETM
맥락에서	맥락/NNG+에서/JKB
“대선에선	“/SS+대선/NNG+에서/JKB+ㄴ/JX
세대변수가	세대/NNG+변수/NNG+가/JKS
더	더/MAG
클	크/VA+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있지만,	있/VA+지만/EC+,/SP
총선에선	총선/NNG+에서/JKB+ㄴ/JX
수도권을	수도/NNG+권/XSN+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
지역적	지역/NNG+적/XSN
분배	분배/NNG
현상이	현상/NNG+이/JKS
재연될	재연/NNG+되/XSV+ㄹ/ETM
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


