# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.158
metadata : {}


# id : NWRW1800000054.158.1.1
학종 전형 대학생이 학점 가장 높아

학종	학종/NNG
논술전형(3.10점),	논술/NNG+전형/NNG+(/SS+3/SN+./SP+10/SN+점/NNB+)/SS+,/SP
정시전형(3.07점),	정시/NNG+전형/NNG+(/SS+3/SN+./SP+07/SN+점/NNB+)/SS+,/SP
교과전형(3.06)	교과/NNG+전형/NNG+(/SS+3/SN+./SP+06/SN+)/SS
등	등/NNB
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.158.3.3
대학에 입학한 뒤 과를 바꾸는 비율도 학생부종합전형으로 입학한 학생은 2.0%로 가장 낮았다.

대학에	대학/NNG+에/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
과를	과/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
비율도	비율/NNG+도/JX
학생부종합전형으로	학생부/NNG+종합/NNG+전형/NNG+으로/JKB
학생은	학생/NNG+은/JX
2.0%로	2/SN+./SP+0/SN+%/SW+로/JKB
가장	가장/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.158.3.4
전공 만족도나 적응도가 다른 전형을 통해 입학한 경우보다 더 높다는 의미로 해석됐다.

전공	전공/NNG
만족도나	만족도/NNG+나/JC
적응도가	적응도/NNG+가/JKS
다른	다른/MMD
전형을	전형/NNG+을/JKO
통해	통하/VV+아/EC
입학한	입학/NNG+하/XSV+ㄴ/ETM
경우보다	경우/NNG+보다/JKB
더	더/MAG
높다는	높/VA+다는/ETM
의미로	의미/NNG+로/JKB
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.158.4.1
고교 재학 시 사교육을 받은 경험도 학생부종합전형 입학생이 가장 낮은 것으로 파악됐다.

고교	고교/NNG
재학	재학/NNG
시	시/NNB
사교육을	사교육/NNG+을/JKO
받은	받/VV+은/ETM
경험도	경험/NNG+도/JX
학생부종합전형	학생부/NNG+종합/NNG+전형/NNG
입학생이	입학/NNG+생/XSN+이/JKS
가장	가장/MAG
낮은	낮/VA+은/ETM
것으로	것/NNB+으로/JKB
파악됐다.	파악/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.158.4.2
사교육을 받아본 학생 비율은 논술전형 입학생들이 91%로 가장 높았고, 정시 86.1%, 교과 75%, 학생부종합 72.7% 순이었다.

사교육을	사교육/NNG+을/JKO
받아본	받/VV+아/EC+보/VX+ㄴ/ETM
학생	학생/NNG
비율은	비율/NNG+은/JX
논술전형	논술/NNG+전형/NNG
입학생들이	입학/NNG+생/XSN+들/XSN+이/JKS
91%로	91/SN+%/SW+로/JKB
가장	가장/MAG
높았고,	높/VA+았/EP+고/EC+,/SP
정시	정시/NNG
86.1%,	86/SN+./SP+1/SN+%/SW+,/SP
교과	교과/NNG
75%,	75/SN+%/SW+,/SP
학생부종합	학생부/NNG+종합/NNG
72.7%	72/SN+./SP+7/SN+%/SW
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.158.5.1
6개 대학 측은 "설문을 통해 학생들의 전공 적합성, 적극성, 창의성, 팀워크 등을 조사한 결과에서도 학생부종합전형 입학생들이 가장 뛰어난 것으로 나타났다"면서 "학생부종합전형은 본인이 공부하고 싶은 분야를 직접 선택하는 경우가 많기 때문에 학교생활 적응도가 뛰어난 것으로 보인다"고 밝혔다.

6개	6/SN+개/NNB
대학	대학/NNG
측은	측/NNB+은/JX
"설문을	"/SS+설문/NNG+을/JKO
통해	통하/VV+아/EC
학생들의	학생/NNG+들/XSN+의/JKG
전공	전공/NNG
적합성,	적합/NNG+성/XSN+,/SP
적극성,	적극/NNG+성/XSN+,/SP
창의성,	창의/NNG+성/XSN+,/SP
팀워크	팀워크/NNG
등을	등/NNB+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과에서도	결과/NNG+에서/JKB+도/JX
학생부종합전형	학생부/NNG+종합/NNG+전형/NNG
입학생들이	입학/NNG+생/XSN+들/XSN+이/JKS
가장	가장/MAG
뛰어난	뛰어나/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다"면서	나타나/VV+았/EP+다/EF+"/SS+면서/EC
"학생부종합전형은	"/SS+학생부/NNG+종합/NNG+전형/NNG+은/JX
본인이	본인/NNG+이/JKS
공부하고	공부/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
분야를	분야/NNG+를/JKO
직접	직접/MAG
선택하는	선택/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
학교생활	학교생활/NNG
적응도가	적응도/NNG+가/JKS
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


