# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.347
metadata : {}


# id : NWRW1800000038.347.1.1
"北이 NLL남쪽 해역에 미사일 쏘면, 피해 없어도 상응 조치"

"北이	"/SS+北/SH+이/JKS
# id : NWRW1800000038.347.8.1
한편 박 대통령은 10일 새벽까지 관저에서 북한 동향 등에 대해 실시간 보고를 받았다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
10일	10/SN+일/NNB
새벽까지	새벽/NNG+까지/JX
관저에서	관저/NNG+에서/JKB
북한	북한/NNP
동향	동향/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
실시간	실시간/NNG
보고를	보고/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.347.8.2
김장수 국가안보실장 내정자도 며칠째 귀가하지 않은 채 국가위기관리상황실(지하 벙커)에 머물면서 안보 상황을 체크했다.

김장수	김장수/NNP
국가안보실장	국가/NNG+안보실장/NNG
내정자도	내정자/NNG+도/JX
며칠째	며칠/NNG+째/XSN
귀가하지	귀가/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
국가위기관리상황실(지하	국가/NNG+위기/NNG+관리/NNG+상황실/NNG+(/SS+지하/NNG
벙커)에	벙커/NNG+)/SS+에/JKB
머물면서	머물/VV+면서/EC
안보	안보/NNG
상황을	상황/NNG+을/JKO
체크했다.	체크/NNG+하/XSV+았/EP+다/EF+./SF


