# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.116
metadata : {}


# id : NWRW1800000040.116.1.1
새차 주행중 시동 꺼져도 교환 꿈도 꾸지마?

새차	새/MMA+차/NNG
경우,	경우/NNG+,/SP
핸들	핸들/NNG
잠김,	잠기/VV+ㅁ/ETN+,/SP
치솟는	치솟/VV+는/ETM
아르피엠(RPM)과	아르피엠/NNG+(/SS+RPM/SL+)/SS+과/JC
소음	소음/NNG
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.116.7.1
이런 문제가 발생해도 관련 규정이 모호해 보상을 받기는 “하늘의 별따기”라는 게 연구소의 지적이다.

이런	이런/MMD
문제가	문제/NNG+가/JKS
발생해도	발생/NNG+하/XSV+아도/EC
관련	관련/NNG
규정이	규정/NNG+이/JKS
모호해	모호하/VA+아/EC
보상을	보상/NNG+을/JKO
받기는	받/VV+기/ETN+는/JX
“하늘의	“/SS+하늘/NNG+의/JKG
별따기”라는	별/NNG+따/VV+기/ETN+”/SS+이/VCP+라는/ETM
게	거/NNB+이/JKS
연구소의	연구소/NNG+의/JKG
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.116.7.2
국내 관련 규정인 ‘소비자 분쟁해결기준’은 신차의 중대 결함 시 교환 및 환불을 해주도록 하고 있으나 무엇이 중대 결함인지 기준을 명시하고 있지 않다.

국내	국내/NNG
관련	관련/NNG
규정인	규정/NNG+이/VCP+ㄴ/ETM
‘소비자	‘/SS+소비자/NNG
분쟁해결기준’은	분쟁/NNG+해결/NNG+기준/NNG+’/SS+은/JX
신차의	신차/NNG+의/JKG
중대	중대/NNG
결함	결함/NNG
시	시/NNB
교환	교환/NNG
및	및/MAG
환불을	환불/NNG+을/JKO
해주도록	하/VV+아/EC+주/VX+도록/EC
하고	하/VX+고/EC
있으나	있/VX+으나/EC
무엇이	무엇/NP+이/JKS
결함인지	결함/NNG+이/VCP+ㄴ지/EC
기준을	기준/NNG+을/JKO
명시하고	명시/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000040.116.7.3
연구소는 “국토해양부조차 명문화된 규정이 없고 제조사에 따라 다르다고 하는 실정”이라고 지적했다.

연구소는	연구소/NNG+는/JX
“국토해양부조차	“/SS+국토/NNG+해양부/NNG+조차/JX
명문화된	명문/NNG+화/XSN+되/XSV+ㄴ/ETM
규정이	규정/NNG+이/JKS
없고	없/VA+고/EC
제조사에	제조사/NNG+에/JKB
따라	따르/VV+아/EC
다르다고	다르/VA+다고/EC
하는	하/VV+는/ETM
실정”이라고	실정/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.116.7.4
그나마 있는 규정도 강제가 아닌 권고 사항에 불과하다.

그나마	그나마/MAG
있는	있/VA+는/ETM
규정도	규정/NNG+도/JX
강제가	강제/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
권고	권고/NNG
사항에	사항/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000040.116.7.5
한국소비자원이 2011년 조사한 결과, 신차 결함 때 교환이나 환불이 이뤄지는 경우는 5% 수준에 불과했다.

한국소비자원이	한국소비자원/NNP+이/JKS
2011년	2011/SN+년/NNB
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
신차	신차/NNG
결함	결함/NNG
때	때/NNG
교환이나	교환/NNG+이나/JC
환불이	환불/NNG+이/JKS
이뤄지는	이뤄지/VV+는/ETM
경우는	경우/NNG+는/JX
5%	5/SN+%/SW
수준에	수준/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000040.116.8.1
연구소는 특히 “운전자의 안전이 달린 자동차를 일반 공산품과 똑같이 취급하는 것이 문제”라고 지적했다.

연구소는	연구소/NNG+는/JX
특히	특히/MAG
“운전자의	“/SS+운전자/NNG+의/JKG
안전이	안전/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
자동차를	자동차/NNG+를/JKO
일반	일반/NNG
공산품과	공산품/NNG+과/JKB
똑같이	똑같이/MAG
취급하는	취급/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
문제”라고	문제/NNG+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.116.8.2
규정은 인도일로부터 1개월 이내 중대 결함 2회 이상 발생 시 또는 12개월 이내 동일 하자 4회 이상 발생 시 등의 경우 교환 및 환불을 권고하고 있는데, 휴대전화나 텔레비전(TV) 등과 비슷한 수준이다.

규정은	규정/NNG+은/JX
인도일로부터	인도일/NNG+로부터/JKB
1개월	1/SN+개월/NNB
이내	이내/MAG
중대	중대/NNG
결함	결함/NNG
2회	2/SN+회/NNB
이상	이상/NNG
발생	발생/NNG
시	시/NNB
또는	또는/MAG
12개월	12/SN+개월/NNB
동일	동일/NNG
하자	하자/NNG
4회	4/SN+회/NNB
등의	등/NNB+의/JKG
경우	경우/NNG
교환	교환/NNG
및	및/MAG
환불을	환불/NNG+을/JKO
권고하고	권고/NNG+하/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
휴대전화나	휴대/NNG+전화/NNG+나/JC
텔레비전(TV)	텔레비전/NNG+(/SS+TV/SL+)/SS
등과	등/NNB+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.116.8.3
백진주 컨슈머리서치 부장은 “결국 결함으로 큰 사고가 났다고 해도 환불을 받으려면 다시 목숨을 걸고 운전해야 하는 셈”이라고 말했다.

백진주	백진주/NNP
컨슈머리서치	컨슈머/NNG+리서치/NNG
부장은	부장/NNG+은/JX
“결국	“/SS+결국/MAG
결함으로	결함/NNG+으로/JKB
큰	크/VA+ㄴ/ETM
사고가	사고/NNG+가/JKS
났다고	나/VV+았/EP+다고/EC
해도	하/VV+아도/EC
환불을	환불/NNG+을/JKO
받으려면	받/VV+으려면/EC
다시	다시/MAG
목숨을	목숨/NNG+을/JKO
걸고	걸/VV+고/EC
운전해야	운전/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
셈”이라고	셈/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.116.9.1
반면, 미국과 유럽 등의 경우, 운전자의 안전을 보장하기 위한 강한 제도를 갖추고 있다.

반면,	반면/NNG+,/SP
미국과	미국/NNP+과/JC
유럽	유럽/NNP
등의	등/NNB+의/JKG
경우,	경우/NNG+,/SP
운전자의	운전자/NNG+의/JKG
안전을	안전/NNG+을/JKO
보장하기	보장/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
제도를	제도/NNG+를/JKO
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.116.9.2
대표적인 예가 1975년 미국 연방에서 처음 제정된 맥너슨-모스법으로, 이른바 ‘레몬법’이라 불리는 법이다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
예가	예/NNG+가/JKS
1975년	1975/SN+년/NNB
미국	미국/NNP
연방에서	연방/NNG+에서/JKB
처음	처음/NNG
제정된	제정/NNG+되/XSV+ㄴ/ETM
맥너슨-모스법으로,	맥너슨/NNP+-/SO+모스/NNP+법/NNG+으로/JKB+,/SP
이른바	이른바/MAG
‘레몬법’이라	‘/SS+레몬/NNG+법/NNG+’/SS+이/VCP+라/EC
불리는	불리/VV+는/ETM
법이다.	법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.116.9.3
오렌지인줄 알고 산 제품이 시큼한 레몬인 경우에 빗댄 이 법은 중대 결함이 확인된 경우 차량 교환과 환불을 강제하고, 주에 따라선 구입가의 2배 배상과 법정소송 비용까지 물게 하기도 한다.

오렌지인줄	오렌지/NNG+이/VCP+ㄴ/ETM+줄/NNB
알고	알/VV+고/EC
산	사/VV+ㄴ/ETM
제품이	제품/NNG+이/JKS
시큼한	시큼하/VA+ㄴ/ETM
레몬인	레몬/NNG+이/VCP+ㄴ/ETM
경우에	경우/NNG+에/JKB
빗댄	빗대/VV+ㄴ/ETM
이	이/MMD
법은	법/NNG+은/JX
중대	중대/NNG
결함이	결함/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
경우	경우/NNG
차량	차량/NNG
교환과	교환/NNG+과/JC
환불을	환불/NNG+을/JKO
강제하고,	강제/NNG+하/XSV+고/EC+,/SP
주에	주/NNG+에/JKB
따라선	따르/VV+아서/EC+ㄴ/JX
구입가의	구입/NNG+가/XSN+의/JKG
2배	2/SN+배/NNG
배상과	배상/NNG+과/JC
법정소송	법정/NNG+소송/NNG
비용까지	비용/NNG+까지/JX
물게	물/VV+게/EC
하기도	하/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.116.9.4
컨슈머리서치는 “한국은 중대 결함에 대한 판정마저 제조사의 판단에 의존하는 실정이다.

컨슈머리서치는	컨슈머/NNG+리서치/NNG+는/JX
“한국은	“/SS+한국/NNP+은/JX
중대	중대/NNG
결함에	결함/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
판정마저	판정/NNG+마저/JX
제조사의	제조사/NNG+의/JKG
판단에	판단/NNG+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.116.9.5
명확한 규정과 제재 조항이 필요하다”고 지적했다.

명확한	명확하/VA+ㄴ/ETM
규정과	규정/NNG+과/JC
제재	제재/NNG
조항이	조항/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


