# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.18
metadata : {}


# id : NWRW1800000026.18.1.1
[아이티 지진 참사] 초등생 400명… 해군 함대 장병들… 국내 온정의 손길 이어져;개인 4957명 등 5억여원

[아이티	[/SS+아이티/NNP
상당의	상당/NNG+의/JKG
텐트	텐트/NNG
150여동(7~8인용)을	150/SN+여/XSN+동/NNB+(/SS+7/SN+~/SO+8/SN+인용/NNG+)/SS+을/JKO
긴급	긴급/NNG
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.18.4.2
코오롱은 출시를 앞둔 신제품과 매장에서 판매 중인 상품까지 모아 19일 항공편으로 보낸다.

코오롱은	코오롱/NNP+은/JX
출시를	출시/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
신제품과	신/XPN+제품/NNG+과/JC
매장에서	매장/NNG+에서/JKB
판매	판매/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
상품까지	상품/NNG+까지/JX
모아	모으/VV+아/EC
19일	19/SN+일/NNB
항공편으로	항공편/NNG+으로/JKB
보낸다.	보내/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.18.4.3
LG전자 임직원은 성금 5000만원을 전달했다.

LG전자	LG전자/NNP
임직원은	임직원/NNG+은/JX
성금	성금/NNG
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.18.5.1
현대차는 성금 10만달러를 국제적십자연맹에 전달했다.

현대차는	현대차/NNP+는/JX
성금	성금/NNG
10만달러를	10/SN+만/NR+달러/NNB+를/JKO
국제적십자연맹에	국제적십자연맹/NNP+에/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.18.5.2
삼성·LG·SK 그룹들도 조만간 지원방안을 마련할 예정이다.

삼성·LG·SK	삼성/NNP+·/SP+LG/SL+·/SP+SK/SL
그룹들도	그룹/NNG+들/XSN+도/JX
조만간	조만간/MAG
지원방안을	지원/NNG+방안/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.18.5.3
네티즌들은 각종 포털사이트 모금 운동에 적극 참여하고 있다.

네티즌들은	네티즌/NNG+들/XSN+은/JX
각종	각종/NNG
포털사이트	포털/NNG+사이트/NNG
모금	모금/NNG
운동에	운동/NNG+에/JKB
적극	적극/NNG
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.18.5.4
이날 오후 9시까지 네이버에 4622만원, 다음 3985만원, 네이트 2169만원이 모금됐다.

이날	이날/NNG
오후	오후/NNG
9시까지	9/SN+시/NNB+까지/JX
네이버에	네이버/NNP+에/JKB
4622만원,	4622/SN+만/NR+원/NNB+,/SP
다음	다음/NNP
3985만원,	3985/SN+만/NR+원/NNB+,/SP
네이트	네이트/NNP
2169만원이	2169/SN+만/NR+원/NNB+이/JKS
모금됐다.	모금/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.18.6.1
종교계도 발벗고 나섰다.

종교계도	종교/NNG+계/XSN+도/JX
발벗고	발/NNG+벗/VV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.18.6.2
개신교 연합봉사단체인 한국교회봉사단과 한국교회희망연대는 '한국교회희망봉사단'으로 통합하기로 하고 1월 말까지 100만달러 모금운동을 편다.

개신교	개신교/NNG
연합봉사단체인	연합/NNG+봉사/NNG+단체/NNG+이/VCP+ㄴ/ETM
한국교회봉사단과	한국교회봉사단/NNP+과/JC
한국교회희망연대는	한국교회희망연대/NNP+는/JX
'한국교회희망봉사단'으로	'/SS+한국교회희망봉사단/NNP+'/SS+으로/JKB
통합하기로	통합/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
1월	1/SN+월/NNB
말까지	말/NNB+까지/JX
100만달러	100/SN+만/NR+달러/NNB
모금운동을	모금/NNG+운동/NNG+을/JKO
편다.	펴/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.18.6.3
한국기독교총연합회(한기총)는 17일 메시지를 발표, "한국교회와 성도들은 피해자 가족과 이재민을 위해 기도하고 구호성금과 헌금에 동참해 달라"고 말했다.

한국기독교총연합회(한기총)는	한국기독교총연합회/NNP+(/SS+한기총/NNP+)/SS+는/JX
17일	17/SN+일/NNB
메시지를	메시지/NNG+를/JKO
발표,	발표/NNG+,/SP
"한국교회와	"/SS+한국/NNP+교회/NNG+와/JC
성도들은	성도/NNG+들/XSN+은/JX
피해자	피해자/NNG
가족과	가족/NNG+과/JC
이재민을	이재민/NNG+을/JKO
위해	위하/VV+아/EC
기도하고	기도/NNG+하/XSV+고/EC
구호성금과	구호/NNG+성금/NNG+과/JC
헌금에	헌금/NNG+에/JKB
동참해	동참/NNG+하/XSV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.18.6.4
원불교 은혜심기운동본부도 지난 16일 긴급회의를 열어 봉사자 2명을 아이티로 급파하고 성금·구호물자를 모으기로 했다.

원불교	원불교/NNG
은혜심기운동본부도	은혜심기운동본부/NNP+도/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
긴급회의를	긴급회의/NNG+를/JKO
열어	열/VV+어/EC
봉사자	봉사자/NNG
2명을	2/SN+명/NNB+을/JKO
아이티로	아이티/NNP+로/JKB
급파하고	급파/NNG+하/XSV+고/EC
성금·구호물자를	성금/NNG+·/SP+구호물자/NNG+를/JKO
모으기로	모으/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.18.7.1
▲아이티 돕기 계좌번호: 우리은행 1005-201-048577(예금주: 굿네이버스) ※굿네이버스 홈페이지 http://www.gni.kr에서 자동이체·신용카드·휴대전화 결제를 통한 모금도 가능

▲아이티	▲/SW+아이티/NNP
돕기	돕/VV+기/ETN
계좌번호:	계좌/NNG+번호/NNG+:/SP
우리은행	우리은행/NNP
1005-201-048577(예금주:	1005/SN+-/SO+201/SN+-/SO+048577/SN+(/SS+예금주/NNG+:/SP
굿네이버스)	굿네이버스/NNP+)/SS
※굿네이버스	※/SW+굿네이버스/NNP
홈페이지	홈페이지/NNG
http://www.gni.kr에서	http/SL+:/SP+//SP+//SP+www/SL+./SP+gni/SL+./SP+kr/SL+에서/JKB
자동이체·신용카드·휴대전화	자동/NNG+이체/NNG+·/SP+신용/NNG+카드/NNG+·/SP+휴대/NNG+전화/NNG
결제를	결제/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
모금도	모금/NNG+도/JX
가능	가능/NNG


# id : NWRW1800000026.18.8.1
▲성금문의: (02)6717-4000

▲성금문의:	▲/SW+성금/NNG+문의/NNG+:/SP
(02)6717-4000	(/SS+02/SN+)/SS+6717/SN+-/SO+4000/SN


