# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.320
metadata : {}


# id : NWRW1800000033.320.1.1
[4·11총선 D-11]오리무중 표심 30%, 與로?

[4·11총선	[/SS+4/SN+·/SP+11/SN+총선/NNG
배종찬 R&R 본부장은 “유권자의 정치변혁 요구를 각 정당의 후보자가 충족시키지 못하면서 후보 선택지가 줄어든 것이 원인”이라며 “유권자들이 후보를 결정했음에도 여론조사에서 속마음을 숨기는 것도 이유”라고 분석했다.

배종찬	배종찬/NNP
R&R	R/SL+&/SW+R/SL
본부장은	본부장/NNG+은/JX
“유권자의	“/SS+유권자/NNG+의/JKG
정치변혁	정치/NNG+변혁/NNG
요구를	요구/NNG+를/JKO
각	각/MMD
정당의	정당/NNG+의/JKG
후보자가	후보자/NNG+가/JKS
충족시키지	충족/NNG+시키/XSV+지/EC
못하면서	못하/VX+면서/EC
후보	후보/NNG
선택지가	선택지/NNG+가/JKS
줄어든	줄어들/VV+ㄴ/ETM
것이	것/NNB+이/JKS
원인”이라며	원인/NNG+”/SS+이/VCP+라며/EC
“유권자들이	“/SS+유권자/NNG+들/XSN+이/JKS
후보를	후보/NNG+를/JKO
결정했음에도	결정/NNG+하/XSV+았/EP+음/ETN+에/JKB+도/JX
여론조사에서	여론/NNG+조사/NNG+에서/JKB
속마음을	속마음/NNG+을/JKO
숨기는	숨기/VV+는/ETM
것도	것/NNB+도/JX
이유”라고	이유/NNG+”/SS+라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.320.4.3
이택수 리얼미터 대표는 “각 정당의 공천 물갈이로 신인 정치인들이 많이 나오면서 유권자들이 제대로 후보를 알지 못하고 있다”며 “주변 유권자들의 평가를 들어본 뒤 유력 후보를 지지하게 되는 ‘밴드왜건 효과’가 나타날 가능성이 있다”고 말했다.

이택수	이택수/NNP
리얼미터	리얼미터/NNP
대표는	대표/NNG+는/JX
“각	“/SS+각/MMD
정당의	정당/NNG+의/JKG
공천	공천/NNG
물갈이로	물갈이/NNG+로/JKB
신인	신인/NNG
정치인들이	정치인/NNG+들/XSN+이/JKS
많이	많이/MAG
나오면서	나오/VV+면서/EC
유권자들이	유권자/NNG+들/XSN+이/JKS
제대로	제대로/MAG
후보를	후보/NNG+를/JKO
알지	알/VV+지/EC
못하고	못하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“주변	“/SS+주변/NNG
유권자들의	유권자/NNG+들/XSN+의/JKG
평가를	평가/NNG+를/JKO
들어본	듣/VV+어/EC+보/VX+ㄴ/ETM
뒤	뒤/NNG
유력	유력/NNG
지지하게	지지/NNG+하/XSV+게/EC
되는	되/VV+는/ETM
‘밴드왜건	‘/SS+밴드/NNG+왜건/NNG
효과’가	효과/NNG+’/SS+가/JKS
나타날	나타나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.320.5.1
전문가들은 부동층을 정치 상황과 이슈에 따라 선거 때마다 선택을 달리하는 유권자인 이른바 ‘스윙보터(swing voter)’로 분류하고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
부동층을	부동/NNG+층/XSN+을/JKO
정치	정치/NNG
상황과	상황/NNG+과/JC
이슈에	이슈/NNG+에/JKB
따라	따르/VV+아/EC
선거	선거/NNG
때마다	때/NNG+마다/JX
선택을	선택/NNG+을/JKO
달리하는	달리/MAG+하/XSV+는/ETM
유권자인	유권자/NNG+이/VCP+ㄴ/ETM
이른바	이른바/MAG
‘스윙보터(swing	‘/SS+스윙/NNG+보터/NNG+(/SS+swing/SL
voter)’로	voter/SL+)/SS+’/SS+로/JKB
분류하고	분류/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.320.5.2
최근 이슈가 된 국무총리실 민간인 불법사찰과 정권심판론, 색깔론, 각 당 공약 등이 이들의 표심에 영향을 미칠 수 있다.

최근	최근/MAG
이슈가	이슈/NNG+가/JKC
된	되/VV+ㄴ/ETM
국무총리실	국무총리실/NNG
민간인	민간인/NNG
불법사찰과	불법/NNG+사찰/NNG+과/JC
정권심판론,	정권/NNG+심판/NNG+론/XSN+,/SP
색깔론,	색깔/NNG+론/XSN+,/SP
각	각/MMD
당	당/NNG
공약	공약/NNG
등이	등/NNB+이/JKS
이들의	이/NP+들/XSN+의/JKG
표심에	표심/NNG+에/JKB
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.320.6.1
특히 역대 선거에서 부동층이 대부분 야권에 더 힘을 실어준 경우가 많아 새누리당에 불리하게 작용할 수 있다는 관측이 나온다.

특히	특히/MAG
역대	역대/NNG
선거에서	선거/NNG+에서/JKB
부동층이	부동/NNG+층/XSN+이/JKS
대부분	대/XPN+부분/NNG
야권에	야권/NNG+에/JKB
더	더/MAG
힘을	힘/NNG+을/JKO
실어준	싣/VV+어/EC+주/VX+ㄴ/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
새누리당에	새누리당/NNP+에/JKB
불리하게	불리/NNG+하/XSA+게/EC
작용할	작용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.320.6.2
배 본부장은 “부동층의 표심은 6 대 4 정도로 야권에 유리하다”며 “20∼40대 수도권 부동층의 투표율이 결정적 변수로 작용할 것”이라고 전망했다.

배	배/NNP
본부장은	본부장/NNG+은/JX
“부동층의	“/SS+부동/NNG+층/XSN+의/JKG
표심은	표심/NNG+은/JX
6	6/SN
대	대/NNB
4	4/SN
정도로	정도/NNG+로/JKB
야권에	야권/NNG+에/JKB
유리하다”며	유리/NNG+하/XSA+다/EF+”/SS+며/EC
“20∼40대	“/SS+20/SN+∼/SO+40/SN+대/NNB
수도권	수도/NNG+권/XSN
부동층의	부동/NNG+층/XSN+의/JKG
투표율이	투표/NNG+율/XSN+이/JKS
결정적	결정/NNG+적/XSN
변수로	변수/NNG+로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.320.7.1
일단 여야는 경쟁적으로 판세가 불리하다며 엄살 부리기에 나서고 있다.

일단	일단/MAG
여야는	여야/NNG+는/JX
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
판세가	판세/NNG+가/JKS
불리하다며	불리/NNG+하/XSA+다며/EC
엄살	엄살/NNG
부리기에	부리/VV+기/ETN+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.320.7.2
예상 의석수를 깎아내려 지지층을 결속시키고 30%대에 이르는 부동층이 상대 당으로 흡수되는 것을 사전에 차단하고 표심을 잡기 위한 전략인 셈이다.

예상	예상/NNG
의석수를	의석수/NNG+를/JKO
깎아내려	깎/VV+아/EC+내리/VV+어/EC
지지층을	지지/NNG+층/XSN+을/JKO
결속시키고	결속/NNG+시키/XSV+고/EC
30%대에	30/SN+%/SW+대/XSN+에/JKB
이르는	이르/VV+는/ETM
부동층이	부동/NNG+층/XSN+이/JKS
상대	상대/NNG
당으로	당/NNG+으로/JKB
흡수되는	흡수/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
사전에	사전/NNG+에/JKB
차단하고	차단/NNG+하/XSV+고/EC
표심을	표심/NNG+을/JKO
잡기	잡/VV+기/ETN
위한	위하/VV+ㄴ/ETM
전략인	전략/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.320.8.1
여야는 공약 홍보를 통해 부동층 표심 확보에 적극 나설 계획이다.

여야는	여야/NNG+는/JX
공약	공약/NNG
홍보를	홍보/NNG+를/JKO
통해	통하/VV+아/EC
부동층	부동/NNG+층/XSN
표심	표심/NNG
확보에	확보/NNG+에/JKB
적극	적극/NNG
나설	나서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.320.8.2
새누리당 당직자는 “교육 보육 주거정책 등으로 승부를 걸겠다”고 말했다.

새누리당	새누리당/NNP
당직자는	당직자/NNG+는/JX
“교육	“/SS+교육/NNG
보육	보육/NNG
주거정책	주거/NNG+정책/NNG
등으로	등/NNB+으로/JKB
승부를	승부/NNG+를/JKO
걸겠다”고	걸/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.320.8.3
민주당 관계자도 “반값등록금 실현 등 생활정책을 집중 홍보할 계획”이라고 말했다.

민주당	민주당/NNP
관계자도	관계자/NNG+도/JX
“반값등록금	“/SS+반값/NNG+등록금/NNG
실현	실현/NNG
등	등/NNB
생활정책을	생활/NNG+정책/NNG+을/JKO
집중	집중/NNG
홍보할	홍보/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


