# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.153
metadata : {}


# id : NWRW1800000038.153.1.1
한부모·祖孫가정 소년범, 가족없는 아이들보다 재범률 낮아

한부모·祖孫가정	한/MMN+부모/NNG+·/SP+祖孫/SH+가정/NNG
전연진	전연진/NNP
상담	상담/NNG
교수는	교수/NNG+는/JX
"가족이	"/SS+가족/NNG+이/JKS
없는	없/VA+는/ETM
청소년은	청소년/NNG+은/JX
또래들과	또래/NNG+들/XSN+과/JKB
유대감을	유대감/NNG+을/JKO
갖기	갖/VV+기/ETN
위해	위하/VV+아/EC
집단화되어	집단/NNG+화/XSN+되/XSV+어/EC
범죄를	범죄/NNG+를/JKO
저지르는	저지르/VV+는/ETM
특성이	특성/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"그렇기	"/SS+그렇/VA+기/ETN
때문에	때문/NNB+에/JKB
성장기	성장기/NNG
동안	동안/NNG
지속적으로	지속/NNG+적/XSN+으로/JKB
관심을	관심/NNG+을/JKO
가져	가지/VV+어/EC
주고	주/VX+고/EC
사회와	사회/NNG+와/JKB
유대	유대/NNG
관계를	관계/NNG+를/JKO
맺도록	맺/VV+도록/EC
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.153.5.1
소년원에서도 가족이 없는 소년범들에 대해 더 관심을 갖고 체계적인 보살핌이 필요하다는 지적이 나온다.

소년원에서도	소년원/NNG+에서/JKB+도/JX
가족이	가족/NNG+이/JKS
없는	없/VA+는/ETM
소년범들에	소년범/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
더	더/MAG
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
보살핌이	보살핌/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.153.5.2
대구소년원 관계자는 "부모 연배의 자원봉사자들이 가족이 없는 아이들의 '멘토'가 되어 주고 있다"고 말했다.

대구소년원	대구소년원/NNP
관계자는	관계자/NNG+는/JX
"부모	"/SS+부모/NNG
연배의	연배/NNG+의/JKG
자원봉사자들이	자원봉사자/NNG+들/XSN+이/JKS
가족이	가족/NNG+이/JKS
없는	없/VA+는/ETM
아이들의	아이/NNG+들/XSN+의/JKG
'멘토'가	'/SS+멘토/NNG+'/SS+가/JKC
되어	되/VV+어/EC
주고	주/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.153.5.3
지금도 소년범들에 대해 '찾아가는 심리 상담사' 등의 제도가 있긴 하지만 관련 시스템은 전반적으로 부족하다고 전연진 교수는 말했다.

지금도	지금/NNG+도/JX
소년범들에	소년범/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
'찾아가는	'/SS+찾아가/VV+는/ETM
심리	심리/NNG
상담사'	상담사/NNG+'/SS
등의	등/NNB+의/JKG
제도가	제도/NNG+가/JKS
있긴	있/VA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
관련	관련/NNG
시스템은	시스템/NNG+은/JX
전반적으로	전반/NNG+적/XSN+으로/JKB
부족하다고	부족/NNG+하/XSA+다고/EC
전연진	전연진/NNP
교수는	교수/NNG+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.153.5.4
미국 등 선진국은 소년범의 범죄 유형, 가족 관계 등에 따라 특화된 교육과 상담을 소년원 안에서 의무적으로 실시하고 있다.

미국	미국/NNP
등	등/NNB
선진국은	선진국/NNG+은/JX
소년범의	소년범/NNG+의/JKG
범죄	범죄/NNG
유형,	유형/NNG+,/SP
가족	가족/NNG
관계	관계/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
특화된	특화/NNG+되/XSV+ㄴ/ETM
교육과	교육/NNG+과/JC
상담을	상담/NNG+을/JKO
소년원	소년원/NNG
안에서	안/NNG+에서/JKB
의무적으로	의무/NNG+적/XSN+으로/JKB
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


