# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.291
metadata : {}


# id : NWRW1800000029.291.1.1
[라커룸]감독 믿음 보답한 ‘이대호의 한방’

[라커룸]감독	[/SS+라커룸/NNG+]/SS+감독/NNG
이대호는 전날 3차전까지 12타수 2안타 타율 0.167에 삼진을 3개나 당하는 부진에 빠지며 4번 타자 역할을 제대로 못했다.

이대호는	이대호/NNP+는/JX
전날	전날/NNG
3차전까지	3/SN+차전/NNB+까지/JX
12타수	12/SN+타수/NNG
2안타	2/SN+안타/NNG
타율	타율/NNG
0.167에	0/SN+./SP+167/SN+에/JKB
삼진을	삼진/NNG+을/JKO
3개나	3/SN+개/NNB+나/JX
당하는	당하/VV+는/ETM
부진에	부진/NNG+에/JKB
빠지며	빠지/VV+며/EC
4번	4/SN+번/NNB
타자	타자/NNG
역할을	역할/NNG+을/JKO
제대로	제대로/MAG
못했다.	못/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.291.3.3
반면 1∼3차전에서 3번으로 나선 전준우는 14타수 6안타로 타율 0.429, 5번 지명타자로 기용된 홍성흔은 11타수 4안타로 타율 0.364로 방망이가 잘 맞고 있어 타순 조정을 생각해볼 만도 했다.

반면	반면/NNG
1∼3차전에서	1/SN+∼/SO+3/SN+차전/NNB+에서/JKB
3번으로	3/SN+번/NNB+으로/JKB
나선	나서/VV+ㄴ/ETM
전준우는	전준우/NNP+는/JX
14타수	14/SN+타수/NNG
6안타로	6/SN+안타/NNG+로/JKB
타율	타율/NNG
0.429,	0/SN+./SP+429/SN+,/SP
5번	5/SN+번/NNB
지명타자로	지명/NNG+타자/NNG+로/JKB
기용된	기용/NNG+되/XSV+ㄴ/ETM
홍성흔은	홍성흔/NNP+은/JX
11타수	11/SN+타수/NNG
4안타로	4/SN+안타/NNG+로/JKB
0.364로	0/SN+./SP+364/SN+로/JKB
방망이가	방망이/NNG+가/JKS
잘	잘/MAG
맞고	맞/VV+고/EC
있어	있/VX+어/EC
타순	타순/NNG
조정을	조정/NNG+을/JKO
생각해볼	생각/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
만도	만/NNB+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.291.4.1
하지만 양 감독은 “그래도 4번은 이대호”라고 자신 있게 말했다.

하지만	하지만/MAJ
양	양/NNP
감독은	감독/NNG+은/JX
“그래도	“/SS+그래도/MAJ
4번은	4/SN+번/NNB+은/JX
이대호”라고	이대호/NNP+”/SS+라고/JKQ
자신	자신/NNG
있게	있/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.291.4.2
양 감독의 얘기는 계속 이어졌다.

양	양/NNP
감독의	감독/NNG+의/JKG
얘기는	얘기/NNG+는/JX
계속	계속/MAG
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.291.4.3
“타자가 매일 잘 칠 수 있나요.

“타자가	“/SS+타자/NNG+가/JKS
매일	매일/MAG
잘	잘/MAG
칠	치/VV+ㄹ/ETM
수	수/NNB
있나요.	있/VA+나/EF+요/JX+./SF


# id : NWRW1800000029.291.4.4
이런 날도 있고 저런 날도 있고 그런 거죠.

이런	이런/MMD
날도	날/NNG+도/JX
있고	있/VA+고/EC
저런	저런/MMD
그런	그런/MMD
거죠.	거/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000029.291.4.5
우리 팀에서 이대호가 4번을 안 치면 누가 4번을 쳐요.”

우리	우리/NP
팀에서	팀/NNG+에서/JKB
이대호가	이대호/NNP+가/JKS
4번을	4/SN+번/NNB+을/JKO
안	안/MAG
치면	치/VV+면/EC
누가	누구/NP+가/JKS
쳐요.”	치/VV+어요/EF+./SF+”/SS


# id : NWRW1800000029.291.5.1
양 감독은 “정규시즌에서 3할5푼대 타율로 타격 1위를 한 게 이대호다.

양	양/NNP
감독은	감독/NNG+은/JX
“정규시즌에서	“/SS+정규/NNG+시즌/NNG+에서/JKB
3할5푼대	3/SN+할/NNB+5/SN+푼/NNB+대/XSN
타율로	타율/NNG+로/JKB
타격	타격/NNG
1위를	1/SN+위/NNB+를/JKO
한	하/VV+ㄴ/ETM
게	거/NNB+이/JKS
이대호다.	이대호/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000029.291.5.2
3차전까지 1할대를 쳤으니 4차전부터는 몰아칠 것”이라며 믿음을 버리지 않았다.

3차전까지	3/SN+차전/NNB+까지/JX
1할대를	1/SN+할/NNB+대/XSN+를/JKO
쳤으니	치/VV+었/EP+으니/EC
4차전부터는	4/SN+차전/NNB+부터/JX+는/JX
몰아칠	몰아치/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
믿음을	믿음/NNG+을/JKO
버리지	버리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.291.5.3
그리고 “우리가 이기려면 어차피 이대호가 해결사 역할을 해줘야 한다”고 했다.

그리고	그리고/MAJ
“우리가	“/SS+우리/NP+가/JKS
이기려면	이기/VV+려면/EC
어차피	어차피/MAG
이대호가	이대호/NNP+가/JKS
해결사	해결사/NNG
역할을	역할/NNG+을/JKO
해줘야	하/VV+아/EC+주/VX+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.291.6.1
감독의 전폭적인 신뢰를 등에 업고 이날도 4번 타자로 나선 이대호는 1-0의 불안한 리드를 하던 6회 선두 타자로 나서 홈런을 터뜨리며 양 감독의 믿음에 화답했다.

감독의	감독/NNG+의/JKG
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
등에	등/NNG+에/JKB
업고	업/VV+고/EC
이날도	이날/NNG+도/JX
4번	4/SN+번/NNB
타자로	타자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
이대호는	이대호/NNP+는/JX
1-0의	1/SN+-/SO+0/SN+의/JKG
불안한	불안/NNG+하/XSA+ㄴ/ETM
리드를	리드/NNG+를/JKO
하던	하/VV+던/ETM
6회	6/SN+회/NNB
선두	선두/NNG
나서	나서/VV+어/EC
홈런을	홈런/NNG+을/JKO
터뜨리며	터뜨리/VV+며/EC
양	양/NNP
믿음에	믿음/NNG+에/JKB
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.291.7.1
이만수 SK 감독 대행도 3차전까지 9타수 2안타 타율 0.222로 기대에 못 미치던 3번 타자 최정을 “시리즈가 끝날 때까지 무조건 3번”이라는 믿음을 보이며 4차전에서도 3번으로 내세웠다.

이만수	이만수/NNP
SK	SK/SL
감독	감독/NNG
대행도	대행/NNG+도/JX
3차전까지	3/SN+차전/NNB+까지/JX
9타수	9/SN+타수/NNG
2안타	2/SN+안타/NNG
타율	타율/NNG
0.222로	0/SN+./SP+222/SN+로/JKB
기대에	기대/NNG+에/JKB
못	못/MAG
미치던	미치/VV+던/ETM
3번	3/SN+번/NNB
타자	타자/NNG
최정을	최정/NNP+을/JKO
“시리즈가	“/SS+시리즈/NNG+가/JKS
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
무조건	무/XPN+조건/NNG
3번”이라는	3/SN+번/NNB+”/SS+이/VCP+라는/ETM
믿음을	믿음/NNG+을/JKO
보이며	보이/VV+며/EC
4차전에서도	4/SN+차전/NNB+에서/JKB+도/JX
3번으로	3/SN+번/NNB+으로/JKB
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.291.7.2
최정은 2타수 1안타 2볼넷을 기록했다.

최정은	최정/NNP+은/JX
2타수	2/SN+타수/NNG
1안타	1/SN+안타/NNG
2볼넷을	2/SN+볼넷/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.291.7.3
하지만 보답의 영양가에서는 이대호에 미치지 못했다.

하지만	하지만/MAJ
보답의	보답/NNG+의/JKG
영양가에서는	영양/NNG+가/XSN+에서/JKB+는/JX
이대호에	이대호/NNP+에/JKB
미치지	미치/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.291.8.1
“과감한 투수교체 적중”

“과감한	“/SS+과감하/VA+ㄴ/ETM
투수교체	투수/NNG+교체/NNG
적중”	적중/NNG+”/SS


# id : NWRW1800000029.291.9.1
▽양승호 롯데 감독=선발 투수 부첵은 투구 수가 50개를 넘으면 힘이 떨어져 큰 거 맞을 우려가 있었다.

▽양승호	▽/SW+양승호/NNP
롯데	롯데/NNP
감독=선발	감독/NNG+=/SW+선발/NNG
투수	투수/NNG
부첵은	부첵/NNP+은/JX
투구	투구/NNG
수가	수/NNG+가/JKS
50개를	50/SN+개/NNB+를/JKO
넘으면	넘/VV+으면/EC
힘이	힘/NNG+이/JKS
떨어져	떨어지/VV+어/EC
큰	크/VA+ㄴ/ETM
거	거/NNB
맞을	맞/VV+을/ETM
우려가	우려/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.291.9.2
4회 부첵을 마운드에서 내리고 장원준을 올린 투수 교체가 잘 맞아떨어진 거 같다.

4회	4/SN+회/NNB
부첵을	부첵/NNP+을/JKO
마운드에서	마운드/NNG+에서/JKB
내리고	내리/VV+고/EC
장원준을	장원준/NNP+을/JKO
올린	올리/VV+ㄴ/ETM
투수	투수/NNG
교체가	교체/NNG+가/JKS
잘	잘/MAG
맞아떨어진	맞아떨어지/VV+ㄴ/ETM
거	거/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000029.291.9.3
부진하던 간판타자 이대호가 홈런을 쳤으니까 부담을 떨쳐내고 마지막 5차전에서 잘 해줄 것으로 기대한다.

부진하던	부진/NNG+하/XSA+던/ETM
간판타자	간판타자/NNG
이대호가	이대호/NNP+가/JKS
홈런을	홈런/NNG+을/JKO
쳤으니까	치/VV+었/EP+으니까/EC
부담을	부담/NNG+을/JKO
떨쳐내고	떨치/VV+어/EC+내/VX+고/EC
마지막	마지막/NNG
5차전에서	5/SN+차전/NNB+에서/JKB
잘	잘/MAG
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다.	기대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.291.9.4
5차전에서는 선발 투수 송승준을 앞세워 모든 걸 쏟아 붓겠다.

5차전에서는	5/SN+차전/NNB+에서/JKB+는/JX
선발	선발/NNG
투수	투수/NNG
송승준을	송승준/NNP+을/JKO
앞세워	앞세우/VV+어/EC
모든	모든/MMN
걸	거/NNB+ㄹ/JKO
쏟아	쏟/VV+아/EC
붓겠다.	붓/VV+겠/EP+다/EF+./SF


# id : NWRW1800000029.291.10.1
“안타 4개로는 못이겨”

“안타	“/SS+안타/NNG
4개로는	4/SN+개/NNB+로/JKB+는/JX
못이겨”	못/MAG+이기/VV+어/EF+”/SS


# id : NWRW1800000029.291.11.1
▽이만수 SK 감독 대행=안타 4개를 쳐서는 이기기 힘든 경기였다.

▽이만수	▽/SW+이만수/NNP
SK	SK/SL
감독	감독/NNG
대행=안타	대행/NNG+=/SW+안타/NNG
4개를	4/SN+개/NNB+를/JKO
쳐서는	치/VV+어서/EC+는/JX
이기기	이기/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
경기였다.	경기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.291.11.2
상대 투수들이 잘 던지기는 했지만 기회 때 쳐줬어야 할 중심 타자들이 기대에 못 미쳤다.

상대	상대/NNG
투수들이	투수/NNG+들/XSN+이/JKS
잘	잘/MAG
던지기는	던지/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
기회	기회/NNG
때	때/NNG
쳐줬어야	치/VV+어/EC+주/VX+었/EP+어야/EC
할	하/VX+ㄹ/ETM
중심	중심/NNG
타자들이	타자/NNG+들/XSN+이/JKS
기대에	기대/NNG+에/JKB
못	못/MAG
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.291.11.3
4차전에서 끝내고 한국시리즈에 대비하고 싶었는데 뜻대로 안 돼 아쉽다.

4차전에서	4/SN+차전/NNB+에서/JKB
끝내고	끝내/VV+고/EC
한국시리즈에	한국/NNP+시리즈/NNG+에/JKB
대비하고	대비/NNG+하/XSV+고/EC
싶었는데	싶/VX+었/EP+는데/EC
뜻대로	뜻대로/MAG
안	안/MAG
돼	되/VV+어/EC
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000029.291.11.4
선수들이 피로를 많이 느끼고 있지만 경험이 많으니까 잘 해 줄 것으로 믿는다.

선수들이	선수/NNG+들/XSN+이/JKS
피로를	피로/NNG+를/JKO
많이	많이/MAG
느끼고	느끼/VV+고/EC
있지만	있/VX+지만/EC
경험이	경험/NNG+이/JKS
많으니까	많/VA+으니까/EC
잘	잘/MAG
해	하/VV+아/EC
줄	주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000029.291.11.5
5차전에 선발 투수 김광현을 올려 총력전을 펼치겠다.

5차전에	5/SN+차전/NNB+에/JKB
선발	선발/NNG
투수	투수/NNG
김광현을	김광현/NNP+을/JKO
올려	올리/VV+어/EC
총력전을	총력전/NNG+을/JKO
펼치겠다.	펼치/VV+겠/EP+다/EF+./SF


