# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.365
metadata : {}


# id : NWRW1800000036.365.1.1
여당 ‘KTX 민영화’ 제동 걸어도국토부는 비공개 설명회 강행

여당	여당/NNG
선로·역사 등 기반시설은 국가가 소유·관리하고, 운영자에게 점용료와 사용료 등을 받고 일정기간 운영권을 준 뒤 주기적인 평가를 통해 운영권을 갱신한다는 방침이다.

선로·역사	선로/NNG+·/SP+역사/NNG
등	등/NNB
기반시설은	기반/NNG+시설/NNG+은/JX
국가가	국가/NNG+가/JKS
소유·관리하고,	소유/NNG+·/SP+관리/NNG+하/XSV+고/EC+,/SP
운영자에게	운영자/NNG+에게/JKB
점용료와	점용료/NNG+와/JC
사용료	사용료/NNG
등을	등/NNB+을/JKO
받고	받/VV+고/EC
일정기간	일정/NNG+기간/NNG
운영권을	운영/NNG+권/XSN+을/JKO
준	주/VV+ㄴ/ETM
뒤	뒤/NNG
주기적인	주기/NNG+적/XSN+이/VCP+ㄴ/ETM
평가를	평가/NNG+를/JKO
통해	통하/VV+아/EC
갱신한다는	갱신/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.365.8.3
또 적정 수익률을 초과하는 금액에 대해서는 추가 선로사용료 징수를 통해 국고로 회수한다는 내용도 포함돼 있다.

또	또/MAG
적정	적정/NNG
수익률을	수익/NNG+률/XSN+을/JKO
초과하는	초과/NNG+하/XSV+는/ETM
금액에	금액/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
추가	추가/NNG
선로사용료	선로/NNG+사용료/NNG
징수를	징수/NNG+를/JKO
통해	통하/VV+아/EC
국고로	국고/NNG+로/JKB
회수한다는	회수/NNG+하/XSV+ㄴ다는/ETM
내용도	내용/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.365.8.4
운영자산은 국가소유로 하고, 운영자에게 임대하는 방식이다.

운영자산은	운영/NNG+자산/NNG+은/JX
국가소유로	국가/NNG+소유/NNG+로/JKB
하고,	하/VV+고/EC+,/SP
운영자에게	운영자/NNG+에게/JKB
임대하는	임대/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.365.9.1
철도노조 이용남 기획처장은 “기자들에게도 설명회를 공개하지 않았다는데 정부가 떳떳하다면 이렇게 비밀리에 군사작전 하듯이 사업설명회를 열 이유가 없다”며 “철도 민영화같이 중요한 사연은 당연히 공론화 과정을 거쳐 추진해야 한다”고 말했다.

철도노조	철도노조/NNP
이용남	이용남/NNP
기획처장은	기획처장/NNG+은/JX
“기자들에게도	“/SS+기자/NNG+들/XSN+에게/JKB+도/JX
설명회를	설명회/NNG+를/JKO
공개하지	공개/NNG+하/XSV+지/EC
않았다는데	않/VX+았/EP+다는데/EC
정부가	정부/NNG+가/JKS
떳떳하다면	떳떳하/VA+다면/EC
이렇게	이렇/VA+게/EC
비밀리에	비밀/NNG+리/XSN+에/JKB
군사작전	군사/NNG+작전/NNG
하듯이	하/VV+듯이/EC
사업설명회를	사업/NNG+설명회/NNG+를/JKO
열	열/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“철도	“/SS+철도/NNG
민영화같이	민영/NNG+화/XSN+같이/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
사연은	사연/NNG+은/JX
당연히	당연히/MAG
공론화	공론/NNG+화/XSN
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
추진해야	추진/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.365.10.1
국토부 관계자는 “언론을 통해 민영화 방침이 알려졌지만 정작 사업자에게 국토부가 법적인 내용을 설명하는 자리가 없어 상견례를 겸한 설명회를 했을 뿐 비밀 회동은 아니다”라고 해명했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
“언론을	“/SS+언론/NNG+을/JKO
통해	통하/VV+아/EC
민영화	민영/NNG+화/XSN
방침이	방침/NNG+이/JKS
알려졌지만	알려지/VV+었/EP+지만/EC
정작	정작/MAG
사업자에게	사업자/NNG+에게/JKB
국토부가	국토부/NNG+가/JKS
법적인	법/NNG+적/XSN+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
자리가	자리/NNG+가/JKS
없어	없/VA+어/EC
상견례를	상견례/NNG+를/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
설명회를	설명회/NNG+를/JKO
했을	하/VV+았/EP+을/ETM
뿐	뿐/NNB
비밀	비밀/NNG
회동은	회동/NNG+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


