# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.336
metadata : {}


# id : NWRW1800000044.336.1.1
민주 지방의원후보 선출방식 진통‘100% 당원투표’ - ‘100% 시민경선’

민주	민주/NNP
하지만 민주당 안에서 공직 후보 선출에 시민을 참여시켜야 한다는 의견이 적지 않아, 광역·기초의원에 대한 ‘100% 당원투표’가 관철될 수 있을지는 좀더 지켜봐야 한다.

하지만	하지만/MAJ
민주당	민주당/NNP
안에서	안/NNG+에서/JKB
공직	공직/NNG
후보	후보/NNG
선출에	선출/NNG+에/JKB
시민을	시민/NNG+을/JKO
참여시켜야	참여/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
적지	적/VA+지/EC
않아,	않/VX+아/EC+,/SP
광역·기초의원에	광역/NNG+·/SP+기초/NNG+의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘100%	‘/SS+100/SN+%/SW
당원투표’가	당원/NNG+투표/NNG+’/SS+가/JKS
관철될	관철/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
좀더	좀/MAG+더/MAG
지켜봐야	지켜보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.336.9.1
당장 오영식·최재성·조정식·강기정 등 민주당 의원 35명은 이날 “새누리당의 반대로 공천제 폐지 입법이 좌절되더라도 민주당은 사실상의 ‘공천권 내려놓기’를 실천해야 한다.

당장	당장/NNG
오영식·최재성·조정식·강기정	오영식/NNP+·/SP+최재성/NNP+·/SP+조정식/NNP+·/SP+강기정/NNP
등	등/NNB
민주당	민주당/NNP
의원	의원/NNG
35명은	35/SN+명/NNB+은/JX
이날	이날/NNG
“새누리당의	“/SS+새누리당/NNP+의/JKG
반대로	반대/NNG+로/JKB
공천제	공천/NNG+제/XSN
폐지	폐지/NNG
입법이	입법/NNG+이/JKS
좌절되더라도	좌절/NNG+되/XSV+더라도/EC
민주당은	민주당/NNP+은/JX
사실상의	사실/NNG+상/XSN+의/JKG
‘공천권	‘/SS+공천/NNG+권/XSN
내려놓기’를	내려놓/VV+기/ETN+’/SS+를/JKO
실천해야	실천/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.336.9.2
완전 오픈 프라이머리(100% 시민참여 경선) 등 ‘시민 직접 선출제도’의 시행을 요구한다”는 내용의 성명서를 냈다.

완전	완전/NNG
오픈	오픈/NNG
프라이머리(100%	프라이머리/NNG+(/SS+100/SN+%/SW
시민참여	시민/NNG+참여/NNG
경선)	경선/NNG+)/SS
등	등/NNB
‘시민	‘/SS+시민/NNG
직접	직접/NNG
선출제도’의	선출/NNG+제도/NNG+’/SS+의/JKG
시행을	시행/NNG+을/JKO
요구한다”는	요구/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
성명서를	성명서/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.336.10.1
이들은 18일까지 여야가 기초선거 공천제 폐지여부를 결론낸 뒤, 공천 유지로 결정되면 민주당이 선제적으로 시민참여 경선을 이행하라고 지도부에 촉구했다.

이들은	이/NP+들/XSN+은/JX
18일까지	18/SN+일/NNB+까지/JX
여야가	여야/NNG+가/JKS
기초선거	기초/NNG+선거/NNG
공천제	공천/NNG+제/XSN
폐지여부를	폐지/NNG+여부/NNG+를/JKO
결론낸	결론/NNG+내/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
공천	공천/NNG
유지로	유지/NNG+로/JKB
결정되면	결정/NNG+되/XSV+면/EC
민주당이	민주당/NNP+이/JKS
선제적으로	선제/NNG+적/XSN+으로/JKB
시민참여	시민/NNG+참여/NNG
경선을	경선/NNG+을/JKO
이행하라고	이행/NNG+하/XSV+라고/EC
지도부에	지도부/NNG+에/JKB
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.336.11.1
다만 이들은 기초단체장, 광역·기초의원 후보 선출의 경우 “시민참여 정신에 준하는 선출제도”를 고려할 수 있다고 밝혀, 지도부와 절충의 여지를 남겼다.

다만	다만/MAG
이들은	이/NP+들/XSN+은/JX
기초단체장,	기초/NNG+단체장/NNG+,/SP
광역·기초의원	광역/NNG+·/SP+기초/NNG+의원/NNG
후보	후보/NNG
선출의	선출/NNG+의/JKG
경우	경우/NNG
“시민참여	“/SS+시민/NNG+참여/NNG
정신에	정신/NNG+에/JKB
준하는	준하/VV+는/ETM
선출제도”를	선출/NNG+제도/NNG+”/SS+를/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
밝혀,	밝히/VV+어/EC+,/SP
지도부와	지도부/NNG+와/JKB
절충의	절충/NNG+의/JKG
여지를	여지/NNB+를/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.336.12.1
이들의 요구에 대해 당 대표 쪽 핵심 인사는 “2012년 대선 패배 원인으로 당원을 홀대했다는 평가가 있어 경선 때 당원을 ‘50% 이상’ 참여시켜야 한다고 당규에 넣었는데, 이걸 한번도 실천하지 않고, 오픈 프라이머리를 하자는 것 아니냐”며 부정적 반응을 보였다.

이들의	이/NP+들/XSN+의/JKG
요구에	요구/NNG+에/JKB
대해	대하/VV+아/EC
당	당/NNG
대표	대표/NNG
쪽	쪽/NNB
핵심	핵심/NNG
인사는	인사/NNG+는/JX
“2012년	“/SS+2012/SN+년/NNB
대선	대선/NNG
패배	패배/NNG
원인으로	원인/NNG+으로/JKB
당원을	당원/NNG+을/JKO
홀대했다는	홀대/NNG+하/XSV+았/EP+다는/ETM
평가가	평가/NNG+가/JKS
있어	있/VA+어/EC
경선	경선/NNG
때	때/NNG
‘50%	‘/SS+50/SN+%/SW
이상’	이상/NNG+’/SS
참여시켜야	참여/NNG+시키/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
당규에	당규/NNG+에/JKB
넣었는데,	넣/VV+었/EP+는데/EC+,/SP
이걸	이거/NP+ㄹ/JKO
한번도	한번/NNG+도/JX
실천하지	실천/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
오픈	오픈/NNG
프라이머리를	프라이머리/NNG+를/JKO
하자는	하/VV+자는/ETM
것	것/NNB
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
부정적	부정/NNG+적/XSN
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.336.12.2
공천제를 둘러싸고 향후 ‘당원 중심주의’와, ‘시민참여를 보장한 개방형 정당주의’ 사이의 당내 논쟁이 불가피해 보인다.

공천제를	공천/NNG+제/XSN+를/JKO
둘러싸고	둘러싸/VV+고/EC
향후	향후/NNG
‘당원	‘/SS+당원/NNG
중심주의’와,	중심주의/NNG+’/SS+와/JC+,/SP
‘시민참여를	‘/SS+시민/NNG+참여/NNG+를/JKO
보장한	보장/NNG+하/XSV+ㄴ/ETM
개방형	개방/NNG+형/XSN
정당주의’	정당/NNG+주의/NNG+’/SS
사이의	사이/NNG+의/JKG
당내	당내/NNG
논쟁이	논쟁/NNG+이/JKS
불가피해	불가피하/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


