# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.307
metadata : {}


# id : NWRW1800000038.307.1.1
[이지훈의 경제포커스] 버냉키, 당신마저도…

[이지훈의	[/SS+이지훈/NNP+의/JKG
마이너스 통장에 의존해 살던 아버지가 가족들에게 마이너스 통장을 끊을 수 있다고 선언을 했다.

마이너스	마이너스/NNG
통장에	통장/NNG+에/JKB
의존해	의존/NNG+하/XSV+아/EC
살던	살/VV+던/ETM
아버지가	아버지/NNG+가/JKS
가족들에게	가족/NNG+들/XSN+에게/JKB
통장을	통장/NNG+을/JKO
끊을	끊/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
선언을	선언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.307.3.2
그래서 가족들은 마음의 준비를 하던 참이었다.

그래서	그래서/MAJ
가족들은	가족/NNG+들/XSN+은/JX
마음의	마음/NNG+의/JKG
준비를	준비/NNG+를/JKO
하던	하/VV+던/ETM
참이었다.	참/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.307.3.3
그런데 아버지가 막상 결단의 순간에 마이너스 통장 하나를 더 발급받겠단다.

그런데	그런데/MAJ
아버지가	아버지/NNG+가/JKS
막상	막상/MAG
결단의	결단/NNG+의/JKG
순간에	순간/NNG+에/JKB
마이너스	마이너스/NNG
통장	통장/NNG
하나를	하나/NR+를/JKO
더	더/MAG
발급받겠단다.	발급/NNG+받/XSV+겠/EP+단다/EF+./SF


# id : NWRW1800000038.307.4.1
양적 완화라는 이름의 역사상 유례가 없는 실험을 시작한 게 바로 버냉키 의장이다.

양적	양/NNG+적/XSN
완화라는	완화/NNG+이/VCP+라는/ETM
이름의	이름/NNG+의/JKG
역사상	역사/NNG+상/XSN
유례가	유례/NNG+가/JKS
없는	없/VA+는/ETM
실험을	실험/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
바로	바로/MAG
버냉키	버냉키/NNP
의장이다.	의장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.4.2
그런 그가 지난 5월 양적 완화를 축소할 수도 있다고 시장에 경고 신호를 보낼 때만 해도 천하의 버냉키라면 자신이 시작한 미증유의 정책 실험을 성공적으로 마무리할 것이란 기대감이 컸다.

그런	그런/MMD
그가	그/NP+가/JKS
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
양적	양/NNG+적/XSN
완화를	완화/NNG+를/JKO
축소할	축소/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
시장에	시장/NNG+에/JKB
경고	경고/NNG
신호를	신호/NNG+를/JKO
보낼	보내/VV+ㄹ/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
천하의	천하/NNG+의/JKG
버냉키라면	버냉키/NNP+이/VCP+라면/EC
자신이	자신/NNG+이/JKS
시작한	시작/NNG+하/XSV+ㄴ/ETM
미증유의	미증유/NNG+의/JKG
정책	정책/NNG
실험을	실험/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
기대감이	기대감/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.307.4.3
하지만 정작 결단의 순간에 그는 머뭇거렸고, 김용범 금융위원회 국장이 재치 있게 표현한 것처럼 '우리 아버지는 모든 것을 해결할 수 있다'는 환상이 깨졌을 때 느끼는 당혹감을 우리에게 안겨줬다.

하지만	하지만/MAJ
정작	정작/MAG
결단의	결단/NNG+의/JKG
순간에	순간/NNG+에/JKB
그는	그/NP+는/JX
머뭇거렸고,	머뭇거리/VV+었/EP+고/EC+,/SP
김용범	김용범/NNP
금융위원회	금융/NNG+위원회/NNG
국장이	국장/NNG+이/JKS
재치	재치/NNG
있게	있/VA+게/EC
표현한	표현/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
'우리	'/SS+우리/NP
아버지는	아버지/NNG+는/JX
모든	모든/MMN
것을	것/NNB+을/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
환상이	환상/NNG+이/JKS
깨졌을	깨지/VV+었/EP+을/ETM
때	때/NNG
느끼는	느끼/VV+는/ETM
당혹감을	당혹감/NNG+을/JKO
우리에게	우리/NP+에게/JKB
안겨줬다.	안기/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.307.5.1
버냉키 의장은 덫에 빠졌다.

버냉키	버냉키/NNP
의장은	의장/NNG+은/JX
덫에	덫/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.307.5.2
'127시간'이란 영화를 연상시킨다.

'127시간'이란	'/SS+127/SN+시간/NNB+'/SS+이/VCP+란/ETM
영화를	영화/NNG+를/JKO
연상시킨다.	연상/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.307.5.3
암벽 등반에 나선 주인공은 떨어진 바위에 끼어 옴짝달싹 못하게 된다.

암벽	암벽/NNG
등반에	등반/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
주인공은	주인공/NNG+은/JX
떨어진	떨어지/VV+ㄴ/ETM
바위에	바위/NNG+에/JKB
끼어	끼/VV+어/EC
옴짝달싹	옴짝달싹/MAG
못하게	못/MAG+하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.307.5.4
주인공은 127시간을 버티다 결국 스스로 자신의 팔을 잘라내 탈출한다.

주인공은	주인공/NNG+은/JX
127시간을	127/SN+시간/NNB+을/JKO
버티다	버티/VV+다/EC
결국	결국/MAG
스스로	스스로/MAG
자신의	자신/NNG+의/JKG
팔을	팔/NNG+을/JKO
잘라내	자르/VV+아/EC+내/VX+어/EC
탈출한다.	탈출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.307.6.1
양적 완화는 수렁에 빠진 미국 경제를 살리기 위한 응급수단이었다.

양적	양/NNG+적/XSN
완화는	완화/NNG+는/JX
수렁에	수렁/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
미국	미국/NNP
경제를	경제/NNG+를/JKO
살리기	살리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
응급수단이었다.	응급수단/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.307.6.2
그런데 그 수단으로 미국 경제 파탄이라는 급한 불은 껐을지언정, 경제의 자생력 회복이라는 목적 달성에 실패했음이 자명해지고 있다.

그런데	그런데/MAJ
그	그/MMD
수단으로	수단/NNG+으로/JKB
미국	미국/NNP
경제	경제/NNG
파탄이라는	파탄/NNG+이/VCP+라는/ETM
급한	급하/VA+ㄴ/ETM
불은	불/NNG+은/JX
껐을지언정,	끄/VV+었/EP+을지언정/EC+,/SP
경제의	경제/NNG+의/JKG
자생력	자생력/NNG
회복이라는	회복/NNG+이/VCP+라는/ETM
목적	목적/NNG
달성에	달성/NNG+에/JKB
실패했음이	실패/NNG+하/XSV+았/EP+음/ETN+이/JKS
자명해지고	자명하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.307.6.3
양적 완화에서 가장 우아하게 벗어나는 길은 실물경제가 회복하는 것이다.

양적	양/NNG+적/XSN
완화에서	완화/NNG+에서/JKB
가장	가장/MAG
우아하게	우아하/VA+게/EC
벗어나는	벗어나/VV+는/ETM
길은	길/NNG+은/JX
실물경제가	실물/NNG+경제/NNG+가/JKS
회복하는	회복/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.6.4
미 연준은 이번에 미국 경제성장 전망치를 낮춤으로써 실물경제 회복이 아직 요원함을 보여줬다.

미	미/NNP
연준은	연준/NNP+은/JX
이번에	이번/NNG+에/JKB
미국	미국/NNP
경제성장	경제/NNG+성장/NNG
전망치를	전망/NNG+치/XSN+를/JKO
낮춤으로써	낮추/VV+ㅁ/ETN+으로써/JKB
실물경제	실물/NNG+경제/NNG
회복이	회복/NNG+이/JKS
아직	아직/MAG
요원함을	요원하/VA+ㅁ/ETN+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.307.6.5
연준이 언제까지 제한 없이 윤전기를 돌릴 수도 없는 노릇이다.

연준이	연준/NNP+이/JKS
언제까지	언제/NP+까지/JX
제한	제한/NNG
없이	없이/MAG
윤전기를	윤전기/NNG+를/JKO
돌릴	돌리/VV+ㄹ/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
노릇이다.	노릇/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.7.1
문제는 그럼에도 불구하고 양적 완화라는 수단에서 이제는 발을 뺄 수 없게 됐다는 점이다.

문제는	문제/NNG+는/JX
그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
양적	양/NNG+적/XSN
완화라는	완화/NNG+이/VCP+라는/ETM
수단에서	수단/NNG+에서/JKB
이제는	이제/NNG+는/JX
발을	발/NNG+을/JKO
뺄	빼/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다는	되/VV+었/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.7.2
이제 와선 양적 완화 자체가 수단이 아니라 신성불가침의 목적이 돼버렸다.

이제	이제/MAG
와선	오/VV+아서/EC+ㄴ/JX
양적	양/NNG+적/XSN
완화	완화/NNG
자체가	자체/NNG+가/JKS
수단이	수단/NNG+이/JKC
아니라	아니/VCN+라/EC
신성불가침의	신성불가침/NNG+의/JKG
목적이	목적/NNG+이/JKC
돼버렸다.	되/VV+어/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.307.7.3
그게 없으면 세상이 망한다는 식이 됐다.

그게	그거/NP+이/JKS
없으면	없/VA+으면/EC
세상이	세상/NNG+이/JKS
망한다는	망하/VV+ㄴ다는/ETM
식이	식/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.307.7.4
들어갈 땐 쉬웠지만, 나올 땐 어렵게 됐다.

들어갈	들어가/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
쉬웠지만,	쉽/VA+었/EP+지만/EC+,/SP
나올	나오/VV+ㄹ/ETM
어렵게	어렵/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.307.8.1
아버지가 우왕좌왕할 때 가족들은 불안하다.

아버지가	아버지/NNG+가/JKS
우왕좌왕할	우왕좌왕/NNG+하/XSV+ㄹ/ETM
때	때/NNG
가족들은	가족/NNG+들/XSN+은/JX
불안하다.	불안/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.307.8.2
아버지가 덫에 빠진 세계경제는 시계(視界) 제로이다.

아버지가	아버지/NNG+가/JKS
덫에	덫/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
세계경제는	세계/NNG+경제/NNG+는/JX
시계(視界)	시계/NNG+(/SS+視界/SH+)/SS
제로이다.	제로/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.8.3
시기를 미룸으로써 언젠가 닥칠 양적 완화 축소 조치의 충격은 더욱 커질 것이고, 그럼에도 그 사이에 경제의 다른 한쪽에선 또 하나의 시한부 버블이 마지막 불꽃을 태울 것이다.

시기를	시기/NNG+를/JKO
미룸으로써	미루/VV+ㅁ/ETN+으로써/JKB
언젠가	언젠가/MAG
닥칠	닥치/VV+ㄹ/ETM
양적	양/NNG+적/XSN
완화	완화/NNG
축소	축소/NNG
조치의	조치/NNG+의/JKG
충격은	충격/NNG+은/JX
더욱	더욱/MAG
커질	커지/VV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
그	그/MMD
사이에	사이/NNG+에/JKB
경제의	경제/NNG+의/JKG
다른	다른/MMD
한쪽에선	한쪽/NNG+에서/JKB+ㄴ/JX
또	또/MAG
하나의	하나/NR+의/JKG
시한부	시한부/NNG
버블이	버블/NNG+이/JKS
마지막	마지막/NNG
불꽃을	불꽃/NNG+을/JKO
태울	태우/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.9.1
한국 증시는 양적 완화 축소 논의에도 불구하고 외국인 자금이 들어오며 증시가 오름세를 타고 있다.

한국	한국/NNP
증시는	증시/NNG+는/JX
양적	양/NNG+적/XSN
완화	완화/NNG
축소	축소/NNG
논의에도	논의/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
외국인	외국인/NNG
자금이	자금/NNG+이/JKS
들어오며	들어오/VV+며/EC
증시가	증시/NNG+가/JKS
오름세를	오름세/NNG+를/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.307.9.2
한국 경제의 탄탄한 펀더멘털이 인정받았기 때문이 아니냐는 분석도 있다.

한국	한국/NNP
경제의	경제/NNG+의/JKG
탄탄한	탄탄하/VA+ㄴ/ETM
펀더멘털이	펀더멘털/NNG+이/JKS
인정받았기	인정/NNG+받/XSV+았/EP+기/ETN
때문이	때문/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.307.9.3
하지만 세계경제가 미궁에 빠진 마당에 한국만 독야청청하기를 바라는 것은 지나친 낙관이다.

하지만	하지만/MAJ
세계경제가	세계/NNG+경제/NNG+가/JKS
미궁에	미궁/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
마당에	마당/NNB+에/JKB
한국만	한국/NNP+만/JX
독야청청하기를	독야청청/NNG+하/XSA+기/ETN+를/JKO
바라는	바라/VV+는/ETM
것은	것/NNB+은/JX
지나친	지나치/VA+ㄴ/ETM
낙관이다.	낙관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.9.4
글로벌 금융 위기로 세계경제의 거미줄 같은 연관성이 얼마나 파괴적일 수 있는지가 드러난 뒤 '디커플링(decoupling·탈동조화)'이란 말이 사실상 사어(死語)가 됐음을 명심해야 한다.

글로벌	글로벌/NNG
금융	금융/NNG
위기로	위기/NNG+로/JKB
세계경제의	세계/NNG+경제/NNG+의/JKG
거미줄	거미줄/NNG
같은	같/VA+은/ETM
연관성이	연관/NNG+성/XSN+이/JKS
얼마나	얼마나/MAG
파괴적일	파괴/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있는지가	있/VA+는지/EF+가/JKS
드러난	드러나/VV+ㄴ/ETM
뒤	뒤/NNG
'디커플링(decoupling·탈동조화)'이란	'/SS+디커플링/NNG+(/SS+decoupling/SL+·/SP+탈/XPN+동조/NNG+화/XSN+)/SS+'/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
사실상	사실/NNG+상/XSN
사어(死語)가	사어/NNG+(/SS+死語/SH+)/SS+가/JKC
됐음을	되/VV+었/EP+음/ETN+을/JKO
명심해야	명심/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.307.10.1
양적 완화 축소 운운하지만, 사실은 양적 완화 축소는 시작도 하지 않았다.

양적	양/NNG+적/XSN
완화	완화/NNG
축소	축소/NNG
운운하지만,	운운/NNG+하/XSV+지만/EC+,/SP
사실은	사실/NNG+은/JX
축소는	축소/NNG+는/JX
시작도	시작/NNG+도/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.307.10.2
양적 완화 축소가 막상 시작되면 하루아침에 끝날 일도 아니다.

양적	양/NNG+적/XSN
완화	완화/NNG
축소가	축소/NNG+가/JKS
막상	막상/MAG
시작되면	시작/NNG+되/XSV+면/EC
하루아침에	하루아침/NNG+에/JKB
끝날	끝나/VV+ㄹ/ETM
일도	일/NNG+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.307.10.3
아주 먼 길을 가야 한다.

아주	아주/MAG
먼	멀/VA+ㄴ/ETM
길을	길/NNG+을/JKO
가야	가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.307.10.4
게다가 고개를 넘으면 금리 인상이라는 더 무서운 복병이 또 기다리고 있다.

게다가	게다가/MAG
고개를	고개/NNG+를/JKO
넘으면	넘/VV+으면/EC
금리	금리/NNG
인상이라는	인상/NNG+이/VCP+라는/ETM
더	더/MAG
무서운	무섭/VA+ㄴ/ETM
복병이	복병/NNG+이/JKS
또	또/MAG
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.307.11.1
아버지의 임기는 내년 1월 말로 끝나며, 재닛 옐런 부의장이 최초의 여성 연준 의장이 될 가능성이 시장에서 거론되고 있다.

아버지의	아버지/NNG+의/JKG
임기는	임기/NNG+는/JX
내년	내년/NNG
1월	1/SN+월/NNB
말로	말/NNB+로/JKB
끝나며,	끝나/VV+며/EC+,/SP
재닛	재닛/NNP
옐런	옐런/NNP
부의장이	부의장/NNG+이/JKS
최초의	최초/NNG+의/JKG
여성	여성/NNG
연준	연준/NNP
의장이	의장/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
시장에서	시장/NNG+에서/JKB
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.307.11.2
어머니는 생존 본능에 더욱 뛰어나다.

어머니는	어머니/NNG+는/JX
생존	생존/NNG
본능에	본능/NNG+에/JKB
더욱	더욱/MAG
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000038.307.11.3
만일 아버지가 끝내 결단을 미룬다면 어머니가 어떤 리더십을 발휘할지 주목된다.

만일	만일/MAG
아버지가	아버지/NNG+가/JKS
끝내	끝내/MAG
결단을	결단/NNG+을/JKO
미룬다면	미루/VV+ㄴ다면/EC
어머니가	어머니/NNG+가/JKS
어떤	어떤/MMD
리더십을	리더십/NNG+을/JKO
발휘할지	발휘/NNG+하/XSV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


