# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.93
metadata : {}


# id : NWRW1800000040.93.1.1
트랜스젠더에게 ‘화장실 선택권’ 인정 미국 캘리포니아주 공립학교 적용

트랜스젠더에게	트랜스젠더/NNG+에게/JKB
공화당과 보수단체들은 그러나 “트랜스젠더 학생의 프라이버시를 보호하려다 더 많은 일반 학생의 프라이버시를 침해하게 될 것”이라며 반발하고 나섰다.

공화당과	공화당/NNP+과/JKB
보수단체들은	보수/NNG+단체/NNG+들/XSN+은/JX
그러나	그러나/MAJ
“트랜스젠더	“/SS+트랜스젠더/NNG
학생의	학생/NNG+의/JKG
프라이버시를	프라이버시/NNG+를/JKO
보호하려다	보호/NNG+하/XSV+려다/EC
더	더/MAG
많은	많/VA+은/ETM
일반	일반/NNG
침해하게	침해/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.93.7.2
캐런 잉글랜드 주의회 자원기관 사무총장은 “이런 급진적인 조처를 캘리포니아의 모든 학교에 강제적으로 적용하면 안 된다.

캐런	캐런/NNP
잉글랜드	잉글랜드/NNP
주의회	주/NNG+의회/NNG
자원기관	자원/NNG+기관/NNG
사무총장은	사무총장/NNG+은/JX
“이런	“/SS+이런/MMD
급진적인	급진/NNG+적/XSN+이/VCP+ㄴ/ETM
조처를	조처/NNG+를/JKO
캘리포니아의	캘리포니아/NNP+의/JKG
모든	모든/MMN
학교에	학교/NNG+에/JKB
강제적으로	강제/NNG+적/XSN+으로/JKB
적용하면	적용/NNG+하/XSV+면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.93.7.3
화장실이나 샤워실에서 (여성으로 성전환한) 소년과 단둘이 볼 일을 봐야 하는 여학생들의 프라이버시는 어떻게 되는 것이냐”며 의문을 제기했다.

화장실이나	화장실/NNG+이나/JC
샤워실에서	샤워실/NNG+에서/JKB
(여성으로	(/SS+여성/NNG+으로/JKB
성전환한)	성전환/NNG+하/XSV+ㄴ/ETM+)/SS
소년과	소년/NNG+과/JKB
단둘이	단둘/NNG+이/JKS
볼	보/VV+ㄹ/ETM
일을	일/NNG+을/JKO
봐야	보/VV+아야/EC
하는	하/VX+는/ETM
여학생들의	여학생/NNG+들/XSN+의/JKG
프라이버시는	프라이버시/NNG+는/JX
어떻게	어떻/VA+게/EC
되는	되/VV+는/ETM
것이냐”며	것/NNB+이/VCP+냐/EF+”/SS+며/EC
의문을	의문/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.93.7.4
또 남성의 몸을 지닌 트랜스젠더가 여성 스포츠팀에 가입하면 형평성에 어긋나는데도 법적으로 제재할 방법이 없다는 것도 문제점으로 지적한다.

또	또/MAG
남성의	남성/NNG+의/JKG
몸을	몸/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
트랜스젠더가	트랜스젠더/NNG+가/JKS
여성	여성/NNG
스포츠팀에	스포츠/NNG+팀/NNG+에/JKB
가입하면	가입/NNG+하/XSV+면/EC
형평성에	형평/NNG+성/XSN+에/JKB
어긋나는데도	어긋나/VV+는데/EC+도/JX
법적으로	법/NNG+적/XSN+으로/JKB
제재할	제재/NNG+하/XSV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없다는	없/VA+다는/ETM
것도	것/NNB+도/JX
문제점으로	문제점/NNG+으로/JKB
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.93.8.1
하지만 이 법안을 작성한 민주당 톰 암미아노 샌프란시스코 하원의원의 대변인인 카를로스 알칼라는 “과도한 우려”라고 잘라 말한다.

하지만	하지만/MAJ
이	이/MMD
법안을	법안/NNG+을/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
민주당	민주당/NNP
톰	톰/NNP
암미아노	암미아노/NNP
샌프란시스코	샌프란시스코/NNP
하원의원의	하원/NNG+의원/NNG+의/JKG
대변인인	대변인/NNG+이/VCP+ㄴ/ETM
카를로스	카를로스/NNP
알칼라는	알칼라/NNP+는/JX
“과도한	“/SS+과도/NNG+하/XSA+ㄴ/ETM
우려”라고	우려/NNG+”/SS+라고/JKQ
잘라	자르/VV+아/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.93.8.2
그는 “트랜스젠더 학생들은 일반적으로 튀지 않으려고 노력한다.

그는	그/NP+는/JX
“트랜스젠더	“/SS+트랜스젠더/NNG
학생들은	학생/NNG+들/XSN+은/JX
일반적으로	일반/NNG+적/XSN+으로/JKB
튀지	튀/VV+지/EC
않으려고	않/VX+으려고/EC
노력한다.	노력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.93.8.3
그들은 화장실에 들어가거나 자신의 신체를 과시하는 데 관심이 없다”고 지적했다.

그들은	그/NP+들/XSN+은/JX
화장실에	화장실/NNG+에/JKB
들어가거나	들어가/VV+거나/EC
자신의	자신/NNG+의/JKG
신체를	신체/NNG+를/JKO
과시하는	과시/NNG+하/XSV+는/ETM
데	데/NNB
관심이	관심/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.93.8.4
이와 함께 캘리포니아주에서 가장 큰 학교 행정구역인 로스앤젤레스에서는 이미 10여년간 자체적으로 이런 정책을 펴왔으나, 어떤 문제도 보고된 적이 없다고 설명했다.

이와	이/NP+와/JKB
함께	함께/MAG
캘리포니아주에서	캘리포니아주/NNP+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
학교	학교/NNG
행정구역인	행정/NNG+구역/NNG+이/VCP+ㄴ/ETM
로스앤젤레스에서는	로스앤젤레스/NNP+에서/JKB+는/JX
이미	이미/MAG
10여년간	10/SN+여/XSN+년/NNB+간/XSN
자체적으로	자체/NNG+적/XSN+으로/JKB
이런	이런/MMD
정책을	정책/NNG+을/JKO
펴왔으나,	펴/VV+어/EC+오/VX+았/EP+으나/EC+,/SP
어떤	어떤/MMD
문제도	문제/NNG+도/JX
보고된	보고/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다고	없/VA+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


