# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.66
metadata : {}


# id : NWRW1800000022.66.1.1
[청년취업 10000명] 노동부 사이트 '워크넷' 本紙 취업 캠페인 동참

[청년취업	[/SS+청년/NNG+취업/NNG

# id : NWRW1800000022.66.4.1
'워크넷'(www.work.go.kr)은 정부가 1998년부터 운영해온 구인·구직 사이트로 공공 부문을 비롯해 각 분야의 취업 정보를 다룬다.

'워크넷'(www.work.go.kr)은	'/SS+워크넷/NNP+'/SS+(/SS+www/SL+./SP+work/SL+./SP+go/SL+./SP+kr/SL+)/SS+은/JX
정부가	정부/NNG+가/JKS
1998년부터	1998/SN+년/NNB+부터/JX
운영해온	운영/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
구인·구직	구인/NNG+·/SP+구직/NNG
사이트로	사이트/NNG+로/JKB
공공	공공/NNG
부문을	부문/NNG+을/JKO
비롯해	비롯하/VV+아/EC
각	각/MMD
분야의	분야/NNG+의/JKG
취업	취업/NNG
정보를	정보/NNG+를/JKO
다룬다.	다루/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.66.4.2
2007년 워크넷을 통해 취업한 사람은 59만3573명이다.

2007년	2007/SN+년/NNB
워크넷을	워크넷/NNP+을/JKO
통해	통하/VV+아/EC
취업한	취업/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
59만3573명이다.	59/SN+만/NR+3573/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.66.4.3
워크넷을 운영하는 한국고용정보원 정인수 원장은 "중소기업 취업 전문 사이트로 특화된 잡월드와 방대한 취업 관련 콘텐츠를 보유한 워크넷이 상호 보완하면 실업난 극복에 큰 도움을 줄 것으로 기대된다"고 말했다.

워크넷을	워크넷/NNP+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
한국고용정보원	한국고용정보원/NNP
정인수	정인수/NNP
원장은	원장/NNG+은/JX
"중소기업	"/SS+중소기업/NNG
취업	취업/NNG
전문	전문/NNG
사이트로	사이트/NNG+로/JKB
특화된	특화/NNG+되/XSV+ㄴ/ETM
잡월드와	잡월드/NNP+와/JC
방대한	방대하/VA+ㄴ/ETM
관련	관련/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
워크넷이	워크넷/NNP+이/JKS
상호	상호/NNG
보완하면	보완/NNG+하/XSV+면/EC
실업난	실업난/NNG
극복에	극복/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다"고	기대/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


