# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.101
metadata : {}


# id : NWRW1800000040.101.1.1
일 가나가와현, 조선학교 우회 지원

일	일/NNP
그러나 “조선학교 학생들에게는 죄가 없고, 국제 정세를 이유로 학생들이 교육을 받을 기회가 침해돼선 안 된다”는 구로이와 유지 현 지사의 방침에 따라 학교 대신 학생들에게 보조금을 지급하기로 했다고 <마이니치신문>이 전했다.

그러나	그러나/MAJ
“조선학교	“/SS+조선/NNP+학교/NNG
학생들에게는	학생/NNG+들/XSN+에게/JKB+는/JX
죄가	죄/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
국제	국제/NNG
정세를	정세/NNG+를/JKO
이유로	이유/NNG+로/JKB
학생들이	학생/NNG+들/XSN+이/JKS
교육을	교육/NNG+을/JKO
받을	받/VV+을/ETM
기회가	기회/NNG+가/JKS
침해돼선	침해/NNG+되/XSV+어서/EC+ㄴ/JX
안	안/MAG
된다”는	되/VV+ㄴ다/EF+”/SS+는/ETM
구로이와	구로이와/NNP
유지	유지/NNP
현	현/MMD
지사의	지사/NNG+의/JKG
방침에	방침/NNG+에/JKB
따라	따르/VV+아/EC
학교	학교/NNG
대신	대신/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
보조금을	보조금/NNG+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
<마이니치신문>이	</SS+마이니치신문/NNP+>/SS+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.101.7.1
지원액은 가나가와현 사립학교의 연간 평균 수업료인 31만~44만엔 수준이다.

지원액은	지원액/NNG+은/JX
가나가와현	가나가와현/NNP
사립학교의	사립/NNG+학교/NNG+의/JKG
연간	연간/NNG
평균	평균/NNG
수업료인	수업료/NNG+이/VCP+ㄴ/ETM
31만~44만엔	31/SN+만/NR+~/SO+44/SN+만/NR+엔/NNB
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.101.7.2
고등학생에게는 한해 최대 18만2400엔을 지원하는 정부의 취학지원제도를 활용해, 세대별 수입을 고려해 지원액을 결정하기로 했다.

고등학생에게는	고등학생/NNG+에게/JKB+는/JX
한해	한/MMN+해/NNB
최대	최대/NNG
18만2400엔을	18/SN+만/NR+2400/SN+엔/NNB+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
정부의	정부/NNG+의/JKG
취학지원제도를	취학/NNG+지원/NNG+제도/NNG+를/JKO
활용해,	활용/NNG+하/XSV+아/EC+,/SP
세대별	세대/NNG+별/XSN
수입을	수입/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
지원액을	지원액/NNG+을/JKO
결정하기로	결정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.101.7.3
<마이니치신문>은 “가나가와현이 조선학교에서 북한의 일본인 납치 문제를 학생들에게 교육하도록 보조금 지급에 조건을 다는 방안을 검토하고 있다”고 보도했다.

<마이니치신문>은	</SS+마이니치신문/NNP+>/SS+은/JX
“가나가와현이	“/SS+가나가와현/NNP+이/JKS
조선학교에서	조선/NNP+학교/NNG+에서/JKB
북한의	북한/NNP+의/JKG
일본인	일본인/NNG
납치	납치/NNG
문제를	문제/NNG+를/JKO
학생들에게	학생/NNG+들/XSN+에게/JKB
교육하도록	교육/NNG+하/XSV+도록/EC
보조금	보조금/NNG
지급에	지급/NNG+에/JKB
조건을	조건/NNG+을/JKO
다는	달/VV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.101.7.4
조선학교는 현재 일본 27개 도·도·부·현에 있는데, 올해에만 8개현이 조선학교에 대한 경상비 보조금을 지급을 하지 않았다.

조선학교는	조선/NNP+학교/NNG+는/JX
현재	현재/MAG
일본	일본/NNP
27개	27/SN+개/NNB
도·도·부·현에	도/NNG+·/SP+도/NNG+·/SP+부/NNG+·/SP+현/NNG+에/JKB
있는데,	있/VA+는데/EC+,/SP
올해에만	올해/NNG+에/JKB+만/JX
8개현이	8/SN+개/NNB+현/NNG+이/JKS
조선학교에	조선/NNP+학교/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경상비	경상비/NNG
보조금을	보조금/NNG+을/JKO
지급을	지급/NNG+을/JKO
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.101.7.5
도쿄도는 2010년부터 보조금 지급을 중단했고, 내년 예산에도 이를 계상하지 않았다.

도쿄도는	도쿄도/NNP+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
보조금	보조금/NNG
지급을	지급/NNG+을/JKO
중단했고,	중단/NNG+하/XSV+았/EP+고/EC+,/SP
내년	내년/NNG
예산에도	예산/NNG+에/JKB+도/JX
이를	이/NP+를/JKO
계상하지	계상/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.101.8.1
일본 정부는 공·사립 고등학교 학생한테 수업료를 보조해 사실상 무상교육을 실시하고 있고 외국인학교 학생에게도 이 제도를 적용하고 있으나, 조선학교 학생은 이 대상에서 제외하고 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
공·사립	공·사립/NNG
고등학교	고등학교/NNG
학생한테	학생/NNG+한테/JKB
수업료를	수업료/NNG+를/JKO
보조해	보조/NNG+하/XSV+아/EC
사실상	사실/NNG+상/XSN
무상교육을	무상/NNG+교육/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있고	있/VX+고/EC
외국인학교	외국인/NNG+학교/NNG
학생에게도	학생/NNG+에게/JKB+도/JX
이	이/MMD
제도를	제도/NNG+를/JKO
적용하고	적용/NNG+하/XSV+고/EC
있으나,	있/VX+으나/EC+,/SP
조선학교	조선/NNP+학교/NNG
학생은	학생/NNG+은/JX
대상에서	대상/NNG+에서/JKB
제외하고	제외/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


