# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.144
metadata : {}


# id : NWRW1800000033.144.1.1
‘남매’ 워쇼스키 두 감독 “배두나는 기적의 배우… 1인 3역 완벽 소화”

‘남매’	‘/SS+남매/NNG+’/SS
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.9.1
배두나는 2144년 서울을 배경으로 하는 스토리에서 클론 ‘손미’ 역을 맡고 멕시칸 여성과 서양인 틸다 역까지 소화했다.

배두나는	배두나/NNP+는/JX
2144년	2144/SN+년/NNB
서울을	서울/NNP+을/JKO
배경으로	배경/NNG+으로/JKB
하는	하/VV+는/ETM
스토리에서	스토리/NNG+에서/JKB
클론	클론/NNG
‘손미’	‘/SS+손미/NNP+’/SS
역을	역/NNG+을/JKO
맡고	맡/VV+고/EC
멕시칸	멕시칸/NNP
여성과	여성/NNG+과/JC
서양인	서양인/NNG
틸다	틸다/NNP
역까지	역/NNG+까지/JX
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.9.2
앤디 감독은 “기적의 배우이자 국보급 배우”라고 그를 칭찬했다.

앤디	앤디/NNP
감독은	감독/NNG+은/JX
“기적의	“/SS+기적/NNG+의/JKG
배우이자	배우/NNG+이/VCP+자/EC
국보급	국보급/NNG
배우”라고	배우/NNG+”/SS+라고/JKQ
그를	그/NP+를/JKO
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.9.3
상대역인 한국인 남성 혜주 역을 맡은 배우 짐 스터게스도 “미래의 한국인으로 살아봐서 한국에 애정을 느낀다.

상대역인	상대역/NNG+이/VCP+ㄴ/ETM
한국인	한국인/NNG
남성	남성/NNG
혜주	혜주/NNP
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
배우	배우/NNG
짐	짐/NNP
스터게스도	스터게스/NNP+도/JX
“미래의	“/SS+미래/NNG+의/JKG
한국인으로	한국인/NNG+으로/JKB
살아봐서	살/VV+아/EC+보/VX+아서/EC
한국에	한국/NNP+에/JKB
애정을	애정/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.144.9.4
배두나가 영어로 연기를 완벽하게 소화했다”고 말했다.

배두나가	배두나/NNP+가/JKS
영어로	영어/NNP+로/JKB
연기를	연기/NNG+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
소화했다”고	소화/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.10.1
티크베어 감독은 극 중 한글이 등장하고 2144년의 배경으로 서울이 등장하는 것과 관련해 “소비사회와 이기주의, 물질문명으로 멸망 후의 세계 속 중심지로 그려진 서울로 ‘경계’를 표현하고 싶었다”고 말했다.

티크베어	티크베어/NNP
감독은	감독/NNG+은/JX
극	극/NNG
중	중/NNB
한글이	한글/NNG+이/JKS
등장하고	등장/NNG+하/XSV+고/EC
2144년의	2144/SN+년/NNB+의/JKG
배경으로	배경/NNG+으로/JKB
서울이	서울/NNP+이/JKS
등장하는	등장/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“소비사회와	“/SS+소비/NNG+사회/NNG+와/JC
이기주의,	이기주의/NNG+,/SP
물질문명으로	물질문명/NNG+으로/JKB
멸망	멸망/NNG
후의	후/NNG+의/JKG
세계	세계/NNG
속	속/NNG
중심지로	중심지/NNG+로/JKB
그려진	그리/VV+어/EC+지/VX+ㄴ/ETM
서울로	서울/NNP+로/JKB
‘경계’를	‘/SS+경계/NNG+’/SS+를/JKO
표현하고	표현/NNG+하/XSV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.10.2
실제 촬영은 독일에서 했다.

실제	실제/NNG
촬영은	촬영/NNG+은/JX
독일에서	독일/NNP+에서/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.11.1
워쇼스키 남매 감독은 동서양의 신화와 동양 문화, 불교 등에도 깊은 관심을 표시했다.

워쇼스키	워쇼스키/NNP
남매	남매/NNG
감독은	감독/NNG+은/JX
동서양의	동서양/NNG+의/JKG
신화와	신화/NNG+와/JC
동양	동양/NNG
문화,	문화/NNG+,/SP
불교	불교/NNG
등에도	등/NNB+에/JKB+도/JX
깊은	깊/VA+은/ETM
관심을	관심/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.11.2
“아내가 전생에 한국인이 아니었을까 싶다.

“아내가	“/SS+아내/NNG+가/JKS
전생에	전생/NNG+에/JKB
한국인이	한국인/NNG+이/JKC
아니었을까	아니/VCN+었/EP+을까/EF
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000033.144.11.3
직접 집에서 김치를 담가 먹는다.

직접	직접/MAG
집에서	집/NNG+에서/JKB
김치를	김치/NNG+를/JKO
담가	담그/VV+아/EC
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000033.144.11.4
다음 생에는 예술가로 사랑을 많이 하는 사람으로 태어나고 싶다.”(라나)

다음	다음/NNG
생에는	생/NNG+에/JKB+는/JX
예술가로	예술가/NNG+로/JKB
사랑을	사랑/NNG+을/JKO
많이	많이/MAG
하는	하/VV+는/ETM
사람으로	사람/NNG+으로/JKB
태어나고	태어나/VV+고/EC
싶다.”(라나)	싶/VX+다/EF+./SF+”/SS+(/SS+라나/NNP+)/SS


# id : NWRW1800000033.144.11.5
“윤회 개념에 익숙하다.

“윤회	“/SS+윤회/NNG
개념에	개념/NNG+에/JKB
익숙하다.	익숙하/VA+다/EF+./SF


# id : NWRW1800000033.144.11.6
전생에 나는 메릴린 먼로였을 거라고 생각한다.(웃음)”(앤디)

전생에	전생/NNG+에/JKB
나는	나/NP+는/JX
메릴린	메릴린/NNP
먼로였을	먼로/NNP+이/VCP+었/EP+을/ETM
거라고	거/NNB+이/VCP+라고/EC
생각한다.(웃음)”(앤디)	생각/NNG+하/XSV+ㄴ다/EF+./SF+(/SS+웃음/NNG+)/SS+”/SS+(/SS+앤디/NNP+)/SS


