# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.42
metadata : {}


# id : NWRW1800000044.42.1.1
“사람중심 돼야 창조경제 극대화”

“사람중심	“/SS+사람/NNG+중심/NNG
타르야 할로넨 전 핀란드 대통령은 22일 오전 ‘2014 아시아미래포럼’ 기조연설에서 지속가능 경제의 핵심은 모든 여성과 남성이 성장에 참여하고 성장의 혜택을 누리게 함으로써 인간의 재능을 극대화하는 성장 패턴을 만드는 데 있다고 말했다.

타르야	타르야/NNP
할로넨	할로넨/NNP
전	전/MMD
핀란드	핀란드/NNP
대통령은	대통령/NNG+은/JX
22일	22/SN+일/NNB
오전	오전/NNG
‘2014	‘/SS+2014/SN
아시아미래포럼’	아시아/NNP+미래/NNG+포럼/NNG+’/SS
기조연설에서	기조연설/NNG+에서/JKB
지속가능	지속/NNG+가능/NNG
경제의	경제/NNG+의/JKG
핵심은	핵심/NNG+은/JX
모든	모든/MMN
여성과	여성/NNG+과/JC
남성이	남성/NNG+이/JKS
성장에	성장/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
성장의	성장/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
누리게	누리/VV+게/EC
함으로써	하/VX+ㅁ/ETN+으로써/JKB
인간의	인간/NNG+의/JKG
재능을	재능/NNG+을/JKO
극대화하는	극대/NNG+화/XSN+하/XSV+는/ETM
성장	성장/NNG
패턴을	패턴/NNG+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
있다고	있/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.6.2
한국의 박 대통령이 들고나온 창조경제라는 의제도 결국은 모든 사회구성원의 재능을 최대한도로 끌어내는 성장 전략 없이는 꽃필 수 없다는 얘기다.

한국의	한국/NNP+의/JKG
박	박/NNP
대통령이	대통령/NNG+이/JKS
들고나온	들고나오/VV+ㄴ/ETM
창조경제라는	창조/NNG+경제/NNG+이/VCP+라는/ETM
의제도	의제/NNG+도/JX
결국은	결국/NNG+은/JX
모든	모든/MMN
사회구성원의	사회/NNG+구성원/NNG+의/JKG
재능을	재능/NNG+을/JKO
최대한도로	최대한도/NNG+로/JKB
끌어내는	끌어내/VV+는/ETM
성장	성장/NNG
전략	전략/NNG
없이는	없이/MAG+는/JX
꽃필	꽃피/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.42.7.1
할로넨 전 대통령은 창조경제의 핵심이 사람이란 가치인 만큼 ‘사람 보호’가 중요하다고 짚었다.

할로넨	할로넨/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
창조경제의	창조/NNG+경제/NNG+의/JKG
핵심이	핵심/NNG+이/JKS
사람이란	사람/NNG+이/VCP+란/ETM
가치인	가치/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
‘사람	‘/SS+사람/NNG
보호’가	보호/NNG+’/SS+가/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.42.7.2
특히 혁신을 시도하는 기업가 정신은 위험 관리가 되는 사회에서 나오는데, 사회보장제도는 위험관리를 위한 인프라(기반)가 된다고 설명했다.

특히	특히/MAG
혁신을	혁신/NNG+을/JKO
시도하는	시도/NNG+하/XSV+는/ETM
기업가	기업가/NNG
정신은	정신/NNG+은/JX
위험	위험/NNG
관리가	관리/NNG+가/JKC
되는	되/VV+는/ETM
사회에서	사회/NNG+에서/JKB
나오는데,	나오/VV+는데/EC+,/SP
사회보장제도는	사회/NNG+보장/NNG+제도/NNG+는/JX
위험관리를	위험/NNG+관리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
인프라(기반)가	인프라/NNG+(/SS+기반/NNG+)/SS+가/JKC
된다고	되/VV+ㄴ다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.7.3
그는 “빈곤한 사람은 위험을 극도로 싫어하는데, 이는 빈곤층은 위험에 대처할 능력이 미약하기 때문”이라며 “사회보장제도를 두면 이를 도약 발판으로 삼아 빈곤을 벗어나는 과감한 시도를 할 수 있다”고 말했다.

그는	그/NP+는/JX
“빈곤한	“/SS+빈곤/NNG+하/XSA+ㄴ/ETM
사람은	사람/NNG+은/JX
위험을	위험/NNG+을/JKO
극도로	극도/NNG+로/JKB
싫어하는데,	싫어하/VV+는데/EC+,/SP
이는	이/NP+는/JX
빈곤층은	빈곤/NNG+층/XSN+은/JX
위험에	위험/NNG+에/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
능력이	능력/NNG+이/JKS
미약하기	미약하/VA+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
“사회보장제도를	“/SS+사회/NNG+보장/NNG+제도/NNG+를/JKO
두면	두/VV+면/EC
이를	이/NP+를/JKO
도약	도약/NNG
발판으로	발판/NNG+으로/JKB
삼아	삼/VV+아/EC
빈곤을	빈곤/NNG+을/JKO
벗어나는	벗어나/VV+는/ETM
과감한	과감하/VA+ㄴ/ETM
시도를	시도/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.8.1
그는 브라질 빈곤층을 위한 ‘보우사 파밀리아’ 프로그램을 사회에 근본적 변화를 가져온 사례로 꼽았다.

그는	그/NP+는/JX
브라질	브라질/NNP
빈곤층을	빈곤/NNG+층/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
‘보우사	‘/SS+보우사/NNG
파밀리아’	파밀리아/NNP+’/SS
프로그램을	프로그램/NNG+을/JKO
사회에	사회/NNG+에/JKB
근본적	근본/NNG+적/XSN
변화를	변화/NNG+를/JKO
가져온	가져오/VV+ㄴ/ETM
사례로	사례/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.8.2
이 프로그램은 빈곤층 어린이의 교육과 건강 지원은 물론 기본소득으로 현금보조까지 포괄하는데 5000만여명에 혜택을 제공한다.

이	이/MMD
프로그램은	프로그램/NNG+은/JX
빈곤층	빈곤/NNG+층/XSN
어린이의	어린이/NNG+의/JKG
교육과	교육/NNG+과/JC
건강	건강/NNG
지원은	지원/NNG+은/JX
물론	물론/MAG
기본소득으로	기본/NNG+소득/NNG+으로/JKB
현금보조까지	현금/NNG+보조/NNG+까지/JX
포괄하는데	포괄/NNG+하/XSV+는데/EC
5000만여명에	5000/SN+만/NR+여/XSN+명/NNB+에/JKB
혜택을	혜택/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.42.8.3
그는 이 프로그램에 대해 “가난한 여성과 아이들에게 복지와 보호를 제공하는 것은 물론 빈곤층의 마음 자세에 변화를 주어 경제동력을 만들어주고 있다”고 평가했다.

그는	그/NP+는/JX
이	이/MMD
프로그램에	프로그램/NNG+에/JKB
대해	대하/VV+아/EC
“가난한	“/SS+가난/NNG+하/XSA+ㄴ/ETM
여성과	여성/NNG+과/JC
아이들에게	아이/NNG+들/XSN+에게/JKB
복지와	복지/NNG+와/JC
보호를	보호/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
빈곤층의	빈곤/NNG+층/XSN+의/JKG
마음	마음/NNG
자세에	자세/NNG+에/JKB
변화를	변화/NNG+를/JKO
주어	주/VV+어/EC
경제동력을	경제/NNG+동력/NNG+을/JKO
만들어주고	만들/VV+어/EC+주/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.8.4
그는 사람을 보호하는 게 사회를 보호하는 것이며 연금, 출산휴가 혜택, 아동수당 등이 경제역동성을 주는 해법이 될 수 있다고 제시했다.

그는	그/NP+는/JX
사람을	사람/NNG+을/JKO
보호하는	보호/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
사회를	사회/NNG+를/JKO
것이며	것/NNB+이/VCP+며/EC
연금,	연금/NNG+,/SP
출산휴가	출산/NNG+휴가/NNG
혜택,	혜택/NNG+,/SP
아동수당	아동/NNG+수당/NNG
등이	등/NNB+이/JKS
경제역동성을	경제/NNG+역동/NNG+성/XSN+을/JKO
주는	주/VV+는/ETM
해법이	해법/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.9.1
할로넨 전 대통령은 한국과 핀란드, 전세계가 지속가능한 성장을 하려면 같은 시대 동료와 미래세대, 자연을 희생시키지 않고 우리에게 만족감을 가져다주는 가치를 찾아야 한다고 강조했다.

할로넨	할로넨/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
한국과	한국/NNP+과/JC
핀란드,	핀란드/NNP+,/SP
전세계가	전/MMN+세계/NNG+가/JKS
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
성장을	성장/NNG+을/JKO
하려면	하/VV+려면/EC
같은	같/VA+은/ETM
시대	시대/NNG
동료와	동료/NNG+와/JC
미래세대,	미래/NNG+세대/NNG+,/SP
자연을	자연/NNG+을/JKO
희생시키지	희생/NNG+시키/XSV+지/EC
않고	않/VX+고/EC
우리에게	우리/NP+에게/JKB
만족감을	만족감/NNG+을/JKO
가져다주는	가져다주/VV+는/ETM
가치를	가치/NNG+를/JKO
찾아야	찾/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.9.2
물적 차원뿐 아니라 문화와 신체적 측면의 웰빙에서 가치를 찾는 노력이 필요하다는 얘기다.

물적	물/NNG+적/XSN
차원뿐	차원/NNG+뿐/JX
아니라	아니/VCN+라/EC
문화와	문화/NNG+와/JC
신체적	신체/NNG+적/XSN
측면의	측면/NNG+의/JKG
웰빙에서	웰빙/NNG+에서/JKB
가치를	가치/NNG+를/JKO
찾는	찾/VV+는/ETM
노력이	노력/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.42.9.3
그는 “우리는 노래하고 춤추는 비물질적 상호작용을 물질 못지않게 소중히 여긴다”며 문화적 자원 개발 등을 통한 성장 전략이 필요하다고 언급했다.

그는	그/NP+는/JX
“우리는	“/SS+우리/NP+는/JX
노래하고	노래/NNG+하/XSV+고/EC
춤추는	춤추/VV+는/ETM
비물질적	비/XPN+물질/NNG+적/XSN
상호작용을	상호/NNG+작용/NNG+을/JKO
물질	물질/NNG
못지않게	못지않/VA+게/EC
소중히	소중히/MAG
여긴다”며	여기/VV+ㄴ다/EF+”/SS+며/EC
문화적	문화/NNG+적/XSN
자원	자원/NNG
개발	개발/NNG
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
성장	성장/NNG
전략이	전략/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.42.9.4
이런 방식의 성장 전략 역시 인적 역량의 극대화와 연결돼 있다.

이런	이런/MMD
방식의	방식/NNG+의/JKG
성장	성장/NNG
전략	전략/NNG
역시	역시/MAG
인적	인/NNG+적/XSN
역량의	역량/NNG+의/JKG
극대화와	극대/NNG+화/XSN+와/JKB
연결돼	연결/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.42.9.5
그는 “‘플랜비’(Plan B, 첫째 방안 실패 때를 대비한 대안)는 있어도 (지구 이외에) ‘플래닛비’는 없다”며 “교육받은 시민이 지속가능한 소비행태, 더 많은 혁신과 지속가능한 생산방식을 만들어낸다는 점을 유념해야 한다”고 말했다.

그는	그/NP+는/JX
“‘플랜비’(Plan	“/SS+‘/SS+플랜/NNG+비/NNG+’/SS+(/SS+Plan/SL
B,	B/SL+,/SP
첫째	첫째/NR
방안	방안/NNG
실패	실패/NNG
때를	때/NNG+를/JKO
대비한	대비/NNG+하/XSV+ㄴ/ETM
대안)는	대안/NNG+)/SS+는/JX
있어도	있/VA+어도/EC
(지구	(/SS+지구/NNG
이외에)	이외/NNG+에/JKB+)/SS
‘플래닛비’는	‘/SS+플래닛비/NNG+’/SS+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“교육받은	“/SS+교육/NNG+받/XSV+은/ETM
시민이	시민/NNG+이/JKS
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
소비행태,	소비/NNG+행태/NNG+,/SP
더	더/MAG
많은	많/VA+은/ETM
혁신과	혁신/NNG+과/JC
생산방식을	생산/NNG+방식/NNG+을/JKO
만들어낸다는	만들/VV+어/EC+내/VX+ㄴ다는/ETM
점을	점/NNG+을/JKO
유념해야	유념/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


