# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.355
metadata : {}


# id : NWRW1800000054.355.1.1
[창간 97주년 특집] 조선일보·칸타퍼블릭 가상 양자대결 여론조사

[창간	[/SS+창간/NNG
사드(THAAD) 한반도 배치에 대해선 '찬성' 55.8%, '반대' 32.8%였다.

사드(THAAD)	사드/NNG+(/SS+THAAD/SL+)/SS
한반도	한반도/NNP
배치에	배치/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
'찬성'	'/SS+찬성/NNG+'/SS
55.8%,	55/SN+./SP+8/SN+%/SW+,/SP
'반대'	'/SS+반대/NNG+'/SS
32.8%였다.	32/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.355.7.2
대통령 탄핵과 관련한 헌법재판소의 결정에 '무조건 인정하고 승복해야 한다'는 50.6%, '결정에 문제가 있다고 생각하면 반대 의사를 밝혀야 한다'는 44.6%였다.

대통령	대통령/NNG
탄핵과	탄핵/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
결정에	결정/NNG+에/JKB
'무조건	'/SS+무/XPN+조건/NNG
인정하고	인정/NNG+하/XSV+고/EC
승복해야	승복/NNG+하/XSV+아야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/JX
50.6%,	50/SN+./SP+6/SN+%/SW+,/SP
'결정에	'/SS+결정/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다고	있/VA+다고/EC
생각하면	생각/NNG+하/XSV+면/EC
반대	반대/NNG
의사를	의사/NNG+를/JKO
밝혀야	밝히/VV+어야/EC
44.6%였다.	44/SN+./SP+6/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.355.8.1
지난 3월 3~4일 전국 19세 이상 1022명을 대상으로 유선전화 및 휴대전화 RDD(임의번호 걸기)를 활용한 전화 면접으로 실시한 이번 조사의 최대 허용 표본 오차는 95% 신뢰 수준에서 ±3.1%p, 응답률은 7.7%다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
3~4일	3/SN+~/SO+4/SN+일/NNB
전국	전국/NNG
19세	19/SN+세/NNB
이상	이상/NNG
1022명을	1022/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
유선전화	유선/NNG+전화/NNG
및	및/MAG
휴대전화	휴대/NNG+전화/NNG
RDD(임의번호	RDD/SL+(/SS+임의/NNG+번호/NNG
걸기)를	걸/VV+기/ETN+)/SS+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
전화	전화/NNG
면접으로	면접/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
조사의	조사/NNG+의/JKG
최대	최대/NNG
허용	허용/NNG
표본	표본/NNG
오차는	오차/NNG+는/JX
95%	95/SN+%/SW
신뢰	신뢰/NNG
수준에서	수준/NNG+에서/JKB
±3.1%p,	±/SW+3/SN+./SP+1/SN+%p/SW+,/SP
응답률은	응답/NNG+률/XSN+은/JX
7.7%다.	7/SN+./SP+7/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000054.355.8.2
중앙선거여론조사심의위원회 홈페이지(www.nesdc.go.kr)에서 관련된 상세 자료를 볼 수 있다.

중앙선거여론조사심의위원회	중앙/NNG+선거/NNG+여론/NNG+조사/NNG+심의/NNG+위원회/NNG
홈페이지(www.nesdc.go.kr)에서	홈페이지/NNG+(/SS+www/SL+./SP+nesdc/SL+./SP+go/SL+./SP+kr/SL+)/SS+에서/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
상세	상세/XR
자료를	자료/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


