# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.152
metadata : {}


# id : NWRW1800000048.152.1.1
아펜젤러·스크랜턴 모자·언더우드, ‘한국선교 130돌’ 기념행사 펼친다

아펜젤러·스크랜턴	아펜젤러/NNP+·/SP+스크랜턴/NNP
목사가	목사/NNG+가/JKS
담임한	담임/NNG+하/XSV+ㄴ/ETM
상동교회는	상동교회/NNP+는/JX
그의	그/NP+의/JKG
수제자인	수제자/NNG+이/VCP+ㄴ/ETM
전덕기	전덕기/NNP
목사의	목사/NNG+의/JKG
주도로	주도/NNG+로/JKB
신민회,	신민회/NNP+,/SP
한글학회	한글학회/NNP
등이	등/NNB+이/JKS
만들어져	만들/VV+어/EC+지/VX+어/EC
독립운동의	독립운동/NNG+의/JKG
산실이	산실/NNG+이/JKC
되었다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


