# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.61
metadata : {}


# id : NWRW1800000048.61.1.1
김종인 “재벌 도와주면 경제 성장?

김종인	김종인/NNP
전	전/MMD
의원은	의원/NNG+은/JX
24일	24/SN+일/NNB
서울	서울/NNP
프레스센터에서	프레스센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제25차	제/XPN+25/SN+차/NNB
동반성장포럼에서	동반/NNG+성장/NNG+포럼/NNG+에서/JKB
‘한국경제가	‘/SS+한국/NNP+경제/NNG+가/JKS
나아갈	나아가/VV+ㄹ/ETM
길’을	길/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
강연에서	강연/NNG+에서/JKB
“역대	“/SS+역대/NNG
대통령들은	대통령/NNG+들/XSN+은/JX
모두	모두/MAG
‘박정희의	‘/SS+박정희/NNP+의/JKG
성장	성장/NNG
컴플렉스’에서	컴플렉스/NNG+’/SS+에서/JKB
벗어나지	벗어나/VV+지/EC
못해	못하/VX+아/EC
너도	너/NP+도/JX
나도	나/NP+도/JX
성장률을	성장/NNG+률/XSN+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
과대망상증에	과대망상증/NNG+에/JKB
사로잡혀	사로잡히/VV+어/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
“우리	“/SS+우리/NP
경제의	경제/NNG+의/JKG
현실에서는	현실/NNG+에서/JKB+는/JX
3%대	3/SN+%/SW+대/XSN
성장도	성장/NNG+도/JX
힘들고	힘들/VA+고/EC
오히려	오히려/MAG
2.5%	2/SN+./SP+5/SN+%/SW
정도의	정도/NNG+의/JKG
성장이	성장/NNG+이/JKS
정상”이라고	정상/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.61.4.2
동반성장포럼은 정운찬 전 총리가 주도하는 동반성장연구소가 주관하는 행사다.

동반성장포럼은	동반/NNG+성장/NNG+포럼/NNG+은/JX
정운찬	정운찬/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
주도하는	주도/NNG+하/XSV+는/ETM
동반성장연구소가	동반/NNG+성장/NNG+연구소/NNG+가/JKS
주관하는	주관/NNG+하/XSV+는/ETM
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.61.5.1
김 전 의원은 대선에서는 박근혜 후보의 대표공약인 경제민주화를 입안하는 등 핵심 역할을 했지만 대선 이후 박 대통령이 사실상 경제민주화 공약을 파기하면서 관계가 멀어졌다.

김	김/NNP
전	전/MMD
의원은	의원/NNG+은/JX
대선에서는	대선/NNG+에서/JKB+는/JX
박근혜	박근혜/NNP
후보의	후보/NNG+의/JKG
대표공약인	대표/NNG+공약/NNG+이/VCP+ㄴ/ETM
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
입안하는	입안/NNG+하/XSV+는/ETM
등	등/NNB
핵심	핵심/NNG
역할을	역할/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
대선	대선/NNG
이후	이후/NNG
박	박/NNP
대통령이	대통령/NNG+이/JKS
사실상	사실/NNG+상/XSN
경제민주화	경제/NNG+민주/NNG+화/XSN
공약을	공약/NNG+을/JKO
파기하면서	파기/NNG+하/XSV+면서/EC
관계가	관계/NNG+가/JKS
멀어졌다.	멀어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.61.6.1
“이젠 성장 컴플렉스 벗어나야

“이젠	“/SS+이제/NNG+ㄴ/JX
성장	성장/NNG
컴플렉스	컴플렉스/NNG
벗어나야	벗어나/VV+아야/EC


# id : NWRW1800000048.61.7.1
2.5%대로도 조화로운 사회 가능

2.5%대로도	2/SN+./SP+5/SN+%/SW+대/XSN+로/JKB+도/JX
조화로운	조화/NNG+롭/XSA+ㄴ/ETM
사회	사회/NNG
가능	가능/NNG


# id : NWRW1800000048.61.8.1
경제민주화 헌법조항 30년 돼가는데

경제민주화	경제/NNG+민주/NNG+화/XSN
헌법조항	헌법/NNG+조항/NNG
30년	30/SN+년/NNB
돼가는데	되/VV+어/EC+가/VX+는데/EC


# id : NWRW1800000048.61.9.1
박근혜 대통령 제대로 인식 못해”

박근혜	박근혜/NNP
대통령	대통령/NNG
제대로	제대로/MAG
인식	인식/NNG
못해”	못/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000048.61.10.1
김 전 의원은 “의사의 진단과 처방이 잘못되면 환자가 나을 수 없듯이, 경제정책 수립자들이 잘못하면 경제가 발전할 수 없다”면서 “정부가 재벌을 도와주면 높은 성장을 할 수 있다는 잘못된 정책 때문에 외환위기를 자초했는데, 지금도 그런 잘못을 지속하고 있다”고 짚었다.

김	김/NNP
전	전/MMD
의원은	의원/NNG+은/JX
“의사의	“/SS+의사/NNG+의/JKG
진단과	진단/NNG+과/JC
처방이	처방/NNG+이/JKS
잘못되면	잘못/MAG+되/XSV+면/EC
환자가	환자/NNG+가/JKS
나을	낫/VV+을/ETM
수	수/NNB
없듯이,	없/VA+듯이/EC+,/SP
경제정책	경제/NNG+정책/NNG
수립자들이	수립자/NNG+들/XSN+이/JKS
잘못하면	잘못/MAG+하/XSV+면/EC
경제가	경제/NNG+가/JKS
발전할	발전/NNG+하/XSV+ㄹ/ETM
없다”면서	없/VA+다/EF+”/SS+면서/EC
“정부가	“/SS+정부/NNG+가/JKS
재벌을	재벌/NNG+을/JKO
도와주면	도와주/VV+면/EC
높은	높/VA+은/ETM
성장을	성장/NNG+을/JKO
할	하/VV+ㄹ/ETM
있다는	있/VA+다는/ETM
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
정책	정책/NNG
때문에	때문/NNB+에/JKB
외환위기를	외환/NNG+위기/NNG+를/JKO
자초했는데,	자초/NNG+하/XSV+았/EP+는데/EC+,/SP
지금도	지금/NNG+도/JX
그런	그런/MMD
잘못을	잘못/NNG+을/JKO
지속하고	지속/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.61.10.2
이어 “최근 독일을 방문했다가 한국이 연간 3%의 성장을 지속하면 2030년 1인당 국민소득 4만달러를 달성할 것이라는 예측 자료를 보았는데, 개인적으로는 한국이 연간 3% 성장을 할 수 있을지 회의적”이라면서 “선진국들은 성장률이 우리보다 낮아도 조화로운 사회를 이뤘듯이, 한국도 4% 성장에 연연하지 말고 2.5%대 성장을 하더라도 안정과 조화를 이룩하는 게 중요하다”고 강조했다.

이어	이어/MAG
“최근	“/SS+최근/NNG
독일을	독일/NNP+을/JKO
방문했다가	방문/NNG+하/XSV+았/EP+다가/EC
한국이	한국/NNP+이/JKS
연간	연간/NNG
3%의	3/SN+%/SW+의/JKG
성장을	성장/NNG+을/JKO
지속하면	지속/NNG+하/XSV+면/EC
2030년	2030/SN+년/NNB
1인당	1/SN+인/NNG+당/XSN
국민소득	국민/NNG+소득/NNG
4만달러를	4/SN+만/NR+달러/NNB+를/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예측	예측/NNG
자료를	자료/NNG+를/JKO
보았는데,	보/VV+았/EP+는데/EC+,/SP
개인적으로는	개인/NNG+적/XSN+으로/JKB+는/JX
3%	3/SN+%/SW
할	하/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
회의적”이라면서	회의/NNG+적/XSN+”/SS+이/VCP+라면서/EC
“선진국들은	“/SS+선진국/NNG+들/XSN+은/JX
성장률이	성장/NNG+률/XSN+이/JKS
우리보다	우리/NP+보다/JKB
낮아도	낮/VA+아도/EC
조화로운	조화/NNG+롭/XSA+ㄴ/ETM
사회를	사회/NNG+를/JKO
이뤘듯이,	이루/VV+었/EP+듯이/EC+,/SP
한국도	한국/NNP+도/JX
4%	4/SN+%/SW
성장에	성장/NNG+에/JKB
연연하지	연연하/VV+지/EC
말고	말/VX+고/EC
2.5%대	2/SN+./SP+5/SN+%/SW+대/XSN
하더라도	하/VV+더라도/EC
안정과	안정/NNG+과/JC
조화를	조화/NNG+를/JKO
이룩하는	이룩하/VV+는/ETM
게	거/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.61.11.1
김 전 의원은 “2012년 (박근혜 후보가) 경제민주화를 이룰 수 있다고 생각했는데 결국 원점으로 돌아왔다”면서 “대통령이 이에 대한 확실한 신념을 가져야 하는데, 1987년 전두환 전 대통령이 헌법에 경제민주화 조항(119조2항)을 넣은 지 30년 가까이 흘렀는데도 아직 제대로 인식을 못하고 있다”며 박 대통령을 비판했다.

김	김/NNP
전	전/MMD
의원은	의원/NNG+은/JX
“2012년	“/SS+2012/SN+년/NNB
(박근혜	(/SS+박근혜/NNP
후보가)	후보/NNG+가/JKS+)/SS
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
결국	결국/MAG
원점으로	원점/NNG+으로/JKB
돌아왔다”면서	돌아오/VV+았/EP+다/EF+”/SS+면서/EC
“대통령이	“/SS+대통령/NNG+이/JKS
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
확실한	확실하/VA+ㄴ/ETM
신념을	신념/NNG+을/JKO
가져야	가지/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
1987년	1987/SN+년/NNB
전두환	전두환/NNP
대통령이	대통령/NNG+이/JKS
헌법에	헌법/NNG+에/JKB
경제민주화	경제/NNG+민주/NNG+화/XSN
조항(119조2항)을	조항/NNG+(/SS+119/SN+조/NNB+2/SN+항/NNG+)/SS+을/JKO
넣은	넣/VV+은/ETM
지	지/NNB
30년	30/SN+년/NNB
가까이	가까이/MAG
흘렀는데도	흐르/VV+었/EP+는데/EC+도/JX
아직	아직/MAG
제대로	제대로/MAG
인식을	인식/NNG+을/JKO
못하고	못/MAG+하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
박	박/NNP
대통령을	대통령/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.61.11.2
이어 “당면한 과제를 해결하려면 리더의 결심이 중요한데 우리는 불행히도 그런 리더를 갖지 못하고 있다”고 탄식했다.

이어	이어/MAG
“당면한	“/SS+당면/NNG+하/XSV+ㄴ/ETM
과제를	과제/NNG+를/JKO
해결하려면	해결/NNG+하/XSV+려면/EC
리더의	리더/NNG+의/JKG
결심이	결심/NNG+이/JKS
중요한데	중요/NNG+하/XSA+ㄴ데/EC
우리는	우리/NP+는/JX
불행히도	불행히/MAG+도/JX
그런	그런/MMD
리더를	리더/NNG+를/JKO
갖지	갖/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
탄식했다.	탄식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.61.11.3
그는 “정치권이 경제민주화를 못하면 결국 국민이 직접 경제민주화를 할 것”이라고 경고하며, “다만 그렇게 될 경우 사회적 비용이 커지는 게 부담”이라고 말했다.

그는	그/NP+는/JX
“정치권이	“/SS+정치/NNG+권/XSN+이/JKS
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
못하면	못/MAG+하/VV+면/EC
결국	결국/MAG
국민이	국민/NNG+이/JKS
직접	직접/MAG
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고하며,	경고/NNG+하/XSV+며/EC+,/SP
“다만	“/SS+다만/MAG
그렇게	그렇/VA+게/EC
될	되/VV+ㄹ/ETM
경우	경우/NNG
사회적	사회/NNG+적/XSN
비용이	비용/NNG+이/JKS
커지는	커지/VV+는/ETM
게	거/NNB+이/JKS
부담”이라고	부담/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.61.12.1
김 전 의원은 최근 최대 이슈인 노동시장 구조개편과 관련해서 “(정부가) 소수 강경 노조의 모습만 부각시키며 노동시장 유연화를 추진하는 것은 대한민국 전체 노동시장의 모습을 제대로 보지 않고 잘못된 처방을 내리는 것”이라고 비판했다.

김	김/NNP
전	전/MMD
의원은	의원/NNG+은/JX
최근	최근/MAG
최대	최대/NNG
이슈인	이슈/NNG+이/VCP+ㄴ/ETM
노동시장	노동/NNG+시장/NNG
구조개편과	구조/NNG+개편/NNG+과/JKB
관련해서	관련/NNG+하/XSV+아서/EC
“(정부가)	“/SS+(/SS+정부/NNG+가/JKS+)/SS
소수	소수/NNG
강경	강경/NNG
노조의	노조/NNG+의/JKG
모습만	모습/NNG+만/JX
부각시키며	부각/NNG+시키/XSV+며/EC
유연화를	유연/NNG+화/XSN+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
대한민국	대한민국/NNP
전체	전체/NNG
노동시장의	노동/NNG+시장/NNG+의/JKG
모습을	모습/NNG+을/JKO
제대로	제대로/MAG
보지	보/VV+지/EC
않고	않/VX+고/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
처방을	처방/NNG+을/JKO
내리는	내리/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


