# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.29
metadata : {}


# id : NWRW1800000026.29.1.1
4대江 보상비 500억 늘어;어민 어업권 사전보상 추가로

4대江	4/SN+대/NNG+江/SH
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.29.6.3
국토부 4대강살리기 추진본부 박재순 과장은 "어업권 보상비는 규모가 크지 않아 공사 낙찰차액과 다른 보상비를 조정하는 방법으로 전체 보상비 내에서 처리할 방침"이라고 말했다.

국토부	국토부/NNG
4대강살리기	4/SN+대/NNG+강/NNG+살리/VV+기/ETN
추진본부	추진/NNG+본부/NNG
박재순	박재순/NNP
과장은	과장/NNG+은/JX
"어업권	"/SS+어업/NNG+권/XSN
보상비는	보상비/NNG+는/JX
규모가	규모/NNG+가/JKS
크지	크/VA+지/EC
않아	않/VX+아/EC
공사	공사/NNG
낙찰차액과	낙찰/NNG+차액/NNG+과/JC
다른	다른/MMD
보상비를	보상비/NNG+를/JKO
조정하는	조정/NNG+하/XSV+는/ETM
방법으로	방법/NNG+으로/JKB
전체	전체/NNG
보상비	보상비/NNG
내에서	내/NNB+에서/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
방침"이라고	방침/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


