# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.337
metadata : {}


# id : NWRW1800000033.337.1.1
北, 日과 9일 10년만에 적십자회담… 南따돌리기 노골화

北,	北/SH+,/SP
주목을	주목/NNG+을/JKO
끌겠다는	끌/VV+겠/EP+다는/ETM
의도를	의도/NNG+를/JKO
숨기지	숨기/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.337.6.1
일본적십자사도 이날 홈페이지를 통해 “전쟁 중 또는 종전 직후 혼란 속에서 북한에서 사망한 일본인 묘의 성묘와 유골의 반환에 대해서 실무 의견교환을 갖는다”고 밝혔다.

일본적십자사도	일본적십자사/NNP+도/JX
이날	이날/NNG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
“전쟁	“/SS+전쟁/NNG
중	중/NNB
또는	또는/MAG
종전	종전/NNG
직후	직후/NNG
혼란	혼란/NNG
속에서	속/NNG+에서/JKB
북한에서	북한/NNP+에서/JKB
사망한	사망/NNG+하/XSV+ㄴ/ETM
일본인	일본인/NNG
묘의	묘/NNG+의/JKG
성묘와	성묘/NNG+와/JC
유골의	유골/NNG+의/JKG
반환에	반환/NNG+에/JKB
대해서	대하/VV+아서/EC
실무	실무/NNG
의견교환을	의견/NNG+교환/NNG+을/JKO
갖는다”고	갖/VV+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.337.6.2
베이징 젠궈(建國)호텔에서 열리는 이번 회담에는 양측 3명씩 모두 6명이 참석한다.

베이징	베이징/NNP
젠궈(建國)호텔에서	젠궈/NNP+(/SS+建國/SH+)/SS+호텔/NNG+에서/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
회담에는	회담/NNG+에/JKB+는/JX
양측	양측/NNG
3명씩	3/SN+명/NNB+씩/XSN
모두	모두/MAG
6명이	6/SN+명/NNB+이/JKS
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.337.7.1
일본 언론에 따르면 북한 송일호 대사는 4월 태양절 행사 참석차 방북한 일본 대표단에 “2차 대전 종전 혼란으로 한반도에 잔류했던 일본인 유골이 다수 평양에서 발견됐다”며 유골 반환 협상에 나설 용의가 있음을 밝힌 바 있다.

일본	일본/NNP
언론에	언론/NNG+에/JKB
따르면	따르/VV+면/EC
북한	북한/NNP
송일호	송일호/NNP
대사는	대사/NNG+는/JX
4월	4/SN+월/NNB
태양절	태양절/NNG
행사	행사/NNG
참석차	참석차/NNG
방북한	방북/NNG+하/XSV+ㄴ/ETM
대표단에	대표단/NNG+에/JKB
“2차	“/SS+2/SN+차/NNB
대전	대전/NNG
종전	종전/NNG
혼란으로	혼란/NNG+으로/JKB
한반도에	한반도/NNP+에/JKB
잔류했던	잔류/NNG+하/XSV+았/EP+던/ETM
일본인	일본인/NNG
유골이	유골/NNG+이/JKS
다수	다수/NNG
평양에서	평양/NNP+에서/JKB
발견됐다”며	발견/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
유골	유골/NNG
반환	반환/NNG
협상에	협상/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있음을	있/VA+음/ETN+을/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.337.8.1
통일부 당국자는 “그동안 송일호 대사가 일본의 전직 관리를 의견 교환 수준에서 만났던 것에 비하면 이번 회담은 적십자사라는 양측 공식기구가 만난다는 점에서 격(格)이 높다고 할 수 있다”며 “대북 지원을 바라는 북한과 불안정한 국내정치 상황 때문에 외교적 성과가 필요한 일본의 이해관계가 서로 맞아떨어진 것으로 보인다”고 설명했다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
“그동안	“/SS+그동안/NNG
송일호	송일호/NNP
대사가	대사/NNG+가/JKS
일본의	일본/NNP+의/JKG
전직	전직/NNG
관리를	관리/NNG+를/JKO
의견	의견/NNG
교환	교환/NNG
수준에서	수준/NNG+에서/JKB
만났던	만나/VV+았/EP+던/ETM
것에	것/NNB+에/JKB
비하면	비/NNG+하/XSV+면/EC
이번	이번/NNG
회담은	회담/NNG+은/JX
적십자사라는	적십자사/NNP+이/VCP+라는/ETM
양측	양측/NNG
공식기구가	공식/NNG+기구/NNG+가/JKS
만난다는	만나/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
격(格)이	격/NNG+(/SS+格/SH+)/SS+이/JKS
높다고	높/VA+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“대북	“/SS+대북/NNG
지원을	지원/NNG+을/JKO
바라는	바라/VV+는/ETM
북한과	북한/NNP+과/JKB
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
국내정치	국내/NNG+정치/NNG
상황	상황/NNG
때문에	때문/NNB+에/JKB
외교적	외교/NNG+적/XSN
성과가	성과/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
이해관계가	이해관계/NNG+가/JKS
서로	서로/MAG
맞아떨어진	맞아떨어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.337.9.1
이교덕 통일연구원 선임연구위원은 “납북자 문제에 비하면 유골 문제는 가벼운 이슈”라며 “일단 쉬운 문제부터 협조관계가 구축되면 좀 더 큰 문제로 나아갈 수 있는 발판이 될 것”이라고 말했다.

이교덕	이교덕/NNP
통일연구원	통일/NNG+연구원/NNG
선임연구위원은	선임/NNG+연구/NNG+위원/NNG+은/JX
“납북자	“/SS+납북자/NNG
문제에	문제/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
유골	유골/NNG
문제는	문제/NNG+는/JX
가벼운	가볍/VA+ㄴ/ETM
이슈”라며	이슈/NNG+”/SS+이/VCP+라며/EC
“일단	“/SS+일단/MAG
쉬운	쉽/VA+ㄴ/ETM
문제부터	문제/NNG+부터/JX
협조관계가	협조/NNG+관계/NNG+가/JKS
구축되면	구축/NNG+되/XSV+면/EC
좀	좀/MAG
더	더/MAG
큰	크/VA+ㄴ/ETM
문제로	문제/NNG+로/JKB
나아갈	나아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
발판이	발판/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.337.9.2
이원덕 국민대 교수도 “대화의 물꼬를 튼다면 북-일 관계 정상화 협상은 어렵더라도 인도적 지원문제가 논의될 수 있을 것”이라고 내다봤다.

이원덕	이원덕/NNP
국민대	국민대/NNP
교수도	교수/NNG+도/JX
“대화의	“/SS+대화/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
튼다면	틀/VV+ㄴ다면/EC
북-일	북-일/NNP
관계	관계/NNG
정상화	정상/NNG+화/XSN
협상은	협상/NNG+은/JX
어렵더라도	어렵/VA+더라도/EC
인도적	인도/NNG+적/XSN
지원문제가	지원/NNG+문제/NNG+가/JKS
논의될	논의/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.337.10.1
일본의 전문가들은 당장 북-일 관계 정상화로 이어질 것으로는 기대하지 않았다.

일본의	일본/NNP+의/JKG
전문가들은	전문가/NNG+들/XSN+은/JX
당장	당장/NNG
북-일	북-일/NNP
관계	관계/NNG
정상화로	정상/NNG+화/XSN+로/JKB
이어질	이어지/VV+ㄹ/ETM
것으로는	것/NNB+으로/JKB+는/JX
기대하지	기대/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.337.10.2
히라이와 ?지(平巖俊司) 간세이가쿠인대 교수는 “일본은 북한이 납치문제 해결 등 변했다는 증거를 먼저 보여주지 않으면 정치적으로 움직일 수 있는 여지가 없다”고 말했다.

히라이와	히라이와/NNP
?지(平巖俊司)	?/NA+지/NA+(/SS+平巖俊司/SH+)/SS
간세이가쿠인대	간세이가쿠인대/NNP
교수는	교수/NNG+는/JX
“일본은	“/SS+일본/NNP+은/JX
북한이	북한/NNP+이/JKS
납치문제	납치/NNG+문제/NNG
해결	해결/NNG
등	등/NNB
변했다는	변하/VV+았/EP+다는/ETM
증거를	증거/NNG+를/JKO
먼저	먼저/MAG
보여주지	보이/VV+어/EC+주/VX+지/EC
않으면	않/VX+으면/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여지가	여지/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.337.11.1
이번에 북-일 간에 유골 반환 협상이 잘되면 북-미 간 미군 유해 발굴 및 송환 논의에도 긍정적 영향을 줄 수 있다.

이번에	이번/NNG+에/JKB
북-일	북-일/NNP
간에	간/NNB+에/JKB
유골	유골/NNG
반환	반환/NNG
협상이	협상/NNG+이/JKS
잘되면	잘/MAG+되/XSV+면/EC
북-미	북-미/NNP
간	간/NNB
미군	미군/NNG
유해	유해/NNG
발굴	발굴/NNG
및	및/MAG
송환	송환/NNG
논의에도	논의/NNG+에/JKB+도/JX
긍정적	긍정/NNG+적/XSN
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.337.11.2
외교부 당국자는 “이번 접촉은 순수하게 인도적 차원에서 이뤄지는 것으로 정부와는 무관하다는 설명을 일본 측으로부터 들었다”며 “논의 내용과 결과물이 무엇인지는 긴밀히 지켜볼 계획”이라고 말했다.

외교부	외교부/NNG
당국자는	당국자/NNG+는/JX
“이번	“/SS+이번/NNG
접촉은	접촉/NNG+은/JX
순수하게	순수/NNG+하/XSA+게/EC
인도적	인도/NNG+적/XSN
차원에서	차원/NNG+에서/JKB
이뤄지는	이뤄지/VV+는/ETM
것으로	것/NNB+으로/JKB
정부와는	정부/NNG+와/JKB+는/JX
무관하다는	무관하/VA+다는/ETM
설명을	설명/NNG+을/JKO
일본	일본/NNP
측으로부터	측/NNB+으로부터/JKB
들었다”며	듣/VV+었/EP+다/EF+”/SS+며/EC
“논의	“/SS+논의/NNG
내용과	내용/NNG+과/JC
결과물이	결과물/NNG+이/JKS
무엇인지는	무엇/NP+이/VCP+ㄴ지/EF+는/JX
긴밀히	긴밀히/MAG
지켜볼	지켜보/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.337.12.1
이런 활발한 대외 접촉에도 불구하고 북한은 올해 2월 남측이 이산가족 상봉 등 인도적 문제를 논의하기 위한 적십자 실무접촉을 갖자고 제의한 데 대해 전화통지문조차 수령하지 않은 채 반응을 보이지 않고 있다.

이런	이런/MMD
활발한	활발하/VA+ㄴ/ETM
대외	대외/NNG
접촉에도	접촉/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
북한은	북한/NNP+은/JX
올해	올해/NNG
2월	2/SN+월/NNB
남측이	남측/NNG+이/JKS
이산가족	이산가족/NNG
상봉	상봉/NNG
등	등/NNB
인도적	인도/NNG+적/XSN
문제를	문제/NNG+를/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
적십자	적십자/NNP
실무접촉을	실무/NNG+접촉/NNG+을/JKO
갖자고	갖/VV+자고/EC
제의한	제의/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
전화통지문조차	전화/NNG+통지문/NNG+조차/JX
수령하지	수령/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
반응을	반응/NNG+을/JKO
보이지	보이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.337.12.2
오히려 재입북한 탈북자를 동원해 ‘동까모(김일성 동상을 까부수는 모임)’을 거론하며 도발을 위협하고 있다.

오히려	오히려/MAG
재입북한	재/XPN+입북/NNG+하/XSV+ㄴ/ETM
탈북자를	탈북자/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
‘동까모(김일성	‘/SS+동까모/NNP+(/SS+김일성/NNP
동상을	동상/NNG+을/JKO
까부수는	까부수/VV+는/ETM
모임)’을	모임/NNG+)/SS+’/SS+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
도발을	도발/NNG+을/JKO
위협하고	위협/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.337.13.1
양무진 북한대학원대 교수는 “김정은이 왕자루이 중국 공산당 대외연락부장과 면담을 갖고 북-미 관계를 넘어 북-일 관계까지 손을 대고 있는 데 반해 남북관계의 순위는 뒤로 밀어 놓았다”며 “이명박 정권에서 기대할 게 없다는 것을 보여주려는 의도”라고 분석했다.

양무진	양무진/NNP
북한대학원대	북한대학원대/NNP
교수는	교수/NNG+는/JX
“김정은이	“/SS+김정은/NNP+이/JKS
왕자루이	왕자루이/NNP
중국	중국/NNP
공산당	공산당/NNP
대외연락부장과	대외/NNG+연락부장/NNG+과/JKB
면담을	면담/NNG+을/JKO
갖고	갖/VV+고/EC
북-미	북-미/NNP
관계를	관계/NNG+를/JKO
넘어	넘/VV+어/EC
북-일	북-일/NNP
관계까지	관계/NNG+까지/JX
손을	손/NNG+을/JKO
대고	대/VV+고/EC
있는	있/VX+는/ETM
데	데/NNB
반해	반하/VV+아/EC
남북관계의	남북/NNP+관계/NNG+의/JKG
순위는	순위/NNG+는/JX
뒤로	뒤/NNG+로/JKB
밀어	밀/VV+어/EC
놓았다”며	놓/VX+았/EP+다/EF+”/SS+며/EC
“이명박	“/SS+이명박/NNP
정권에서	정권/NNG+에서/JKB
기대할	기대/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
보여주려는	보이/VV+어/EC+주/VX+려는/ETM
의도”라고	의도/NNG+”/SS+라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


