# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.144
metadata : {}


# id : NWRW1800000041.144.1.1
‘불교 나라’ 스리랑카에서 오는 부처님 진신사리 2과

‘불교	‘/SS+불교/NNG
시간)	시간/NNG+)/SS
수도	수도/NNG
콜롬보	콜롬보/NNP
대통령궁	대통령/NNG+궁/NNG
보리수나무	보리수나무/NNG
정원에서	정원/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
부처님	부처/NNP+님/XSN
진신사리	진신/NNG+사리/NNG
이운식에서	이운식/NNG+에서/JKB
세월호	세월호/NNP
희생자와	희생자/NNG+와/JC
유가족을	유가족/NNG+을/JKO
위로했다.	위로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.144.3.5
라자팍세 대통령은 이날 부처님 진신사리 1과가 보관된 황금빛 사리탑을 경기 부천시 석왕사 주지 영담 스님에게 직접 전달했다.》

라자팍세	라자팍세/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
부처님	부처/NNP+님/XSN
진신사리	진신/NNG+사리/NNG
1과가	1/SN+과/NNB+가/JKS
보관된	보관/NNG+되/XSV+ㄴ/ETM
황금빛	황금빛/NNG
사리탑을	사리탑/NNG+을/JKO
경기	경기/NNP
부천시	부천시/NNP
석왕사	석왕사/NNP
주지	주지/NNG
영담	영담/NNP
스님에게	스님/NNG+에게/JKB
직접	직접/MAG
전달했다.》	전달/NNG+하/XSV+았/EP+다/EF+./SF+》/SS


# id : NWRW1800000041.144.4.1
라자팍세 대통령은 이운식 뒤 한국 취재진에게 “진신사리를 기쁜 마음으로 한국에 기증한다.

라자팍세	라자팍세/NNP
대통령은	대통령/NNG+은/JX
이운식	이운식/NNG
뒤	뒤/NNG
한국	한국/NNP
취재진에게	취재진/NNG+에게/JKB
“진신사리를	“/SS+진신/NNG+사리/NNG+를/JKO
기쁜	기쁘/VA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
한국에	한국/NNP+에/JKB
기증한다.	기증/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.144.4.2
이번 기증으로 양국이 더욱 친밀해지길 기원한다”고 말했다.

이번	이번/NNG
기증으로	기증/NNG+으로/JKB
양국이	양국/NNG+이/JKS
더욱	더욱/MAG
친밀해지길	친밀/NNG+하/XSA+아/EC+지/VX+기/ETN+ㄹ/JKO
기원한다”고	기원/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.144.4.3
영담 스님은 “스리랑카 이주노동자가 한국에서 부당대우를 받지 않고, 부처님 공덕으로 좋은 일만 있기를 기도하겠다”고 말했다.

영담	영담/NNP
스님은	스님/NNG+은/JX
“스리랑카	“/SS+스리랑카/NNP
이주노동자가	이주/NNG+노동자/NNG+가/JKS
한국에서	한국/NNP+에서/JKB
부당대우를	부당/NNG+대우/NNG+를/JKO
받지	받/VV+지/EC
않고,	않/VX+고/EC+,/SP
부처님	부처/NNP+님/XSN
공덕으로	공덕/NNG+으로/JKB
좋은	좋/VA+은/ETM
일만	일/NNG+만/JX
있기를	있/VA+기/ETN+를/JKO
기도하겠다”고	기도/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.144.5.1
이날 행사장에는 영담 스님을 비롯해 남해 화방사 주지 종호 스님, 불교국제개발협력단체 하얀코끼리, 스리랑카 불교 지도자 등 100여 명이 참석했다.

이날	이날/NNG
행사장에는	행사장/NNG+에/JKB+는/JX
영담	영담/NNP
스님을	스님/NNG+을/JKO
비롯해	비롯하/VV+아/EC
남해	남해/NNP
화방사	화방사/NNP
주지	주지/NNG
종호	종호/NNP
스님,	스님/NNG+,/SP
불교국제개발협력단체	불교/NNG+국제/NNG+개발/NNG+협력/NNG+단체/NNG
하얀코끼리,	하얀코끼리/NNP+,/SP
스리랑카	스리랑카/NNP
불교	불교/NNG
지도자	지도자/NNG
등	등/NNB
100여	100/SN+여/XSN
명이	명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.144.5.2
석왕사는 “스리랑카를 비롯해 외국에서 기증받은 진신사리들은 사찰 간 교류 차원에서 이뤄진 기증이라 진위 논란이 끊이질 않았다”며 “진신사리가 진품임을 스리랑카 정부가 공인하고 대통령이 직접 기증했다는 점에서 큰 의미가 있다”고 밝혔다.

석왕사는	석왕사/NNP+는/JX
“스리랑카를	“/SS+스리랑카/NNP+를/JKO
비롯해	비롯하/VV+아/EC
외국에서	외국/NNG+에서/JKB
기증받은	기증/NNG+받/XSV+은/ETM
진신사리들은	진신/NNG+사리/NNG+들/XSN+은/JX
사찰	사찰/NNG
간	간/NNB
교류	교류/NNG
차원에서	차원/NNG+에서/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
기증이라	기증/NNG+이/VCP+라/EC
진위	진위/NNG
논란이	논란/NNG+이/JKS
끊이질	끊이/VV+지/EC+ㄹ/JX
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“진신사리가	“/SS+진신/NNG+사리/NNG+가/JKS
진품임을	진품/NNG+이/VCP+ㅁ/ETN+을/JKO
스리랑카	스리랑카/NNP
정부가	정부/NNG+가/JKS
공인하고	공인/NNG+하/XSV+고/EC
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
기증했다는	기증/NNG+하/XSV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.144.6.1
스리랑카 정부가 기증한 진신사리는 3mm 크기의 좁쌀 모양으로 어느 부위의 것인지는 확인되지 않았다.

스리랑카	스리랑카/NNP
정부가	정부/NNG+가/JKS
기증한	기증/NNG+하/XSV+ㄴ/ETM
진신사리는	진신/NNG+사리/NNG+는/JX
3mm	3/SN+mm/SW
크기의	크기/NNG+의/JKG
좁쌀	좁쌀/NNG
모양으로	모양/NNG+으로/JKB
어느	어느/MMD
부위의	부위/NNG+의/JKG
것인지는	것/NNB+이/VCP+ㄴ지/EC+는/JX
확인되지	확인/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.144.6.2
이 사리는 기원전 2세기경 스리랑카 남부 루후누 왕국 초기부터 전해오는 것으로 암바란토타 지역 테네콘 가문에서 가보로 보관해왔다.

이	이/MMD
사리는	사리/NNG+는/JX
기원전	기원전/NNG
2세기경	2/SN+세기/NNG+경/XSN
스리랑카	스리랑카/NNP
남부	남부/NNG
루후누	루후누/NNP
왕국	왕국/NNG
초기부터	초기/NNG+부터/JX
전해오는	전하/VV+아/EC+오/VX+는/ETM
것으로	것/NNB+으로/JKB
암바란토타	암바란토타/NNP
지역	지역/NNG
테네콘	테네콘/NNP
가문에서	가문/NNG+에서/JKB
가보로	가보/NNG+로/JKB
보관해왔다.	보관/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.144.6.3
대통령이 테네콘 가문을 설득해 한국에 기증하게 됐다.

대통령이	대통령/NNG+이/JKS
테네콘	테네콘/NNP
가문을	가문/NNG+을/JKO
설득해	설득/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
기증하게	기증/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.144.6.4
진신사리는 불교의 나라 스리랑카에서도 특별한 의미를 갖고 있다.

진신사리는	진신/NNG+사리/NNG+는/JX
불교의	불교/NNG+의/JKG
나라	나라/NNG
스리랑카에서도	스리랑카/NNP+에서/JKB+도/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
의미를	의미/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.144.6.5
이운식 전날 밤 대통령궁 옆 다르마키트야라마야 사원에 진신사리가 임시 봉안됐을 때에는 진신사리를 친견하러 온 스리랑카 불교 신자들로 사원이 인산인해를 이뤘다.

이운식	이운식/NNG
전날	전날/NNG
밤	밤/NNG
대통령궁	대통령/NNG+궁/NNG
옆	옆/NNG
다르마키트야라마야	다르마키트야라마야/NNP
사원에	사원/NNG+에/JKB
진신사리가	진신/NNG+사리/NNG+가/JKS
임시	임시/NNG
봉안됐을	봉안/NNG+되/XSV+었/EP+을/ETM
때에는	때/NNG+에/JKB+는/JX
진신사리를	진신/NNG+사리/NNG+를/JKO
친견하러	친견/NNG+하/XSV+러/EC
온	오/VV+ㄴ/ETM
스리랑카	스리랑카/NNP
불교	불교/NNG
신자들로	신자/NNG+들/XSN+로/JKB
사원이	사원/NNG+이/JKS
인산인해를	인산인해/NNG+를/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.144.7.1
27일 콜롬보 스부티 사원에서도 부처님 진신사리 이운식이 열렸다.

27일	27/SN+일/NNB
콜롬보	콜롬보/NNP
스부티	스부티/NNP
사원에서도	사원/NNG+에서/JKB+도/JX
부처님	부처/NNP+님/XSN
진신사리	진신/NNG+사리/NNG
이운식이	이운식/NNG+이/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.144.7.2
스부티 사원이 석왕사에 기증한 진신사리는 1898년 영국 고고학자가 부처님 고향인 인도 카필라 성에서 발굴한 진신사리 21과 중 하나로 당시 발굴지역 토지 주인이 스부티 사원에 진신사리를 기증했다.

스부티	스부티/NNP
사원이	사원/NNG+이/JKS
석왕사에	석왕사/NNP+에/JKB
기증한	기증/NNG+하/XSV+ㄴ/ETM
진신사리는	진신/NNG+사리/NNG+는/JX
1898년	1898/SN+년/NNB
영국	영국/NNP
고고학자가	고고학자/NNG+가/JKS
부처님	부처/NNP+님/XSN
고향인	고향/NNG+이/VCP+ㄴ/ETM
인도	인도/NNP
카필라	카필라/NNP
성에서	성/NNG+에서/JKB
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
진신사리	진신/NNG+사리/NNG
21과	21/SN+과/NNB
중	중/NNB
하나로	하나/NR+로/JKB
당시	당시/NNG
발굴지역	발굴/NNG+지역/NNG
토지	토지/NNG
주인이	주인/NNG+이/JKS
사원에	사원/NNG+에/JKB
진신사리를	진신/NNG+사리/NNG+를/JKO
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.144.7.3
유리로 된 사리탑에 밀봉된 진신사리는 2cm 크기로 치아 모양과 비슷하다.

유리로	유리/NNG+로/JKB
된	되/VV+ㄴ/ETM
사리탑에	사리탑/NNG+에/JKB
밀봉된	밀봉/NNG+되/XSV+ㄴ/ETM
진신사리는	진신/NNG+사리/NNG+는/JX
2cm	2/SN+cm/SW
크기로	크기/NNG+로/JKB
치아	치아/NNG
모양과	모양/NNG+과/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000041.144.7.4
이 사리도 정확한 부위는 확실치 않다.

이	이/MMD
사리도	사리/NNG+도/JX
정확한	정확/NNG+하/XSA+ㄴ/ETM
부위는	부위/NNG+는/JX
확실치	확실하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.144.7.5
스부티 대사원 주지 마힌다완사 스님은 “부처님 진신사리는 곧 부처님의 육신과 같다.

스부티	스부티/NNP
대사원	대/XPN+사원/NNG
주지	주지/NNG
마힌다완사	마힌다완사/NNP
스님은	스님/NNG+은/JX
“부처님	“/SS+부처/NNP+님/XSN
진신사리는	진신/NNG+사리/NNG+는/JX
곧	곧/MAG
부처님의	부처/NNP+님/XSN+의/JKG
육신과	육신/NNG+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000041.144.7.6
부처님 고향에서 석가모니 가족들이 만든 불탑에서 나온 것이라 더 의미가 있다”고 말했다.

부처님	부처/NNP+님/XSN
고향에서	고향/NNG+에서/JKB
석가모니	석가모니/NNP
가족들이	가족/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
불탑에서	불탑/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
것이라	것/NNB+이/VCP+라/EC
더	더/MAG
의미가	의미/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.144.8.1
이번 부처님 진신사리 2과 기증은 스리랑카와 석왕사의 오랜 인연 덕분에 성사됐다.

이번	이번/NNG
부처님	부처/NNP+님/XSN
진신사리	진신/NNG+사리/NNG
2과	2/SN+과/NNB
기증은	기증/NNG+은/JX
스리랑카와	스리랑카/NNP+와/JKB
석왕사의	석왕사/NNP+의/JKG
오랜	오랜/MMA
인연	인연/NNG
덕분에	덕분/NNG+에/JKB
성사됐다.	성사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.144.8.2
영담 스님은 스리랑카 스님이 석왕사에서 기거한 인연으로 1990년 한국-스리랑카 불교회를 결성하고 스리랑카 현지 불교 사찰을 지원해왔다.

영담	영담/NNP
스님은	스님/NNG+은/JX
스리랑카	스리랑카/NNP
스님이	스님/NNG+이/JKS
석왕사에서	석왕사/NNP+에서/JKB
기거한	기거/NNG+하/XSV+ㄴ/ETM
인연으로	인연/NNG+으로/JKB
1990년	1990/SN+년/NNB
한국-스리랑카	한국/NNP+-/SO+스리랑카/NNP
불교회를	불교회/NNG+를/JKO
결성하고	결성/NNG+하/XSV+고/EC
현지	현지/NNG
불교	불교/NNG
사찰을	사찰/NNG+을/JKO
지원해왔다.	지원/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.144.8.3
1995년에는 ‘부천외국인노동자의집’을 만들어 스리랑카 이주노동자의 권익 보호와 복지에 힘썼다.

1995년에는	1995/SN+년/NNB+에/JKB+는/JX
‘부천외국인노동자의집’을	‘/SS+부천/NNP+외국인/NNG+노동자/NNG+의/JKG+집/NNG+’/SS+을/JKO
만들어	만들/VV+어/EC
스리랑카	스리랑카/NNP
이주노동자의	이주/NNG+노동자/NNG+의/JKG
권익	권익/NNG
보호와	보호/NNG+와/JC
복지에	복지/NNG+에/JKB
힘썼다.	힘쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.144.8.4
2008년 라자팍세 대통령은 감사의 뜻으로 석왕사에 불상을 기증하기도 했다.

2008년	2008/SN+년/NNB
라자팍세	라자팍세/NNP
대통령은	대통령/NNG+은/JX
감사의	감사/NNG+의/JKG
뜻으로	뜻/NNG+으로/JKB
석왕사에	석왕사/NNP+에/JKB
불상을	불상/NNG+을/JKO
기증하기도	기증/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.144.9.1
영담 스님은 “종교가 민간 외교 분야에서 큰 역할을 하고 그런 결실로 스리랑카 정부가 공인한 부처님 진신사리를 우리나라에 최초로 봉안한 데서 부처님 진신사리 이운의 의미가 있다”고 밝혔다.

영담	영담/NNP
스님은	스님/NNG+은/JX
“종교가	“/SS+종교/NNG+가/JKS
민간	민간/NNG
외교	외교/NNG
분야에서	분야/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
그런	그런/MMD
결실로	결실/NNG+로/JKB
스리랑카	스리랑카/NNP
정부가	정부/NNG+가/JKS
공인한	공인/NNG+하/XSV+ㄴ/ETM
부처님	부처/NNP+님/XSN
진신사리를	진신/NNG+사리/NNG+를/JKO
우리나라에	우리나라/NNG+에/JKB
최초로	최초/NNG+로/JKB
봉안한	봉안/NNG+하/XSV+ㄴ/ETM
데서	데/NNB+서/JKB
진신사리	진신/NNG+사리/NNG
이운의	이운/NNG+의/JKG
의미가	의미/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.144.9.2
석왕사는 2일 스리랑카 사절단을 초청해 봉안법회를 연다.

석왕사는	석왕사/NNP+는/JX
2일	2/SN+일/NNB
스리랑카	스리랑카/NNP
사절단을	사절단/NNG+을/JKO
초청해	초청/NNG+하/XSV+아/EC
봉안법회를	봉안/NNG+법회/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.144.9.3
기증받은 진신사리는 스리랑카식 사리닫집(법당의 불좌 위에 다는 집 모형)에 봉안될 예정이다.

기증받은	기증/NNG+받/XSV+은/ETM
진신사리는	진신/NNG+사리/NNG+는/JX
스리랑카식	스리랑카식/NNG
사리닫집(법당의	사리/NNG+닫집/NNG+(/SS+법당/NNG+의/JKG
불좌	불좌/NNG
위에	위/NNG+에/JKB
다는	달/VV+는/ETM
집	집/NNG
모형)에	모형/NNG+)/SS+에/JKB
봉안될	봉안/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


