# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.234
metadata : {}


# id : NWRW1800000046.234.1.1
IOC "평창동계올림픽 준비 순조롭다"

IOC	IOC/SL
개막에	개막/NNG+에/JKB
1~2년	1/SN+~/SO+2/SN+년/NNB
앞서	앞서/MAG
선수들이	선수/NNG+들/XSN+이/JKS
대회를	대회/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
경기장에서	경기장/NNG+에서/JKB
실전을	실전/NNG+을/JKO
치르는,	치르/VV+는/ETM+,/SP
일종의	일종/NNG+의/JKG
'모의고사'다.	'/SS+모의고사/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.234.6.1
린드베리 위원장은 "7개 동계종목 국제연맹 대표들도 참가해 각 종목에 대한 전문성을 더해 줬다"며 "이러한 조언이 내년 초 평창에서 열릴 FIS(국제스키연맹) 알파인스키 월드컵과 프리스타일 스키 및 스노보드 월드컵과 슬라이딩센터 사전 승인 행사 등의 준비에 큰 도움이 될 것"이라고 말했다.

린드베리	린드베리/NNP
위원장은	위원장/NNG+은/JX
"7개	"/SS+7/SN+개/NNB
동계종목	동계/NNG+종목/NNG
국제연맹	국제/NNG+연맹/NNG
대표들도	대표/NNG+들/XSN+도/JX
참가해	참가/NNG+하/XSV+아/EC
각	각/MMD
종목에	종목/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전문성을	전문/NNG+성/XSN+을/JKO
더해	더/MAG+하/XSV+아/EC
줬다"며	주/VX+었/EP+다/EF+"/SS+며/EC
"이러한	"/SS+이러하/VA+ㄴ/ETM
조언이	조언/NNG+이/JKS
내년	내년/NNG
초	초/NNB
평창에서	평창/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
FIS(국제스키연맹)	FIS/SL+(/SS+국제스키연맹/NNP+)/SS
알파인스키	알파인/NNG+스키/NNG
월드컵과	월드컵/NNG+과/JC
프리스타일	프리스타일/NNG
스키	스키/NNG
및	및/MAG
스노보드	스노보드/NNG
슬라이딩센터	슬라이딩/NNG+센터/NNG
사전	사전/NNG
승인	승인/NNG
행사	행사/NNG
등의	등/NNB+의/JKG
준비에	준비/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.234.7.1
본회의에 앞서 정선 알파인센터와 슬라이딩센터 현장을 방문했던 조정위원들은 "경기장이 일정대로 준비되고 있지만, 테스트 이벤트 개최가 얼마 남지 않았기 때문에 긴장을 늦추지 말아야 할 것"이라고 강조했다.

본회의에	본회의/NNG+에/JKB
앞서	앞서/VV+어/EC
정선	정선/NNP
알파인센터와	알파인/NNG+센터/NNG+와/JC
슬라이딩센터	슬라이딩/NNG+센터/NNG
현장을	현장/NNG+을/JKO
방문했던	방문/NNG+하/XSV+았/EP+던/ETM
조정위원들은	조정/NNG+위원/NNG+들/XSN+은/JX
"경기장이	"/SS+경기장/NNG+이/JKS
일정대로	일정/NNG+대로/JX
준비되고	준비/NNG+되/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
테스트	테스트/NNG
이벤트	이벤트/NNG
개최가	개최/NNG+가/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
긴장을	긴장/NNG+을/JKO
늦추지	늦추/VV+지/EC
말아야	말/VX+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.234.7.2
조양호 평창조직위원장은 "성공적인 대회 개최를 위해 올바른 방향으로 나아가고 있음을 확인한 시간이었다"며 "해당 경기연맹의 전문성과 대회 운영 경험이 대회 준비 과정에 매우 중요한 요소가 될 것"이라고 말했다.

조양호	조양호/NNP
평창조직위원장은	평창/NNP+조직/NNG+위원장/NNG+은/JX
"성공적인	"/SS+성공/NNG+적/XSN+이/VCP+ㄴ/ETM
대회	대회/NNG
개최를	개최/NNG+를/JKO
위해	위하/VV+아/EC
올바른	올바르/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
나아가고	나아가/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
시간이었다"며	시간/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"해당	"/SS+해당/NNG
경기연맹의	경기/NNG+연맹/NNG+의/JKG
전문성과	전문/NNG+성/XSN+과/JC
운영	운영/NNG
경험이	경험/NNG+이/JKS
준비	준비/NNG
과정에	과정/NNG+에/JKB
매우	매우/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
요소가	요소/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.234.7.3
제6차 조정위원회는 내년 3월 열릴 예정이다.

제6차	제/XPN+6/SN+차/NNB
조정위원회는	조정/NNG+위원회/NNG+는/JX
내년	내년/NNG
3월	3/SN+월/NNB
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


