# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.303
metadata : {}


# id : NWRW1800000032.303.1.1
부활 꿈꾸는 오리온스와 추감독

부활	부활/NNG
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.5.2
드래프트 3순위로 뽑은 김승현이 대박을 터뜨렸고, 두 외국인 선수 마르커스 힉스와 라이언 페리맨이 펄펄 날았다.

드래프트	드래프트/NNG
3순위로	3/SN+순위/NNG+로/JKB
뽑은	뽑/VV+은/ETM
김승현이	김승현/NNP+이/JKS
대박을	대/XPN+박/NNG+을/JKO
터뜨렸고,	터뜨리/VV+었/EP+고/EC+,/SP
두	두/MMN
외국인	외국인/NNG
선수	선수/NNG
마르커스	마르커스/NNP
힉스와	힉스/NNP+와/JC
라이언	라이언/NNP
페리맨이	페리맨/NNP+이/JKS
펄펄	펄펄/MAG
날았다.	날/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.5.3
2001~2002 시즌 정상은 오리온스(당시 동양 오리온스) 차지였다.

2001~2002	2001/SN+~/SO+2002/SN
시즌	시즌/NNG
정상은	정상/NNG+은/JX
오리온스(당시	오리온스/NNP+(/SS+당시/NNG
동양	동양/NNP
오리온스)	오리온스/NNP+)/SS
차지였다.	차지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.303.5.4
이듬해에도 정규리그 우승에 이어 챔피언결정전에 진출했지만 아쉽게 준우승에 그쳤다.

이듬해에도	이듬해/NNG+에/JKB+도/JX
정규리그	정규/NNG+리그/NNG
우승에	우승/NNG+에/JKB
이어	잇/VV+어/EC
챔피언결정전에	챔피언/NNG+결정전/NNG+에/JKB
진출했지만	진출/NNG+하/XSV+았/EP+지만/EC
아쉽게	아쉽/VA+게/EC
준우승에	준/XPN+우승/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.5.5
그래도 2006~2007 시즌까지 당시로선 국내 최초로 6년 연속 플레이오프에 진출하며 ‘농구 명가’의 기반을 닦았다.

그래도	그래도/MAJ
2006~2007	2006/SN+~/SO+2007/SN
시즌까지	시즌/NNG+까지/JX
당시로선	당시/NNG+로서/JKB+ㄴ/JX
국내	국내/NNG
최초로	최초/NNG+로/JKB
6년	6/SN+년/NNB
연속	연속/NNG
플레이오프에	플레이오프/NNG+에/JKB
진출하며	진출/NNG+하/XSV+며/EC
‘농구	‘/SS+농구/NNG
명가’의	명가/NNG+’/SS+의/JKG
기반을	기반/NNG+을/JKO
닦았다.	닦/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.6.1
추일승 감독에게도 기회가 왔다.

추일승	추일승/NNP
감독에게도	감독/NNG+에게/JKB+도/JX
기회가	기회/NNG+가/JKS
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.6.2
2003년 6월, 여수 코리아텐더 감독으로 프로팀 사령탑을 맡았다.

2003년	2003/SN+년/NNB
6월,	6/SN+월/NNB+,/SP
여수	여수/NNP
코리아텐더	코리아텐더/NNP
감독으로	감독/NNG+으로/JKB
프로팀	프로/NNG+팀/NNG
사령탑을	사령탑/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.6.3
이듬해 부산 케이티에프(KTF)에 인수된 팀을 정규리그 4위, 4위, 3위로 이끌며 3년 연속 플레이오프에 진출시켰다.

이듬해	이듬해/NNG
부산	부산/NNP
케이티에프(KTF)에	케이티에프/NNP+(/SS+KTF/SL+)/SS+에/JKB
인수된	인수/NNG+되/XSV+ㄴ/ETM
팀을	팀/NNG+을/JKO
정규리그	정규/NNG+리그/NNG
4위,	4/SN+위/NNB+,/SP
3위로	3/SN+위/NNB+로/JKB
이끌며	이끌/VV+며/EC
3년	3/SN+년/NNB
연속	연속/NNG
플레이오프에	플레이오프/NNG+에/JKB
진출시켰다.	진출/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.6.4
2006~2007 시즌에는 전문가들의 예상을 깨고 챔피언결정전까지 올라 울산 모비스와 7차전까지 가는 명승부를 펼쳤다.

2006~2007	2006/SN+~/SO+2007/SN
시즌에는	시즌/NNG+에/JKB+는/JX
전문가들의	전문가/NNG+들/XSN+의/JKG
예상을	예상/NNG+을/JKO
깨고	깨/VV+고/EC
챔피언결정전까지	챔피언/NNG+결정전/NNG+까지/JX
올라	오르/VV+아/EC
울산	울산/NNP
모비스와	모비스/NNP+와/JC
7차전까지	7/SN+차전/NNB+까지/JX
가는	가/VV+는/ETM
명승부를	명승부/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.6.5
비록 3승4패로 우승 문턱에서 주저앉았지만 ‘명장’의 기반을 닦았다.

비록	비록/MAG
3승4패로	3/SN+승/NNB+4/SN+패/NNB+로/JKB
우승	우승/NNG
문턱에서	문턱/NNG+에서/JKB
주저앉았지만	주저앉/VV+았/EP+지만/EC
‘명장’의	‘/SS+명장/NNG+’/SS+의/JKG
기반을	기반/NNG+을/JKO
닦았다.	닦/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.7.1
#장면 3. 오리온스에 시련이 찾아왔다.

#장면	#/SW+장면/NNG
3.	3/SN+./SF
오리온스에	오리온스/NNP+에/JKB
시련이	시련/NNG+이/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.7.2
오리온스는 최근 4년 연속 10위, 9위, 10위, 10위를 기록했다.

오리온스는	오리온스/NNP+는/JX
최근	최근/NNG
4년	4/SN+년/NNB
연속	연속/NNG
10위,	10/SN+위/NNB+,/SP
9위,	9/SN+위/NNB+,/SP
10위를	10/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.7.3
‘김승현 파동’으로 입길에 올랐고, 2007년부터 2년 동안 3명의 감독을 갈아치우기도 했다.

‘김승현	‘/SS+김승현/NNP
파동’으로	파동/NNG+’/SS+으로/JKB
입길에	입길/NNG+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
2007년부터	2007/SN+년/NNB+부터/JX
2년	2/SN+년/NNB
동안	동안/NNG
3명의	3/SN+명/NNB+의/JKG
감독을	감독/NNG+을/JKO
갈아치우기도	갈/VV+아/EC+치우/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.303.7.4
‘감독들의 무덤’이라는 비난도 들었다.

‘감독들의	‘/SS+감독/NNG+들/XSN+의/JKG
무덤’이라는	무덤/NNG+’/SS+이/VCP+라는/ETM
비난도	비난/NNG+도/JX
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.8.1
추일승 케이티에프 감독에게도 크나큰 시련이 찾아왔다.

추일승	추일승/NNP
케이티에프	케이티에프/NNP
감독에게도	감독/NNG+에게/JKB+도/JX
크나큰	크나크/VA+ㄴ/ETM
시련이	시련/NNG+이/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.8.2
2008~2009 시즌 최하위에 머물렀다.

2008~2009	2008/SN+~/SO+2009/SN
시즌	시즌/NNG
최하위에	최/XPN+하위/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.8.3
프로농구 현역 명장들도 해마다 좋은 성적을 내는 것은 아니다.

프로농구	프로/NNG+농구/NNG
현역	현역/NNG
명장들도	명장/NNG+들/XSN+도/JX
해마다	해마다/MAG
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
내는	내/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.303.8.4
누구나 최하위권으로 곤두박질쳐 본 경험이 있다.

누구나	누구/NP+나/JX
최하위권으로	최/XPN+하위/NNG+권/XSN+으로/JKB
곤두박질쳐	곤두박질치/VV+어/EC
본	보/VX+ㄴ/ETM
경험이	경험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.303.8.5
그런데 추 감독은 딱 한번 좋지 못한 성적을 냈다.

그런데	그런데/MAJ
추	추/NNP
감독은	감독/NNG+은/JX
딱	딱/MAG
한번	한번/NNG
좋지	좋/VA+지/EC
못한	못하/VX+ㄴ/ETM
성적을	성적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.8.6
추 감독이 “동료 선수의 영혼을 깨우고 심장을 뛰게 하는 선수”라고 칭찬했던 조성민과 김도수가 군에 입대한 틈이었다.

추	추/NNP
감독이	감독/NNG+이/JKS
“동료	“/SS+동료/NNG
선수의	선수/NNG+의/JKG
영혼을	영혼/NNG+을/JKO
깨우고	깨우/VV+고/EC
심장을	심장/NNG+을/JKO
뛰게	뛰/VV+게/EC
하는	하/VX+는/ETM
선수”라고	선수/NNG+”/SS+이/VCP+라고/EC
칭찬했던	칭찬/NNG+하/XSV+았/EP+던/ETM
조성민과	조성민/NNP+과/JC
김도수가	김도수/NNP+가/JKS
군에	군/NNG+에/JKB
입대한	입대/NNG+하/XSV+ㄴ/ETM
틈이었다.	틈/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.303.8.7
부상 선수마저 속출하며 추 감독 특유의 공수 전환을 빨리 하는 ‘트랜지션 게임’을 구사할 수 없었다.

부상	부상/NNG
선수마저	선수/NNG+마저/JX
속출하며	속출/NNG+하/XSV+며/EC
추	추/NNP
감독	감독/NNG
특유의	특유/NNG+의/JKG
공수	공수/NNG
전환을	전환/NNG+을/JKO
빨리	빨리/MAG
하는	하/VV+는/ETM
‘트랜지션	‘/SS+트랜지션/NNG
게임’을	게임/NNG+’/SS+을/JKO
구사할	구사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.303.8.8
그런데 하필 3년 계약이 끝나는 해였다.

그런데	그런데/MAJ
하필	하필/MAG
3년	3/SN+년/NNB
계약이	계약/NNG+이/JKS
끝나는	끝나/VV+는/ETM
해였다.	해/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.303.8.9
한마디 변명도 하지 않았고 감독직에서 조용히 물러났다.

한마디	한마디/NNG
변명도	변명/NNG+도/JX
하지	하/VV+지/EC
않았고	않/VX+았/EP+고/EC
감독직에서	감독직/NNG+에서/JKB
조용히	조용히/MAG
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.9.1
‘닮은꼴’ 오리온스와 추일승 감독이 만났다.

‘닮은꼴’	‘/SS+닮은꼴/NNG+’/SS
오리온스와	오리온스/NNP+와/JC
추일승	추일승/NNP
감독이	감독/NNG+이/JKS
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.9.2
추 감독은 “선수단을 장악할 시간(4년)과 권한”을 요구했고 심용섭 오리온스 단장은 이를 받아들였다.

추	추/NNP
감독은	감독/NNG+은/JX
“선수단을	“/SS+선수단/NNG+을/JKO
장악할	장악/NNG+하/XSV+ㄹ/ETM
시간(4년)과	시간/NNG+(/SS+4/SN+년/NNB+)/SS+과/JC
권한”을	권한/NNG+”/SS+을/JKO
요구했고	요구/NNG+하/XSV+았/EP+고/EC
심용섭	심용섭/NNP
오리온스	오리온스/NNP
단장은	단장/NNG+은/JX
이를	이/NP+를/JKO
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.9.3
심 단장은 “구단 경영의 한 축으로 생각하고 운영 전반에 걸쳐 역할을 맡기겠다”고 했다.

심	심/NNP
단장은	단장/NNG+은/JX
“구단	“/SS+구단/NNG
경영의	경영/NNG+의/JKG
한	한/MMN
축으로	축/NNG+으로/JKB
생각하고	생각/NNG+하/XSV+고/EC
운영	운영/NNG
전반에	전반/NNG+에/JKB
걸쳐	걸치/VV+어/EC
역할을	역할/NNG+을/JKO
맡기겠다”고	맡기/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.9.4
절치부심하며 명예회복에 성공하는 것도 닮을지 궁금하다.

절치부심하며	절치부심/NNG+하/XSV+며/EC
명예회복에	명예/NNG+회복/NNG+에/JKB
성공하는	성공/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
닮을지	닮/VV+을지/EC
궁금하다.	궁금하/VA+다/EF+./SF


