# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.367
metadata : {}


# id : NWRW1800000036.367.1.1
민주당 청년대표 신청자들 공약 보니…

민주당	민주당/NNP
연령층에	연령/NNG+층/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
높고,	높/VA+고/EC+,/SP
전체	전체/NNG
신청자의	신청자/NNG+의/JKG
20%	20/SN+%/SW
가량이	가량/XSN+이/JKS
실제	실제/NNG
취업준비생인	취업/NNG+준비/NNG+생/XSN+이/VCP+ㄴ/ETM
점도	점/NNG+도/JX
이	이/NP
같은	같/VA+은/ETM
결과에	결과/NNG+에/JKB
반영된	반영/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.367.6.1
분야별로 보면 정치 공약(288건)과 경제 공약(273건)이 많았고 그 다음으로 사회(256건) 교육(151건) 복지(146건) 순이었다.

분야별로	분야/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
정치	정치/NNG
공약(288건)과	공약/NNG+(/SS+288/SN+건/NNB+)/SS+과/JC
경제	경제/NNG
공약(273건)이	공약/NNG+(/SS+273/SN+건/NNB+)/SS+이/JKS
많았고	많/VA+았/EP+고/EC
그	그/MMD
다음으로	다음/NNG+으로/JKB
사회(256건)	사회/NNG+(/SS+256/SN+건/NNB+)/SS
교육(151건)	교육/NNG+(/SS+151/SN+건/NNB+)/SS
복지(146건)	복지/NNG+(/SS+146/SN+건/NNB+)/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.367.6.2
각 분야의 소주제로 들어가면 쏠림 현상이 나타났다.

각	각/MMD
분야의	분야/NNG+의/JKG
소주제로	소/XPN+주제/NNG+로/JKB
들어가면	들어가/VV+면/EC
쏠림	쏠림/NNG
현상이	현상/NNG+이/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.367.6.3
정치 분야에서는 현재의 정치를 바꾸겠다는 정치개혁 공약이 128건으로 가장 많았다.

정치	정치/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
현재의	현재/NNG+의/JKG
정치를	정치/NNG+를/JKO
바꾸겠다는	바꾸/VV+겠/EP+다는/ETM
정치개혁	정치/NNG+개혁/NNG
공약이	공약/NNG+이/JKS
128건으로	128/SN+건/NNB+으로/JKB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.367.6.4
교육 분야에서는 등록금 정책(93건)이, 복지 분야에서는 출산·육아·보육(44건) 정책 공약이 많았다.

교육	교육/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
등록금	등록금/NNG
정책(93건)이,	정책/NNG+(/SS+93/SN+건/NNB+)/SS+이/JKS+,/SP
복지	복지/NNG
출산·육아·보육(44건)	출산/NNG+·/SP+육아/NNG+·/SP+보육/NNG+(/SS+44/SN+건/NNB+)/SS
정책	정책/NNG
공약이	공약/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.367.7.1
신청자 동영상을 분석한 권 후보는 “2030세대를 대변하겠다고 나선 이들의 동영상을 보면 우리 사회의 중요한 이슈, 특히 청년들이 정치에 바라는 요구들이 담겨 있다”고 말했다.

신청자	신청자/NNG
동영상을	동영상/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
권	권/NNP
후보는	후보/NNG+는/JX
“2030세대를	“/SS+2030/SN+세대/NNG+를/JKO
대변하겠다고	대변/NNG+하/XSV+겠/EP+다고/EC
나선	나서/VV+ㄴ/ETM
이들의	이/NNB+들/XSN+의/JKG
보면	보/VV+면/EC
우리	우리/NP
사회의	사회/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
이슈,	이슈/NNG+,/SP
특히	특히/MAG
청년들이	청년/NNG+들/XSN+이/JKS
정치에	정치/NNG+에/JKB
바라는	바라/VV+는/ETM
요구들이	요구/NNG+들/XSN+이/JKS
담겨	담기/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


