# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.40
metadata : {}


# id : NWRW1800000044.40.1.1
취업시즌 ‘면접 대비’ 이색용품 불티

취업시즌	취업/NNG+시즌/NNG
되면	되/VV+면/EC
20대	20/SN+대/NNB
소비자의	소비자/NNG+의/JKG
정장	정장/NNG
구매량이	구매량/NNG+이/JKS
주	주/MMA
소비층이	소비/NNG+층/XSN+이/JKS
30~40대	30/SN+~/SO+40/SN+대/NNB
구매량을	구매량/NNG+을/JKO
뛰어	뛰/VV+어/EC
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000044.40.6.2
올 상반기 공채 기간(2~4월)에는 직전 석달(지난해 11월~1월)보다 20대 구매량이 74%나 늘어, 정장 전체 판매량 중 41%가 20대 소비자의 구매였다.

올	올/NNG
상반기	상반기/NNG
공채	공채/NNG
기간(2~4월)에는	기간/NNG+(/SS+2/SN+~/SO+4/SN+월/NNB+)/SS+에/JKB+는/JX
직전	직전/NNG
석달(지난해	석/MMN+달/NNB+(/SS+지난해/NNG
11월~1월)보다	11/SN+월/NNB+~/SO+1/SN+월/NNB+)/SS+보다/JKB
20대	20/SN+대/NNB
구매량이	구매량/NNG+이/JKS
74%나	74/SN+%/SW+나/JX
늘어,	늘/VV+어/EC+,/SP
정장	정장/NNG
전체	전체/NNG
판매량	판매량/NNG
중	중/NNB
41%가	41/SN+%/SW+가/JKS
소비자의	소비자/NNG+의/JKG
구매였다.	구매/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.40.6.3
30대 구매 비중은 37%, 40대는 20%에 그쳤다.

30대	30/SN+대/NNB
구매	구매/NNG
비중은	비중/NNG+은/JX
37%,	37/SN+%/SW+,/SP
40대는	40/SN+대/NNB+는/JX
20%에	20/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.7.1
9월 들어 정장뿐 아니라 면접용 미용 용품 판매량도 부쩍 늘었다.

9월	9/SN+월/NNB
들어	들/VV+어/EC
정장뿐	정장/NNG+뿐/JX
아니라	아니/VCN+라/EC
면접용	면접/NNG+용/XSN
미용	미용/NNG
용품	용품/NNG
판매량도	판매량/NNG+도/JX
부쩍	부쩍/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.7.2
지난달 같은 기간에 비해 미소교정기는 452% 더 팔렸고, 키높이 구두(45%)·키높이 깔창(48%)도 잘 팔렸다.

지난달	지난달/NNG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
미소교정기는	미소/NNG+교정기/NNG+는/JX
452%	452/SN+%/SW
더	더/MAG
팔렸고,	팔리/VV+었/EP+고/EC+,/SP
키높이	키/NNG+높이/NNG
구두(45%)·키높이	구두/NNG+(/SS+45/SN+%/SW+)/SS+·/SP+키/NNG+높이/NNG
깔창(48%)도	깔창/NNG+(/SS+48/SN+%/SW+)/SS+도/JX
잘	잘/MAG
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.7.3
머리를 깔끔하게 정돈하는 용도의 업스타일 헤어 왁스(116%)·실핀(60%)도 인기를 끌었다.

머리를	머리/NNG+를/JKO
깔끔하게	깔끔/NNG+하/XSA+게/EC
정돈하는	정돈/NNG+하/XSV+는/ETM
용도의	용도/NNG+의/JKG
업스타일	업스타일/NNG
헤어	헤어/NNG
왁스(116%)·실핀(60%)도	왁스/NNG+(/SS+116/SN+%/SW+)/SS+·/SP+실핀/NNG+(/SS+60/SN+%/SW+)/SS+도/JX
인기를	인기/NNG+를/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.7.4
매일 5~10분 착용하면 쌍커풀이 생성된다고 홍보되는 ‘쌍커풀 안경’의 매출은 20% 늘었고 문신을 가리는 용도의 화장품(타투 컨실러) 매출도 9월 들어 35% 늘었다.

매일	매일/MAG
5~10분	5/SN+~/SO+10/SN+분/NNB
착용하면	착용/NNG+하/XSV+면/EC
쌍커풀이	쌍커풀/NNG+이/JKS
생성된다고	생성/NNG+되/XSV+ㄴ다고/EC
홍보되는	홍보/NNG+되/XSV+는/ETM
‘쌍커풀	‘/SS+쌍커풀/NNG
안경’의	안경/NNG+’/SS+의/JKG
매출은	매출/NNG+은/JX
20%	20/SN+%/SW
늘었고	늘/VV+었/EP+고/EC
문신을	문신/NNG+을/JKO
가리는	가리/VV+는/ETM
용도의	용도/NNG+의/JKG
화장품(타투	화장품/NNG+(/SS+타투/NNG
컨실러)	컨실러/NNG+)/SS
매출도	매출/NNG+도/JX
9월	9/SN+월/NNB
들어	들/VV+어/EC
35%	35/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.8.1
공채에 대비에 취업 관련 도서를 구매하는 이들도 많았다.

공채에	공채/NNG+에/JKB
대비에	대비/NNG+에/JKB
취업	취업/NNG
관련	관련/NNG
도서를	도서/NNG+를/JKO
구매하는	구매/NNG+하/XSV+는/ETM
이들도	이/NNB+들/XSN+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.40.8.2
11번가에서 자기소개서·자격증·토익 관련 서적 매출은 9월(1~29일) 지난해 같은 기간 대비 230%나 늘었다.

11번가에서	11번가/NNP+에서/JKB
자기소개서·자격증·토익	자기소개서/NNG+·/SP+자격증/NNG+·/SP+토익/NNG
관련	관련/NNG
서적	서적/NNG
매출은	매출/NNG+은/JX
9월(1~29일)	9/SN+월/NNB+(/SS+1/SN+~/SO+29/SN+일/NNB+)/SS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간	기간/NNG
대비	대비/NNG
230%나	230/SN+%/SW+나/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.8.3
11번가는 “계속되는 구직난으로 취업준비생 자체가 늘어난 데다 면접 용품도 온라인에서 알뜰하게 구매하려는 이들도 많아졌다.

11번가는	11번가/NNP+는/JX
“계속되는	“/SS+계속/NNG+되/XSV+는/ETM
구직난으로	구직난/NNG+으로/JKB
취업준비생	취업/NNG+준비/NNG+생/XSN
자체가	자체/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
데다	데/NNB+다/JX
면접	면접/NNG
용품도	용품/NNG+도/JX
온라인에서	온라인/NNG+에서/JKB
알뜰하게	알뜰/NNG+하/XSA+게/EC
구매하려는	구매/NNG+하/XSV+려는/ETM
이들도	이/NNB+들/XSN+도/JX
많아졌다.	많아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.8.4
정장부터 서적까지 한꺼번에 10~20만원씩 구매하는 경우도 많아 취업 시즌에는 이들이 온라인쇼핑몰의 ‘큰 손’으로 자리잡았다”고 설명했다.

정장부터	정장/NNG+부터/JX
서적까지	서적/NNG+까지/JX
한꺼번에	한꺼번에/MAG
10~20만원씩	10/SN+~/SO+20/SN+만/NR+원/NNB+씩/XSN
구매하는	구매/NNG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
많아	많/VA+아/EC
취업	취업/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
이들이	이/NP+들/XSN+이/JKS
온라인쇼핑몰의	온라인/NNG+쇼핑몰/NNG+의/JKG
‘큰	‘/SS+크/VA+ㄴ/ETM
손’으로	손/NNG+’/SS+으로/JKB
자리잡았다”고	자리/NNG+잡/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


