# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.305
metadata : {}


# id : NWRW1800000038.305.1.1
[정권현의 법과 사회] 채동욱 검찰총장이 '왕따'가 된 이유는?

[정권현의	[/SS+정권현/NNP+의/JKG
없다"고	없/VA+다/EF+"/SS+고/JKQ
재차	재차/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.305.3.2
지난 6월 24일에 이은 두 번째 입장 표명이다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
24일에	24/SN+일/NNB+에/JKB
이은	잇/VV+은/ETM
두	두/MMN
번째	번/NNB+째/XSN
입장	입장/NNG
표명이다.	표명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.305.4.1
이정현 청와대 홍보수석은 "채 총장은 MB 정권이 임명한 인물"이라며 청와대의 불편한 심기를 우회적으로 표출했다.

이정현	이정현/NNP
청와대	청와대/NNP
홍보수석은	홍보/NNG+수석/NNG+은/JX
"채	"/SS+채/NNP
총장은	총장/NNG+은/JX
MB	MB/SL
정권이	정권/NNG+이/JKS
임명한	임명/NNG+하/XSV+ㄴ/ETM
인물"이라며	인물/NNG+"/SS+이/VCP+라며/EC
청와대의	청와대/NNP+의/JKG
불편한	불편/NNG+하/XSA+ㄴ/ETM
심기를	심기/NNG+를/JKO
우회적으로	우회/NNG+적/XSN+으로/JKB
표출했다.	표출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.305.4.2
새누리당 의원들 가운데엔 "(국정원이 선거에 개입했다고) 왜곡 수사한 검사부터 구속해야 하는 거 아니냐"며 열을 올리는 사람들도 있다.

새누리당	새누리당/NNP
의원들	의원/NNG+들/XSN
가운데엔	가운데/NNG+에/JKB+ㄴ/JX
"(국정원이	"/SS+(/SS+국정원/NNG+이/JKS
선거에	선거/NNG+에/JKB
개입했다고)	개입/NNG+하/XSV+았/EP+다고/EC+)/SS
왜곡	왜곡/NNG
수사한	수사/NNG+하/XSV+ㄴ/ETM
검사부터	검사/NNG+부터/JX
구속해야	구속/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
거	거/NNB
아니냐"며	아니/VCN+냐/EF+"/SS+며/EC
열을	열/NNG+을/JKO
올리는	올리/VV+는/ETM
사람들도	사람/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.305.4.3
이뿐인가.

이뿐인가.	이/NP+뿐/JX+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000038.305.4.4
재야 보수 단체들은 '국정 혼란의 원인 제공자인 채동욱은 물러나라'는 내용의 신문광고까지 내며 채 총장 퇴진 운동을 벌이고 있다.

재야	재야/NNG
보수	보수/NNG
단체들은	단체/NNG+들/XSN+은/JX
'국정	'/SS+국정/NNG
혼란의	혼란/NNG+의/JKG
원인	원인/NNG
제공자인	제공자/NNG+이/VCP+ㄴ/ETM
채동욱은	채동욱/NNP+은/JX
물러나라'는	물러나/VV+아라/EF+'/SS+는/ETM
내용의	내용/NNG+의/JKG
신문광고까지	신문/NNG+광고/NNG+까지/JX
내며	내/VV+며/EC
채	채/NNP
총장	총장/NNG
퇴진	퇴진/NNG
운동을	운동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.305.5.1
채 총장도 녹록지 않다.

채	채/NNP
총장도	총장/NNG+도/JX
녹록지	녹록하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.305.5.2
"수사 과정에서 검찰은 나오는 대로 사실을 밝히고 있는 그대로 법률을 적용한다는 자세로 일관했다고 자부한다"(20일 대검 간부회의), "결과에 대한 책임과 허물은 총장이 떠안겠다"(26일 전국 고검장회의)며 물러서지 않고 있다.

"수사	"/SS+수사/NNG
과정에서	과정/NNG+에서/JKB
검찰은	검찰/NNG+은/JX
나오는	나오/VV+는/ETM
대로	대로/NNB
사실을	사실/NNG+을/JKO
밝히고	밝히/VV+고/EC
있는	있/VX+는/ETM
그대로	그대로/MAG
법률을	법률/NNG+을/JKO
적용한다는	적용/NNG+하/XSV+ㄴ다는/ETM
자세로	자세/NNG+로/JKB
일관했다고	일관/NNG+하/XSV+았/EP+다고/EC
자부한다"(20일	자부/NNG+하/XSV+ㄴ다/EF+"/SS+(/SS+20/SN+일/NNB
대검	대검/NNG
간부회의),	간부/NNG+회의/NNG+)/SS+,/SP
"결과에	"/SS+결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임과	책임/NNG+과/JC
허물은	허물/NNG+은/JX
총장이	총장/NNG+이/JKS
떠안겠다"(26일	떠안/VV+겠/EP+다/EF+"/SS+(/SS+26/SN+일/NNB
전국	전국/NNG
고검장회의)며	고검장/NNG+회의/NNG+)/SS+이/VCP+며/EC
물러서지	물러서/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.305.6.1
채 총장의 참모들도 "선거 결과에 영향을 미쳤다고 결론을 내린 것은 결코 아니다" "드러난 사실을 덮고 갔으면 특검이 들어왔을 것"이라며 읍소하지만, 벌어진 틈새를 메우기엔 역부족인 듯하다.

채	채/NNP
총장의	총장/NNG+의/JKG
참모들도	참모/NNG+들/XSN+도/JX
"선거	"/SS+선거/NNG
결과에	결과/NNG+에/JKB
영향을	영향/NNG+을/JKO
미쳤다고	미치/VV+었/EP+다고/EC
결론을	결론/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것은	것/NNB+은/JX
결코	결코/MAG
아니다"	아니/VCN+다/EF+"/SS
"드러난	"/SS+드러나/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
덮고	덮/VV+고/EC
갔으면	가/VX+았/EP+으면/EC
특검이	특검/NNG+이/JKS
들어왔을	들어오/VV+았/EP+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
읍소하지만,	읍소/NNG+하/XSV+지만/EC+,/SP
벌어진	벌어지/VV+ㄴ/ETM
틈새를	틈새/NNG+를/JKO
메우기엔	메우/VV+기/ETN+에/JKB+ㄴ/JX
역부족인	역부족/NNG+이/VCP+ㄴ/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000038.305.7.1
채 총장은 국회 인사청문회에서 오랜만에 여야 합의로 '합격 판정'을 받으며 화려하게 등장했다.

채	채/NNP
총장은	총장/NNG+은/JX
국회	국회/NNG
인사청문회에서	인사/NNG+청문회/NNG+에서/JKB
오랜만에	오랜만/NNG+에/JKB
여야	여야/NNG
합의로	합의/NNG+로/JKB
'합격	'/SS+합격/NNG
판정'을	판정/NNG+'/SS+을/JKO
받으며	받/VV+으며/EC
화려하게	화려하/VA+게/EC
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.305.7.2
그런 그가 요즘은 임기를 채우지 못할 것이라는 말이 나올 정도로 위기를 맞고 있다.

그런	그런/MMD
그가	그/NP+가/JKS
요즘은	요즘/NNG+은/JX
임기를	임기/NNG+를/JKO
채우지	채우/VV+지/EC
못할	못하/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
위기를	위기/NNG+를/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.305.8.1
국정원 댓글 의혹 사건 같은 정치적 사건 처리 문제와 별개로, 그에 대한 점수는 검찰 내부에서도 후한 편은 아닌 듯하다.

국정원	국정원/NNG
댓글	댓글/NNG
의혹	의혹/NNG
사건	사건/NNG
같은	같/VA+은/ETM
정치적	정치/NNG+적/XSN
처리	처리/NNG
문제와	문제/NNG+와/JKB
별개로,	별개/NNG+로/JKB+,/SP
그에	그/NP+에/JKB
대한	대하/VV+ㄴ/ETM
점수는	점수/NNG+는/JX
검찰	검찰/NNG
내부에서도	내부/NNG+에서/JKB+도/JX
후한	후하/VA+ㄴ/ETM
편은	편/NNB+은/JX
아닌	아니/VCN+ㄴ/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000038.305.9.1
검찰 내에선 "총장이 책임지는 모습이 아쉽다"는 말이 나온다.

검찰	검찰/NNG
내에선	내/NNB+에서/JKB+ㄴ/JX
"총장이	"/SS+총장/NNG+이/JKS
책임지는	책임지/VV+는/ETM
모습이	모습/NNG+이/JKS
아쉽다"는	아쉽/VA+다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.305.9.2
지난 2010년 대전고검장 시절, 김준규 총장의 지시로 '스폰서 검사 진상조사단장'을 맡았다가 조사 발표 당일 총장 지시를 무시하고 잠적한 일화는 지금도 검찰 안팎에서 회자(膾炙)된다.

지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
대전고검장	대전고검장/NNG
시절,	시절/NNG+,/SP
김준규	김준규/NNP
총장의	총장/NNG+의/JKG
지시로	지시/NNG+로/JKB
'스폰서	'/SS+스폰서/NNG
검사	검사/NNG
진상조사단장'을	진상/NNG+조사단장/NNG+'/SS+을/JKO
맡았다가	맡/VV+았/EP+다가/EC
조사	조사/NNG
발표	발표/NNG
당일	당일/NNG
총장	총장/NNG
지시를	지시/NNG+를/JKO
무시하고	무시/NNG+하/XSV+고/EC
잠적한	잠적/NNG+하/XSV+ㄴ/ETM
일화는	일화/NNG+는/JX
지금도	지금/NNG+도/JX
검찰	검찰/NNG
안팎에서	안팎/NNG+에서/JKB
회자(膾炙)된다.	회자/NNG+(/SS+膾炙/SH+)/SS+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.305.9.3
국정원 댓글 의혹 사건 수사 과정에서도 그의 처신은 간혹 부하들에게 책임을 미루는 모습으로 비쳤다고 한다.

국정원	국정원/NNG
댓글	댓글/NNG
의혹	의혹/NNG
사건	사건/NNG
수사	수사/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
그의	그/NP+의/JKG
처신은	처신/NNG+은/JX
간혹	간혹/MAG
부하들에게	부하/NNG+들/XSN+에게/JKB
책임을	책임/NNG+을/JKO
미루는	미루/VV+는/ETM
모습으로	모습/NNG+으로/JKB
비쳤다고	비치/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.305.10.1
그가 취임 후 100일 만에 내놓은 검찰 개혁 비전도 알맹이가 빠져 있다.

그가	그/NP+가/JKS
취임	취임/NNG
후	후/NNG
100일	100/SN+일/NNB
만에	만/NNB+에/JKB
내놓은	내놓/VV+은/ETM
검찰	검찰/NNG
개혁	개혁/NNG
비전도	비전/NNG+도/JX
알맹이가	알맹이/NNG+가/JKS
빠져	빠지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.305.10.2
'검찰개혁 추진상황 및 이행계획'이라는 두툼한 보도 자료에는 '검찰의 정치적 중립성 강화' '국민 참여 확대 및 인권 보장 강화' 등 듣기 좋은 이야기만 나열돼 있을 뿐, 국가 기강을 흔드는 체제 전복 세력이나 종북(從北) 세력에 어떻게 대처할지에 대해선 언급이 없다.

'검찰개혁	'/SS+검찰/NNG+개혁/NNG
추진상황	추진/NNG+상황/NNG
및	및/MAG
이행계획'이라는	이행/NNG+계획/NNG+'/SS+이/VCP+라는/ETM
두툼한	두툼하/VA+ㄴ/ETM
보도	보도/NNG
자료에는	자료/NNG+에/JKB+는/JX
'검찰의	'/SS+검찰/NNG+의/JKG
정치적	정치/NNG+적/XSN
중립성	중립/NNG+성/XSN
강화'	강화/NNG+'/SS
'국민	'/SS+국민/NNG
참여	참여/NNG
확대	확대/NNG
인권	인권/NNG
보장	보장/NNG
등	등/NNB
듣기	듣/VV+기/ETN
좋은	좋/VA+은/ETM
이야기만	이야기/NNG+만/JX
나열돼	나열/NNG+되/XSV+어/EC
있을	있/VX+을/ETM
뿐,	뿐/NNB+,/SP
국가	국가/NNG
기강을	기강/NNG+을/JKO
흔드는	흔들/VV+는/ETM
체제	체제/NNG
전복	전복/NNG
세력이나	세력/NNG+이나/JC
종북(從北)	종북/NNG+(/SS+從北/SH+)/SS
세력에	세력/NNG+에/JKB
어떻게	어떻/VA+게/EC
대처할지에	대처/NNG+하/XSV+ㄹ지/EC+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
언급이	언급/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.305.11.1
지난 정권의 비리 수사나 재벌 때리는 일에는 기를 쓰고 달려들면서, '불법 집회' '폭력 시위' '종북 세력 척결' 등 이른바 '공안 사건' 앞에선 주눅이 든 모습을 보이고 있다.

지난	지나/VV+ㄴ/ETM
정권의	정권/NNG+의/JKG
비리	비리/NNG
수사나	수사/NNG+나/JC
재벌	재벌/NNG
때리는	때리/VV+는/ETM
일에는	일/NNG+에/JKB+는/JX
기를	기/NNG+를/JKO
쓰고	쓰/VV+고/EC
달려들면서,	달려들/VV+면서/EC+,/SP
'불법	'/SS+불법/NNG
집회'	집회/NNG+'/SS
'폭력	'/SS+폭력/NNG
시위'	시위/NNG+'/SS
'종북	'/SS+종북/NNG
세력	세력/NNG
척결'	척결/NNG+'/SS
등	등/NNB
이른바	이른바/MAG
'공안	'/SS+공안/NNG
사건'	사건/NNG+'/SS
앞에선	앞/NNG+에서/JKB+ㄴ/JX
주눅이	주눅/NNG+이/JKS
든	들/VV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.305.12.1
야당과 관련한 수사에선 너무 몸을 사리는 것 아니냐는 말도 들린다.

야당과	야당/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
수사에선	수사/NNG+에서/JKB+ㄴ/JX
너무	너무/MAG
몸을	몸/NNG+을/JKO
사리는	사리/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
말도	말/NNG+도/JX
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.305.12.2
검찰은 'NLL 사초(史草) 실종 사건' 등에서 "민주당이 협조하지 않아 수사가 제대로 안 된다"는 말만 되풀이하고 있다.

검찰은	검찰/NNG+은/JX
'NLL	'/SS+NLL/SL
사초(史草)	사초/NNG+(/SS+史草/SH+)/SS
실종	실종/NNG
사건'	사건/NNG+'/SS
등에서	등/NNB+에서/JKB
"민주당이	"/SS+민주당/NNP+이/JKS
협조하지	협조/NNG+하/XSV+지/EC
않아	않/VX+아/EC
수사가	수사/NNG+가/JKS
제대로	제대로/MAG
안	안/MAG
된다"는	되/VV+ㄴ다/EF+"/SS+는/ETM
말만	말/NNG+만/JX
되풀이하고	되풀이/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.305.12.3
채 총장은 1988년 총장 임기제가 도입된 후 18번째 총장이다.

채	채/NNP
총장은	총장/NNG+은/JX
1988년	1988/SN+년/NNB
총장	총장/NNG
임기제가	임기/NNG+제/XSN+가/JKS
도입된	도입/NNG+되/XSV+ㄴ/ETM
후	후/NNG
18번째	18/SN+번/NNB+째/XSN
총장이다.	총장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.305.12.4
그동안 17명의 총장 가운데 11명이 임기를 채우지 못하고 물러났다.

그동안	그동안/NNG
17명의	17/SN+명/NNB+의/JKG
총장	총장/NNG
가운데	가운데/NNG
11명이	11/SN+명/NNB+이/JKS
임기를	임기/NNG+를/JKO
채우지	채우/VV+지/EC
못하고	못하/VX+고/EC
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.305.12.5
비리에 연루되거나 사건 처리에 책임을 지고 물러난 경우도 있었고, 권력과 갈등을 빚다가 물러난 경우도 있었다.

비리에	비리/NNG+에/JKB
연루되거나	연루/NNG+되/XSV+거나/EC
사건	사건/NNG
처리에	처리/NNG+에/JKB
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
물러난	물러나/VV+ㄴ/ETM
경우도	경우/NNG+도/JX
있었고,	있/VA+었/EP+고/EC+,/SP
권력과	권력/NNG+과/JC
갈등을	갈등/NNG+을/JKO
빚다가	빚/VV+다가/EC
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.305.12.6
노무현 정권 시절 권력과 갈등을 빚으면서도 검찰 안팎의 신망을 바탕으로 임기 2년을 고수한 '강골' 송광수 총장 같은 경우도 있다.

노무현	노무현/NNP
정권	정권/NNG
시절	시절/NNG
권력과	권력/NNG+과/JC
갈등을	갈등/NNG+을/JKO
빚으면서도	빚/VV+으면서/EC+도/JX
검찰	검찰/NNG
안팎의	안팎/NNG+의/JKG
신망을	신망/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
임기	임기/NNG
2년을	2/SN+년/NNB+을/JKO
고수한	고수/NNG+하/XSV+ㄴ/ETM
'강골'	'/SS+강골/NNG+'/SS
송광수	송광수/NNP
총장	총장/NNG
같은	같/VA+은/ETM
경우도	경우/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.305.12.7
채 총장이 어떤 길을 갈지는 전적으로 자신에게 달렸다.

채	채/NNP
총장이	총장/NNG+이/JKS
어떤	어떤/MMD
길을	길/NNG+을/JKO
갈지는	가/VV+ㄹ지/EC+는/JX
전적으로	전적/NNG+으로/JKB
자신에게	자신/NNG+에게/JKB
달렸다.	달리/VV+었/EP+다/EF+./SF


