# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.260
metadata : {}


# id : NWRW1800000022.260.1.1
[조선데스크] G2(美·中)시대의 유학생들

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.260.3.1
중국 현지 언론들에 따르면 원 총리는 지난 17~20일 베이징에서 열린 '제11차 해외주재 외교관 회의'에서 이 발언을 했다.

중국	중국/NNP
현지	현지/NNG
언론들에	언론/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
원	원/NNP
총리는	총리/NNG+는/JX
지난	지나/VV+ㄴ/ETM
17~20일	17/SN+~/SO+20/SN+일/NNB
베이징에서	베이징/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
'제11차	'/SS+제/XPN+11/SN+차/NNB
해외주재	해외/NNG+주재/NNG
외교관	외교관/NNG
회의'에서	회의/NNG+'/SS+에서/JKB
이	이/MMD
발언을	발언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.260.3.2
중국경제의 총사령탑인 원 총리가 중국 외교관들과 국영기업들에게 해외기업 사냥의 '진격명령'을 공식적으로 내린 것이다.

중국경제의	중국/NNP+경제/NNG+의/JKG
총사령탑인	총사령탑/NNG+이/VCP+ㄴ/ETM
원	원/NNP
총리가	총리/NNG+가/JKS
중국	중국/NNP
외교관들과	외교관/NNG+들/XSN+과/JC
국영기업들에게	국영/NNG+기업/NNG+들/XSN+에게/JKB
해외기업	해외/NNG+기업/NNG
사냥의	사냥/NNG+의/JKG
'진격명령'을	'/SS+진격/NNG+명령/NNG+'/SS+을/JKO
공식적으로	공식/NNG+적/XSN+으로/JKB
내린	내리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.260.4.1
물론 중국의 '쩌우추취(走出去·해외투자) 전략'이 새로운 현상은 아니다.

물론	물론/MAG
중국의	중국/NNP+의/JKG
'쩌우추취(走出去·해외투자)	'/SS+쩌우추취/NNG+(/SS+走出去/SH+·/SP+해외/NNG+투자/NNG+)/SS
전략'이	전략/NNG+'/SS+이/JKS
새로운	새롭/VA+ㄴ/ETM
현상은	현상/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.260.4.2
하지만 글로벌 금융위기 때문에 손실을 많이 봤는데도 오히려 가속도를 내는 점은 다른 나라와 확연히 다르다.

하지만	하지만/MAJ
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
때문에	때문/NNB+에/JKB
손실을	손실/NNG+을/JKO
많이	많이/MAG
봤는데도	보/VV+았/EP+는데/EC+도/JX
오히려	오히려/MAG
가속도를	가속도/NNG+를/JKO
내는	내/VV+는/ETM
점은	점/NNG+은/JX
다른	다른/MMD
나라와	나라/NNG+와/JKB
확연히	확연히/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000022.260.4.3
안 그래도 식욕이 왕성한 페트로차이나(석유), 차이날코(알루미늄), 차이나텔레콤(이동통신), 중국은행(금융) 같은 국영기업들은 이제 정부의 명령까지 받았으니 미국·일본·영국·독일·호주·한국 진출에 액셀러레이터를 밟을 것이다.

안	안/MAG
그래도	그러/VV+어도/EC
식욕이	식욕/NNG+이/JKS
왕성한	왕성/NNG+하/XSA+ㄴ/ETM
페트로차이나(석유),	페트로차이나/NNP+(/SS+석유/NNG+)/SS+,/SP
차이날코(알루미늄),	차이날코/NNP+(/SS+알루미늄/NNG+)/SS+,/SP
차이나텔레콤(이동통신),	차이나텔레콤/NNP+(/SS+이동/NNG+통신/NNG+)/SS+,/SP
중국은행(금융)	중국은행/NNP+(/SS+금융/NNG+)/SS
같은	같/VA+은/ETM
국영기업들은	국영/NNG+기업/NNG+들/XSN+은/JX
이제	이제/MAG
정부의	정부/NNG+의/JKG
명령까지	명령/NNG+까지/JX
받았으니	받/VV+았/EP+으니/EC
미국·일본·영국·독일·호주·한국	미국/NNP+·/SP+일본/NNP+·/SP+영국/NNP+·/SP+독일/NNP+·/SP+호주/NNP+·/SP+한국/NNP
진출에	진출/NNG+에/JKB
액셀러레이터를	액셀러레이터/NNG+를/JKO
밟을	밟/VV+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.260.5.1
중국이 해외기업을 인수해 경영에 성공하면 자국 인력을 수출하거나 교포네트워크를 형성할 수 있다.

중국이	중국/NNP+이/JKS
해외기업을	해외/NNG+기업/NNG+을/JKO
인수해	인수/NNG+하/XSV+아/EC
경영에	경영/NNG+에/JKB
성공하면	성공/NNG+하/XSV+면/EC
자국	자국/NNG
인력을	인력/NNG+을/JKO
수출하거나	수출/NNG+하/XSV+거나/EC
교포네트워크를	교포/NNG+네트워크/NNG+를/JKO
형성할	형성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.260.5.2
전 세계적으로 화교인맥이 점점 커지는 이유이다.

전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
화교인맥이	화교/NNG+인맥/NNG+이/JKS
점점	점점/MAG
커지는	커지/VV+는/ETM
이유이다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.260.5.3
하지만 글로벌 시장에서 중국기업, 중국인과 몸으로 경쟁해야 하는 한국기업, 한국인들에게는 새로운 과제가 주어진다.

하지만	하지만/MAJ
글로벌	글로벌/NNG
시장에서	시장/NNG+에서/JKB
중국기업,	중국/NNP+기업/NNG+,/SP
중국인과	중국인/NNG+과/JKB
몸으로	몸/NNG+으로/JKB
경쟁해야	경쟁/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
한국기업,	한국/NNP+기업/NNG+,/SP
한국인들에게는	한국인/NNG+들/XSN+에게/JKB+는/JX
새로운	새롭/VA+ㄴ/ETM
과제가	과제/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.260.5.4
뉴욕 월스트리트에서는 이 그림자가 그대로 드러난다.

뉴욕	뉴욕/NNP
월스트리트에서는	월스트리트/NNP+에서/JKB+는/JX
이	이/MMD
그림자가	그림자/NNG+가/JKS
그대로	그대로/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.260.6.1
8년간 미국의 명문 고교와 대학, 대학원을 나와 뉴욕의 투자은행에서 1년간 일하던 김모씨는 작년 말 한국으로 돌아왔다.

8년간	8/SN+년/NNB+간/XSN
미국의	미국/NNP+의/JKG
명문	명문/NNG
고교와	고교/NNG+와/JC
대학,	대학/NNG+,/SP
대학원을	대학원/NNG+을/JKO
나와	나오/VV+아/EC
뉴욕의	뉴욕/NNP+의/JKG
투자은행에서	투자/NNG+은행/NNG+에서/JKB
1년간	1/SN+년/NNB+간/XSN
일하던	일/NNG+하/XSV+던/ETM
김모씨는	김/NNP+모/NP+씨/NNB+는/JX
작년	작년/NNG
말	말/NNB
한국으로	한국/NNP+으로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.260.6.2
경제가 나빠지자 월스트리트의 금융회사들이 '힘없는' 한국계 직원들을 1차 해고 대상 리스트에 올렸기 때문이다.

경제가	경제/NNG+가/JKS
나빠지자	나빠지/VV+자/EC
월스트리트의	월스트리트/NNP+의/JKG
금융회사들이	금융/NNG+회사/NNG+들/XSN+이/JKS
'힘없는'	'/SS+힘없/VA+는/ETM+'/SS
한국계	한국/NNP+계/XSN
직원들을	직원/NNG+들/XSN+을/JKO
1차	1/SN+차/NNB
해고	해고/NNG
대상	대상/NNG
리스트에	리스트/NNG+에/JKB
올렸기	올리/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.260.6.3
그는 "미국 내 중국 투자자들의 영향력이 커지면서 중국인 친구들은 자리를 유지했다"고 했다.

그는	그/NP+는/JX
"미국	"/SS+미국/NNP
내	내/NNB
중국	중국/NNP
투자자들의	투자자/NNG+들/XSN+의/JKG
영향력이	영향력/NNG+이/JKS
커지면서	커지/VV+면서/EC
중국인	중국인/NNG
친구들은	친구/NNG+들/XSN+은/JX
자리를	자리/NNG+를/JKO
유지했다"고	유지/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.260.6.4
월스트리트 투자은행 직원 전모씨도 "미국 회사 내에 아시아인 몫은 정해져 있는데, 중국 파트너들의 영향은 커지는 반면 한국 파트너들은 외부 도움이 거의 없어 입지가 점점 줄어들고 있다"고 전했다.

월스트리트	월스트리트/NNP
투자은행	투자/NNG+은행/NNG
직원	직원/NNG
전모씨도	전/NNP+모/NP+씨/NNB+도/JX
"미국	"/SS+미국/NNP
회사	회사/NNG
내에	내/NNB+에/JKB
아시아인	아시아인/NNG
몫은	몫/NNG+은/JX
정해져	정하/VV+아/EC+지/VX+어/EC
있는데,	있/VX+는데/EC+,/SP
중국	중국/NNP
파트너들의	파트너/NNG+들/XSN+의/JKG
영향은	영향/NNG+은/JX
커지는	커지/VV+는/ETM
반면	반면/NNG
한국	한국/NNP
파트너들은	파트너/NNG+들/XSN+은/JX
외부	외부/NNG
도움이	도움/NNG+이/JKS
거의	거의/MAG
없어	없/VA+어/EC
입지가	입지/NNG+가/JKS
점점	점점/MAG
줄어들고	줄어들/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.260.7.1
중국 대기업의 미국 진출은 아직 초기 단계이지만, 소기업·자영업까지 고려하면 미국 내 중국 기업의 영향력은 작지 않다.

중국	중국/NNP
대기업의	대/XPN+기업/NNG+의/JKG
미국	미국/NNP
진출은	진출/NNG+은/JX
아직	아직/MAG
초기	초기/NNG
단계이지만,	단계/NNG+이/VCP+지만/EC+,/SP
소기업·자영업까지	소/XPN+기업/NNG+·/SP+자영업/NNG+까지/JX
고려하면	고려/NNG+하/XSV+면/EC
내	내/NNB
기업의	기업/NNG+의/JKG
영향력은	영향력/NNG+은/JX
작지	작/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000022.260.7.2
필자는 지난 2007년 12월 세계적인 경제학자인 레스터 서로(Thurow) MIT 교수와 중국 인력의 미국 이동에 대해 이야기를 나눈 적이 있다.

필자는	필자/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
12월	12/SN+월/NNB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
경제학자인	경제학자/NNG+이/VCP+ㄴ/ETM
레스터	레스터/NNP
서로(Thurow)	서로/NNP+(/SS+Thurow/SL+)/SS
MIT	MIT/SL
교수와	교수/NNG+와/JC
중국	중국/NNP
인력의	인력/NNG+의/JKG
미국	미국/NNP
이동에	이동/NNG+에/JKB
대해	대하/VV+아/EC
이야기를	이야기/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.260.7.3
푸른 스웨터에 재킷을 걸친 그는 맨해튼 호텔에서 만나 이렇게 말했다.

푸른	푸르/VA+ㄴ/ETM
스웨터에	스웨터/NNG+에/JKB
재킷을	재킷/NNG+을/JKO
걸친	걸치/VV+ㄴ/ETM
그는	그/NP+는/JX
맨해튼	맨해튼/NNP
호텔에서	호텔/NNG+에서/JKB
만나	만나/VV+아/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.260.8.1
"중국인들의 생활수준이 높아지면서 미국으로 이주하는 중국인이 갈수록 늘어날 겁니다.

"중국인들의	"/SS+중국인/NNG+들/XSN+의/JKG
생활수준이	생활/NNG+수준/NNG+이/JKS
높아지면서	높아지/VV+면서/EC
미국으로	미국/NNP+으로/JKB
이주하는	이주/NNG+하/XSV+는/ETM
중국인이	중국인/NNG+이/JKS
갈수록	갈수록/MAG
늘어날	늘어나/VV+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.260.8.2
MIT와 하버드대의 뛰어난 자연과학도와 공학도 가운데 중국학생 비율이 얼마나 높은지 보세요."

MIT와	MIT/SL+와/JC
하버드대의	하버드대/NNP+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
자연과학도와	자연/NNG+과학도/NNG+와/JC
공학도	공학도/NNG
가운데	가운데/NNG
중국학생	중국/NNP+학생/NNG
비율이	비율/NNG+이/JKS
얼마나	얼마나/MAG
높은지	높/VA+은지/EF
보세요."	보/VV+시/EP+어요/EF+./SF+"/SS


# id : NWRW1800000022.260.8.3
그는 "시간이 지나면 미국서 교육을 받은 중국계 대통령이 나올 수도 있다"고 했다.

그는	그/NP+는/JX
"시간이	"/SS+시간/NNG+이/JKS
지나면	지나/VV+면/EC
미국서	미국/NNP+서/JKB
교육을	교육/NNG+을/JKO
받은	받/VV+은/ETM
중국계	중국/NNP+계/XSN
대통령이	대통령/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.260.9.1
지난해 미국대학 내 한국인 유학생은 12만7100명으로 중국인(9만210명)보다 훨씬 많았다.

지난해	지난해/NNG
미국대학	미국/NNP+대학/NNG
내	내/NNB
한국인	한국인/NNG
유학생은	유학/NNG+생/XSN+은/JX
12만7100명으로	12/SN+만/NR+7100/SN+명/NNB+으로/JKB
중국인(9만210명)보다	중국인/NNG+(/SS+9/SN+만/NR+210/SN+명/NNB+)/SS+보다/JKB
훨씬	훨씬/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.260.9.2
하지만 한국 유학생들의 미국 내 취업 입지는 중국 학생들보다 점점 좁아지고 있다.

하지만	하지만/MAJ
한국	한국/NNP
유학생들의	유학/NNG+생/XSN+들/XSN+의/JKG
미국	미국/NNP
내	내/NNB
취업	취업/NNG
입지는	입지/NNG+는/JX
중국	중국/NNP
학생들보다	학생/NNG+들/XSN+보다/JKB
점점	점점/MAG
좁아지고	좁아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.260.9.3
중국은 자국 기업과 화교네트워크가 유학생들을 '포용'하는 반면, 한국의 유학생들은 사실상 '방치'되고 있기 때문이다.

중국은	중국/NNP+은/JX
자국	자국/NNG
기업과	기업/NNG+과/JC
화교네트워크가	화교/NNG+네트워크/NNG+가/JKS
유학생들을	유학/NNG+생/XSN+들/XSN+을/JKO
'포용'하는	'/SS+포용/NNG+'/SS+하/VV+는/ETM
반면,	반면/NNG+,/SP
한국의	한국/NNP+의/JKG
유학생들은	유학/NNG+생/XSN+들/XSN+은/JX
사실상	사실/NNG+상/XSN
'방치'되고	'/SS+방치/NNG+'/SS+되/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.260.9.4
그러지 않아도 이번 주 워싱턴에서 진행된 G2(미·중) 전략경제대화에 전 세계가 야단을 떨고, 드디어 중국은 미국에게 "가장 중요한 동반자"가 됐다는데, 이 소식에 혹시라도 한국 유학생들의 어깨만 더 처졌을까 걱정된다.

그러지	그러/VV+지/EC
않아도	않/VX+아도/EC
이번	이번/NNG
주	주/NNG
워싱턴에서	워싱턴/NNP+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
G2(미·중)	G/SL+2/SN+(/SS+미/NNP+·/SP+중/NNP+)/SS
전략경제대화에	전략/NNG+경제/NNG+대화/NNG+에/JKB
전	전/MMN
세계가	세계/NNG+가/JKS
야단을	야단/NNG+을/JKO
떨고,	떨/VV+고/EC+,/SP
드디어	드디어/MAG
중국은	중국/NNP+은/JX
미국에게	미국/NNP+에게/JKB
"가장	"/SS+가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
동반자"가	동반자/NNG+"/SS+가/JKC
됐다는데,	되/VV+었/EP+다는데/EC+,/SP
이	이/MMD
소식에	소식/NNG+에/JKB
혹시라도	혹시/MAG+이/VCP+라도/EC
한국	한국/NNP
유학생들의	유학/NNG+생/XSN+들/XSN+의/JKG
어깨만	어깨/NNG+만/JX
더	더/MAG
처졌을까	처지/VV+었/EP+을까/EF
걱정된다.	걱정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.260.9.5
'아메리칸 드림'을 접어둔 채 국내로 밀려들어와 '국내파'들과 일자리 다툼을 할 그들에게 우리 정부는 어떤 대책을 갖고 있을까.

'아메리칸	'/SS+아메리칸/NNP
드림'을	드림/NNG+'/SS+을/JKO
접어둔	접/VV+어/EC+두/VX+ㄴ/ETM
채	채/NNB
국내로	국내/NNG+로/JKB
밀려들어와	밀리/VV+어/EC+들어오/VV+아/EC
'국내파'들과	'/SS+국내파/NNG+'/SS+들/XSN+과/JKB
일자리	일자리/NNG
다툼을	다툼/NNG+을/JKO
할	하/VV+ㄹ/ETM
그들에게	그/NP+들/XSN+에게/JKB
우리	우리/NP
정부는	정부/NNG+는/JX
어떤	어떤/MMD
대책을	대책/NNG+을/JKO
갖고	갖/VV+고/EC
있을까.	있/VX+을까/EF+./SF


